bicsl4ID:ID,text:string
bics_l4_1,Advertising & Marketing
bics_l4_2,Agricultural Chemicals
bics_l4_3,Agricultural Machinery
bics_l4_4,Agricultural Producers
bics_l4_5,Agricultural Products Whslrs
bics_l4_6,Aircraft & Parts
bics_l4_7,Alcoholic Beverages
bics_l4_8,Apparel & Footwear Whslrs
bics_l4_9,"Apparel, Footwear & Acc Design"
bics_l4_10,Application Software
bics_l4_11,Auto Parts
bics_l4_12,Automobiles
bics_l4_13,Automotive Retailers
bics_l4_14,Banks
bics_l4_15,Base Metals
bics_l4_16,Basic & Diversified Chemicals
bics_l4_17,Biofuels
bics_l4_18,Biotech
bics_l4_19,Building Construction
bics_l4_20,Building Maintenance Services
bics_l4_21,Building Materials
bics_l4_22,Building Products
bics_l4_23,Cannabis
bics_l4_24,Casinos & Gaming
bics_l4_25,Cement & Aggregates
bics_l4_26,Chemicals Distribution
bics_l4_27,Coal Mining
bics_l4_28,Commercial Finance
bics_l4_29,Commercial Vehicles
bics_l4_30,Comml & Res Bldg Equip & Sys
bics_l4_31,Communications Equipment
bics_l4_32,Computer Hardware & Storage
bics_l4_33,Construction & Mining Machinery
bics_l4_34,Consumer Elec & Applc Whslrs
bics_l4_35,Consumer Electronics
bics_l4_36,Consumer Finance
bics_l4_37,Containers & Packaging
bics_l4_38,Courier Services
bics_l4_39,District Heating & Cooling
bics_l4_40,Drilling & Drilling Support
bics_l4_41,Educational Services
bics_l4_42,Elec & Gas Marketing & Trading
bics_l4_43,Electric Transmission & Dist
bics_l4_44,Electrical Components
bics_l4_45,Electrical Power Equipment
bics_l4_46,Electronics Components
bics_l4_47,Engineering Services
bics_l4_48,Entertainment Facilities
bics_l4_49,Exploration & Production
bics_l4_50,Fabricated Metal & Hardware
bics_l4_51,Film & TV
bics_l4_52,Flow Control Equipment
bics_l4_53,Food & Beverage Wholesalers
bics_l4_54,Food & Drug Stores
bics_l4_55,Forestry & Logging
bics_l4_56,Furniture
bics_l4_57,Gas Utilities
bics_l4_58,Health Care Facilities
bics_l4_59,Health Care Services
bics_l4_60,Health Care Supplies
bics_l4_61,Health Care Supply Chain
bics_l4_62,Home & Office Product Whslrs
bics_l4_63,Home Products Stores
bics_l4_64,Homebuilding
bics_l4_65,IT Services
bics_l4_66,Import & Export
bics_l4_67,Industrial Owners & Developers
bics_l4_68,Industrial Wholesale & Rental
bics_l4_69,Infrastructure Construction
bics_l4_70,Infrastructure Software
bics_l4_71,Institutional Brokerage
bics_l4_72,Integrated Electric Utilities
bics_l4_73,Internet Media & Services
bics_l4_74,Investment Companies
bics_l4_75,Investment Management
bics_l4_76,Iron
bics_l4_77,Jewelry & Watch Stores
bics_l4_78,Local TV & Radio Broadcast
bics_l4_79,Lodging
bics_l4_80,Logistics Services
bics_l4_81,Marine Shipping
bics_l4_82,Material Handling Machinery
bics_l4_83,Measurement Instruments
bics_l4_84,Medical Devices
bics_l4_85,Medical Equipment
bics_l4_86,Metal Svc Centers & Processors
bics_l4_87,Metals & Ore Whslrs & Traders
bics_l4_88,Metalworking Machinery
bics_l4_89,Midstream - Oil & Gas
bics_l4_90,Mineral & Precious Stone Mining
bics_l4_91,Mining Services
bics_l4_92,Mortgage Finance
bics_l4_93,Multi Asset Class Own & Develop
bics_l4_94,Non-Alcoholic Beverages
bics_l4_95,Oilfield Services & Equipment
bics_l4_96,Other Commercial Support Svcs
bics_l4_97,Other Financial Services
bics_l4_98,Other Machinery & Equipment
bics_l4_99,Other Spec Retail - Discr
bics_l4_100,Other Wholesalers
bics_l4_101,Other Wholesalers - Staples
bics_l4_102,P&C Insurance
bics_l4_103,Packaged Food
bics_l4_104,Pollution Control Equipment
bics_l4_105,Power Generation
bics_l4_106,Precious Metals
bics_l4_107,Private Equity
bics_l4_108,Professional Services
bics_l4_109,Publishing
bics_l4_110,Rail Freight
bics_l4_111,Real Estate Services
bics_l4_112,Refining & Marketing
bics_l4_113,Renewable Energy Equipment
bics_l4_114,Renewable Energy Project Dev
bics_l4_115,Residential Owners & Developers
bics_l4_116,Retail Owners & Developers
bics_l4_117,Rubber & Plastic
bics_l4_118,Security & Cmdty Exchanges
bics_l4_119,Semiconductor Devices
bics_l4_120,Specialty & Generic Pharma
bics_l4_121,Specialty Apparel Stores
bics_l4_122,Specialty Chemicals
bics_l4_123,Specialty Online Retailers
bics_l4_124,Specialty Owners & Developers
bics_l4_125,Specialty Technology Hardware
bics_l4_126,Sporting Goods
bics_l4_127,Steel Producers
bics_l4_128,Technology Distributors
bics_l4_129,Textile & Textile Products
bics_l4_130,Tobacco
bics_l4_131,Transport Operations & Services
bics_l4_132,Trucking
bics_l4_133,Video Games
bics_l4_134,Waste Management
bics_l4_135,Wealth Management
bics_l4_136,Wireless Telecommunications
bics_l4_137,Wireline Telecommunications
