companyID:ID,name:string,Ticker:string,ACN:int,Market Cap:float,Revenue:Y:float,Tot Assets:Y:float,Number of Employees:LF:int,Company Description:string,Linkedin_empCount:int,Linkedin_Followers:int
comp_1,BHP Group UK LTD,1986986D LN Equity,,285590000000.0,84930000000.0,153370000000.0,,,,
comp_2,BHP Group Ltd,BHP AU Equity,4028077,204270000000.0,79210000000.0,165510000000.0,91000,"BHP Group Limited manufactures base metals. The Company offers copper, ironore, metallurgical coal, nickel, and potash metals for global economic growthinfrastructure to energy transition used in household, steel products, foodsupply chain, and lithium batteries that power the electric vehiclerevolutions. BHP Group serves customers worldwide.",31332,760115
comp_3,Rio Tinto Ltd,RIO AU Equity,4458404,164400000000.0,81380000000.0,166190000000.0,,"Rio Tinto Limited operates as a mining company. The Company produces iron orefor steel and aluminium for cars and phones, as well as copper for windturbines. Rio Tinto serves customers worldwide. Dually-listed company with RIOLN.",40000,700000
comp_4,Fortescue Ltd,FMG AU Equity,2594872,58810000000.0,24010000000.0,46420000000.0,,"Fortescue Ltd provides exploration and mining services. The Company exploresand develops iron ore projects, as well as owns and operates purpose-builtrail and port facilities. Fortescue serves customers worldwide.",5776,130492
comp_5,Northern Star Resources Ltd,NST AU Equity,92832892,33060000000.000004,6410000000.0,20430000000.0,,Northern Star Resources Ltd manufactures precious metals. The Companyprovides mining and production of gold. Northern Star Resources serves customersin Australia and North America.,1108,28572
comp_6,Evolution Mining Ltd,EVN AU Equity,84669036,20600000000.0,4350000000.0,9640000000.0,,"Evolution Mining Ltd is a gold exploration company with operations in WesternAustralia. The Company owns the gold mines -Cracow, Edna May, Mt Rawdon, andPajingo - and the Mt Carlton development project.",899,42408
comp_7,Lynas Rare Earths Ltd,LYC AU Equity,9066648,16399999999.999998,556510000.0,2940000000.0,,"Lynas Rare Earths Limited operates as a mining company. The Company explores andmines for rare earth minerals such as cerium, praseodymium, and neodymium.Lynas Rare Earths serves customers in Australia and Malaysia.",295,6446
comp_8,MMG Ltd,1208 HK Equity,150889151,13790000000.0,6790000000.0,24230000000.0,5000,"MMG Limited is a mid-tier global resources company which explores, develops andmines base metal projects around the world.  The Company currently owns andoperates the Century, Golden Grove and Rosebery mines in Australia, theKinsevere mine in the Democratic Republic of Congo (DRC) and the LXML Seponmine in Laos.",,
comp_9,South32 Ltd,S32 AU Equity,93732597,11660000000.0,8930000000.0,20880000000.0,9000,"South32 Limited operates as a diversified metals and mining company. TheCompany produces alumina, aluminum, coal, manganese, nickel, silver, lead, andzinc. South32 conducts business globally.",4378,132361
comp_10,Orica Ltd,ORI AU Equity,4145868,10110000000.0,7660000000.0,9600000000.0,,Every day all around the world the people of Orica help mobilise vital resources essential to progress Our story began in 1874 supplying explosives to the Victorian goldfields in Australia Since then we have grown to become the world s leader in blasting and productivity solutions From the production and supply of explosives and initiation systems to our suite of cutting edge digital solutions and comprehensive range of blasting services we help extract resources safely efficiently and responsibly Underneath it all it is the thoughtfulness and curiosity of our people all around the world who make the difference We work as one team always guided by our values of safety respect togetherness integrity and excellence,8069,134714
