companyNameID:ID,text:string
compname_1,*MISTAKE(Demetallica Ltd)
compname_2,0373849 BC Ltd
compname_3,0755461 BC Ltd
compname_4,0913693 Bc Ltd
compname_5,101 Sampling Solutions Pty Ltd
compname_6,1064 Gold
compname_7,10m Fe
compname_8,11 Mart AD Srebrenica
compname_9,1212771 BC Ltd
compname_10,13 Knives
compname_11,145 One Member LLC
compname_12,1620 Capital
compname_13,1812 Cast Iron
compname_14,1844 Resources Inc
compname_15,1911 Gold Corp
compname_16,1CM Inc
compname_17,1adesign
compname_18,1st Class Metal
compname_19,1st Class Sheet Metal PTY LTD
compname_20,20 Microns Ltd
compname_21,2019 S&H Ltd
compname_22,21ST Century Steel Homes
compname_23,236 Traffic Project Construction and Management JSC
compname_24,29M
compname_25,29Metals Limited
compname_26,29Metals Ltd
compname_27,2Censor PTY LTD
compname_28,2JS Mining
compname_29,2MT Mining Products Pty Ltd
compname_30,2Mt Mining Projects Pty Ltd
compname_31,2PH CONTRACTING PTY LTD
compname_32,2S Metal PCL
compname_33,2iC Australia Pty Ltd
compname_34,3 Dogs Design
compname_35,3 Point Engineering
compname_36,319 Southern Investment Construction JSC
compname_37,319.2 Investment & Construction JSC
compname_38,360 Mining
compname_39,360 Screens
compname_40,37 Capital Inc
compname_41,379 Pty Ltd
compname_42,386 Thanh An Construction and Investment JSC
compname_43,397 JSC
compname_44,3A Garage Door
compname_45,3B Fabrications PTY LTD
compname_46,3D Diamonds NV
compname_47,3D EARTHMOVING PTY LTD
compname_48,3D Earthmoving 2017 ABN 58 614 457 500
compname_49,3D POWDER COATING
compname_50,3D Resources Limited
compname_51,3D Resources Ltd
compname_52,3E Steel Pty Limited
compname_53,3E Steel Pty Ltd
compname_54,3G Coal Ltd
compname_55,3M AUSTRALIA PTY LTD
compname_56,3P International Holdings Pty Ltd
compname_57,3d Letters Australia
compname_58,4 DRAGONS GOLD PTY LTD
compname_59,42 Mining Pty Ltd
compname_60,471 JSC
compname_61,4D Delta
compname_62,4Front Ventures Corp
compname_63,4Sight Training Solutions Pty Ltd
compname_64,4front Holdings Inc
compname_65,4th AXIS Machining
compname_66,5 Sticks Consulting
compname_67,55 North Mining Inc
compname_68,5E Advanced Materials Inc
compname_69,5N Plus Inc
compname_70,600 Group PLC/The
compname_71,7 November Mine OJSC
compname_72,7 Star Aluminium
compname_73,7 Steel Building Solutions
compname_74,7 Steel Nordic Manufacturing AS
compname_75,715 JSC
compname_76,79North Ltd
compname_77,7C Holdings Pty Ltd
compname_78,7D Team
compname_79,7Steel Building Solutions Pty Ltd
compname_80,8 Au Limited
compname_81,8 Au Pty Ltd
compname_82,80 Mile PLC
compname_83,8853 SpA
compname_84,888 Crushing and Screening Equipment Pty Ltd
compname_85,888 Resources Ltd
compname_86,89s
compname_87,9 Box Mining Productivity
compname_88,92 Energy Limited
compname_89,92 Energy Ltd
compname_90,92 Energy Pty Ltd
compname_91,A & K Earth Movers Inc
compname_92,A & P Parkes Constructions Pty Ltd
compname_93,A A Electroplaters
compname_94,A A Industrial Cladding Pty Ltd
compname_95,A Appiani - Srl
compname_96,A B Mylec PTY LTD
compname_97,A C B ATLANTIC CONCEPT BOIS LIMITED
compname_98,A C Steel Construction All
compname_99,A Class Metals
compname_100,A Class Powdercoating
compname_101,A Coupland Surfacing Ltd
compname_102,A Cuong Mineral Group JSC
compname_103,A E Metal Merchants
compname_104,A G SHEETMETAL FABRICATORS PTY
compname_105,A G Universal Ltd
compname_106,A Grade Garage Doors Perth Shutters Gates
compname_107,A Hak Infranet BV
compname_108,A Hak Rijnmond BV
compname_109,A I Martin Associates
compname_110,A J Martini Inc
compname_111,A L Fabrications
compname_112,A L Metal Industries Pty ltd
compname_113,A L Quality Iron Work Pty Ltd
compname_114,A Levis Sons Water Well Drillers
compname_115,A Line Garage Doors
compname_116,A M Bolts Nuts
