depositID:ID,ENO:int,STATE:string,LOCATION:string,OPERATING_STATUS:string,GEOLOGIC_AGE:string,DEPOSIT_MODEL_ENVIRONMENT:string,DEPOSIT_MODEL_GROUP:string,DEPOSIT_MODEL_TYPE:string,PROVINCES:string,IGNEOUS:string,METALLOGENIC:string,SEDIMENTARY:string,TECTONIC:string,:LABEL
deposit_0001,333934,WA,"120.4823,-32.1997",historic mine,Archean,Magmatic,Komatiite,Komatiite nickel-copper-PGE,"Yilgarn Craton, Maggie Hays Nickel Metallogenic Province, Southern Cross Domain (Youanmi Terrane)",,Maggie Hays Nickel Metallogenic Province,,"West Australian Element,Yilgarn Craton",Deposit
deposit_0002,333935,WA,"116.937,-28.8276",historic mine,,,,,Yilgarn Craton,,,,"West Australian Element,Yilgarn Craton",Deposit
deposit_0003,333940,WA,"121.3858,-30.6971",mineral deposit,Archean,,,,Yilgarn Craton,,Kambalda Nickel Metallogenic Province,,"West Australian Element,Yilgarn Craton",Deposit
deposit_0004,333942,QLD,"145.3128,-17.5644",historic mine,,Magmatic hydrothermal,Skarn,Skarn tin ± copper ± Mo,"Mossman Orogen, Hodgkinson Province",,,,"Hodgkinson Province,Mossman Orogen,Tasman Element",Deposit
deposit_0005,333947,VIC,"144.5113,-36.673",historic mine,,,,,Lachlan Orogen,,,,"Bendigo Zone,Lachlan Orogen,Tasman Element",Deposit
deposit_0006,333948,WA,"121.4138,-30.8593",historic mine,Archean,,,,Yilgarn Craton,,Kambalda Nickel Metallogenic Province,Roe Paleovalley,"West Australian Element,Yilgarn Craton",Deposit
deposit_0007,333950,NSW,"150.01,-33.3569",historic mine,,,,,Sydney Basin,,,Sydney Basin,"Eastern Province,Lachlan Orogen,Tasman Element",Deposit
deposit_0008,333951,NT,"131.3209,-13.4659",mineral deposit,Paleoproterozoic,,,,Pine Creek Orogen,,,,"North Australian Element,Pine Creek Orogen",Deposit
deposit_0009,333953,QLD,"148.7596,-23.044",mineral deposit,,,,,Bowen Basin,,,Bowen Basin,"Anakie Province,Tasman Element,Thomson Orogen",Deposit
deposit_0010,333954,WA,"119.4177,-27.2506",historic mine,Archean,,,,Yilgarn Craton,,,Raeside Paleovalley,"West Australian Element,Yilgarn Craton",Deposit
deposit_0011,333961,QLD,"150.0181,-25.9853",mineral deposit,Mesozoic,,,,Surat Basin,,,"Bowen Basin,Surat Basin","Connors-Auburn Province,New England Orogen,Tasman Element",Deposit
deposit_0012,333962,WA,"118.3604,-25.3437",historic mine,Proterozoic,,,,Yilgarn Craton,Warakurna Large Igneous Province,,Bryah Basin,"West Australian Element,Yilgarn Craton",Deposit
deposit_0013,333963,WA,"121.5698,-31.5287",historic mine,Archean,,,,"Yilgarn Craton, Eastern Goldfields Province",,Kambalda Nickel Metallogenic Province,,"West Australian Element,Yilgarn Craton",Deposit
deposit_0014,333964,WA,"117.1261,-27.5321",mineral deposit,Archean,,,,"Yilgarn Craton, Murchison Province",Warakurna Large Igneous Province,,,"West Australian Element,Yilgarn Craton",Deposit
deposit_0015,333966,SA,"138.4513,-30.5789",care and maintenance,Proterozoic,Magmatic hydrothermal,Replacement,,Delamerian Orogen,,,,"Delamerian Orogen,South Australian Element",Deposit
deposit_0016,333967,WA,"121.0316,-29.7251",historic mine,,,,,Yilgarn Craton,,Kambalda Nickel Metallogenic Province,,"West Australian Element,Yilgarn Craton",Deposit
deposit_0017,333968,WA,"120.2106,-21.9164",historic mine,Archean,Metamorphic hydrothermal,Orogenic,Mesozonal orogenic gold,Pilbara Craton,Warakurna Large Igneous Province,,,"Pilbara Craton,West Australian Element",Deposit
deposit_0018,333969,WA,"122.2636,-19.1904",mineral deposit,,Basin hydrothermal,Mississippi Valley-type (MVT),MVT zinc-lead,"Canning Basin, Broome Platform",Kalkarindji Igneous Province,,Canning Basin,Central Australian Element,Deposit
deposit_0019,333970,WA,"121.131,-29.9549",operating mine,Archean,,,,"Yilgarn Craton, Kalgoorlie Gold Metallogenic Province, Norseman-Wiluna Belt",,Kambalda Nickel Metallogenic Province,,"West Australian Element,Yilgarn Craton",Deposit
deposit_0020,333972,SA,"139.95,-31.467",mineral deposit,Cenozoic,Infiltrational,Uranium,Sandstone uranium,"Lake Eyre Basin, Callabonna Sub-basin",,,"Arrowie Basin,Billeroo Paleovalley,Lake Eyre Basin","Curnamona Province,South Australian Element",Deposit
deposit_0021,333975,WA,"119.583,-23.3984",mineral deposit,Archean,,,,Hamersley Basin,Warakurna Large Igneous Province,,"Fortescue Basin,Hamersley Basin","Pilbara Craton,West Australian Element",Deposit
deposit_0022,333982,QLD,"144.3825,-17.0991",mineral deposit,,Magmatic hydrothermal,Skarn,Skarn zinc-lead-silver,Hodgkinson Province,,,,"Hodgkinson Province,Mossman Orogen,Tasman Element",Deposit
deposit_0023,333983,QLD,"146.112,-20.3798",mineral deposit,,Volcanic basin hydrothermal,Volcanogenic massive sulfide (VMS),Bimodal-mafic VMS,"Charters Towers Province, Lolworth-Ravenswood Block, Thalanga Base Metal Metallogenic Province, Seventy Mile Range Subprovince",,,,"Charters Towers Province,Tasman Element,Thomson Orogen",Deposit
