lgaID:ID,text:string
lga_1,Adelaide Hills
lga_2,Albany
lga_3,Alexandrina
lga_4,Alice Springs
lga_5,Alpine
lga_6,Anangu Pitjantjatjara Yankunytjatjara
lga_7,Ararat
lga_8,Armidale
lga_9,Ashburton
lga_10,Augusta Margaret River
lga_11,Aurukun
lga_12,Ballarat
lga_13,Ballina
lga_14,Balranald
lga_15,Banana
lga_16,Barcaldine
lga_17,Barkly
lga_18,Barossa
lga_19,Barunga West
lga_20,Bass Coast
lga_21,Bathurst
lga_22,Baw Baw
lga_23,Bega Valley
lga_24,Bellingen
lga_25,Blackall Tambo
lga_26,Bland
lga_27,Blayney
lga_28,Blue Mountains
lga_29,Boddington
lga_30,Bogan
lga_31,Boulia
lga_32,Bourke
lga_33,Boyup Brook
lga_34,Break O'Day
lga_35,Brewarrina
lga_36,Bridgetown-Greenbushes
lga_37,Brisbane
lga_38,Broken Hill
lga_39,Broome
lga_40,Broomehill-Tambellup
lga_41,Buloke
lga_42,Bunbury
lga_43,Bundaberg
lga_44,Burke
lga_45,Burnie
lga_46,Busselton
lga_47,Cabonne
lga_48,Campaspe
lga_49,Campbelltown (NSW)
lga_50,Capel
lga_51,Carnamah
lga_52,Carnarvon
lga_53,Carrathool
lga_54,Cassowary Coast
lga_55,Central Coast (NSW)
lga_56,Central Coast (Tas.)
lga_57,Central Darling
lga_58,Central Desert
lga_59,Central Goldfields
lga_60,Central Highlands (Qld)
lga_61,Central Highlands (Tas.)
lga_62,Cessnock
lga_63,Chapman Valley
lga_64,Charters Towers
lga_65,Chittering
lga_66,Christmas Island
lga_67,Circular Head
lga_68,Clarence
lga_69,Clarence Valley
lga_70,Cleve
lga_71,Cloncurry
lga_72,Cobar
lga_73,Coffs Harbour
lga_74,Collie
lga_75,Coober Pedy
lga_76,Cook
lga_77,Coolamon
lga_78,Coolgardie
lga_79,Coomalie
lga_80,Coorong
lga_81,Coorow
lga_82,Cootamundra-Gundagai
lga_83,Copper Coast
lga_84,Corrigin
lga_85,Cowra
lga_86,Croydon
lga_87,Cue
lga_88,Cunderdin
lga_89,Dandaragan
lga_90,Dardanup
lga_91,Derby-West Kimberley
lga_92,Derwent Valley
lga_93,Dorset
lga_94,Douglas
lga_95,Dubbo
lga_96,Dundas
lga_97,Dungog
lga_98,East Arnhem
lga_99,East Gippsland
lga_100,East Pilbara
lga_101,Elliston
lga_102,Esperance
lga_103,Etheridge
lga_104,Eurobodalla
lga_105,Exmouth
lga_106,Federation
lga_107,Flinders (Qld)
lga_108,Flinders Ranges
lga_109,Forbes
lga_110,Franklin Harbour
lga_111,Fraser Coast
lga_112,Gannawarra
lga_113,George Town
lga_114,Gingin
lga_115,Gladstone
lga_116,Glamorgan-Spring Bay
lga_117,Glen Innes Severn
lga_118,Glenelg
lga_119,Golden Plains
lga_120,Goondiwindi
lga_121,Goulburn Mulwaree
lga_122,Goyder
lga_123,Greater Bendigo
lga_124,Greater Geraldton
lga_125,Greater Hume
lga_126,Groote Archipelago
lga_127,Gunnedah
lga_128,Gwydir
lga_129,Gympie
lga_130,Halls Creek
lga_131,Harvey
lga_132,Hepburn
lga_133,Hilltops
lga_134,Hope Vale
lga_135,Horsham
lga_136,Huon Valley
lga_137,Indigo
lga_138,Inverell
lga_139,Ipswich
lga_140,Irwin
lga_141,Isaac
lga_142,Jerramungup
lga_143,Junee
lga_144,Kalgoorlie-Boulder
lga_145,Karoonda East Murray
lga_146,Karratha
lga_147,Katanning
lga_148,Katherine
lga_149,Kempsey
lga_150,Kentish
lga_151,Kimba
lga_152,King Island
lga_153,Kingston (SA)
lga_154,Kondinin
lga_155,Kulin
lga_156,Kwinana
lga_157,Lachlan
lga_158,Lake Grace
lga_159,Lake Macquarie
lga_160,Latrobe (Tas.)
lga_161,Latrobe (Vic.)
lga_162,Laverton
lga_163,Leonora
lga_164,Light
lga_165,Lithgow
lga_166,Liverpool Plains
