nameID:ID,nameText:string,:LABEL
name_0001,1080,Name
name_0002,1100 & 1900 Orebodies,Name
name_0003,1130,Name
name_0004,1132),Name
name_0005,13 Deposits including Belah Tank,Name
name_0006,1600N/Shocker,Name
name_0007,166N,Name
name_0008,17 Mile Hill,Name
name_0009,"2, 3",Name
name_0010,"2, 3, 4, 5, 6/7, 9",Name
name_0011,28 Pit,Name
name_0012,3210 - Day Dawn,Name
name_0013,384N,Name
name_0014,3KEL,Name
name_0015,50259,Name
name_0016,50260,Name
name_0017,50269,Name
name_0018,6,Name
name_0019,650,Name
name_0020,7 Mile,Name
name_0021,8 Mile,Name
name_0022,869,Name
name_0023,A lens,Name
name_0024,A-zone,Name
name_0025,A1 Gold Mine (Gaffneys Creek),Name
name_0026,A248,Name
name_0027,Abattoirs South,Name
name_0028,Abbotshall,Name
name_0029,Abednego,Name
name_0030,Abel,Name
name_0031,Abercorn (HPA),Name
name_0032,Aberfoyle,Name
name_0033,Abra,Name
name_0034,Abundance,Name
name_0035,Abydos (Atlas Iron),Name
name_0036,Acacia,Name
name_0037,Achilles North (Airport),Name
name_0038,Achillies,Name
name_0039,Acland,Name
name_0040,Aclare,Name
name_0041,Acra,Name
name_0042,Adamsfield,Name
name_0043,Adelaide Copper Mine,Name
name_0044,Admiral Bay,Name
name_0045,Admiral Group,Name
name_0046,Admiral Hill,Name
name_0047,Admiral Hill North - Armstrong,Name
name_0048,Admiralty Gulf,Name
name_0049,Adventure,Name
name_0050,Again,Name
name_0051,Agate Creek,Name
name_0052,Agate Creek Project,Name
name_0053,Agnes Waters,Name
name_0054,Agnew,Name
name_0055,Agnew Gold Project,Name
name_0056,Agricola,Name
name_0057,Agricola North,Name
name_0058,Agricola South,Name
name_0059,Airly,Name
name_0060,Airly Mountain,Name
name_0061,Airstrip,Name
name_0062,Ajax,Name
name_0063,Ajax Central,Name
name_0064,Ajax North,Name
name_0065,AK1,Name
name_0066,Aladdin,Name
name_0067,Alaric,Name
name_0068,Albatross-Flamingo,Name
name_0069,Alberton East,Name
name_0070,Alberts Dam,Name
name_0071,Aldiss Project,Name
name_0072,Alec Mairs,Name
name_0073,Alexander Bridge,Name
name_0074,Alexandria,Name
name_0075,Alford East,Name
name_0076,Alford East JV.EL6529 EL6255. The northern extension of the Alford Copper Belt.,Name
name_0077,Alford West,Name
name_0078,Alice,Name
name_0079,Alice Queen,Name
name_0080,Alice River,Name
name_0081,Alice Springs,Name
name_0082,Alicia,Name
name_0083,All Nations,Name
name_0084,Alliance,Name
name_0085,Alligator Anticline,Name
name_0086,Allisons,Name
name_0087,Allwell,Name
name_0088,Alma Extended Mines,Name
name_0089,Alma-Victoria,Name
name_0090,Alpha,Name
name_0091,Alpha (Hancock),Name
name_0092,Alpha Island,Name
name_0093,Alpha North (Waratah Coal),Name
name_0094,Alpha South,Name
name_0095,Alroy,Name
name_0096,also known as 26N,Name
name_0097,Also known as Siberia (WMC) ( Deposit no 2459),Name
name_0098,also referred to as Eldorado,Name
name_0099,Altair,Name
name_0100,Altia,Name
name_0101,Altona,Name
name_0102,Amanda,Name
name_0103,Ambassador,Name
name_0104,Ambergate,Name
name_0105,Amberley,Name
name_0106,Ambrosia,Name
name_0107,Amity,Name
name_0108,Ammaroo Phosphate,Name
name_0109,Ammaroo South,Name
name_0110,Amrun,Name
name_0111,Amy,Name
name_0112,Amy North,Name
name_0113,Amy South,Name
name_0114,Anabama,Name
name_0115,Anaconda,Name
name_0116,Anchor,Name
name_0117,and West,Name
name_0118,Andamooka,Name
name_0119,Anderson Creek Ni),Name
name_0120,Andersons Creek A,Name
name_0121,Andersons Creek B,Name
name_0122,Andersons Creek C,Name
name_0123,Andersons Lode,Name
name_0124,Andoom,Name
name_0125,Andover,Name
name_0126,Andrew,Name
name_0127,Andromache River,Name
name_0128,Anduramba,Name
name_0129,Andy Well,Name
name_0130,Andy Well Project,Name
name_0131,Angahook,Name
name_0132,Angas,Name
name_0133,Angas Sunter,Name
name_0134,Angel,Name
name_0135,Angela,Name
name_0136,Angela Golden Eagle,Name
name_0137,Anglesea,Name
name_0138,Anglo Saxon,Name
name_0139,Angularli,Name
name_0140,Angus Place,Name
name_0141,Anketell,Name
name_0142,Anna,Name
name_0143,Annan River,Name
name_0144,Annas Brew,Name
name_0145,Anne de Vidia,Name
name_0146,Anomaly 1,Name
name_0147,Anomaly 3,Name
name_0148,Anomaly 38,Name
name_0149,Anomaly 45,Name
name_0150,Anson,Name
name_0151,Answer,Name
name_0152,Ant Hill,Name
name_0153,Anthiby Well,Name
