projectID:ID,name:string,eno:int,location:point
project_1,Kalkaroo,260078,"point({longitude: 140.512, latitude: -31.752})"
project_2,Spinifex Ridge,260082,"point({longitude: 120.1118, latitude: -20.8875})"
project_3,Hera,260087,"point({longitude: 146.3258, latitude: -32.1111})"
project_4,Rentails,260093,"point({longitude: 145.434, latitude: -41.85})"
project_5,Stanwell - Coke,260103,"point({longitude: 150.267, latitude: -23.483})"
project_6,Ensham - Expansion,260105,"point({longitude: 148.4975, latitude: -23.4576})"
project_7,Mangoola,260113,"point({longitude: 150.67, latitude: -32.3})"
project_8,Moolarben,260117,"point({longitude: 149.785, latitude: -32.29})"
project_9,Eneabba,260121,"point({longitude: 115.2265, latitude: -29.9236})"
project_10,Jack Hills,260129,"point({longitude: 117.153, latitude: -26.13})"
project_11,Koolanooka - magnetite,260135,"point({longitude: 116.2, latitude: -29.18})"
project_12,Weld Range,260137,"point({longitude: 117.7014, latitude: -26.832})"
project_13,Karara - iron ore,260141,"point({longitude: 116.8005, latitude: -29.1602})"
project_14,Ridges,260143,"point({longitude: 128.2732, latitude: -16.6019})"
project_15,"Nelson Point - RGP1,2,3,4,5&6",260147,"point({longitude: 118.583, latitude: -20.321})"
project_16,Abbott Point - expansion,260149,"point({longitude: 148.08, latitude: -19.88})"
project_17,Newcastle - NCIG,260159,"point({longitude: 151.785, latitude: -32.92})"
project_18,Bethanga,333286,"point({longitude: 147.0913, latitude: -36.1154})"
project_19,Cadjebut,333287,"point({longitude: 125.968, latitude: -18.7108})"
project_20,Honeymoon,333288,"point({longitude: 140.6624, latitude: -31.741})"
project_21,Hamersley Iron - Marandoo,333289,"point({longitude: 118.1386, latitude: -22.6355})"
project_22,Elizabeth Creek,333290,"point({longitude: 137.172, latitude: -31.4499})"
project_23,New Occidental,333291,"point({longitude: 145.864, latitude: -31.5403})"
project_24,Palmer River,333292,"point({longitude: 143.4665, latitude: -15.8771})"
project_25,Pamela,333293,"point({longitude: 133.92, latitude: -23.8771})"
project_26,Randalls,333294,"point({longitude: 122.2123, latitude: -31.0452})"
project_27,Robe River,333295,"point({longitude: 116.5, latitude: -21.7144})"
project_28,Whim Creek,333296,"point({longitude: 117.8306, latitude: -20.8437})"
project_29,Sheridan,333297,"point({longitude: 134.1660109, latitude: -19.69710859})"
project_30,Mount Sholl,333298,"point({longitude: 116.8861, latitude: -20.9168})"
project_31,Halls Reward,333299,"point({longitude: 144.9855, latitude: -18.9166})"
project_32,O.K.,333300,"point({longitude: 144.2461, latitude: -16.6016})"
project_33,Liontown,333301,"point({longitude: 146.0678, latitude: -20.4095})"
project_34,Blinman,333302,"point({longitude: 138.6758, latitude: -31.0861})"
project_35,Canoona,333303,"point({longitude: 150.2585, latitude: -23.0409})"
project_36,Goodall,333304,"point({longitude: 131.3731, latitude: -13.2113})"
project_37,Hades Flat,333305,"point({longitude: 132.9188, latitude: -12.5908})"
project_38,Myuna,333306,"point({longitude: 151.5687, latitude: -33.0601})"
project_39,Oaklands,333307,"point({longitude: 146.2179, latitude: -35.4787})"
project_40,Jellinbah East,333308,"point({longitude: 148.9506, latitude: -23.4069})"
project_41,Kevins Corner,333309,"point({longitude: 146.4442, latitude: -23.0528})"
project_42,Paradise North,333310,"point({longitude: 139.086, latitude: -19.5971})"
project_43,Wonarah,333311,"point({longitude: 136.33, latitude: -19.8971})"
project_44,Copper Blonde,333312,"point({longitude: 140.068, latitude: -20.473})"
project_45,Even Steven,333313,"point({longitude: 140.0142, latitude: -20.9006})"
project_46,Springs,333314,"point({longitude: 140.0062, latitude: -20.8786})"
project_47,Western,333315,"point({longitude: 139.9062, latitude: -20.1746})"
project_48,Nolans,333318,"point({longitude: 146.883, latitude: -20.0969})"
project_49,Bulletin - Henry 5 - Woodley,333319,"point({longitude: 120.2467, latitude: -26.615})"
project_50,Wallaby,333320,"point({longitude: 122.3055, latitude: -28.8518})"
project_51,Hawkwood,333321,"point({longitude: 150.8528, latitude: -25.7881})"
project_52,Kennedy Gap,333322,"point({longitude: 120.3364, latitude: -20.5885})"
project_53,Iguana (South Ida Shear),333323,"point({longitude: 120.6619, latitude: -30.495})"
