projectNameID:ID,text:string
projectName_1,1080
projectName_2,1130
projectName_3,1600N/Shocker
projectName_4,166N
projectName_5,17 Mile Hill
projectName_6,28 Pit
projectName_7,3210 - Day Dawn
projectName_8,384N
projectName_9,3KEL
projectName_10,5B
projectName_11,7 Mile
projectName_12,8 Mile
projectName_13,A lens
projectName_14,A-zone
projectName_15,A1 Gold Mine (Gaffneys Creek)
projectName_16,A248
projectName_17,AK1
projectName_18,APM Mill
projectName_19,Abattoirs South
projectName_20,Abbotshall
projectName_21,Abbott Point - expansion
projectName_22,Abbotts
projectName_23,Abednego
projectName_24,Abel
projectName_25,Abercorn (HPA)
projectName_26,Abercromby
projectName_27,Aberfoyle
projectName_28,Abra
projectName_29,Abundance
projectName_30,Abydos
projectName_31,Abydos (Atlas Iron)
projectName_32,Acacia
projectName_33,Achilles North (Airport)
projectName_34,Achillies
projectName_35,Acland
projectName_36,Aclare
projectName_37,Acra
projectName_38,Adamsfield
projectName_39,Adelaide Copper Mine
projectName_40,Adelaide River
projectName_41,Adelong
projectName_42,Admiral Bay
projectName_43,Admiral Group
projectName_44,Admiral Hill
projectName_45,Admiral Hill North - Armstrong
projectName_46,Admiralty Gulf
projectName_47,Adventure
projectName_48,Again
projectName_49,Agate Creek
projectName_50,Agate Creek Project
projectName_51,Agnes Waters
projectName_52,Agnew
projectName_53,Agnew Gold Project
projectName_54,Agnew Project
projectName_55,Agricola
projectName_56,Agricola North
projectName_57,Agricola South
projectName_58,Airly
projectName_59,Airly Mountain
projectName_60,Airport - Woodie Woodie
projectName_61,Airstrip
projectName_62,Ajax
projectName_63,Ajax Central
projectName_64,Ajax North
projectName_65,Aladdin
projectName_66,Alaric
projectName_67,Albatross-Flamingo
projectName_68,Alberton East
projectName_69,Alberts Dam
projectName_70,Aldiss Project
projectName_71,Alec Mairs
projectName_72,Alexander Bridge
projectName_73,Alexandria
projectName_74,Alford East
projectName_75,Alford East JV.EL6529 EL6255. The northern extension of the Alford Copper Belt.
projectName_76,Alford West
projectName_77,Alice
projectName_78,Alice Queen
projectName_79,Alice River
projectName_80,Alice Springs
projectName_81,Alicia
projectName_82,Alisona
projectName_83,All Nations
projectName_84,Allaru
projectName_85,Alliance
projectName_86,Alligator Anticline
projectName_87,Alligator Jaws
projectName_88,Alligator N
projectName_89,Alligator S
projectName_90,Allisons
projectName_91,Allwell
projectName_92,Alma Extended Mines
projectName_93,Alma-Victoria
projectName_94,Alpha
projectName_95,Alpha (Hancock)
projectName_96,Alpha Island
projectName_97,Alpha North (Waratah Coal)
projectName_98,Alpha South
projectName_99,Alroy
projectName_100,Also known as Siberia (WMC) ( Deposit no 2459)
projectName_101,Altair
projectName_102,Altia
projectName_103,Altona
projectName_104,Amanda
projectName_105,Ambassador
projectName_106,Ambergate
projectName_107,Amberley
projectName_108,Ambrosia
projectName_109,Amelia
projectName_110,American Zinc Thompson Mine
projectName_111,Amity
projectName_112,Ammaroo Phosphate
projectName_113,Ammaroo South
projectName_114,Amrun
projectName_115,Amy
projectName_116,Amy North
projectName_117,Amy South
projectName_118,Anabama
projectName_119,Anaconda
projectName_120,Anchor
projectName_121,Andamooka
projectName_122,Andersons Creek A
projectName_123,Andersons Creek B
projectName_124,Andersons Creek C
projectName_125,Andersons Lode
projectName_126,Andoom
projectName_127,Andover
projectName_128,Andrew
projectName_129,Andromache River
projectName_130,Anduramba
projectName_131,Andy Well
projectName_132,Andy Well Project
projectName_133,Angahook
projectName_134,Angas
projectName_135,Angas Sunter
projectName_136,Angel
projectName_137,Angela
projectName_138,Angela Golden Eagle
projectName_139,Anglesea
projectName_140,Anglo Saxon
projectName_141,Anglo-American
projectName_142,Angouran
projectName_143,Angularli
projectName_144,Angus Place
projectName_145,Anketell
projectName_146,Anna
projectName_147,Anna Beaver
projectName_148,Annan River
projectName_149,Annas Brew
projectName_150,Anne de Vidia
projectName_151,Anomaly 1
projectName_152,Anomaly 11 - Woodie Woodie
projectName_153,Anomaly 3
projectName_154,Anomaly 38
projectName_155,Anomaly 45
projectName_156,Anson
projectName_157,Answer
projectName_158,Ant Hill
projectName_159,Anthiby Well
projectName_160,Anthill
projectName_161,Anthill - Zulikia
projectName_162,Anthill Project
projectName_163,Anthony
projectName_164,Anvil
projectName_165,Anvil Hill
projectName_166,Apache
projectName_167,Aphrodite
projectName_168,Apollo
projectName_169,Apollo - Glenburgh
projectName_170,Apollo - St Ives
projectName_171,Apollo - Whisper
projectName_172,Apollo Hil Project
projectName_173,Apollo Hill
projectName_174,Appin
projectName_175,Appin (Bulli seam)and Dendrobium (Wongawilli seam) mines
projectName_176,Apple Extended
projectName_177,Apple Pie
projectName_178,Apple Pie 2
projectName_179,Applecross
projectName_180,Aquila
projectName_181,Araluen - Majors Creek
projectName_182,Ararat
projectName_183,Arbouin
projectName_184,Arcadia
projectName_185,Arckaringa
projectName_186,Arcturus
projectName_187,Ardlethan
projectName_188,Ardmore
projectName_189,Area 1 - Woodie Woodie
projectName_190,Area 4
projectName_191,Area 55
projectName_192,Area C
projectName_193,Area D
projectName_194,Area E
projectName_195,Area F
projectName_196,Arganara
projectName_197,Argent Tunnel
projectName_198,Argo
projectName_199,Argonaut
projectName_200,Argos
projectName_201,Argyle
projectName_202,Argyle - underground
projectName_203,Argyle Alluvials
