:START_ID,:END_ID
comp_1,gat_3
comp_2,gat_3
comp_3,gat_3
comp_4,gat_3
comp_5,gat_3
comp_6,gat_3
comp_7,gat_2
comp_8,gat_2
comp_9,gat_3
comp_10,gat_3
comp_11,gat_1
comp_12,gat_3
comp_13,gat_2
comp_14,gat_3
comp_15,gat_1
comp_16,gat_3
comp_17,gat_3
comp_18,gat_3
comp_19,gat_3
comp_20,gat_3
comp_21,gat_3
comp_22,gat_3
comp_23,gat_1
comp_24,gat_3
comp_25,gat_3
comp_26,gat_1
comp_27,gat_3
comp_28,gat_3
comp_29,gat_2
comp_30,gat_2
comp_31,gat_3
comp_32,gat_3
comp_33,gat_3
comp_34,gat_3
comp_35,gat_3
comp_37,gat_1
comp_38,gat_3
comp_40,gat_3
comp_41,gat_1
comp_42,gat_3
comp_43,gat_3
comp_44,gat_1
comp_45,gat_1
comp_46,gat_1
comp_47,gat_2
comp_48,gat_3
comp_49,gat_3
comp_50,gat_3
comp_51,gat_3
comp_52,gat_1
comp_53,gat_3
comp_54,gat_2
comp_55,gat_1
comp_58,gat_3
comp_59,gat_1
comp_60,gat_1
comp_61,gat_2
comp_62,gat_2
comp_64,gat_2
comp_65,gat_2
comp_69,gat_1
comp_70,gat_3
comp_72,gat_2
comp_73,gat_2
comp_74,gat_2
comp_77,gat_2
comp_78,gat_1
comp_80,gat_3
comp_81,gat_1
comp_82,gat_3
comp_84,gat_2
comp_85,gat_3
comp_86,gat_3
comp_87,gat_1
comp_88,gat_1
comp_91,gat_1
comp_92,gat_2
comp_95,gat_2
comp_96,gat_1
comp_99,gat_3
comp_100,gat_2
comp_103,gat_3
comp_104,gat_1
comp_105,gat_2
comp_106,gat_1
comp_108,gat_1
comp_112,gat_2
comp_113,gat_3
comp_115,gat_2
comp_116,gat_2
comp_118,gat_3
comp_119,gat_2
comp_121,gat_2
comp_122,gat_3
comp_126,gat_2
comp_127,gat_2
comp_128,gat_3
comp_130,gat_3
comp_133,gat_3
comp_134,gat_3
comp_135,gat_1
comp_136,gat_3
comp_141,gat_1
comp_142,gat_2
comp_145,gat_2
comp_150,gat_1
comp_151,gat_2
comp_152,gat_2
comp_156,gat_2
comp_157,gat_2
comp_158,gat_1
comp_159,gat_3
comp_160,gat_1
comp_162,gat_2
comp_163,gat_2
comp_170,gat_2
comp_172,gat_2
comp_173,gat_2
comp_174,gat_2
comp_175,gat_3
comp_176,gat_2
comp_178,gat_1
comp_179,gat_2
comp_180,gat_2
comp_183,gat_3
comp_184,gat_2
comp_185,gat_1
comp_186,gat_2
comp_190,gat_2
comp_191,gat_3
comp_192,gat_1
comp_194,gat_2
comp_198,gat_2
comp_199,gat_2
comp_203,gat_2
comp_207,gat_2
comp_208,gat_2
comp_209,gat_2
comp_210,gat_3
comp_215,gat_2
comp_216,gat_3
comp_219,gat_2
comp_222,gat_2
comp_224,gat_2
comp_226,gat_1
comp_227,gat_1
comp_232,gat_2
comp_234,gat_2
comp_235,gat_2
comp_238,gat_2
comp_239,gat_2
comp_240,gat_2
comp_243,gat_2
comp_244,gat_2
comp_245,gat_3
comp_247,gat_2
comp_248,gat_1
comp_249,gat_3
comp_252,gat_2
comp_268,gat_2
comp_269,gat_2
comp_271,gat_2
comp_274,gat_2
comp_280,gat_2
comp_288,gat_1
comp_289,gat_2
comp_291,gat_2
comp_292,gat_2
comp_294,gat_2
comp_298,gat_2
comp_300,gat_3
comp_301,gat_2
comp_306,gat_2
comp_308,gat_2
comp_309,gat_2
comp_311,gat_3
comp_314,gat_1
comp_315,gat_2
comp_317,gat_2
comp_324,gat_2
comp_325,gat_2
comp_329,gat_1
comp_330,gat_1
comp_340,gat_2
comp_341,gat_2
comp_348,gat_1
comp_353,gat_3
comp_354,gat_2
comp_358,gat_2
comp_359,gat_2
comp_367,gat_2
comp_369,gat_2
comp_377,gat_2
comp_378,gat_3
comp_379,gat_2
comp_381,gat_3
comp_382,gat_2
comp_385,gat_2
comp_387,gat_1
comp_390,gat_2
comp_391,gat_2
comp_393,gat_2
comp_394,gat_2
comp_398,gat_2
comp_406,gat_2
comp_408,gat_2
comp_412,gat_2
comp_414,gat_2
comp_415,gat_2
comp_420,gat_2
comp_421,gat_2
comp_422,gat_2
comp_424,gat_3
comp_426,gat_2
comp_427,gat_1
comp_428,gat_2
comp_429,gat_2
comp_431,gat_2
comp_432,gat_2
comp_433,gat_2
comp_434,gat_2
comp_439,gat_2
comp_445,gat_2
comp_446,gat_2
comp_448,gat_2
comp_451,gat_2
comp_456,gat_2
comp_457,gat_2
comp_467,gat_2
comp_471,gat_3
comp_472,gat_2
comp_476,gat_2
comp_480,gat_1
comp_483,gat_1
comp_486,gat_2
comp_488,gat_2
comp_491,gat_2
comp_493,gat_2
comp_496,gat_1
comp_504,gat_2
comp_505,gat_2
comp_507,gat_2
comp_510,gat_2
comp_511,gat_2
comp_512,gat_1
comp_513,gat_2
comp_514,gat_2
comp_517,gat_2
comp_518,gat_2
comp_519,gat_2
comp_523,gat_2
comp_524,gat_2
comp_526,gat_2
comp_528,gat_2
comp_529,gat_2
comp_530,gat_1
comp_542,gat_2
comp_547,gat_2
comp_553,gat_3
comp_555,gat_2
comp_558,gat_2
comp_559,gat_2
comp_567,gat_2
comp_571,gat_2
comp_575,gat_2
comp_576,gat_2
comp_578,gat_2
comp_582,gat_2
comp_586,gat_2
comp_588,gat_1
comp_591,gat_2
comp_595,gat_1
comp_597,gat_2
comp_601,gat_2
comp_605,gat_2
comp_609,gat_2
comp_610,gat_2
comp_611,gat_2
comp_612,gat_2
comp_618,gat_2
comp_619,gat_2
comp_622,gat_1
comp_629,gat_2
comp_634,gat_2
comp_636,gat_2
comp_637,gat_2
comp_638,gat_2
comp_641,gat_2
comp_647,gat_2
comp_648,gat_2
comp_649,gat_2
comp_652,gat_2
comp_653,gat_2
comp_658,gat_2
comp_661,gat_1
comp_664,gat_2
comp_667,gat_2
comp_670,gat_2
comp_671,gat_2
comp_672,gat_2
comp_674,gat_2
comp_675,gat_2
comp_684,gat_2
comp_687,gat_2
comp_688,gat_2
comp_690,gat_2
comp_691,gat_2
comp_692,gat_2
comp_693,gat_2
comp_694,gat_2
comp_695,gat_2
comp_698,gat_2
comp_699,gat_2
comp_701,gat_2
comp_707,gat_2
comp_712,gat_2
comp_714,gat_2
comp_717,gat_2
comp_721,gat_2
comp_723,gat_2
comp_724,gat_2
comp_725,gat_2
comp_726,gat_2
comp_730,gat_1
comp_734,gat_2
comp_738,gat_1
comp_739,gat_2
comp_741,gat_2
comp_742,gat_2
comp_745,gat_2
comp_746,gat_2
comp_749,gat_2
comp_755,gat_2
comp_758,gat_2
comp_761,gat_2
comp_764,gat_3
comp_765,gat_3
comp_766,gat_3
comp_767,gat_3
comp_768,gat_1
comp_769,gat_1
comp_770,gat_1
comp_771,gat_1
comp_772,gat_1
comp_773,gat_1
comp_774,gat_1
comp_775,gat_1
comp_776,gat_2
comp_777,gat_2
comp_778,gat_3
comp_779,gat_1
