:START_ID,:END_ID
comp_1,gma_2
comp_2,gma_1
comp_3,gma_1
comp_4,gma_1
comp_5,gma_2
comp_6,gma_2
comp_7,gma_2
comp_8,gma_3
comp_9,gma_3
comp_10,gma_1
comp_11,gma_3
comp_12,gma_3
comp_13,gma_2
comp_14,gma_2
comp_15,gma_3
comp_16,gma_3
comp_17,gma_2
comp_18,gma_2
comp_19,gma_1
comp_20,gma_3
comp_21,gma_2
comp_22,gma_2
comp_23,gma_1
comp_24,gma_2
comp_25,gma_2
comp_26,gma_1
comp_27,gma_1
comp_28,gma_2
comp_29,gma_2
comp_30,gma_2
comp_31,gma_2
comp_32,gma_1
comp_33,gma_2
comp_34,gma_3
comp_35,gma_1
comp_36,gma_2
comp_37,gma_1
comp_38,gma_1
comp_39,gma_2
comp_40,gma_2
comp_41,gma_2
comp_42,gma_2
comp_43,gma_2
comp_44,gma_1
comp_45,gma_2
comp_46,gma_2
comp_47,gma_2
comp_48,gma_3
comp_49,gma_2
comp_50,gma_2
comp_51,gma_1
comp_52,gma_2
comp_53,gma_1
comp_54,gma_3
comp_55,gma_1
comp_56,gma_2
comp_57,gma_2
comp_58,gma_2
comp_59,gma_2
comp_60,gma_1
comp_61,gma_1
comp_62,gma_2
comp_63,gma_2
comp_64,gma_2
comp_65,gma_1
comp_66,gma_2
comp_67,gma_1
comp_68,gma_2
comp_69,gma_3
comp_70,gma_2
comp_71,gma_2
comp_72,gma_2
comp_73,gma_2
comp_74,gma_2
comp_75,gma_2
comp_76,gma_2
comp_77,gma_2
comp_78,gma_1
comp_79,gma_2
comp_80,gma_3
comp_81,gma_2
comp_82,gma_1
comp_83,gma_2
comp_84,gma_2
comp_85,gma_1
comp_86,gma_1
comp_87,gma_1
comp_88,gma_2
comp_89,gma_2
comp_90,gma_2
comp_91,gma_2
comp_92,gma_2
comp_93,gma_2
comp_94,gma_2
comp_95,gma_1
comp_96,gma_2
comp_97,gma_2
comp_98,gma_2
comp_99,gma_1
comp_100,gma_2
comp_101,gma_2
comp_102,gma_2
comp_103,gma_1
comp_104,gma_1
comp_105,gma_2
comp_106,gma_3
comp_107,gma_2
comp_108,gma_1
comp_109,gma_1
comp_110,gma_2
comp_111,gma_2
comp_112,gma_2
comp_113,gma_1
comp_114,gma_2
comp_115,gma_3
comp_116,gma_2
comp_117,gma_2
comp_118,gma_1
comp_119,gma_2
comp_120,gma_2
comp_121,gma_2
comp_122,gma_2
comp_123,gma_1
comp_124,gma_2
comp_125,gma_2
comp_126,gma_2
comp_127,gma_1
comp_128,gma_1
comp_129,gma_2
comp_130,gma_2
comp_131,gma_2
comp_132,gma_1
comp_133,gma_1
comp_134,gma_3
comp_135,gma_2
comp_136,gma_1
comp_137,gma_2
comp_138,gma_2
comp_139,gma_2
comp_140,gma_2
comp_141,gma_2
comp_142,gma_2
comp_143,gma_2
comp_144,gma_2
comp_145,gma_2
comp_146,gma_2
comp_147,gma_2
comp_149,gma_2
comp_150,gma_3
comp_151,gma_2
comp_152,gma_2
comp_153,gma_2
comp_154,gma_2
comp_156,gma_1
comp_157,gma_2
comp_158,gma_3
comp_159,gma_2
comp_160,gma_3
comp_161,gma_2
comp_162,gma_1
comp_163,gma_2
comp_164,gma_2
comp_165,gma_2
comp_166,gma_2
comp_167,gma_2
comp_168,gma_3
comp_169,gma_2
comp_170,gma_3
comp_171,gma_2
comp_172,gma_2
comp_173,gma_2
comp_174,gma_2
comp_175,gma_2
comp_176,gma_2
comp_177,gma_1
comp_178,gma_2
comp_179,gma_2
comp_180,gma_2
comp_181,gma_2
comp_182,gma_2
comp_183,gma_1
comp_184,gma_1
comp_185,gma_3
comp_186,gma_2
comp_187,gma_1
comp_188,gma_2
comp_189,gma_2
comp_190,gma_2
comp_191,gma_1
comp_192,gma_2
comp_193,gma_2
comp_194,gma_2
comp_195,gma_1
comp_196,gma_2
comp_197,gma_1
comp_198,gma_3
comp_199,gma_2
comp_200,gma_2
comp_201,gma_2
comp_202,gma_2
comp_203,gma_2
comp_204,gma_1
comp_205,gma_2
comp_206,gma_2
comp_207,gma_2
comp_208,gma_2
comp_209,gma_3
comp_210,gma_1
comp_211,gma_2
comp_212,gma_2
comp_213,gma_2
comp_214,gma_2
comp_215,gma_1
comp_216,gma_3
comp_217,gma_2
comp_218,gma_1
comp_219,gma_3
comp_220,gma_2
comp_221,gma_2
comp_222,gma_2
comp_223,gma_2
comp_224,gma_2
comp_226,gma_1
comp_227,gma_1
comp_228,gma_2
comp_229,gma_2
comp_230,gma_1
comp_231,gma_2
comp_232,gma_2
comp_233,gma_3
comp_234,gma_1
comp_235,gma_2
comp_236,gma_2
comp_237,gma_2
comp_238,gma_2
comp_239,gma_2
comp_240,gma_2
comp_241,gma_2
comp_242,gma_3
comp_243,gma_2
comp_244,gma_2
comp_245,gma_1
comp_246,gma_2
comp_247,gma_3
comp_248,gma_2
comp_249,gma_3
comp_250,gma_2
comp_251,gma_2
comp_252,gma_2
comp_253,gma_3
comp_254,gma_2
comp_255,gma_2
comp_256,gma_2
comp_257,gma_2
comp_258,gma_2
comp_259,gma_2
comp_260,gma_3
comp_261,gma_2
comp_262,gma_2
comp_263,gma_2
comp_264,gma_2
comp_265,gma_1
comp_267,gma_2
comp_268,gma_1
comp_269,gma_2
comp_270,gma_2
comp_271,gma_1
comp_272,gma_2
comp_273,gma_2
comp_274,gma_2
comp_275,gma_2
comp_276,gma_2
comp_277,gma_3
comp_278,gma_3
comp_279,gma_3
comp_280,gma_2
comp_281,gma_1
comp_282,gma_2
comp_283,gma_2
comp_284,gma_2
comp_285,gma_1
comp_286,gma_2
comp_287,gma_2
comp_288,gma_3
comp_289,gma_2
comp_290,gma_2
comp_291,gma_2
comp_292,gma_2
comp_293,gma_3
comp_294,gma_1
comp_295,gma_3
comp_296,gma_2
comp_297,gma_1
comp_298,gma_2
comp_299,gma_2
comp_300,gma_3
comp_301,gma_2
comp_302,gma_2
comp_303,gma_2
comp_304,gma_2
comp_305,gma_2
comp_306,gma_3
comp_307,gma_2
comp_308,gma_2
comp_309,gma_1
comp_310,gma_3
comp_311,gma_2
comp_312,gma_2
comp_313,gma_1
comp_314,gma_3
comp_315,gma_2
comp_316,gma_1
comp_317,gma_2
comp_318,gma_2
comp_319,gma_1
comp_320,gma_1
comp_321,gma_1
comp_322,gma_1
comp_323,gma_2
comp_324,gma_3
comp_325,gma_2
comp_326,gma_2
comp_328,gma_2
comp_329,gma_2
comp_330,gma_3
comp_332,gma_2
comp_333,gma_2
comp_334,gma_2
comp_335,gma_2
comp_336,gma_3
comp_337,gma_1
comp_338,gma_1
comp_339,gma_1
comp_340,gma_2
comp_341,gma_3
comp_342,gma_2
comp_344,gma_2
comp_345,gma_2
comp_346,gma_2
comp_347,gma_3
comp_348,gma_3
comp_349,gma_2
comp_350,gma_1
comp_351,gma_2
comp_353,gma_1
comp_354,gma_3
comp_355,gma_3
comp_356,gma_1
comp_357,gma_2
comp_358,gma_3
comp_359,gma_1
comp_360,gma_1
comp_361,gma_3
comp_362,gma_3
comp_363,gma_2
comp_364,gma_1
comp_365,gma_2
comp_366,gma_3
comp_367,gma_1
comp_368,gma_1
comp_369,gma_2
comp_370,gma_2
comp_371,gma_1
comp_372,gma_3
comp_373,gma_2
comp_374,gma_2
comp_375,gma_2
comp_376,gma_2
comp_377,gma_1
comp_378,gma_3
comp_379,gma_2
comp_380,gma_1
comp_381,gma_1
comp_382,gma_2
comp_383,gma_2
comp_384,gma_2
comp_385,gma_3
comp_386,gma_1
comp_387,gma_3
comp_388,gma_1
comp_389,gma_2
comp_390,gma_2
comp_391,gma_2
comp_392,gma_2
comp_393,gma_1
comp_394,gma_3
comp_395,gma_1
comp_396,gma_2
comp_397,gma_2
comp_398,gma_2
comp_399,gma_2
comp_400,gma_1
comp_401,gma_3
comp_402,gma_2
comp_403,gma_2
comp_404,gma_2
comp_405,gma_2
comp_406,gma_2
comp_407,gma_2
comp_408,gma_3
comp_409,gma_2
comp_410,gma_2
comp_411,gma_3
comp_412,gma_1
comp_413,gma_1
comp_414,gma_2
comp_415,gma_2
comp_416,gma_2
comp_417,gma_1
comp_418,gma_2
comp_419,gma_1
comp_420,gma_2
comp_421,gma_3
comp_422,gma_1
comp_423,gma_3
comp_424,gma_1
comp_425,gma_2
comp_426,gma_2
comp_427,gma_1
comp_428,gma_2
comp_429,gma_1
comp_430,gma_1
comp_431,gma_3
comp_432,gma_2
comp_433,gma_3
comp_434,gma_2
comp_435,gma_2
comp_436,gma_1
comp_437,gma_2
comp_438,gma_3
comp_439,gma_3
comp_440,gma_2
comp_441,gma_2
comp_442,gma_2
comp_443,gma_1
comp_444,gma_2
comp_445,gma_1
comp_446,gma_3
comp_447,gma_2
comp_448,gma_2
comp_449,gma_2
comp_450,gma_2
comp_451,gma_1
comp_452,gma_2
comp_453,gma_3
comp_454,gma_2
comp_455,gma_2
comp_456,gma_1
comp_457,gma_1
comp_458,gma_1
comp_459,gma_3
comp_460,gma_2
comp_461,gma_1
comp_462,gma_2
comp_463,gma_1
comp_464,gma_2
comp_465,gma_2
comp_466,gma_2
comp_467,gma_2
comp_469,gma_1
comp_470,gma_2
comp_471,gma_2
comp_472,gma_1
comp_473,gma_2
comp_474,gma_1
comp_475,gma_2
comp_476,gma_1
comp_477,gma_1
comp_478,gma_3
comp_479,gma_3
comp_480,gma_3
comp_481,gma_3
comp_482,gma_2
comp_483,gma_2
comp_484,gma_1
comp_485,gma_1
comp_486,gma_1
comp_487,gma_3
comp_488,gma_2
comp_489,gma_1
comp_490,gma_2
comp_491,gma_3
comp_492,gma_1
comp_493,gma_1
comp_494,gma_2
comp_495,gma_1
comp_496,gma_3
comp_497,gma_1
comp_498,gma_3
comp_499,gma_2
comp_500,gma_2
comp_501,gma_3
comp_502,gma_2
comp_503,gma_1
comp_504,gma_2
comp_505,gma_1
comp_506,gma_2
comp_507,gma_2
comp_508,gma_3
comp_509,gma_1
comp_510,gma_2
comp_511,gma_1
comp_512,gma_3
comp_513,gma_1
comp_514,gma_2
comp_515,gma_2
comp_516,gma_1
comp_517,gma_1
comp_518,gma_3
comp_519,gma_1
comp_520,gma_2
comp_521,gma_2
comp_522,gma_2
comp_523,gma_3
comp_524,gma_1
comp_525,gma_2
comp_526,gma_1
comp_527,gma_3
comp_528,gma_3
comp_529,gma_2
comp_530,gma_1
comp_531,gma_2
comp_532,gma_3
comp_533,gma_1
comp_534,gma_1
comp_535,gma_1
comp_536,gma_3
comp_537,gma_2
comp_538,gma_1
comp_539,gma_1
comp_540,gma_2
comp_541,gma_3
comp_542,gma_3
comp_543,gma_3
comp_544,gma_2
comp_545,gma_2
comp_546,gma_2
comp_547,gma_3
comp_548,gma_1
comp_549,gma_2
comp_550,gma_3
comp_551,gma_1
comp_552,gma_2
comp_553,gma_2
comp_554,gma_2
comp_555,gma_3
comp_556,gma_1
comp_557,gma_2
comp_558,gma_1
comp_559,gma_2
comp_560,gma_2
comp_561,gma_2
