:START_ID,:END_ID
comp_1,tas_1
comp_2,tas_1
comp_3,tas_1
comp_4,tas_2
comp_5,tas_2
comp_6,tas_5
comp_7,tas_5
comp_8,tas_2
comp_9,tas_2
comp_10,tas_5
comp_11,tas_2
comp_12,tas_2
comp_13,tas_5
comp_14,tas_5
comp_15,tas_2
comp_16,tas_2
comp_17,tas_5
comp_18,tas_5
comp_19,tas_5
comp_20,tas_2
comp_21,tas_5
comp_22,tas_5
comp_23,tas_5
comp_24,tas_5
comp_25,tas_5
comp_26,tas_5
comp_27,tas_5
comp_28,tas_5
comp_29,tas_5
comp_30,tas_5
comp_31,tas_5
comp_32,tas_5
comp_33,tas_3
comp_34,tas_5
comp_35,tas_5
comp_36,tas_5
comp_37,tas_5
comp_38,tas_5
comp_39,tas_4
comp_40,tas_3
comp_41,tas_5
comp_42,tas_3
comp_43,tas_3
comp_44,tas_5
comp_45,tas_3
comp_46,tas_5
comp_47,tas_3
comp_48,tas_5
comp_49,tas_3
comp_50,tas_3
comp_51,tas_5
comp_52,tas_3
comp_53,tas_5
comp_54,tas_5
comp_55,tas_5
comp_56,tas_3
comp_57,tas_4
comp_58,tas_3
comp_59,tas_3
comp_60,tas_3
comp_61,tas_5
comp_62,tas_3
comp_63,tas_3
comp_64,tas_3
comp_65,tas_5
comp_66,tas_3
comp_67,tas_3
comp_68,tas_3
comp_69,tas_5
comp_70,tas_3
comp_71,tas_4
comp_72,tas_3
comp_73,tas_3
comp_74,tas_3
comp_75,tas_3
comp_76,tas_4
comp_77,tas_4
comp_78,tas_3
comp_79,tas_4
comp_80,tas_5
comp_81,tas_3
comp_82,tas_3
comp_83,tas_4
comp_84,tas_3
comp_85,tas_3
comp_86,tas_3
comp_87,tas_3
comp_88,tas_3
comp_89,tas_4
comp_90,tas_3
comp_91,tas_3
comp_92,tas_4
comp_93,tas_4
comp_94,tas_4
comp_95,tas_3
comp_96,tas_3
comp_97,tas_4
comp_98,tas_4
comp_99,tas_3
comp_100,tas_4
comp_101,tas_3
comp_102,tas_4
comp_103,tas_3
comp_104,tas_3
comp_105,tas_4
comp_106,tas_3
comp_107,tas_4
comp_108,tas_3
comp_109,tas_3
comp_110,tas_4
comp_111,tas_4
comp_112,tas_4
comp_113,tas_3
comp_114,tas_4
comp_115,tas_5
comp_116,tas_3
comp_117,tas_4
comp_118,tas_3
comp_119,tas_4
comp_120,tas_4
comp_121,tas_4
comp_122,tas_3
comp_123,tas_3
comp_124,tas_4
comp_125,tas_4
comp_126,tas_4
comp_127,tas_3
comp_128,tas_3
comp_129,tas_4
comp_130,tas_3
comp_131,tas_4
comp_132,tas_3
comp_133,tas_3
comp_134,tas_5
comp_135,tas_3
comp_136,tas_3
comp_137,tas_4
comp_138,tas_4
comp_139,tas_4
comp_140,tas_4
comp_141,tas_3
comp_142,tas_4
comp_143,tas_4
comp_144,tas_4
comp_145,tas_4
comp_146,tas_4
comp_147,tas_4
comp_149,tas_4
comp_150,tas_3
comp_151,tas_4
comp_152,tas_4
comp_153,tas_4
comp_154,tas_4
comp_156,tas_3
comp_157,tas_4
comp_158,tas_3
comp_159,tas_4
comp_160,tas_3
comp_161,tas_4
comp_162,tas_3
comp_163,tas_4
comp_164,tas_4
comp_165,tas_4
comp_166,tas_4
comp_167,tas_4
comp_168,tas_3
comp_169,tas_4
comp_170,tas_3
comp_171,tas_4
comp_172,tas_4
comp_173,tas_4
comp_174,tas_4
comp_175,tas_4
comp_176,tas_4
comp_177,tas_3
comp_178,tas_4
comp_179,tas_4
comp_180,tas_4
comp_181,tas_4
comp_182,tas_4
comp_183,tas_3
comp_184,tas_3
comp_185,tas_3
comp_186,tas_4
comp_187,tas_4
comp_188,tas_4
comp_189,tas_4
comp_190,tas_4
comp_191,tas_3
comp_192,tas_4
comp_193,tas_4
comp_194,tas_4
comp_195,tas_3
comp_196,tas_4
comp_197,tas_3
comp_198,tas_3
comp_199,tas_4
comp_200,tas_4
comp_201,tas_4
comp_202,tas_4
comp_203,tas_4
comp_204,tas_4
comp_205,tas_4
comp_206,tas_4
comp_207,tas_4
comp_208,tas_4
comp_209,tas_3
comp_210,tas_3
comp_211,tas_4
comp_212,tas_4
comp_213,tas_4
comp_214,tas_4
comp_215,tas_4
comp_216,tas_3
comp_217,tas_4
comp_218,tas_3
comp_219,tas_3
comp_220,tas_4
comp_221,tas_4
comp_222,tas_4
comp_223,tas_4
comp_224,tas_4
comp_226,tas_4
comp_227,tas_3
comp_228,tas_4
comp_229,tas_4
comp_230,tas_4
comp_231,tas_4
comp_232,tas_4
comp_233,tas_3
comp_234,tas_3
comp_235,tas_4
comp_236,tas_4
comp_237,tas_4
comp_238,tas_4
comp_239,tas_4
comp_240,tas_4
comp_241,tas_4
comp_242,tas_3
comp_243,tas_4
comp_244,tas_4
comp_245,tas_4
comp_246,tas_4
comp_247,tas_3
comp_248,tas_4
comp_249,tas_3
comp_250,tas_4
comp_251,tas_4
comp_252,tas_4
comp_253,tas_3
comp_254,tas_4
comp_255,tas_4
comp_256,tas_4
comp_257,tas_4
comp_258,tas_4
comp_259,tas_4
comp_260,tas_3
comp_261,tas_4
comp_262,tas_4
comp_263,tas_4
comp_264,tas_4
comp_265,tas_4
comp_267,tas_4
comp_268,tas_4
comp_269,tas_4
comp_270,tas_4
comp_271,tas_4
comp_272,tas_4
comp_273,tas_4
comp_274,tas_4
comp_275,tas_4
comp_276,tas_4
comp_277,tas_3
comp_278,tas_4
comp_279,tas_3
comp_280,tas_4
comp_281,tas_4
comp_282,tas_4
comp_283,tas_4
comp_284,tas_4
comp_285,tas_4
comp_286,tas_4
comp_287,tas_4
comp_288,tas_3
comp_289,tas_4
comp_290,tas_4
comp_291,tas_4
comp_292,tas_4
comp_293,tas_3
comp_294,tas_4
comp_295,tas_3
comp_296,tas_4
comp_297,tas_4
comp_298,tas_4
comp_299,tas_4
comp_300,tas_3
comp_301,tas_4
comp_302,tas_4
comp_303,tas_4
comp_304,tas_4
comp_305,tas_4
comp_306,tas_4
comp_307,tas_4
comp_308,tas_4
comp_309,tas_4
comp_310,tas_3
comp_311,tas_4
comp_312,tas_4
comp_313,tas_4
comp_314,tas_3
comp_315,tas_4
comp_316,tas_4
comp_317,tas_4
comp_318,tas_4
comp_319,tas_4
comp_320,tas_4
comp_321,tas_4
comp_322,tas_4
comp_323,tas_4
comp_324,tas_3
comp_325,tas_4
comp_326,tas_4
comp_328,tas_4
comp_329,tas_4
comp_330,tas_4
comp_332,tas_4
comp_333,tas_4
comp_334,tas_4
comp_335,tas_4
comp_336,tas_4
comp_337,tas_4
comp_338,tas_4
comp_339,tas_4
comp_340,tas_4
comp_341,tas_4
comp_342,tas_4
comp_344,tas_4
comp_345,tas_4
comp_346,tas_4
comp_347,tas_4
comp_348,tas_4
comp_349,tas_4
comp_350,tas_4
comp_351,tas_4
comp_353,tas_4
comp_354,tas_4
comp_355,tas_4
comp_356,tas_4
comp_357,tas_4
comp_358,tas_3
comp_359,tas_4
comp_360,tas_4
comp_361,tas_3
comp_362,tas_4
comp_363,tas_4
comp_364,tas_4
comp_365,tas_4
comp_366,tas_4
comp_367,tas_4
comp_368,tas_4
comp_369,tas_4
comp_370,tas_4
comp_371,tas_4
comp_372,tas_4
comp_373,tas_4
comp_374,tas_4
comp_375,tas_4
comp_376,tas_4
comp_377,tas_4
comp_378,tas_3
comp_379,tas_4
comp_380,tas_4
comp_381,tas_4
comp_382,tas_4
comp_383,tas_4
comp_384,tas_4
comp_385,tas_4
comp_386,tas_4
comp_387,tas_3
comp_388,tas_4
comp_389,tas_4
comp_390,tas_4
comp_391,tas_4
comp_392,tas_4
comp_393,tas_4
comp_394,tas_4
comp_395,tas_4
comp_396,tas_4
comp_397,tas_4
comp_398,tas_4
comp_399,tas_4
comp_400,tas_4
comp_401,tas_3
comp_402,tas_4
comp_403,tas_4
comp_404,tas_4
comp_405,tas_4
comp_406,tas_4
comp_407,tas_4
comp_408,tas_4
comp_409,tas_4
comp_410,tas_4
comp_411,tas_4
comp_412,tas_4
comp_413,tas_4
comp_414,tas_4
comp_415,tas_4
comp_416,tas_4
comp_417,tas_4
comp_418,tas_4
comp_419,tas_4
comp_420,tas_4
comp_421,tas_4
comp_422,tas_4
comp_423,tas_4
comp_424,tas_4
comp_425,tas_4
comp_426,tas_4
comp_427,tas_4
comp_428,tas_4
comp_429,tas_4
comp_430,tas_4
comp_431,tas_3
comp_432,tas_4
comp_433,tas_4
comp_434,tas_4
comp_435,tas_4
comp_436,tas_4
comp_437,tas_4
comp_438,tas_4
comp_439,tas_4
comp_440,tas_4
comp_441,tas_4
comp_442,tas_4
comp_443,tas_4
comp_444,tas_4
comp_445,tas_4
comp_446,tas_4
comp_447,tas_4
comp_448,tas_4
comp_449,tas_4
comp_450,tas_4
comp_451,tas_4
comp_452,tas_4
comp_453,tas_4
comp_454,tas_4
comp_455,tas_4
comp_456,tas_4
comp_457,tas_4
comp_458,tas_4
comp_459,tas_4
comp_460,tas_4
comp_461,tas_4
comp_462,tas_4
comp_463,tas_4
comp_464,tas_4
comp_465,tas_4
comp_466,tas_4
comp_467,tas_4
comp_469,tas_4
comp_470,tas_4
comp_471,tas_4
comp_472,tas_4
comp_473,tas_4
comp_474,tas_4
comp_475,tas_4
comp_476,tas_4
comp_477,tas_4
comp_478,tas_3
comp_479,tas_4
comp_480,tas_3
comp_481,tas_4
comp_482,tas_4
comp_483,tas_4
comp_484,tas_4
comp_485,tas_4
comp_486,tas_4
comp_487,tas_4
comp_488,tas_4
comp_489,tas_4
comp_490,tas_4
comp_491,tas_4
comp_492,tas_4
comp_493,tas_4
comp_494,tas_4
comp_495,tas_4
comp_496,tas_4
comp_497,tas_4
comp_498,tas_4
comp_499,tas_4
comp_500,tas_4
comp_501,tas_4
comp_502,tas_4
comp_503,tas_4
comp_504,tas_4
comp_505,tas_4
comp_506,tas_4
comp_507,tas_4
comp_508,tas_4
comp_509,tas_4
comp_510,tas_4
comp_511,tas_4
comp_512,tas_4
comp_513,tas_4
comp_514,tas_4
comp_515,tas_4
comp_516,tas_4
comp_517,tas_4
comp_518,tas_4
comp_519,tas_4
comp_520,tas_4
comp_521,tas_4
comp_522,tas_4
comp_523,tas_4
comp_524,tas_4
comp_525,tas_4
comp_526,tas_4
comp_527,tas_4
comp_528,tas_4
comp_529,tas_4
comp_530,tas_4
comp_531,tas_4
comp_532,tas_4
comp_533,tas_4
comp_534,tas_4
comp_535,tas_4
comp_536,tas_4
comp_537,tas_4
comp_538,tas_4
comp_539,tas_4
comp_540,tas_4
comp_541,tas_4
comp_542,tas_4
comp_543,tas_4
comp_544,tas_4
comp_545,tas_4
comp_546,tas_4
comp_547,tas_4
comp_548,tas_4
comp_549,tas_4
comp_550,tas_4
comp_551,tas_4
comp_552,tas_4
comp_553,tas_4
comp_554,tas_4
comp_555,tas_4
comp_556,tas_4
comp_557,tas_4
comp_558,tas_4
comp_559,tas_4
comp_560,tas_4
comp_561,tas_4
comp_562,tas_4
comp_563,tas_4
comp_564,tas_4
comp_565,tas_4
comp_566,tas_4
comp_567,tas_4
comp_568,tas_4
comp_569,tas_4
comp_570,tas_4
comp_571,tas_4
comp_572,tas_4
comp_573,tas_4
comp_574,tas_4
comp_575,tas_4
comp_576,tas_4
comp_577,tas_4
comp_578,tas_4
comp_579,tas_4
comp_580,tas_4
comp_581,tas_4
comp_582,tas_4
comp_583,tas_4
comp_584,tas_4
comp_585,tas_4
comp_586,tas_4
comp_587,tas_4
comp_588,tas_4
comp_589,tas_4
comp_590,tas_4
comp_591,tas_4
comp_592,tas_4
comp_593,tas_4
comp_594,tas_4
comp_595,tas_4
comp_596,tas_4
comp_597,tas_4
comp_598,tas_4
comp_599,tas_4
comp_600,tas_4
comp_601,tas_4
comp_602,tas_4
comp_603,tas_4
comp_604,tas_4
comp_605,tas_4
comp_606,tas_4
comp_607,tas_4
comp_608,tas_4
comp_609,tas_4
comp_610,tas_4
comp_611,tas_4
comp_612,tas_4
comp_613,tas_4
comp_614,tas_4
comp_615,tas_4
comp_616,tas_4
comp_617,tas_4
comp_618,tas_4
comp_619,tas_4
comp_620,tas_4
comp_621,tas_4
comp_622,tas_4
comp_623,tas_4
comp_624,tas_4
comp_625,tas_4
comp_626,tas_4
comp_627,tas_4
comp_628,tas_4
comp_629,tas_4
comp_630,tas_4
comp_631,tas_4
comp_632,tas_4
comp_633,tas_4
comp_634,tas_4
comp_635,tas_4
comp_636,tas_4
comp_637,tas_4
comp_638,tas_4
comp_639,tas_4
comp_640,tas_4
comp_641,tas_4
comp_642,tas_4
comp_643,tas_4
comp_644,tas_4
comp_645,tas_4
comp_646,tas_4
comp_647,tas_4
comp_648,tas_4
comp_649,tas_4
comp_650,tas_4
comp_651,tas_4
comp_652,tas_4
comp_653,tas_4
comp_654,tas_4
comp_655,tas_4
comp_656,tas_4
comp_657,tas_4
comp_658,tas_4
comp_659,tas_4
comp_660,tas_4
comp_661,tas_4
comp_662,tas_4
comp_663,tas_4
comp_664,tas_4
comp_665,tas_4
comp_666,tas_4
comp_667,tas_4
comp_668,tas_4
comp_669,tas_4
comp_670,tas_4
comp_671,tas_4
comp_672,tas_4
comp_673,tas_4
comp_674,tas_4
comp_675,tas_4
comp_676,tas_4
comp_677,tas_4
comp_678,tas_4
comp_679,tas_4
comp_680,tas_4
comp_681,tas_4
comp_682,tas_4
comp_683,tas_4
comp_684,tas_4
comp_685,tas_4
comp_686,tas_4
comp_687,tas_4
comp_688,tas_4
comp_689,tas_4
comp_690,tas_4
comp_691,tas_4
comp_692,tas_4
comp_693,tas_4
comp_694,tas_4
comp_695,tas_4
comp_696,tas_3
comp_697,tas_4
comp_698,tas_4
comp_699,tas_4
comp_700,tas_4
comp_701,tas_4
comp_702,tas_4
comp_703,tas_4
comp_704,tas_4
comp_705,tas_4
comp_706,tas_4
comp_707,tas_4
comp_708,tas_4
comp_709,tas_4
comp_710,tas_4
comp_711,tas_4
comp_712,tas_4
comp_713,tas_4
comp_714,tas_4
comp_715,tas_4
comp_717,tas_4
comp_718,tas_4
comp_719,tas_4
comp_720,tas_4
comp_721,tas_4
comp_722,tas_4
comp_723,tas_4
comp_724,tas_4
comp_725,tas_4
comp_726,tas_4
comp_727,tas_4
comp_728,tas_4
comp_729,tas_4
comp_730,tas_4
comp_731,tas_4
comp_732,tas_4
comp_733,tas_4
comp_734,tas_4
comp_735,tas_4
comp_736,tas_4
comp_737,tas_4
comp_738,tas_4
comp_739,tas_4
comp_740,tas_4
comp_741,tas_4
comp_742,tas_4
comp_743,tas_4
comp_744,tas_4
comp_745,tas_4
comp_746,tas_4
comp_747,tas_4
comp_748,tas_4
comp_749,tas_4
comp_750,tas_4
comp_751,tas_4
comp_752,tas_4
comp_753,tas_4
comp_754,tas_4
comp_755,tas_4
comp_756,tas_4
comp_757,tas_4
comp_758,tas_4
comp_759,tas_4
comp_760,tas_4
comp_761,tas_4
comp_762,tas_4
comp_763,tas_4
comp_764,tas_1
comp_765,tas_1
comp_766,tas_2
comp_767,tas_1
comp_768,tas_2
comp_769,tas_5
comp_770,tas_1
comp_771,tas_2
comp_772,tas_2
comp_773,tas_2
comp_774,tas_2
comp_775,tas_2
comp_776,tas_5
comp_777,tas_5
comp_778,tas_5
comp_779,tas_5
comp_780,tas_5
comp_781,tas_5
comp_782,tas_5
comp_783,tas_5
comp_784,tas_2
comp_785,tas_2
comp_786,tas_5
comp_787,tas_5
comp_788,tas_5
comp_789,tas_2
comp_790,tas_5
comp_791,tas_2
comp_792,tas_2
comp_793,tas_5
comp_794,tas_2
comp_795,tas_5
comp_796,tas_5
comp_797,tas_5
comp_798,tas_5
comp_799,tas_5
comp_800,tas_3
comp_801,tas_5
comp_802,tas_5
comp_803,tas_5
comp_804,tas_5
comp_805,tas_5
comp_806,tas_5
comp_807,tas_5
comp_808,tas_5
comp_809,tas_5
comp_810,tas_3
comp_811,tas_5
comp_812,tas_5
comp_813,tas_5
comp_814,tas_3
comp_815,tas_5
comp_816,tas_5
comp_817,tas_5
comp_818,tas_4
comp_819,tas_3
comp_820,tas_5
comp_821,tas_5
comp_822,tas_3
comp_823,tas_5
comp_824,tas_5
comp_825,tas_5
comp_826,tas_5
comp_827,tas_3
comp_828,tas_4
comp_829,tas_4
comp_830,tas_3
comp_831,tas_5
comp_832,tas_3
comp_833,tas_3
comp_834,tas_3
comp_836,tas_4
comp_837,tas_4
comp_838,tas_3
comp_839,tas_5
comp_840,tas_5
comp_841,tas_5
comp_842,tas_3
comp_843,tas_3
comp_844,tas_3
comp_845,tas_3
comp_846,tas_5
comp_847,tas_3
comp_848,tas_3
comp_849,tas_4
comp_850,tas_5
comp_851,tas_3
comp_852,tas_4
comp_853,tas_3
comp_854,tas_3
comp_855,tas_4
comp_856,tas_3
comp_857,tas_3
comp_858,tas_3
comp_859,tas_3
comp_860,tas_3
comp_861,tas_4
comp_862,tas_3
comp_863,tas_3
comp_865,tas_4
comp_866,tas_4
comp_867,tas_3
comp_868,tas_3
comp_869,tas_3
comp_870,tas_3
comp_871,tas_4
comp_872,tas_3
comp_873,tas_4
comp_874,tas_3
comp_875,tas_4
comp_877,tas_4
comp_878,tas_3
comp_879,tas_4
comp_880,tas_3
comp_881,tas_4
comp_882,tas_4
comp_883,tas_4
comp_884,tas_4
comp_885,tas_4
comp_886,tas_4
comp_887,tas_3
comp_888,tas_4
comp_890,tas_4
comp_891,tas_4
comp_892,tas_4
comp_893,tas_4
comp_894,tas_4
comp_895,tas_4
comp_896,tas_3
comp_899,tas_4
comp_900,tas_4
comp_901,tas_4
comp_903,tas_4
comp_904,tas_3
comp_905,tas_4
comp_906,tas_4
comp_907,tas_4
comp_908,tas_4
comp_909,tas_4
comp_912,tas_4
comp_913,tas_4
comp_916,tas_4
comp_917,tas_4
comp_918,tas_4
comp_919,tas_4
comp_920,tas_4
comp_923,tas_4
comp_924,tas_4
comp_926,tas_4
comp_927,tas_4
comp_928,tas_4
comp_930,tas_4
comp_932,tas_4
comp_933,tas_3
comp_934,tas_4
comp_935,tas_4
comp_936,tas_4
comp_940,tas_4
comp_941,tas_4
comp_942,tas_4
comp_943,tas_4
comp_945,tas_4
comp_947,tas_4
comp_950,tas_4
comp_951,tas_4
comp_953,tas_4
comp_954,tas_4
comp_960,tas_4
comp_962,tas_4
comp_965,tas_4
comp_967,tas_4
comp_968,tas_4
comp_969,tas_4
comp_970,tas_4
comp_971,tas_4
comp_975,tas_4
comp_976,tas_4
comp_978,tas_4
comp_981,tas_4
comp_982,tas_4
comp_985,tas_4
comp_986,tas_4
comp_988,tas_4
comp_991,tas_4
comp_994,tas_4
comp_995,tas_4
comp_996,tas_4
comp_997,tas_4
comp_1000,tas_4
comp_1003,tas_4
comp_1004,tas_4
comp_1005,tas_4
comp_1006,tas_4
comp_1010,tas_4
comp_1014,tas_4
comp_1015,tas_1
comp_1016,tas_1
comp_1017,tas_2
comp_1018,tas_1
comp_1019,tas_1
comp_1020,tas_1
comp_1021,tas_2
comp_1022,tas_2
comp_1023,tas_2
comp_1024,tas_1
comp_1025,tas_1
comp_1026,tas_2
comp_1027,tas_1
comp_1028,tas_2
comp_1029,tas_1
comp_1030,tas_2
comp_1031,tas_1
comp_1032,tas_2
comp_1033,tas_1
comp_1034,tas_2
comp_1035,tas_2
comp_1036,tas_2
comp_1037,tas_1
comp_1038,tas_2
comp_1039,tas_2
comp_1040,tas_1
comp_1041,tas_5
comp_1042,tas_1
comp_1043,tas_2
comp_1044,tas_5
comp_1045,tas_2
comp_1046,tas_2
comp_1047,tas_2
comp_1048,tas_5
comp_1049,tas_2
comp_1050,tas_5
comp_1051,tas_5
comp_1052,tas_2
comp_1053,tas_2
comp_1054,tas_5
comp_1055,tas_5
comp_1056,tas_2
comp_1057,tas_1
comp_1058,tas_2
comp_1059,tas_2
comp_1060,tas_2
comp_1061,tas_2
comp_1062,tas_2
