:START_ID,:END_ID
comp_1,tmc_2
comp_2,tmc_2
comp_3,tmc_2
comp_4,tmc_2
comp_5,tmc_1
comp_6,tmc_1
comp_7,tmc_1
comp_8,tmc_1
comp_9,tmc_1
comp_10,tmc_1
comp_11,tmc_4
comp_12,tmc_4
comp_13,tmc_4
comp_14,tmc_4
comp_15,tmc_4
comp_16,tmc_4
comp_17,tmc_4
comp_18,tmc_4
comp_19,tmc_4
comp_20,tmc_4
comp_21,tmc_4
comp_22,tmc_4
comp_23,tmc_4
comp_24,tmc_4
comp_25,tmc_4
comp_26,tmc_4
comp_27,tmc_4
comp_28,tmc_4
comp_29,tmc_4
comp_30,tmc_4
comp_31,tmc_4
comp_32,tmc_4
comp_33,tmc_4
comp_34,tmc_4
comp_35,tmc_4
comp_36,tmc_4
comp_37,tmc_4
comp_38,tmc_4
comp_39,tmc_4
comp_40,tmc_4
comp_41,tmc_4
comp_42,tmc_4
comp_43,tmc_4
comp_44,tmc_4
comp_45,tmc_4
comp_46,tmc_4
comp_47,tmc_5
comp_48,tmc_5
comp_49,tmc_5
comp_50,tmc_5
comp_51,tmc_5
comp_52,tmc_5
comp_53,tmc_5
comp_54,tmc_5
comp_55,tmc_5
comp_56,tmc_5
comp_57,tmc_5
comp_58,tmc_5
comp_59,tmc_5
comp_60,tmc_5
comp_61,tmc_5
comp_62,tmc_5
comp_63,tmc_5
comp_64,tmc_5
comp_65,tmc_5
comp_66,tmc_5
comp_67,tmc_5
comp_68,tmc_5
comp_69,tmc_5
comp_70,tmc_5
comp_71,tmc_5
comp_72,tmc_5
comp_73,tmc_5
comp_74,tmc_5
comp_75,tmc_5
comp_76,tmc_5
comp_77,tmc_5
comp_78,tmc_5
comp_79,tmc_5
comp_80,tmc_5
comp_81,tmc_5
comp_82,tmc_5
comp_83,tmc_5
comp_84,tmc_5
comp_85,tmc_5
comp_86,tmc_5
comp_87,tmc_5
comp_88,tmc_5
comp_89,tmc_5
comp_90,tmc_5
comp_91,tmc_5
comp_92,tmc_5
comp_93,tmc_5
comp_94,tmc_5
comp_95,tmc_5
comp_96,tmc_5
comp_97,tmc_5
comp_98,tmc_5
comp_99,tmc_5
comp_100,tmc_5
comp_101,tmc_5
comp_102,tmc_5
comp_103,tmc_5
comp_104,tmc_5
comp_105,tmc_5
comp_106,tmc_5
comp_107,tmc_5
comp_108,tmc_5
comp_109,tmc_5
comp_110,tmc_5
comp_111,tmc_5
comp_112,tmc_5
comp_113,tmc_5
comp_114,tmc_5
comp_115,tmc_5
comp_116,tmc_5
comp_117,tmc_5
comp_118,tmc_5
comp_119,tmc_5
comp_120,tmc_5
comp_121,tmc_5
comp_122,tmc_5
comp_123,tmc_5
comp_124,tmc_5
comp_125,tmc_5
comp_126,tmc_5
comp_127,tmc_3
comp_128,tmc_3
comp_129,tmc_3
comp_130,tmc_3
comp_131,tmc_3
comp_132,tmc_3
comp_133,tmc_3
comp_134,tmc_3
comp_135,tmc_3
comp_136,tmc_3
comp_137,tmc_3
comp_138,tmc_3
comp_139,tmc_3
comp_140,tmc_3
comp_141,tmc_3
comp_142,tmc_3
comp_143,tmc_3
comp_144,tmc_3
comp_145,tmc_3
comp_146,tmc_3
comp_147,tmc_3
comp_148,tmc_3
comp_149,tmc_3
comp_150,tmc_3
comp_151,tmc_3
comp_152,tmc_3
comp_153,tmc_3
comp_154,tmc_3
comp_155,tmc_3
comp_156,tmc_3
comp_157,tmc_3
comp_158,tmc_3
comp_159,tmc_3
comp_160,tmc_3
comp_161,tmc_3
comp_162,tmc_3
comp_163,tmc_3
comp_164,tmc_3
comp_165,tmc_3
comp_166,tmc_3
comp_167,tmc_3
comp_168,tmc_3
comp_169,tmc_3
comp_170,tmc_3
comp_171,tmc_3
comp_172,tmc_3
comp_173,tmc_3
comp_174,tmc_3
comp_175,tmc_3
comp_176,tmc_3
comp_177,tmc_3
comp_178,tmc_3
comp_179,tmc_3
comp_180,tmc_3
comp_181,tmc_3
comp_182,tmc_3
comp_183,tmc_3
comp_184,tmc_3
comp_185,tmc_3
comp_186,tmc_3
comp_187,tmc_3
comp_188,tmc_3
comp_189,tmc_3
comp_190,tmc_3
comp_191,tmc_3
comp_192,tmc_3
comp_193,tmc_3
comp_194,tmc_3
comp_195,tmc_3
comp_196,tmc_3
comp_197,tmc_3
comp_198,tmc_3
comp_199,tmc_3
comp_200,tmc_3
comp_201,tmc_3
comp_202,tmc_3
comp_203,tmc_3
comp_204,tmc_3
comp_205,tmc_3
comp_206,tmc_3
comp_207,tmc_3
comp_208,tmc_3
comp_209,tmc_3
comp_210,tmc_3
comp_211,tmc_3
comp_212,tmc_3
comp_213,tmc_3
comp_214,tmc_3
comp_215,tmc_3
comp_216,tmc_3
comp_217,tmc_3
comp_218,tmc_3
comp_219,tmc_3
comp_220,tmc_3
comp_221,tmc_3
comp_222,tmc_3
comp_223,tmc_3
comp_224,tmc_3
comp_225,tmc_3
comp_226,tmc_3
comp_227,tmc_3
comp_228,tmc_3
comp_229,tmc_3
comp_230,tmc_3
comp_231,tmc_3
comp_232,tmc_3
comp_233,tmc_3
comp_234,tmc_3
comp_235,tmc_3
comp_236,tmc_3
comp_237,tmc_3
comp_238,tmc_3
comp_239,tmc_3
comp_240,tmc_3
comp_241,tmc_3
comp_242,tmc_3
comp_243,tmc_3
comp_244,tmc_3
comp_245,tmc_3
comp_246,tmc_3
comp_247,tmc_3
comp_248,tmc_3
comp_249,tmc_3
comp_250,tmc_3
comp_251,tmc_3
comp_252,tmc_3
comp_253,tmc_3
comp_254,tmc_3
comp_255,tmc_3
comp_256,tmc_3
comp_257,tmc_3
comp_258,tmc_3
comp_259,tmc_3
comp_260,tmc_3
comp_261,tmc_3
comp_262,tmc_3
comp_263,tmc_3
comp_264,tmc_3
comp_265,tmc_3
comp_266,tmc_3
comp_267,tmc_3
comp_268,tmc_3
comp_269,tmc_3
comp_270,tmc_3
comp_271,tmc_3
comp_272,tmc_3
comp_273,tmc_3
comp_274,tmc_3
comp_275,tmc_3
comp_276,tmc_3
comp_277,tmc_3
comp_278,tmc_3
comp_279,tmc_3
comp_280,tmc_3
comp_281,tmc_3
comp_282,tmc_3
comp_283,tmc_3
comp_284,tmc_3
comp_285,tmc_3
comp_286,tmc_3
comp_287,tmc_3
comp_288,tmc_3
comp_289,tmc_3
comp_290,tmc_3
comp_291,tmc_3
comp_292,tmc_3
comp_293,tmc_3
comp_294,tmc_3
comp_295,tmc_3
comp_296,tmc_3
comp_297,tmc_3
comp_298,tmc_3
comp_299,tmc_3
comp_300,tmc_3
comp_301,tmc_3
comp_302,tmc_3
comp_303,tmc_3
comp_304,tmc_3
comp_305,tmc_3
comp_306,tmc_3
comp_307,tmc_3
comp_308,tmc_3
comp_309,tmc_3
comp_310,tmc_3
comp_311,tmc_3
comp_312,tmc_3
comp_313,tmc_3
comp_314,tmc_3
comp_315,tmc_3
comp_316,tmc_3
comp_317,tmc_3
comp_318,tmc_3
comp_319,tmc_3
comp_320,tmc_3
comp_321,tmc_3
comp_322,tmc_3
comp_323,tmc_3
comp_324,tmc_3
comp_325,tmc_3
comp_326,tmc_3
comp_327,tmc_3
comp_328,tmc_3
comp_329,tmc_3
comp_330,tmc_3
comp_331,tmc_3
comp_332,tmc_3
comp_333,tmc_3
comp_334,tmc_3
comp_335,tmc_3
comp_336,tmc_3
comp_337,tmc_3
comp_338,tmc_3
comp_339,tmc_3
comp_340,tmc_3
comp_341,tmc_3
comp_342,tmc_3
comp_343,tmc_3
comp_344,tmc_3
comp_345,tmc_3
comp_346,tmc_3
comp_347,tmc_3
comp_348,tmc_3
comp_349,tmc_3
comp_350,tmc_3
comp_351,tmc_3
comp_352,tmc_3
comp_353,tmc_3
comp_354,tmc_3
comp_355,tmc_3
comp_356,tmc_3
comp_357,tmc_3
comp_358,tmc_3
comp_359,tmc_3
comp_360,tmc_3
comp_361,tmc_3
comp_362,tmc_3
comp_363,tmc_3
comp_364,tmc_3
comp_365,tmc_3
comp_366,tmc_3
comp_367,tmc_3
comp_368,tmc_3
comp_369,tmc_3
comp_370,tmc_3
comp_371,tmc_3
comp_372,tmc_3
comp_373,tmc_3
comp_374,tmc_3
comp_375,tmc_3
comp_376,tmc_3
comp_377,tmc_3
comp_378,tmc_3
comp_379,tmc_3
comp_380,tmc_3
comp_381,tmc_3
comp_382,tmc_3
comp_383,tmc_3
comp_384,tmc_3
comp_385,tmc_3
comp_386,tmc_3
comp_387,tmc_3
comp_388,tmc_3
comp_389,tmc_3
comp_390,tmc_3
comp_391,tmc_3
comp_392,tmc_3
comp_393,tmc_3
comp_394,tmc_3
comp_395,tmc_3
comp_396,tmc_3
comp_397,tmc_3
comp_398,tmc_3
comp_399,tmc_3
comp_400,tmc_3
comp_401,tmc_3
comp_402,tmc_3
comp_403,tmc_3
comp_404,tmc_3
comp_405,tmc_3
comp_406,tmc_3
comp_407,tmc_3
comp_408,tmc_3
comp_409,tmc_3
comp_410,tmc_3
comp_411,tmc_3
comp_412,tmc_3
comp_413,tmc_3
comp_414,tmc_3
comp_415,tmc_3
comp_416,tmc_3
comp_417,tmc_3
comp_418,tmc_3
comp_419,tmc_3
comp_420,tmc_3
comp_421,tmc_3
comp_422,tmc_3
comp_423,tmc_3
comp_424,tmc_3
comp_425,tmc_3
comp_426,tmc_3
comp_427,tmc_3
comp_428,tmc_3
comp_429,tmc_3
comp_430,tmc_3
comp_431,tmc_3
comp_432,tmc_3
comp_433,tmc_3
comp_434,tmc_3
comp_435,tmc_3
comp_436,tmc_3
comp_437,tmc_3
comp_438,tmc_3
comp_439,tmc_3
comp_440,tmc_3
comp_441,tmc_3
comp_442,tmc_3
comp_443,tmc_3
comp_444,tmc_3
comp_445,tmc_3
comp_446,tmc_3
comp_447,tmc_3
comp_448,tmc_3
comp_449,tmc_3
comp_450,tmc_3
comp_451,tmc_3
comp_452,tmc_3
comp_453,tmc_3
comp_454,tmc_3
comp_455,tmc_3
comp_456,tmc_3
comp_457,tmc_3
comp_458,tmc_3
comp_459,tmc_3
comp_460,tmc_3
comp_461,tmc_3
comp_462,tmc_3
comp_463,tmc_3
comp_464,tmc_3
comp_465,tmc_3
comp_466,tmc_3
comp_467,tmc_3
comp_468,tmc_3
comp_469,tmc_3
comp_470,tmc_3
comp_471,tmc_3
comp_472,tmc_3
comp_473,tmc_3
comp_474,tmc_3
comp_475,tmc_3
comp_476,tmc_3
comp_477,tmc_3
comp_478,tmc_3
comp_479,tmc_3
comp_480,tmc_3
comp_481,tmc_3
comp_482,tmc_3
comp_483,tmc_3
comp_484,tmc_3
comp_485,tmc_3
comp_486,tmc_3
comp_487,tmc_3
comp_488,tmc_3
comp_489,tmc_3
comp_490,tmc_3
comp_491,tmc_3
comp_492,tmc_3
comp_493,tmc_3
comp_494,tmc_3
comp_495,tmc_3
comp_496,tmc_3
comp_497,tmc_3
comp_498,tmc_3
comp_499,tmc_3
comp_500,tmc_3
comp_501,tmc_3
comp_502,tmc_3
comp_503,tmc_3
comp_504,tmc_3
comp_505,tmc_3
comp_506,tmc_3
comp_507,tmc_3
comp_508,tmc_3
comp_509,tmc_3
comp_510,tmc_3
comp_511,tmc_3
comp_512,tmc_3
comp_513,tmc_3
comp_514,tmc_3
comp_515,tmc_3
comp_516,tmc_3
comp_517,tmc_3
comp_518,tmc_3
comp_519,tmc_3
comp_520,tmc_3
comp_521,tmc_3
comp_522,tmc_3
comp_523,tmc_3
