:START_ID,:END_ID
comp_1,trv_1
comp_2,trv_1
comp_3,trv_1
comp_4,trv_1
comp_5,trv_4
comp_6,trv_4
comp_7,trv_3
comp_8,trv_4
comp_9,trv_4
comp_10,trv_4
comp_11,trv_1
comp_12,trv_4
comp_13,trv_3
comp_14,trv_4
comp_15,trv_1
comp_16,trv_4
comp_17,trv_3
comp_18,trv_4
comp_19,trv_4
comp_20,trv_4
comp_21,trv_3
comp_22,trv_3
comp_23,trv_1
comp_24,trv_4
comp_25,trv_4
comp_26,trv_4
comp_27,trv_4
comp_28,trv_3
comp_29,trv_3
comp_30,trv_3
comp_31,trv_3
comp_32,trv_4
comp_33,trv_3
comp_34,trv_4
comp_35,trv_4
comp_37,trv_4
comp_38,trv_4
comp_40,trv_3
comp_41,trv_4
comp_42,trv_3
comp_43,trv_3
comp_44,trv_4
comp_45,trv_3
comp_46,trv_4
comp_47,trv_5
comp_48,trv_4
comp_49,trv_3
comp_50,trv_3
comp_51,trv_4
comp_52,trv_3
comp_53,trv_3
comp_54,trv_3
comp_55,trv_4
comp_58,trv_3
comp_59,trv_3
comp_60,trv_4
comp_61,trv_5
comp_62,trv_2
comp_64,trv_5
comp_65,trv_2
comp_69,trv_4
comp_70,trv_3
comp_72,trv_2
comp_73,trv_5
comp_74,trv_2
comp_77,trv_5
comp_78,trv_3
comp_80,trv_3
comp_81,trv_3
comp_82,trv_3
comp_84,trv_5
comp_85,trv_3
comp_86,trv_3
comp_87,trv_3
comp_88,trv_3
comp_91,trv_3
comp_92,trv_5
comp_95,trv_5
comp_96,trv_3
comp_99,trv_3
comp_100,trv_5
comp_103,trv_3
comp_104,trv_3
comp_105,trv_5
comp_106,trv_3
comp_108,trv_3
comp_112,trv_5
comp_113,trv_3
comp_115,trv_2
comp_116,trv_5
comp_118,trv_3
comp_119,trv_5
comp_121,trv_5
comp_122,trv_3
comp_126,trv_5
comp_127,trv_2
comp_128,trv_3
comp_130,trv_2
comp_133,trv_3
comp_134,trv_3
comp_135,trv_3
comp_136,trv_3
comp_141,trv_2
comp_142,trv_5
comp_145,trv_5
comp_150,trv_4
comp_151,trv_5
comp_152,trv_5
comp_156,trv_2
comp_157,trv_5
comp_158,trv_3
comp_159,trv_5
comp_160,trv_3
comp_162,trv_2
comp_163,trv_5
comp_170,trv_2
comp_172,trv_5
comp_173,trv_5
comp_174,trv_5
comp_175,trv_2
comp_176,trv_5
comp_178,trv_3
comp_179,trv_5
comp_180,trv_5
comp_183,trv_2
comp_184,trv_5
comp_185,trv_3
comp_186,trv_5
comp_190,trv_5
comp_191,trv_2
comp_192,trv_3
comp_194,trv_5
comp_198,trv_5
comp_199,trv_5
comp_203,trv_5
comp_207,trv_5
comp_208,trv_5
comp_209,trv_5
comp_210,trv_2
comp_215,trv_5
comp_216,trv_3
comp_219,trv_2
comp_222,trv_5
comp_224,trv_5
comp_226,trv_3
comp_227,trv_3
comp_232,trv_5
comp_234,trv_2
comp_235,trv_5
comp_238,trv_5
comp_239,trv_5
comp_240,trv_5
comp_243,trv_5
comp_244,trv_5
comp_245,trv_2
comp_247,trv_2
comp_248,trv_2
comp_249,trv_2
comp_252,trv_5
comp_268,trv_2
comp_269,trv_5
comp_271,trv_5
comp_274,trv_5
comp_280,trv_5
comp_288,trv_3
