:START_ID,:END_ID
comp_11,bics_l4_127
comp_19,bics_l4_15
comp_20,bics_l4_27
comp_26,bics_l4_69
comp_35,bics_l4_15
comp_36,bics_l4_15
comp_39,bics_l4_15
comp_41,bics_l4_47
comp_42,bics_l4_15
comp_44,bics_l4_91
comp_48,bics_l4_27
comp_51,bics_l4_69
comp_52,bics_l4_91
comp_56,bics_l4_106
comp_57,bics_l4_106
comp_59,bics_l4_47
comp_60,bics_l4_69
comp_62,bics_l4_15
comp_64,bics_l4_122
comp_68,bics_l4_15
comp_69,bics_l4_91
comp_72,bics_l4_10
comp_76,bics_l4_106
comp_78,bics_l4_47
comp_79,bics_l4_91
comp_80,bics_l4_15
comp_81,bics_l4_47
comp_83,bics_l4_90
comp_87,bics_l4_69
comp_90,bics_l4_15
comp_91,bics_l4_69
comp_92,bics_l4_15
comp_96,bics_l4_47
comp_98,bics_l4_15
comp_100,bics_l4_15
comp_104,bics_l4_69
comp_105,bics_l4_15
comp_117,bics_l4_90
comp_118,bics_l4_69
comp_128,bics_l4_49
comp_129,bics_l4_106
comp_153,bics_l4_15
comp_163,bics_l4_90
comp_167,bics_l4_90
comp_177,bics_l4_90
comp_178,bics_l4_19
comp_187,bics_l4_15
comp_191,bics_l4_47
comp_192,bics_l4_69
comp_196,bics_l4_15
comp_202,bics_l4_106
comp_206,bics_l4_49
comp_211,bics_l4_27
comp_214,bics_l4_106
comp_219,bics_l4_15
comp_220,bics_l4_15
comp_229,bics_l4_106
comp_230,bics_l4_90
comp_231,bics_l4_15
comp_234,bics_l4_90
comp_235,bics_l4_15
comp_243,bics_l4_106
comp_244,bics_l4_90
comp_247,bics_l4_106
comp_251,bics_l4_90
comp_254,bics_l4_91
comp_256,bics_l4_106
comp_260,bics_l4_15
comp_268,bics_l4_15
comp_269,bics_l4_15
comp_271,bics_l4_15
comp_272,bics_l4_90
comp_273,bics_l4_15
comp_275,bics_l4_15
comp_278,bics_l4_15
comp_282,bics_l4_124
comp_293,bics_l4_90
comp_295,bics_l4_15
comp_298,bics_l4_90
comp_300,bics_l4_27
comp_301,bics_l4_15
comp_304,bics_l4_15
comp_306,bics_l4_122
comp_307,bics_l4_15
comp_309,bics_l4_106
comp_311,bics_l4_90
comp_314,bics_l4_27
comp_319,bics_l4_15
comp_320,bics_l4_106
comp_321,bics_l4_15
comp_323,bics_l4_106
comp_329,bics_l4_10
comp_333,bics_l4_15
comp_337,bics_l4_15
comp_341,bics_l4_106
comp_343,bics_l4_15
comp_346,bics_l4_106
comp_347,bics_l4_106
comp_350,bics_l4_15
comp_353,bics_l4_91
comp_359,bics_l4_15
comp_360,bics_l4_90
comp_364,bics_l4_106
comp_365,bics_l4_15
comp_367,bics_l4_15
comp_370,bics_l4_124
comp_372,bics_l4_90
comp_379,bics_l4_15
comp_382,bics_l4_15
comp_385,bics_l4_15
comp_390,bics_l4_106
comp_398,bics_l4_15
comp_399,bics_l4_15
comp_403,bics_l4_15
comp_406,bics_l4_15
comp_407,bics_l4_15
comp_411,bics_l4_15
comp_415,bics_l4_76
comp_417,bics_l4_106
comp_425,bics_l4_15
comp_428,bics_l4_90
comp_430,bics_l4_15
comp_432,bics_l4_97
comp_434,bics_l4_15
comp_443,bics_l4_15
comp_444,bics_l4_15
comp_446,bics_l4_90
comp_447,bics_l4_106
comp_451,bics_l4_90
comp_458,bics_l4_106
comp_461,bics_l4_15
comp_463,bics_l4_124
comp_467,bics_l4_90
comp_468,bics_l4_90
comp_471,bics_l4_15
comp_474,bics_l4_90
comp_475,bics_l4_97
comp_481,bics_l4_15
comp_483,bics_l4_15
comp_485,bics_l4_106
comp_486,bics_l4_15
comp_487,bics_l4_15
comp_490,bics_l4_15
comp_491,bics_l4_15
comp_494,bics_l4_124
comp_498,bics_l4_91
comp_501,bics_l4_100
comp_503,bics_l4_15
comp_505,bics_l4_91
comp_511,bics_l4_106
comp_512,bics_l4_15
comp_517,bics_l4_15
comp_518,bics_l4_15
comp_519,bics_l4_90
comp_530,bics_l4_47
comp_546,bics_l4_49
comp_558,bics_l4_90
comp_559,bics_l4_15
comp_560,bics_l4_27
comp_575,bics_l4_15
comp_576,bics_l4_90
comp_581,bics_l4_90
comp_584,bics_l4_15
comp_586,bics_l4_106
comp_588,bics_l4_90
comp_590,bics_l4_106
comp_594,bics_l4_15
comp_596,bics_l4_91
comp_598,bics_l4_15
comp_600,bics_l4_106
comp_602,bics_l4_15
comp_603,bics_l4_15
comp_606,bics_l4_15
comp_609,bics_l4_15
comp_616,bics_l4_90
comp_618,bics_l4_15
comp_624,bics_l4_106
comp_625,bics_l4_15
comp_626,bics_l4_15
comp_627,bics_l4_15
comp_634,bics_l4_15
comp_635,bics_l4_15
comp_636,bics_l4_15
comp_642,bics_l4_106
comp_643,bics_l4_76
comp_644,bics_l4_106
comp_648,bics_l4_49
comp_649,bics_l4_15
comp_650,bics_l4_106
comp_651,bics_l4_15
