:START_ID,:END_ID
comp_1,gics_sub_31
comp_2,gics_sub_31
comp_3,gics_sub_31
comp_4,gics_sub_106
comp_5,gics_sub_47
comp_6,gics_sub_47
comp_7,gics_sub_31
comp_8,gics_sub_31
comp_9,gics_sub_31
comp_10,gics_sub_19
comp_11,gics_sub_106
comp_12,gics_sub_31
comp_13,gics_sub_31
comp_14,gics_sub_47
comp_15,gics_sub_22
comp_16,gics_sub_17
comp_17,gics_sub_47
comp_18,gics_sub_47
comp_19,gics_sub_27
comp_20,gics_sub_17
comp_21,gics_sub_47
comp_22,gics_sub_47
comp_23,gics_sub_34
comp_24,gics_sub_47
comp_25,gics_sub_47
comp_26,gics_sub_22
comp_27,gics_sub_47
comp_28,gics_sub_47
comp_29,gics_sub_17
comp_30,gics_sub_31
comp_31,gics_sub_47
comp_32,gics_sub_17
comp_33,gics_sub_47
comp_34,gics_sub_31
comp_35,gics_sub_31
comp_36,gics_sub_31
comp_37,gics_sub_31
comp_38,gics_sub_106
comp_39,gics_sub_31
comp_40,gics_sub_47
comp_41,gics_sub_22
comp_42,gics_sub_106
comp_43,gics_sub_47
comp_44,gics_sub_22
comp_45,gics_sub_47
comp_46,gics_sub_47
comp_47,gics_sub_17
comp_48,gics_sub_106
comp_49,gics_sub_31
comp_50,gics_sub_47
comp_51,gics_sub_22
comp_52,gics_sub_34
comp_53,gics_sub_47
comp_54,gics_sub_27
comp_55,gics_sub_22
comp_56,gics_sub_31
comp_57,gics_sub_47
comp_58,gics_sub_31
comp_59,gics_sub_22
comp_60,gics_sub_22
comp_61,gics_sub_31
comp_62,gics_sub_31
comp_63,gics_sub_47
comp_64,gics_sub_19
comp_65,gics_sub_17
comp_66,gics_sub_47
comp_67,gics_sub_27
comp_68,gics_sub_47
comp_69,gics_sub_31
comp_70,gics_sub_47
comp_71,gics_sub_31
comp_72,gics_sub_97
comp_73,gics_sub_31
comp_74,gics_sub_17
comp_75,gics_sub_17
comp_76,gics_sub_31
comp_77,gics_sub_64
comp_78,gics_sub_22
comp_79,gics_sub_47
comp_80,gics_sub_31
comp_81,gics_sub_31
comp_82,gics_sub_31
comp_83,gics_sub_47
comp_84,gics_sub_17
comp_85,gics_sub_47
comp_86,gics_sub_31
comp_87,gics_sub_24
comp_88,gics_sub_7
comp_89,gics_sub_47
comp_90,gics_sub_31
comp_91,gics_sub_22
comp_92,gics_sub_31
comp_93,gics_sub_7
comp_94,gics_sub_47
comp_95,gics_sub_31
comp_96,gics_sub_22
comp_97,gics_sub_31
comp_98,gics_sub_31
comp_99,gics_sub_106
comp_100,gics_sub_31
comp_101,gics_sub_47
comp_102,gics_sub_31
comp_103,gics_sub_31
comp_104,gics_sub_22
comp_105,gics_sub_31
comp_106,gics_sub_27
comp_107,gics_sub_31
comp_108,gics_sub_106
comp_109,gics_sub_31
comp_110,gics_sub_31
comp_111,gics_sub_47
comp_112,gics_sub_31
comp_113,gics_sub_47
comp_114,gics_sub_47
comp_115,gics_sub_31
comp_116,gics_sub_101
comp_117,gics_sub_47
comp_118,gics_sub_113
comp_119,gics_sub_47
comp_120,gics_sub_47
comp_121,gics_sub_31
comp_122,gics_sub_31
comp_123,gics_sub_31
comp_124,gics_sub_47
comp_125,gics_sub_47
comp_126,gics_sub_31
comp_127,gics_sub_47
comp_128,gics_sub_31
comp_129,gics_sub_47
comp_130,gics_sub_47
comp_131,gics_sub_47
comp_132,gics_sub_31
comp_133,gics_sub_47
comp_134,gics_sub_106
comp_135,gics_sub_106
comp_136,gics_sub_31
comp_137,gics_sub_47
comp_138,gics_sub_31
comp_139,gics_sub_47
comp_140,gics_sub_31
comp_141,gics_sub_47
comp_142,gics_sub_47
comp_143,gics_sub_47
comp_144,gics_sub_17
comp_145,gics_sub_31
comp_146,gics_sub_106
comp_147,gics_sub_47
comp_148,gics_sub_47
comp_149,gics_sub_31
comp_150,gics_sub_31
comp_151,gics_sub_31
comp_152,gics_sub_101
comp_153,gics_sub_31
comp_154,gics_sub_31
comp_155,gics_sub_47
comp_156,gics_sub_47
comp_157,gics_sub_31
comp_158,gics_sub_7
comp_159,gics_sub_47
comp_160,gics_sub_23
comp_161,gics_sub_31
comp_162,gics_sub_31
comp_163,gics_sub_31
comp_164,gics_sub_47
comp_165,gics_sub_47
comp_166,gics_sub_47
comp_167,gics_sub_31
comp_168,gics_sub_27
comp_169,gics_sub_31
comp_170,gics_sub_17
comp_171,gics_sub_47
comp_172,gics_sub_31
comp_173,gics_sub_31
comp_174,gics_sub_47
comp_175,gics_sub_47
comp_176,gics_sub_96
comp_177,gics_sub_31
comp_178,gics_sub_64
comp_179,gics_sub_47
comp_180,gics_sub_31
comp_181,gics_sub_31
comp_182,gics_sub_17
comp_183,gics_sub_47
comp_184,gics_sub_31
comp_185,gics_sub_31
comp_186,gics_sub_31
comp_187,gics_sub_31
comp_188,gics_sub_31
comp_189,gics_sub_106
comp_190,gics_sub_31
comp_191,gics_sub_23
comp_192,gics_sub_52
comp_193,gics_sub_31
comp_194,gics_sub_47
comp_195,gics_sub_31
comp_196,gics_sub_47
comp_197,gics_sub_31
comp_198,gics_sub_31
comp_199,gics_sub_47
comp_200,gics_sub_47
comp_201,gics_sub_17
comp_202,gics_sub_31
comp_203,gics_sub_31
comp_204,gics_sub_31
comp_205,gics_sub_47
comp_206,gics_sub_31
comp_207,gics_sub_31
comp_208,gics_sub_31
comp_209,gics_sub_31
comp_210,gics_sub_31
comp_211,gics_sub_81
comp_212,gics_sub_31
comp_213,gics_sub_47
comp_214,gics_sub_31
comp_215,gics_sub_47
comp_216,gics_sub_31
comp_217,gics_sub_31
comp_218,gics_sub_31
comp_219,gics_sub_31
comp_220,gics_sub_31
comp_221,gics_sub_31
comp_222,gics_sub_31
comp_223,gics_sub_31
comp_224,gics_sub_31
comp_225,gics_sub_47
comp_226,gics_sub_64
comp_227,gics_sub_27
comp_228,gics_sub_47
comp_229,gics_sub_47
comp_230,gics_sub_31
comp_231,gics_sub_47
comp_232,gics_sub_17
comp_233,gics_sub_31
comp_234,gics_sub_19
comp_235,gics_sub_31
comp_236,gics_sub_31
comp_237,gics_sub_31
comp_238,gics_sub_106
comp_239,gics_sub_31
comp_240,gics_sub_47
comp_241,gics_sub_7
comp_242,gics_sub_31
comp_243,gics_sub_47
comp_244,gics_sub_31
comp_245,gics_sub_9
comp_246,gics_sub_31
comp_247,gics_sub_31
comp_248,gics_sub_106
comp_249,gics_sub_17
comp_250,gics_sub_31
comp_251,gics_sub_31
comp_252,gics_sub_100
comp_253,gics_sub_27
comp_254,gics_sub_31
comp_255,gics_sub_47
comp_256,gics_sub_31
comp_257,gics_sub_31
comp_258,gics_sub_31
comp_259,gics_sub_31
comp_260,gics_sub_31
comp_261,gics_sub_91
comp_262,gics_sub_31
comp_263,gics_sub_31
comp_264,gics_sub_31
comp_265,gics_sub_47
comp_266,gics_sub_31
comp_267,gics_sub_31
comp_268,gics_sub_31
comp_269,gics_sub_31
comp_270,gics_sub_31
comp_271,gics_sub_31
comp_272,gics_sub_31
comp_273,gics_sub_31
comp_274,gics_sub_31
comp_275,gics_sub_106
comp_276,gics_sub_17
comp_277,gics_sub_31
comp_278,gics_sub_31
comp_279,gics_sub_31
comp_280,gics_sub_31
comp_281,gics_sub_31
comp_282,gics_sub_31
comp_283,gics_sub_47
comp_284,gics_sub_31
comp_285,gics_sub_81
comp_286,gics_sub_31
comp_287,gics_sub_31
comp_288,gics_sub_31
comp_289,gics_sub_31
comp_290,gics_sub_31
comp_291,gics_sub_31
comp_292,gics_sub_47
comp_293,gics_sub_31
comp_294,gics_sub_31
comp_295,gics_sub_27
comp_296,gics_sub_31
comp_297,gics_sub_31
comp_298,gics_sub_31
comp_299,gics_sub_31
comp_300,gics_sub_17
comp_301,gics_sub_31
comp_302,gics_sub_47
comp_303,gics_sub_31
comp_304,gics_sub_31
comp_305,gics_sub_47
comp_306,gics_sub_31
comp_307,gics_sub_31
comp_308,gics_sub_31
comp_309,gics_sub_91
comp_310,gics_sub_31
comp_311,gics_sub_24
comp_312,gics_sub_31
comp_313,gics_sub_31
comp_314,gics_sub_31
comp_315,gics_sub_47
comp_316,gics_sub_47
comp_317,gics_sub_31
comp_318,gics_sub_47
comp_319,gics_sub_31
comp_320,gics_sub_31
comp_321,gics_sub_31
comp_322,gics_sub_47
comp_323,gics_sub_31
comp_324,gics_sub_31
comp_325,gics_sub_47
comp_326,gics_sub_31
comp_327,gics_sub_31
comp_328,gics_sub_47
comp_329,gics_sub_10
comp_330,gics_sub_22
comp_331,gics_sub_7
comp_332,gics_sub_47
comp_333,gics_sub_31
comp_334,gics_sub_31
comp_335,gics_sub_47
comp_336,gics_sub_31
comp_337,gics_sub_31
comp_338,gics_sub_31
comp_339,gics_sub_47
comp_340,gics_sub_31
comp_341,gics_sub_31
comp_342,gics_sub_31
comp_343,gics_sub_31
comp_344,gics_sub_31
comp_345,gics_sub_31
comp_346,gics_sub_31
comp_347,gics_sub_31
comp_348,gics_sub_22
comp_349,gics_sub_31
comp_350,gics_sub_31
comp_351,gics_sub_31
comp_352,gics_sub_31
comp_353,gics_sub_59
comp_354,gics_sub_23
comp_355,gics_sub_106
comp_356,gics_sub_47
comp_357,gics_sub_31
comp_358,gics_sub_31
comp_359,gics_sub_31
comp_360,gics_sub_31
comp_361,gics_sub_42
comp_362,gics_sub_47
comp_363,gics_sub_31
comp_364,gics_sub_31
comp_365,gics_sub_31
comp_366,gics_sub_31
comp_367,gics_sub_31
comp_368,gics_sub_47
comp_369,gics_sub_31
comp_370,gics_sub_31
comp_371,gics_sub_31
comp_372,gics_sub_31
comp_373,gics_sub_31
comp_374,gics_sub_47
comp_375,gics_sub_47
comp_376,gics_sub_17
comp_377,gics_sub_31
comp_378,gics_sub_91
comp_379,gics_sub_31
comp_380,gics_sub_31
comp_381,gics_sub_42
comp_382,gics_sub_31
comp_383,gics_sub_106
comp_384,gics_sub_31
comp_385,gics_sub_31
comp_386,gics_sub_17
comp_387,gics_sub_31
comp_388,gics_sub_27
comp_389,gics_sub_31
comp_390,gics_sub_31
comp_391,gics_sub_31
comp_392,gics_sub_11
comp_393,gics_sub_31
comp_394,gics_sub_81
comp_395,gics_sub_31
comp_396,gics_sub_31
comp_397,gics_sub_106
comp_398,gics_sub_31
comp_399,gics_sub_31
comp_400,gics_sub_91
comp_401,gics_sub_106
comp_402,gics_sub_31
comp_403,gics_sub_31
comp_404,gics_sub_47
comp_405,gics_sub_31
comp_406,gics_sub_106
comp_407,gics_sub_106
comp_408,gics_sub_47
comp_409,gics_sub_31
comp_410,gics_sub_31
comp_411,gics_sub_106
comp_412,gics_sub_31
comp_413,gics_sub_31
comp_414,gics_sub_31
comp_415,gics_sub_31
comp_416,gics_sub_31
comp_417,gics_sub_31
comp_418,gics_sub_47
comp_419,gics_sub_47
comp_420,gics_sub_31
comp_421,gics_sub_31
comp_422,gics_sub_31
comp_423,gics_sub_31
comp_424,gics_sub_37
comp_425,gics_sub_31
comp_426,gics_sub_31
comp_427,gics_sub_36
comp_428,gics_sub_31
comp_429,gics_sub_47
comp_430,gics_sub_91
comp_431,gics_sub_47
comp_432,gics_sub_31
comp_433,gics_sub_47
comp_434,gics_sub_27
comp_435,gics_sub_31
comp_436,gics_sub_31
comp_437,gics_sub_31
comp_438,gics_sub_31
comp_439,gics_sub_31
comp_440,gics_sub_47
comp_441,gics_sub_47
comp_442,gics_sub_31
comp_443,gics_sub_31
comp_444,gics_sub_31
comp_445,gics_sub_7
comp_446,gics_sub_31
comp_447,gics_sub_47
comp_448,gics_sub_41
comp_449,gics_sub_68
comp_450,gics_sub_31
comp_451,gics_sub_31
comp_452,gics_sub_31
comp_453,gics_sub_47
comp_454,gics_sub_47
comp_455,gics_sub_47
comp_456,gics_sub_47
comp_457,gics_sub_31
comp_458,gics_sub_31
comp_459,gics_sub_106
comp_460,gics_sub_31
comp_461,gics_sub_31
comp_462,gics_sub_31
comp_463,gics_sub_31
comp_464,gics_sub_47
comp_465,gics_sub_31
comp_466,gics_sub_31
comp_467,gics_sub_47
comp_468,gics_sub_31
comp_469,gics_sub_91
comp_470,gics_sub_31
comp_471,gics_sub_31
comp_472,gics_sub_106
comp_473,gics_sub_31
comp_474,gics_sub_31
comp_475,gics_sub_31
comp_476,gics_sub_42
comp_477,gics_sub_31
comp_478,gics_sub_31
comp_479,gics_sub_17
comp_480,gics_sub_34
comp_481,gics_sub_47
comp_482,gics_sub_31
comp_483,gics_sub_1
comp_484,gics_sub_31
comp_485,gics_sub_31
comp_486,gics_sub_31
comp_487,gics_sub_31
comp_488,gics_sub_31
comp_489,gics_sub_31
comp_490,gics_sub_31
comp_491,gics_sub_47
comp_492,gics_sub_31
comp_493,gics_sub_31
comp_494,gics_sub_31
comp_495,gics_sub_31
comp_496,gics_sub_31
comp_497,gics_sub_31
comp_498,gics_sub_31
comp_499,gics_sub_31
comp_500,gics_sub_31
comp_501,gics_sub_47
comp_502,gics_sub_47
comp_503,gics_sub_31
comp_504,gics_sub_47
comp_505,gics_sub_47
comp_506,gics_sub_31
comp_507,gics_sub_47
comp_508,gics_sub_31
comp_509,gics_sub_47
comp_510,gics_sub_31
comp_511,gics_sub_31
comp_512,gics_sub_31
comp_513,gics_sub_106
comp_514,gics_sub_31
comp_515,gics_sub_17
comp_516,gics_sub_31
comp_517,gics_sub_31
comp_518,gics_sub_31
comp_519,gics_sub_31
comp_520,gics_sub_31
comp_521,gics_sub_31
comp_522,gics_sub_31
comp_523,gics_sub_31
comp_524,gics_sub_31
comp_525,gics_sub_31
comp_526,gics_sub_31
comp_527,gics_sub_31
comp_528,gics_sub_47
comp_529,gics_sub_31
comp_530,gics_sub_97
comp_531,gics_sub_31
comp_532,gics_sub_47
comp_533,gics_sub_47
comp_534,gics_sub_31
comp_535,gics_sub_31
comp_536,gics_sub_31
comp_537,gics_sub_31
comp_538,gics_sub_47
comp_539,gics_sub_31
comp_540,gics_sub_31
comp_541,gics_sub_106
comp_542,gics_sub_37
comp_543,gics_sub_31
comp_544,gics_sub_31
comp_545,gics_sub_31
comp_546,gics_sub_31
comp_547,gics_sub_106
comp_548,gics_sub_31
comp_549,gics_sub_91
comp_550,gics_sub_31
comp_551,gics_sub_31
comp_552,gics_sub_31
comp_553,gics_sub_31
comp_554,gics_sub_47
comp_555,gics_sub_47
comp_556,gics_sub_17
comp_557,gics_sub_42
comp_558,gics_sub_47
comp_559,gics_sub_31
comp_560,gics_sub_31
comp_561,gics_sub_47
comp_562,gics_sub_47
comp_563,gics_sub_31
comp_564,gics_sub_47
comp_565,gics_sub_31
comp_566,gics_sub_31
comp_567,gics_sub_31
comp_568,gics_sub_47
comp_569,gics_sub_47
comp_570,gics_sub_31
comp_571,gics_sub_31
comp_572,gics_sub_106
comp_573,gics_sub_31
comp_574,gics_sub_31
comp_575,gics_sub_31
comp_576,gics_sub_31
comp_577,gics_sub_47
comp_578,gics_sub_31
comp_579,gics_sub_31
comp_580,gics_sub_31
comp_581,gics_sub_31
comp_582,gics_sub_31
comp_583,gics_sub_31
comp_584,gics_sub_31
comp_585,gics_sub_31
comp_586,gics_sub_31
comp_587,gics_sub_31
comp_588,gics_sub_31
comp_589,gics_sub_31
comp_590,gics_sub_31
comp_591,gics_sub_31
comp_592,gics_sub_31
comp_593,gics_sub_17
comp_594,gics_sub_31
comp_595,gics_sub_10
comp_596,gics_sub_31
comp_597,gics_sub_31
comp_598,gics_sub_17
comp_599,gics_sub_31
comp_600,gics_sub_31
comp_601,gics_sub_31
comp_602,gics_sub_31
comp_603,gics_sub_31
comp_604,gics_sub_31
comp_605,gics_sub_31
comp_606,gics_sub_31
comp_607,gics_sub_47
comp_608,gics_sub_31
comp_609,gics_sub_31
comp_610,gics_sub_31
comp_611,gics_sub_17
comp_612,gics_sub_47
comp_613,gics_sub_31
comp_614,gics_sub_31
comp_615,gics_sub_106
comp_616,gics_sub_27
comp_617,gics_sub_31
comp_618,gics_sub_31
comp_619,gics_sub_31
comp_620,gics_sub_31
comp_621,gics_sub_31
comp_622,gics_sub_31
comp_623,gics_sub_31
comp_624,gics_sub_31
comp_625,gics_sub_31
comp_626,gics_sub_31
comp_627,gics_sub_31
comp_628,gics_sub_20
comp_629,gics_sub_10
comp_630,gics_sub_31
comp_631,gics_sub_31
comp_632,gics_sub_47
comp_633,gics_sub_31
comp_634,gics_sub_31
comp_635,gics_sub_31
comp_636,gics_sub_27
comp_637,gics_sub_31
comp_638,gics_sub_31
comp_639,gics_sub_31
comp_640,gics_sub_17
comp_641,gics_sub_31
comp_642,gics_sub_31
comp_643,gics_sub_31
comp_644,gics_sub_31
comp_645,gics_sub_47
comp_646,gics_sub_31
comp_647,gics_sub_47
comp_648,gics_sub_31
comp_649,gics_sub_31
comp_650,gics_sub_31
comp_651,gics_sub_31
comp_652,gics_sub_31
comp_653,gics_sub_31
comp_654,gics_sub_81
comp_655,gics_sub_31
comp_656,gics_sub_31
comp_657,gics_sub_31
comp_658,gics_sub_31
comp_659,gics_sub_31
comp_660,gics_sub_31
comp_661,gics_sub_31
comp_662,gics_sub_31
comp_663,gics_sub_31
comp_664,gics_sub_31
comp_665,gics_sub_31
comp_666,gics_sub_31
comp_667,gics_sub_31
comp_668,gics_sub_31
comp_669,gics_sub_31
comp_670,gics_sub_31
comp_671,gics_sub_31
comp_672,gics_sub_31
comp_673,gics_sub_31
comp_674,gics_sub_31
comp_675,gics_sub_31
comp_676,gics_sub_31
comp_677,gics_sub_31
comp_678,gics_sub_31
comp_679,gics_sub_47
comp_680,gics_sub_31
comp_681,gics_sub_106
comp_682,gics_sub_47
comp_683,gics_sub_47
comp_684,gics_sub_31
comp_685,gics_sub_31
comp_686,gics_sub_31
comp_687,gics_sub_31
comp_688,gics_sub_31
comp_689,gics_sub_31
comp_690,gics_sub_31
comp_691,gics_sub_31
comp_692,gics_sub_47
comp_693,gics_sub_47
comp_694,gics_sub_31
comp_695,gics_sub_31
comp_696,gics_sub_106
comp_697,gics_sub_31
comp_698,gics_sub_31
comp_699,gics_sub_31
comp_700,gics_sub_31
comp_701,gics_sub_31
comp_702,gics_sub_31
comp_703,gics_sub_31
comp_704,gics_sub_31
comp_705,gics_sub_31
comp_706,gics_sub_31
comp_707,gics_sub_31
comp_708,gics_sub_31
comp_709,gics_sub_106
comp_710,gics_sub_31
comp_711,gics_sub_31
comp_712,gics_sub_47
comp_713,gics_sub_31
comp_714,gics_sub_31
comp_715,gics_sub_31
comp_716,gics_sub_31
comp_717,gics_sub_31
comp_718,gics_sub_31
comp_719,gics_sub_31
comp_720,gics_sub_31
comp_721,gics_sub_31
comp_722,gics_sub_31
comp_723,gics_sub_31
comp_724,gics_sub_31
comp_725,gics_sub_31
comp_726,gics_sub_106
comp_727,gics_sub_47
comp_728,gics_sub_31
comp_729,gics_sub_31
comp_730,gics_sub_23
comp_731,gics_sub_31
comp_732,gics_sub_31
comp_733,gics_sub_31
comp_734,gics_sub_31
comp_735,gics_sub_31
comp_736,gics_sub_31
comp_737,gics_sub_47
comp_738,gics_sub_39
comp_739,gics_sub_31
comp_740,gics_sub_31
comp_741,gics_sub_31
comp_742,gics_sub_47
comp_743,gics_sub_31
comp_744,gics_sub_47
comp_745,gics_sub_31
comp_746,gics_sub_47
comp_747,gics_sub_31
comp_748,gics_sub_106
comp_749,gics_sub_42
comp_750,gics_sub_31
comp_751,gics_sub_31
comp_752,gics_sub_31
comp_753,gics_sub_31
comp_754,gics_sub_31
comp_755,gics_sub_47
comp_756,gics_sub_27
comp_757,gics_sub_47
comp_758,gics_sub_31
comp_759,gics_sub_31
comp_760,gics_sub_31
comp_761,gics_sub_31
comp_762,gics_sub_98
comp_763,gics_sub_31
comp_764,gics_sub_23
comp_765,gics_sub_47
comp_766,gics_sub_27
comp_767,gics_sub_27
comp_768,gics_sub_22
comp_769,gics_sub_113
comp_770,gics_sub_106
comp_771,gics_sub_106
comp_772,gics_sub_97
comp_773,gics_sub_22
comp_774,gics_sub_22
comp_775,gics_sub_106
comp_776,gics_sub_31
comp_777,gics_sub_47
comp_778,gics_sub_64
comp_779,gics_sub_106
comp_780,gics_sub_47
comp_781,gics_sub_64
comp_782,gics_sub_22
comp_783,gics_sub_41
comp_784,gics_sub_23
comp_785,gics_sub_7
comp_786,gics_sub_22
comp_787,gics_sub_22
comp_788,gics_sub_101
comp_789,gics_sub_22
comp_790,gics_sub_22
comp_791,gics_sub_106
comp_792,gics_sub_106
comp_793,gics_sub_17
comp_794,gics_sub_64
comp_795,gics_sub_22
comp_796,gics_sub_22
comp_797,gics_sub_47
comp_798,gics_sub_22
comp_799,gics_sub_17
comp_800,gics_sub_17
comp_801,gics_sub_97
comp_802,gics_sub_23
comp_803,gics_sub_106
comp_804,gics_sub_47
comp_805,gics_sub_22
comp_806,gics_sub_17
comp_807,gics_sub_7
comp_808,gics_sub_106
comp_809,gics_sub_106
comp_810,gics_sub_47
comp_811,gics_sub_22
comp_812,gics_sub_106
comp_813,gics_sub_66
comp_814,gics_sub_31
comp_815,gics_sub_7
comp_816,gics_sub_23
comp_817,gics_sub_41
comp_818,gics_sub_31
comp_819,gics_sub_61
comp_820,gics_sub_22
comp_821,gics_sub_31
comp_822,gics_sub_22
comp_823,gics_sub_106
comp_824,gics_sub_106
comp_825,gics_sub_106
comp_826,gics_sub_29
comp_827,gics_sub_17
comp_828,gics_sub_31
comp_829,gics_sub_31
comp_830,gics_sub_47
comp_831,gics_sub_90
comp_832,gics_sub_22
comp_833,gics_sub_47
comp_834,gics_sub_31
comp_836,gics_sub_31
comp_837,gics_sub_31
comp_838,gics_sub_60
comp_839,gics_sub_106
comp_840,gics_sub_23
comp_841,gics_sub_37
comp_842,gics_sub_64
comp_843,gics_sub_27
comp_844,gics_sub_47
comp_845,gics_sub_22
comp_846,gics_sub_17
comp_847,gics_sub_97
comp_848,gics_sub_31
comp_849,gics_sub_47
comp_850,gics_sub_22
comp_851,gics_sub_17
comp_852,gics_sub_31
comp_853,gics_sub_64
comp_854,gics_sub_47
comp_855,gics_sub_91
comp_856,gics_sub_109
comp_857,gics_sub_64
comp_858,gics_sub_80
comp_859,gics_sub_23
comp_860,gics_sub_106
comp_861,gics_sub_47
comp_862,gics_sub_106
comp_863,gics_sub_82
comp_864,gics_sub_31
comp_865,gics_sub_42
comp_866,gics_sub_31
comp_867,gics_sub_106
comp_868,gics_sub_64
comp_869,gics_sub_47
comp_870,gics_sub_47
comp_871,gics_sub_31
comp_872,gics_sub_22
comp_873,gics_sub_47
comp_874,gics_sub_31
comp_875,gics_sub_31
comp_877,gics_sub_34
comp_878,gics_sub_31
comp_879,gics_sub_10
comp_880,gics_sub_37
comp_881,gics_sub_31
comp_882,gics_sub_105
comp_883,gics_sub_38
comp_884,gics_sub_47
comp_885,gics_sub_64
comp_886,gics_sub_106
comp_887,gics_sub_106
comp_888,gics_sub_31
comp_889,gics_sub_31
comp_890,gics_sub_64
comp_891,gics_sub_91
comp_892,gics_sub_47
comp_893,gics_sub_31
comp_894,gics_sub_47
comp_895,gics_sub_47
comp_896,gics_sub_83
comp_899,gics_sub_47
comp_900,gics_sub_31
comp_902,gics_sub_31
comp_903,gics_sub_6
comp_904,gics_sub_12
comp_905,gics_sub_47
comp_906,gics_sub_31
comp_907,gics_sub_31
comp_908,gics_sub_64
comp_909,gics_sub_41
comp_912,gics_sub_91
comp_913,gics_sub_94
comp_914,gics_sub_76
comp_916,gics_sub_13
comp_917,gics_sub_31
comp_918,gics_sub_31
comp_922,gics_sub_45
comp_923,gics_sub_31
comp_924,gics_sub_31
comp_926,gics_sub_35
comp_927,gics_sub_97
comp_928,gics_sub_78
comp_929,gics_sub_31
comp_930,gics_sub_47
comp_931,gics_sub_84
comp_933,gics_sub_91
comp_934,gics_sub_47
comp_935,gics_sub_31
comp_936,gics_sub_102
comp_937,gics_sub_84
comp_938,gics_sub_10
comp_939,gics_sub_47
comp_941,gics_sub_91
comp_942,gics_sub_47
comp_944,gics_sub_91
comp_945,gics_sub_31
comp_947,gics_sub_10
comp_948,gics_sub_91
comp_951,gics_sub_80
comp_952,gics_sub_47
comp_956,gics_sub_17
comp_957,gics_sub_47
comp_959,gics_sub_103
comp_960,gics_sub_47
comp_963,gics_sub_47
comp_966,gics_sub_115
comp_967,gics_sub_91
comp_968,gics_sub_91
comp_969,gics_sub_9
comp_970,gics_sub_91
comp_971,gics_sub_31
comp_972,gics_sub_7
comp_977,gics_sub_64
comp_978,gics_sub_47
comp_981,gics_sub_47
comp_986,gics_sub_41
comp_987,gics_sub_31
comp_989,gics_sub_60
comp_990,gics_sub_47
comp_992,gics_sub_41
comp_993,gics_sub_90
comp_995,gics_sub_32
comp_996,gics_sub_47
comp_997,gics_sub_90
comp_998,gics_sub_68
comp_1002,gics_sub_47
comp_1006,gics_sub_17
comp_1007,gics_sub_91
comp_1008,gics_sub_31
comp_1010,gics_sub_91
comp_1013,gics_sub_77
comp_1014,gics_sub_31
comp_1015,gics_sub_17
comp_1016,gics_sub_47
comp_1017,gics_sub_31
