:START_ID,:END_ID
comp_1,icb_sub_57
comp_2,icb_sub_57
comp_3,icb_sub_57
comp_4,icb_sub_69
comp_5,icb_sub_58
comp_6,icb_sub_58
comp_7,icb_sub_57
comp_8,icb_sub_32
comp_9,icb_sub_57
comp_10,icb_sub_57
comp_11,icb_sub_69
comp_12,icb_sub_57
comp_13,icb_sub_57
comp_14,icb_sub_58
comp_15,icb_sub_48
comp_16,icb_sub_21
comp_17,icb_sub_58
comp_18,icb_sub_58
comp_19,icb_sub_32
comp_20,icb_sub_21
comp_21,icb_sub_58
comp_22,icb_sub_58
comp_23,icb_sub_48
comp_24,icb_sub_58
comp_25,icb_sub_58
comp_26,icb_sub_48
comp_27,icb_sub_58
comp_28,icb_sub_58
comp_29,icb_sub_57
comp_30,icb_sub_57
comp_31,icb_sub_58
comp_32,icb_sub_21
comp_33,icb_sub_58
comp_34,icb_sub_57
comp_35,icb_sub_57
comp_36,icb_sub_57
comp_37,icb_sub_57
comp_38,icb_sub_69
comp_39,icb_sub_84
comp_40,icb_sub_58
comp_41,icb_sub_48
comp_42,icb_sub_57
comp_43,icb_sub_58
comp_44,icb_sub_57
comp_45,icb_sub_58
comp_46,icb_sub_58
comp_47,icb_sub_3
comp_48,icb_sub_21
comp_49,icb_sub_57
comp_50,icb_sub_57
comp_51,icb_sub_26
comp_52,icb_sub_67
comp_53,icb_sub_58
comp_54,icb_sub_57
comp_55,icb_sub_113
comp_56,icb_sub_57
comp_57,icb_sub_58
comp_58,icb_sub_57
comp_59,icb_sub_48
comp_60,icb_sub_26
comp_61,icb_sub_69
comp_62,icb_sub_84
comp_63,icb_sub_58
comp_64,icb_sub_57
comp_65,icb_sub_3
comp_66,icb_sub_58
comp_67,icb_sub_57
comp_68,icb_sub_57
comp_69,icb_sub_57
comp_70,icb_sub_58
comp_71,icb_sub_57
comp_72,icb_sub_57
comp_73,icb_sub_58
comp_74,icb_sub_84
comp_75,icb_sub_84
comp_76,icb_sub_57
comp_77,icb_sub_57
comp_78,icb_sub_48
comp_79,icb_sub_57
comp_80,icb_sub_57
comp_81,icb_sub_48
comp_82,icb_sub_57
comp_83,icb_sub_58
comp_84,icb_sub_84
comp_85,icb_sub_58
comp_86,icb_sub_84
comp_87,icb_sub_17
comp_88,icb_sub_4
comp_89,icb_sub_57
comp_90,icb_sub_57
comp_91,icb_sub_48
comp_92,icb_sub_57
comp_93,icb_sub_58
comp_94,icb_sub_58
comp_95,icb_sub_57
comp_96,icb_sub_48
comp_97,icb_sub_57
comp_98,icb_sub_57
comp_99,icb_sub_69
comp_100,icb_sub_57
comp_101,icb_sub_58
comp_102,icb_sub_57
comp_103,icb_sub_57
comp_104,icb_sub_48
comp_105,icb_sub_57
comp_106,icb_sub_57
comp_107,icb_sub_57
comp_108,icb_sub_69
comp_109,icb_sub_57
comp_110,icb_sub_58
comp_111,icb_sub_57
comp_112,icb_sub_57
comp_113,icb_sub_58
comp_114,icb_sub_57
comp_115,icb_sub_57
comp_116,icb_sub_95
comp_117,icb_sub_57
comp_118,icb_sub_57
comp_119,icb_sub_57
comp_120,icb_sub_58
comp_121,icb_sub_57
comp_122,icb_sub_57
comp_123,icb_sub_57
comp_124,icb_sub_58
comp_125,icb_sub_58
comp_126,icb_sub_57
comp_127,icb_sub_58
comp_128,icb_sub_57
comp_129,icb_sub_57
comp_130,icb_sub_58
comp_131,icb_sub_57
comp_132,icb_sub_58
comp_133,icb_sub_58
comp_134,icb_sub_69
comp_135,icb_sub_69
comp_136,icb_sub_57
comp_137,icb_sub_58
comp_138,icb_sub_57
comp_139,icb_sub_58
comp_140,icb_sub_57
comp_141,icb_sub_58
comp_142,icb_sub_57
comp_143,icb_sub_58
comp_144,icb_sub_3
comp_145,icb_sub_57
comp_146,icb_sub_57
comp_147,icb_sub_58
comp_148,icb_sub_57
comp_149,icb_sub_57
comp_150,icb_sub_57
comp_151,icb_sub_57
comp_152,icb_sub_57
comp_153,icb_sub_57
comp_154,icb_sub_57
comp_155,icb_sub_84
comp_156,icb_sub_58
comp_157,icb_sub_57
comp_158,icb_sub_4
comp_159,icb_sub_58
comp_160,icb_sub_71
comp_161,icb_sub_57
comp_163,icb_sub_57
comp_164,icb_sub_58
comp_165,icb_sub_58
comp_166,icb_sub_57
comp_167,icb_sub_57
comp_168,icb_sub_32
comp_169,icb_sub_57
comp_170,icb_sub_3
comp_171,icb_sub_57
comp_172,icb_sub_79
comp_173,icb_sub_57
comp_174,icb_sub_58
comp_175,icb_sub_58
comp_176,icb_sub_57
comp_177,icb_sub_84
comp_178,icb_sub_79
comp_179,icb_sub_57
comp_180,icb_sub_57
comp_181,icb_sub_57
comp_182,icb_sub_57
comp_183,icb_sub_58
comp_184,icb_sub_57
comp_185,icb_sub_57
comp_186,icb_sub_57
comp_187,icb_sub_57
comp_188,icb_sub_84
comp_189,icb_sub_21
comp_190,icb_sub_57
comp_191,icb_sub_71
comp_192,icb_sub_25
comp_193,icb_sub_57
comp_194,icb_sub_57
comp_195,icb_sub_57
comp_196,icb_sub_57
comp_197,icb_sub_57
comp_198,icb_sub_84
comp_199,icb_sub_58
comp_200,icb_sub_58
comp_201,icb_sub_57
comp_202,icb_sub_57
comp_203,icb_sub_57
comp_204,icb_sub_58
comp_205,icb_sub_57
comp_206,icb_sub_57
comp_207,icb_sub_57
comp_208,icb_sub_57
comp_209,icb_sub_84
comp_210,icb_sub_57
comp_211,icb_sub_21
comp_212,icb_sub_58
comp_213,icb_sub_58
comp_214,icb_sub_57
comp_215,icb_sub_58
comp_216,icb_sub_84
comp_217,icb_sub_57
comp_218,icb_sub_57
comp_219,icb_sub_57
