:START_ID,:END_ID
country_2,cg_3
country_103,cg_5
country_18,cg_2
country_102,cg_4
country_28,cg_4
country_46,cg_2
country_15,cg_5
country_60,cg_7
country_85,cg_6
country_38,cg_2
country_90,cg_1
country_51,cg_6
country_12,cg_7
country_39,cg_2
country_94,cg_4
country_66,cg_4
country_93,cg_4
country_17,cg_7
country_56,cg_6
country_101,cg_6
country_91,cg_4
country_31,cg_4
country_37,cg_6
country_77,cg_7
country_70,cg_4
country_87,cg_2
country_27,cg_4
country_58,cg_2
country_99,cg_6
country_3,cg_6
country_44,cg_4
country_95,cg_6
country_7,cg_6
country_107,cg_6
country_84,cg_6
country_64,cg_6
country_79,cg_6
country_24,cg_6
country_5,cg_6
country_34,cg_6
country_78,cg_2
country_82,cg_6
country_43,cg_6
country_48,cg_6
country_80,cg_6
country_1,cg_7
country_62,cg_6
country_97,cg_6
country_26,cg_6
country_36,cg_6
country_108,cg_6
country_109,cg_1
country_59,cg_6
country_19,cg_6
country_67,cg_6
country_71,cg_6
country_52,cg_6
country_42,cg_6
country_20,cg_6
country_49,cg_6
country_21,cg_6
country_41,cg_6
country_53,cg_6
country_4,cg_6
country_16,cg_6
country_83,cg_6
country_92,cg_6
country_6,cg_6
country_72,cg_6
country_75,cg_6
country_88,cg_6
country_68,cg_6
country_32,cg_1
country_69,cg_6
country_105,cg_6
country_57,cg_6
country_13,cg_6
country_86,cg_6
country_63,cg_6
country_33,cg_6
country_14,cg_6
country_89,cg_6
country_100,cg_6
country_10,cg_6
country_8,cg_6
country_47,cg_6
country_11,cg_1
country_73,cg_6
country_29,cg_6
country_98,cg_6
country_23,cg_6
country_40,cg_6
country_110,cg_6
country_45,cg_6
country_96,cg_6
country_25,cg_6
country_22,cg_6
country_106,cg_6
country_50,cg_6
country_54,cg_6
country_81,cg_6
country_65,cg_6
country_61,cg_6
country_104,cg_6
country_35,cg_6
country_30,cg_6
country_9,cg_6
country_55,cg_6
country_76,cg_6
country_74,cg_6
