:START_ID,:END_ID
comp_1,country_2
comp_2,country_2
comp_3,country_2
comp_4,country_2
comp_5,country_2
comp_6,country_2
comp_7,country_2
comp_8,country_2
comp_9,country_2
comp_10,country_2
comp_11,country_2
comp_12,country_2
comp_13,country_2
comp_14,country_2
comp_15,country_2
comp_16,country_2
comp_17,country_2
comp_18,country_2
comp_19,country_2
comp_20,country_2
comp_21,country_2
comp_22,country_2
comp_23,country_2
comp_24,country_2
comp_25,country_2
comp_26,country_2
comp_27,country_2
comp_28,country_2
comp_29,country_2
comp_30,country_2
comp_31,country_2
comp_32,country_2
comp_33,country_2
comp_34,country_2
comp_35,country_2
comp_36,country_2
comp_37,country_2
comp_38,country_2
comp_39,country_2
comp_40,country_2
comp_41,country_2
comp_42,country_2
comp_43,country_2
comp_44,country_2
comp_45,country_2
comp_46,country_2
comp_47,country_2
comp_48,country_2
comp_49,country_2
comp_50,country_2
comp_51,country_2
comp_52,country_2
comp_53,country_2
comp_54,country_2
comp_55,country_2
comp_56,country_2
comp_57,country_2
comp_58,country_2
comp_59,country_2
comp_60,country_2
comp_61,country_2
comp_62,country_2
comp_63,country_2
comp_64,country_2
comp_65,country_2
comp_66,country_2
comp_67,country_2
comp_68,country_2
comp_69,country_2
comp_70,country_2
comp_71,country_2
comp_72,country_2
comp_73,country_2
comp_74,country_2
comp_75,country_2
comp_76,country_2
comp_77,country_2
comp_78,country_2
comp_79,country_2
comp_80,country_2
comp_81,country_2
comp_82,country_2
comp_83,country_2
comp_84,country_2
comp_85,country_2
comp_86,country_2
comp_87,country_2
comp_88,country_2
comp_89,country_2
comp_90,country_2
comp_91,country_2
comp_92,country_2
comp_93,country_2
comp_94,country_2
comp_95,country_2
comp_96,country_2
comp_97,country_2
comp_98,country_2
comp_99,country_2
comp_100,country_2
comp_101,country_2
comp_102,country_2
comp_103,country_2
comp_104,country_2
comp_105,country_2
comp_106,country_2
comp_107,country_2
comp_108,country_2
comp_109,country_2
comp_110,country_2
comp_111,country_2
comp_112,country_2
comp_113,country_2
comp_114,country_2
comp_115,country_2
comp_116,country_2
comp_117,country_2
comp_118,country_2
comp_119,country_2
comp_120,country_2
comp_121,country_2
comp_122,country_2
comp_123,country_2
comp_124,country_2
comp_125,country_2
comp_126,country_2
comp_127,country_2
comp_128,country_2
comp_129,country_2
comp_130,country_2
comp_131,country_2
comp_132,country_2
comp_133,country_2
comp_134,country_2
comp_135,country_2
comp_136,country_2
comp_137,country_2
comp_138,country_2
comp_139,country_2
comp_140,country_2
comp_141,country_2
comp_142,country_2
comp_143,country_2
comp_144,country_2
comp_145,country_2
comp_146,country_2
comp_147,country_2
comp_148,country_2
comp_149,country_2
comp_150,country_2
comp_151,country_2
comp_152,country_2
comp_153,country_2
comp_154,country_2
comp_155,country_2
comp_156,country_2
comp_157,country_2
comp_158,country_2
comp_159,country_2
comp_160,country_2
comp_161,country_2
comp_162,country_2
comp_163,country_2
comp_164,country_2
comp_165,country_2
comp_166,country_2
comp_167,country_2
comp_168,country_2
comp_169,country_2
comp_170,country_2
comp_171,country_2
comp_172,country_2
comp_173,country_2
comp_174,country_2
comp_175,country_2
comp_176,country_2
comp_177,country_2
comp_178,country_2
comp_179,country_2
comp_180,country_2
comp_181,country_2
comp_182,country_2
comp_183,country_2
comp_184,country_2
comp_185,country_2
comp_186,country_2
comp_187,country_2
comp_188,country_2
comp_189,country_2
comp_190,country_2
comp_191,country_2
comp_192,country_2
comp_193,country_2
comp_194,country_2
comp_195,country_2
comp_196,country_2
comp_197,country_2
comp_198,country_2
comp_199,country_2
comp_200,country_2
comp_201,country_2
comp_202,country_2
comp_203,country_2
comp_204,country_2
comp_205,country_2
comp_206,country_2
comp_207,country_2
comp_208,country_2
comp_209,country_2
comp_210,country_2
comp_211,country_2
comp_212,country_2
comp_213,country_2
comp_214,country_2
comp_215,country_2
comp_216,country_2
comp_217,country_2
comp_218,country_2
comp_219,country_2
comp_220,country_2
comp_221,country_2
comp_222,country_2
comp_223,country_2
comp_224,country_2
comp_225,country_2
comp_226,country_2
comp_227,country_2
comp_228,country_2
comp_229,country_2
comp_230,country_2
comp_231,country_2
comp_232,country_2
comp_233,country_2
comp_234,country_2
comp_235,country_2
comp_236,country_2
comp_237,country_2
comp_238,country_2
comp_239,country_2
comp_240,country_2
comp_241,country_2
comp_242,country_2
comp_243,country_2
comp_244,country_2
comp_245,country_2
comp_246,country_2
comp_247,country_2
comp_248,country_2
comp_249,country_2
comp_250,country_2
comp_251,country_2
comp_252,country_2
comp_253,country_2
comp_254,country_2
comp_255,country_2
comp_256,country_2
comp_257,country_2
comp_258,country_2
comp_259,country_2
comp_260,country_2
comp_261,country_2
comp_262,country_2
comp_263,country_2
comp_264,country_2
comp_265,country_2
comp_266,country_2
comp_267,country_2
comp_268,country_2
comp_269,country_2
comp_270,country_2
comp_271,country_2
comp_272,country_2
comp_273,country_2
comp_274,country_2
comp_275,country_2
comp_276,country_2
comp_277,country_2
comp_278,country_2
comp_279,country_2
comp_280,country_2
comp_281,country_2
comp_282,country_2
comp_283,country_2
comp_284,country_2
comp_285,country_2
comp_286,country_2
comp_287,country_2
comp_288,country_2
comp_289,country_2
comp_290,country_2
comp_291,country_2
comp_292,country_2
comp_293,country_2
comp_294,country_2
comp_295,country_2
comp_296,country_2
comp_297,country_2
comp_298,country_2
comp_299,country_2
comp_300,country_2
comp_301,country_2
comp_302,country_2
comp_303,country_2
comp_304,country_2
comp_305,country_2
comp_306,country_2
comp_307,country_2
comp_308,country_2
comp_309,country_2
comp_310,country_2
comp_311,country_2
comp_312,country_2
comp_313,country_2
comp_314,country_2
comp_315,country_2
comp_316,country_2
comp_317,country_2
comp_318,country_2
comp_319,country_2
comp_320,country_2
comp_321,country_2
comp_322,country_2
comp_323,country_2
comp_324,country_2
comp_325,country_2
comp_326,country_2
comp_327,country_2
comp_328,country_2
comp_329,country_2
comp_330,country_2
comp_331,country_2
comp_332,country_2
comp_333,country_2
comp_334,country_2
comp_335,country_2
comp_336,country_2
comp_337,country_2
comp_338,country_2
comp_339,country_2
comp_340,country_2
comp_341,country_2
comp_342,country_2
comp_343,country_2
comp_344,country_2
comp_345,country_2
comp_346,country_2
comp_347,country_2
comp_348,country_2
comp_349,country_2
comp_350,country_2
comp_351,country_2
comp_352,country_2
comp_353,country_2
comp_354,country_2
comp_355,country_2
comp_356,country_2
comp_357,country_2
comp_358,country_2
comp_359,country_2
comp_360,country_2
comp_361,country_2
comp_362,country_2
comp_363,country_2
comp_364,country_2
comp_365,country_2
comp_366,country_2
comp_367,country_2
comp_368,country_2
comp_369,country_2
comp_370,country_2
comp_371,country_2
comp_372,country_2
comp_373,country_2
comp_374,country_2
comp_375,country_2
comp_376,country_2
comp_377,country_2
comp_378,country_2
comp_379,country_2
comp_380,country_2
comp_381,country_2
comp_382,country_2
comp_383,country_2
comp_384,country_2
comp_385,country_2
comp_386,country_2
comp_387,country_2
comp_388,country_2
comp_389,country_2
comp_390,country_2
comp_391,country_2
comp_392,country_2
comp_393,country_2
comp_394,country_2
comp_395,country_2
comp_396,country_2
comp_397,country_2
comp_398,country_2
comp_399,country_2
comp_400,country_2
comp_401,country_2
comp_402,country_2
comp_403,country_2
comp_404,country_2
comp_405,country_2
comp_406,country_2
comp_407,country_2
comp_408,country_2
comp_409,country_2
comp_410,country_2
comp_411,country_2
comp_412,country_2
comp_413,country_2
comp_414,country_2
comp_415,country_2
comp_416,country_2
comp_417,country_2
comp_418,country_2
comp_419,country_2
comp_420,country_2
comp_421,country_2
comp_422,country_2
comp_423,country_2
comp_424,country_2
comp_425,country_2
comp_426,country_2
comp_427,country_2
comp_428,country_2
comp_429,country_2
comp_430,country_2
comp_431,country_2
comp_432,country_2
comp_433,country_2
comp_434,country_2
comp_435,country_2
comp_436,country_2
comp_437,country_2
comp_438,country_2
comp_439,country_2
comp_440,country_2
comp_441,country_2
comp_442,country_2
comp_443,country_2
comp_444,country_2
