:START_ID,:END_ID,:TYPE,ROLE:string
deposit_0001,commodity_0018,HAS,Primary
deposit_0001,commodity_0086,HAS,Primary
deposit_0002,commodity_0001,HAS,Primary
deposit_0002,commodity_0010,HAS,Primary
deposit_0003,commodity_0010,HAS,Primary
deposit_0004,commodity_0037,HAS,Secondary
deposit_0004,commodity_0113,HAS,Primary
deposit_0005,commodity_0010,HAS,Primary
deposit_0006,commodity_0010,HAS,Primary
deposit_0007,commodity_0015,HAS,Primary
deposit_0008,commodity_0010,HAS,Primary
deposit_0009,commodity_0015,HAS,Primary
deposit_0010,commodity_0010,HAS,Primary
deposit_0011,commodity_0015,HAS,Primary
deposit_0012,commodity_0010,HAS,Primary
deposit_0013,commodity_0010,HAS,Primary
deposit_0014,commodity_0010,HAS,Primary
deposit_0015,commodity_0026,HAS,Primary
deposit_0016,commodity_0010,HAS,Primary
deposit_0017,commodity_0010,HAS,Primary
deposit_0018,commodity_0001,HAS,Secondary
deposit_0018,commodity_0011,HAS,Secondary
deposit_0018,commodity_0093,HAS,Primary
deposit_0018,commodity_0137,HAS,Primary
deposit_0019,commodity_0010,HAS,Primary
deposit_0020,commodity_0126,HAS,Primary
deposit_0020,commodity_0127,HAS,Secondary
deposit_0021,commodity_0037,HAS,Secondary
deposit_0021,commodity_0040,HAS,Primary
deposit_0022,commodity_0001,HAS,Secondary
deposit_0022,commodity_0010,HAS,Primary
deposit_0022,commodity_0017,HAS,Secondary
deposit_0022,commodity_0026,HAS,Primary
deposit_0022,commodity_0093,HAS,Primary
deposit_0022,commodity_0108,HAS,Primary
deposit_0022,commodity_0137,HAS,Primary
deposit_0023,commodity_0001,HAS,Secondary
deposit_0023,commodity_0010,HAS,Secondary
deposit_0023,commodity_0026,HAS,Primary
deposit_0023,commodity_0093,HAS,Primary
deposit_0023,commodity_0137,HAS,Primary
deposit_0024,commodity_0010,HAS,Primary
deposit_0024,commodity_0026,HAS,Primary
deposit_0025,commodity_0010,HAS,Primary
deposit_0026,commodity_0015,HAS,Primary
deposit_0027,commodity_0015,HAS,Primary
deposit_0028,commodity_0010,HAS,Primary
deposit_0028,commodity_0026,HAS,Primary
deposit_0029,commodity_0010,HAS,Primary
deposit_0030,commodity_0001,HAS,Secondary
deposit_0030,commodity_0010,HAS,Primary
deposit_0030,commodity_0026,HAS,Primary
deposit_0030,commodity_0079,HAS,Primary
deposit_0030,commodity_0101,HAS,Secondary
deposit_0031,commodity_0001,HAS,Secondary
deposit_0031,commodity_0006,HAS,Secondary
deposit_0031,commodity_0010,HAS,Primary
deposit_0031,commodity_0013,HAS,Primary
deposit_0031,commodity_0018,HAS,Primary
deposit_0031,commodity_0026,HAS,Primary
deposit_0032,commodity_0010,HAS,Primary
deposit_0033,commodity_0001,HAS,Secondary
deposit_0033,commodity_0006,HAS,Primary
deposit_0033,commodity_0017,HAS,Primary
deposit_0033,commodity_0026,HAS,Primary
deposit_0033,commodity_0037,HAS,Secondary
deposit_0033,commodity_0093,HAS,Primary
deposit_0033,commodity_0137,HAS,Primary
deposit_0034,commodity_0015,HAS,Primary
deposit_0035,commodity_0015,HAS,Primary
deposit_0036,commodity_0068,HAS,Primary
deposit_0036,commodity_0116,HAS,Primary
deposit_0036,commodity_0117,HAS,Primary
deposit_0037,commodity_0018,HAS,Secondary
deposit_0037,commodity_0026,HAS,Secondary
deposit_0037,commodity_0086,HAS,Primary
deposit_0038,commodity_0026,HAS,Primary
deposit_0039,commodity_0015,HAS,Primary
deposit_0040,commodity_0016,HAS,Primary
deposit_0041,commodity_0010,HAS,Primary
deposit_0042,commodity_0075,HAS,Primary
deposit_0042,commodity_0076,HAS,Secondary
deposit_0043,commodity_0072,HAS,Primary
deposit_0043,commodity_0073,HAS,Primary
deposit_0044,commodity_0010,HAS,Primary
deposit_0044,commodity_0108,HAS,Primary
deposit_0045,commodity_0010,HAS,Primary
deposit_0045,commodity_0026,HAS,Primary
deposit_0045,commodity_0126,HAS,Secondary
deposit_0045,commodity_0127,HAS,Secondary
deposit_0046,commodity_0037,HAS,Primary
deposit_0046,commodity_0040,HAS,Primary
deposit_0046,commodity_0105,HAS,Primary
deposit_0046,commodity_0128,HAS,Primary
deposit_0046,commodity_0129,HAS,Secondary
deposit_0047,commodity_0010,HAS,Primary
deposit_0048,commodity_0016,HAS,Primary
deposit_0049,commodity_0016,HAS,Primary
deposit_0050,commodity_0010,HAS,Primary
deposit_0051,commodity_0010,HAS,Primary
deposit_0052,commodity_0010,HAS,Primary
deposit_0053,commodity_0015,HAS,Primary
deposit_0054,commodity_0047,HAS,Secondary
deposit_0054,commodity_0057,HAS,Primary
deposit_0054,commodity_0066,HAS,Secondary
deposit_0054,commodity_0105,HAS,Primary
deposit_0054,commodity_0139,HAS,Primary
deposit_0055,commodity_0057,HAS,Primary
deposit_0055,commodity_0066,HAS,Secondary
deposit_0055,commodity_0105,HAS,Secondary
deposit_0055,commodity_0139,HAS,Primary
deposit_0056,commodity_0010,HAS,Primary
deposit_0057,commodity_0026,HAS,Primary
deposit_0058,commodity_0001,HAS,Primary
deposit_0058,commodity_0010,HAS,Primary
deposit_0058,commodity_0026,HAS,Primary
deposit_0059,commodity_0003,HAS,Secondary
deposit_0059,commodity_0014,HAS,Primary
deposit_0059,commodity_0111,HAS,Secondary
deposit_0060,commodity_0057,HAS,Primary
deposit_0060,commodity_0077,HAS,Secondary
deposit_0060,commodity_0078,HAS,Primary
deposit_0060,commodity_0105,HAS,Secondary
deposit_0060,commodity_0139,HAS,Primary
deposit_0061,commodity_0001,HAS,Primary
deposit_0061,commodity_0010,HAS,Primary
deposit_0061,commodity_0012,HAS,Primary
deposit_0061,commodity_0026,HAS,Primary
deposit_0061,commodity_0037,HAS,Secondary
deposit_0061,commodity_0040,HAS,Primary
deposit_0062,commodity_0010,HAS,Primary
deposit_0062,commodity_0026,HAS,Primary
deposit_0063,commodity_0018,HAS,Secondary
deposit_0063,commodity_0026,HAS,Secondary
deposit_0063,commodity_0086,HAS,Primary
deposit_0064,commodity_0026,HAS,Primary
deposit_0065,commodity_0001,HAS,Primary
deposit_0065,commodity_0010,HAS,Primary
deposit_0065,commodity_0026,HAS,Primary
deposit_0065,commodity_0093,HAS,Primary
deposit_0065,commodity_0137,HAS,Primary
deposit_0066,commodity_0015,HAS,Primary
deposit_0067,commodity_0015,HAS,Primary
deposit_0068,commodity_0057,HAS,Primary
deposit_0068,commodity_0066,HAS,Primary
deposit_0068,commodity_0077,HAS,Primary
deposit_0068,commodity_0105,HAS,Primary
deposit_0068,commodity_0139,HAS,Primary
deposit_0069,commodity_0010,HAS,Primary
deposit_0070,commodity_0001,HAS,Primary
deposit_0070,commodity_0010,HAS,Secondary
deposit_0070,commodity_0026,HAS,Secondary
deposit_0070,commodity_0093,HAS,Primary
deposit_0070,commodity_0137,HAS,Primary
deposit_0071,commodity_0010,HAS,Primary
deposit_0071,commodity_0018,HAS,Primary
deposit_0071,commodity_0026,HAS,Secondary
deposit_0071,commodity_0086,HAS,Primary
deposit_0071,commodity_0094,HAS,Primary
deposit_0071,commodity_0095,HAS,Secondary
deposit_0071,commodity_0099,HAS,Primary
deposit_0072,commodity_0010,HAS,Primary
deposit_0073,commodity_0010,HAS,Primary
deposit_0074,commodity_0010,HAS,Primary
