:START_ID,:END_ID,role:string
project_1,commodity_31,Primary
project_1,commodity_12,Primary
project_2,commodity_89,Primary
project_2,commodity_31,Primary
project_3,commodity_12,Primary
project_3,commodity_2,Primary
project_4,commodity_128,Primary
project_5,commodity_24,Primary
project_6,commodity_19,Primary
project_7,commodity_19,Primary
project_8,commodity_19,Primary
project_9,commodity_19,Primary
project_10,commodity_45,Primary
project_11,commodity_45,Primary
project_12,commodity_45,Primary
project_13,commodity_45,Primary
project_14,commodity_45,Primary
project_15,commodity_45,Primary
project_16,commodity_19,Primary
project_17,commodity_19,Primary
project_18,commodity_12,Primary
project_18,commodity_31,Primary
project_19,commodity_154,Primary
project_19,commodity_105,Primary
project_19,commodity_2,Primary
project_20,commodity_143,Primary
project_20,commodity_144,Secondary
project_21,commodity_42,Primary
project_21,commodity_45,Primary
project_22,commodity_31,Primary
project_22,commodity_22,Primary
project_22,commodity_2,Secondary
project_23,commodity_12,Primary
project_23,commodity_31,Primary
project_24,commodity_12,Primary
project_25,commodity_143,Primary
project_26,commodity_12,Primary
project_27,commodity_42,Primary
project_28,commodity_31,Primary
project_28,commodity_154,Primary
project_28,commodity_105,Secondary
project_28,commodity_2,Secondary
project_28,commodity_12,Secondary
project_29,commodity_12,Primary
project_30,commodity_97,Primary
project_30,commodity_31,Primary
project_30,commodity_104,Primary
project_30,commodity_106,Primary
project_30,commodity_110,Primary
project_30,commodity_22,Primary
project_30,commodity_67,Primary
project_31,commodity_31,Primary
project_31,commodity_2,Primary
project_31,commodity_12,Primary
project_32,commodity_2,Primary
project_32,commodity_31,Primary
project_32,commodity_12,Primary
project_33,commodity_154,Primary
project_33,commodity_12,Primary
project_33,commodity_105,Primary
project_33,commodity_31,Primary
project_33,commodity_2,Secondary
project_34,commodity_31,Primary
project_35,commodity_12,Primary
project_36,commodity_12,Primary
project_37,commodity_143,Primary
project_37,commodity_144,Primary
project_38,commodity_19,Primary
project_39,commodity_19,Primary
project_40,commodity_19,Primary
project_41,commodity_19,Primary
project_42,commodity_107,Primary
project_42,commodity_103,Secondary
project_43,commodity_107,Primary
project_43,commodity_103,Secondary
project_44,commodity_31,Primary
project_45,commodity_31,Primary
project_46,commodity_31,Primary
project_47,commodity_12,Primary
project_47,commodity_31,Primary
project_48,commodity_12,Primary
project_49,commodity_12,Primary
project_50,commodity_12,Primary
project_51,commodity_45,Primary
project_51,commodity_42,Primary
project_51,commodity_140,Primary
project_51,commodity_145,Primary
project_51,commodity_79,Primary
project_51,commodity_139,Secondary
project_51,commodity_146,Secondary
project_52,commodity_45,Primary
project_52,commodity_42,Secondary
project_53,commodity_12,Primary
project_54,commodity_86,Primary
project_54,commodity_85,Secondary
project_55,commodity_31,Primary
project_56,commodity_12,Primary
project_57,commodity_12,Primary
project_58,commodity_97,Primary
project_59,commodity_12,Primary
project_60,commodity_12,Primary
project_61,commodity_128,Primary
project_62,commodity_19,Primary
project_63,commodity_19,Primary
project_64,commodity_12,Primary
project_65,commodity_12,Primary
project_66,commodity_12,Primary
project_67,commodity_19,Primary
project_68,commodity_42,Primary
project_69,commodity_12,Primary
project_70,commodity_33,Primary
project_70,commodity_35,Primary
project_70,commodity_34,Primary
project_71,commodity_31,Primary
project_71,commodity_154,Primary
project_72,commodity_19,Primary
project_73,commodity_115,Primary
project_74,commodity_12,Primary
project_74,commodity_2,Secondary
project_75,commodity_12,Primary
project_76,commodity_2,Primary
project_76,commodity_12,Primary
project_77,commodity_20,Primary
project_78,commodity_12,Primary
project_79,commodity_157,Primary
project_79,commodity_65,Secondary
project_79,commodity_119,Secondary
project_79,commodity_74,Secondary
project_80,commodity_19,Primary
project_81,commodity_97,Primary
project_81,commodity_22,Primary
project_82,commodity_12,Primary
project_83,commodity_157,Primary
project_83,commodity_119,Primary
project_83,commodity_65,Primary
