:START_ID,:END_ID
lga_273,state_6
lga_100,state_9
lga_72,state_3
lga_294,state_7
lga_238,state_5
lga_60,state_5
lga_206,state_3
lga_186,state_3
lga_51,state_9
lga_202,state_9
lga_193,state_9
lga_87,state_9
lga_227,state_9
lga_307,state_9
lga_228,state_9
lga_213,state_3
lga_268,state_8
lga_91,state_9
lga_9,state_9
lga_76,state_5
lga_172,state_4
lga_144,state_9
lga_146,state_9
lga_17,state_4
lga_64,state_5
lga_178,state_5
lga_167,state_5
lga_272,state_4
lga_293,state_4
lga_159,state_3
lga_106,state_3
lga_16,state_5
lga_197,state_5
lga_71,state_5
lga_301,state_9
lga_162,state_9
lga_216,state_5
lga_78,state_9
lga_239,state_4
lga_182,state_9
lga_123,state_8
lga_96,state_9
lga_28,state_3
lga_163,state_9
lga_165,state_3
lga_130,state_9
lga_15,state_5
lga_258,state_5
lga_161,state_8
lga_279,state_4
lga_271,state_3
lga_296,state_5
lga_240,state_9
lga_292,state_3
lga_171,state_6
lga_181,state_9
lga_303,state_3
lga_219,state_8
lga_154,state_9
lga_102,state_9
lga_50,state_9
lga_141,state_5
lga_235,state_9
lga_302,state_3
lga_203,state_9
lga_104,state_3
lga_109,state_3
lga_129,state_5
lga_150,state_7
lga_250,state_5
lga_173,state_8
lga_47,state_3
lga_38,state_3
lga_44,state_5
lga_103,state_5
lga_281,state_6
lga_99,state_8
lga_121,state_3
lga_223,state_3
lga_69,state_3
lga_237,state_5
lga_62,state_3
lga_59,state_8
lga_195,state_8
lga_291,state_8
lga_136,state_7
lga_147,state_9
lga_287,state_9
lga_46,state_9
lga_27,state_3
lga_83,state_6
lga_312,state_9
lga_298,state_5
lga_220,state_7
lga_21,state_3
lga_259,state_3
lga_127,state_3
lga_36,state_9
lga_56,state_7
lga_295,state_7
lga_304,state_3
lga_140,state_9
lga_94,state_5
lga_135,state_8
lga_49,state_3
lga_133,state_3
lga_132,state_8
lga_34,state_7
lga_8,state_3
lga_286,state_7
lga_196,state_6
lga_82,state_3
lga_117,state_3
lga_244,state_3
lga_86,state_5
lga_58,state_4
lga_118,state_8
lga_233,state_3
lga_115,state_5
lga_248,state_5
lga_308,state_9
lga_276,state_3
lga_79,state_4
lga_187,state_8
lga_175,state_8
lga_185,state_3
lga_131,state_9
lga_263,state_4
lga_12,state_8
lga_158,state_9
lga_6,state_6
lga_260,state_3
lga_1,state_6
lga_119,state_8
lga_137,state_8
lga_11,state_5
lga_24,state_3
lga_211,state_3
lga_265,state_5
lga_138,state_3
lga_261,state_3
lga_116,state_7
lga_29,state_9
lga_41,state_8
lga_168,state_8
lga_311,state_3
lga_10,state_9
lga_3,state_6
lga_310,state_8
lga_230,state_6
lga_30,state_3
lga_95,state_3
lga_14,state_3
lga_180,state_7
lga_88,state_9
lga_254,state_5
lga_134,state_5
lga_198,state_9
lga_218,state_9
lga_174,state_5
lga_290,state_3
lga_139,state_5
lga_80,state_6
lga_39,state_9
lga_149,state_3
lga_148,state_4
lga_7,state_8
lga_232,state_8
lga_192,state_8
lga_120,state_5
lga_89,state_9
lga_241,state_9
lga_297,state_9
lga_245,state_3
lga_242,state_9
lga_93,state_7
lga_22,state_8
lga_77,state_3
lga_252,state_8
lga_253,state_6
lga_236,state_5
lga_61,state_7
lga_157,state_3
lga_32,state_3
lga_210,state_9
lga_75,state_6
lga_224,state_3
lga_37,state_5
lga_208,state_9
lga_229,state_3
lga_55,state_3
lga_184,state_6
lga_285,state_8
lga_5,state_8
lga_26,state_3
lga_214,state_9
lga_155,state_9
lga_215,state_5
lga_124,state_9
lga_267,state_5
lga_31,state_5
lga_247,state_5
lga_177,state_5
lga_179,state_5
lga_212,state_3
lga_2,state_9
lga_226,state_3
lga_189,state_6
lga_111,state_5
lga_275,state_3
lga_280,state_9
lga_243,state_3
lga_53,state_3
lga_74,state_9
lga_152,state_7
lga_90,state_9
lga_45,state_7
lga_13,state_3
lga_33,state_9
lga_194,state_5
lga_169,state_5
lga_126,state_4
lga_85,state_3
lga_114,state_9
lga_288,state_3
lga_274,state_9
lga_204,state_8
lga_257,state_8
lga_48,state_8
lga_278,state_6
lga_66,state_2
lga_110,state_6
lga_164,state_6
lga_207,state_3
lga_221,state_5
lga_125,state_3
lga_255,state_8
lga_246,state_3
lga_112,state_8
lga_128,state_3
lga_266,state_5
lga_18,state_6
lga_122,state_6
lga_23,state_3
lga_84,state_9
lga_143,state_3
lga_205,state_5
lga_142,state_9
lga_231,state_3
lga_145,state_6
lga_277,state_3
lga_262,state_9
lga_217,state_9
lga_153,state_6
lga_283,state_3
lga_98,state_4
lga_309,state_6
lga_249,state_8
