:START_ID,:END_ID
comp_22281,project_615
comp_5773,project_615
comp_22428,project_616
comp_18875,project_616
comp_156,project_621
comp_5756,project_623
comp_17315,project_627
comp_10325,project_627
comp_10432,project_627
comp_5657,project_628
comp_6573,project_630
comp_10432,project_631
comp_18177,project_633
comp_5681,project_634
comp_6416,project_639
comp_27,project_640
comp_732,project_640
comp_22321,project_641
comp_341,project_642
comp_1626,project_643
comp_127,project_644
comp_5743,project_645
comp_5631,project_646
comp_131,project_647
comp_10334,project_649
comp_19267,project_652
comp_634,project_658
comp_24907,project_659
comp_10317,project_662
comp_3,project_662
comp_45,project_664
comp_5668,project_665
comp_19267,project_667
comp_6498,project_670
comp_19479,project_672
comp_6498,project_673
comp_17315,project_675
comp_5908,project_675
comp_10432,project_675
comp_5756,project_676
comp_3978,project_678
comp_6529,project_678
comp_5967,project_680
comp_5791,project_680
comp_18832,project_680
comp_5860,project_683
comp_18486,project_689
comp_806,project_692
comp_16,project_692
comp_6141,project_693
comp_351,project_694
comp_22980,project_696
comp_18875,project_699
comp_22428,project_699
comp_6109,project_703
comp_6529,project_703
comp_275,project_704
comp_5,project_705
comp_570,project_708
comp_319,project_709
comp_27,project_709
comp_5,project_710
comp_265,project_710
comp_12244,project_714
comp_247,project_717
comp_1281,project_470
comp_18489,project_471
comp_19850,project_472
comp_19267,project_473
comp_17705,project_475
comp_23265,project_476
comp_6242,project_476
comp_5680,project_477
comp_5697,project_479
comp_634,project_480
comp_5704,project_481
comp_6529,project_483
comp_6529,project_484
comp_12188,project_484
comp_5,project_492
comp_222,project_494
comp_30,project_495
comp_319,project_496
comp_27,project_496
comp_82,project_498
comp_319,project_498
comp_183,project_500
comp_113,project_500
comp_5,project_500
comp_517,project_502
comp_27,project_503
comp_1016,project_506
comp_5657,project_506
comp_19267,project_467
comp_18337,project_508
comp_20873,project_509
comp_16,project_509
comp_133,project_511
comp_23153,project_512
comp_21575,project_513
comp_82,project_513
comp_5,project_513
comp_362,project_514
comp_6,project_517
comp_6105,project_523
comp_5626,project_526
comp_23005,project_532
comp_27,project_532
comp_22428,project_536
comp_22428,project_537
comp_5,project_538
comp_30,project_539
comp_5842,project_541
comp_1016,project_543
comp_5657,project_543
comp_2096,project_544
comp_5607,project_547
comp_18927,project_549
comp_106,project_549
comp_21575,project_550
comp_82,project_550
comp_5,project_550
comp_230,project_552
comp_14,project_553
comp_517,project_507
comp_713,project_507
comp_6061,project_556
comp_6529,project_557
comp_1281,project_558
comp_204,project_559
comp_23473,project_561
comp_12,project_561
comp_8,project_563
comp_5,project_567
comp_3,project_570
comp_175,project_576
comp_80,project_577
comp_6529,project_578
comp_17496,project_590
comp_3,project_590
comp_6114,project_592
comp_683,project_592
comp_6122,project_595
comp_366,project_596
comp_254,project_598
comp_16,project_599
comp_5874,project_604
comp_45,project_606
comp_1557,project_607
comp_5702,project_608
comp_6265,project_608
comp_21119,project_609
comp_127,project_611
comp_18875,project_612
comp_22428,project_612
comp_45,project_613
comp_133,project_722
comp_19267,project_723
comp_35,project_727
comp_20352,project_728
comp_2068,project_729
comp_22077,project_729
comp_271,project_730
comp_14,project_731
comp_3947,project_732
comp_35,project_733
comp_3947,project_734
comp_23209,project_735
comp_17938,project_735
comp_5797,project_737
comp_19176,project_738
comp_3,project_739
comp_21584,project_739
comp_371,project_741
comp_5756,project_745
comp_10432,project_749
comp_6020,project_750
comp_6,project_751
comp_6529,project_754
comp_1683,project_754
comp_21636,project_284
comp_103,project_287
comp_14,project_289
comp_53,project_291
comp_27,project_292
