:START_ID,:END_ID
bics_l6_104,bics_l5_108
bics_l6_28,bics_l5_37
bics_l6_67,bics_l5_108
bics_l6_88,bics_l5_51
bics_l6_84,bics_l5_115
bics_l6_10,bics_l5_7
bics_l6_94,bics_l5_108
bics_l6_53,bics_l5_2
bics_l6_109,bics_l5_43
bics_l6_15,bics_l5_19
bics_l6_51,bics_l5_146
bics_l6_125,bics_l5_115
bics_l6_107,bics_l5_4
bics_l6_39,bics_l5_123
bics_l6_8,bics_l5_9
bics_l6_91,bics_l5_136
bics_l6_98,bics_l5_108
bics_l6_33,bics_l5_140
bics_l6_6,bics_l5_103
bics_l6_77,bics_l5_191
bics_l6_82,bics_l5_38
bics_l6_20,bics_l5_108
bics_l6_66,bics_l5_161
bics_l6_100,bics_l5_51
bics_l6_9,bics_l5_73
bics_l6_40,bics_l5_73
bics_l6_7,bics_l5_7
bics_l6_5,bics_l5_177
bics_l6_38,bics_l5_180
bics_l6_22,bics_l5_29
bics_l6_71,bics_l5_177
bics_l6_59,bics_l5_70
bics_l6_12,bics_l5_168
bics_l6_121,bics_l5_180
bics_l6_110,bics_l5_2
bics_l6_43,bics_l5_55
bics_l6_14,bics_l5_73
bics_l6_29,bics_l5_37
bics_l6_54,bics_l5_159
bics_l6_55,bics_l5_41
bics_l6_83,bics_l5_29
bics_l6_103,bics_l5_177
bics_l6_13,bics_l5_168
bics_l6_93,bics_l5_57
bics_l6_86,bics_l5_51
bics_l6_95,bics_l5_99
bics_l6_18,bics_l5_2
bics_l6_65,bics_l5_115
bics_l6_78,bics_l5_70
bics_l6_112,bics_l5_55
bics_l6_3,bics_l5_2
bics_l6_111,bics_l5_99
bics_l6_89,bics_l5_119
bics_l6_123,bics_l5_55
bics_l6_118,bics_l5_109
bics_l6_68,bics_l5_99
bics_l6_47,bics_l5_180
bics_l6_122,bics_l5_189
bics_l6_37,bics_l5_139
bics_l6_108,bics_l5_55
bics_l6_64,bics_l5_62
bics_l6_34,bics_l5_161
bics_l6_75,bics_l5_109
bics_l6_48,bics_l5_140
bics_l6_105,bics_l5_153
bics_l6_62,bics_l5_55
bics_l6_17,bics_l5_29
bics_l6_56,bics_l5_143
bics_l6_120,bics_l5_72
bics_l6_96,bics_l5_136
bics_l6_72,bics_l5_55
bics_l6_32,bics_l5_174
bics_l6_25,bics_l5_159
bics_l6_101,bics_l5_141
bics_l6_36,bics_l5_3
bics_l6_4,bics_l5_5
bics_l6_114,bics_l5_163
bics_l6_26,bics_l5_30
bics_l6_23,bics_l5_26
bics_l6_41,bics_l5_166
bics_l6_81,bics_l5_69
bics_l6_113,bics_l5_63
bics_l6_69,bics_l5_55
bics_l6_27,bics_l5_82
bics_l6_73,bics_l5_103
bics_l6_116,bics_l5_172
bics_l6_60,bics_l5_126
bics_l6_30,bics_l5_38
bics_l6_35,bics_l5_44
bics_l6_16,bics_l5_77
bics_l6_90,bics_l5_121
bics_l6_85,bics_l5_162
bics_l6_50,bics_l5_107
bics_l6_117,bics_l5_45
bics_l6_58,bics_l5_27
bics_l6_76,bics_l5_191
bics_l6_115,bics_l5_109
bics_l6_49,bics_l5_27
bics_l6_1,bics_l5_162
bics_l6_57,bics_l5_56
bics_l6_44,bics_l5_66
bics_l6_63,bics_l5_185
bics_l6_24,bics_l5_148
bics_l6_106,bics_l5_153
bics_l6_99,bics_l5_57
bics_l6_119,bics_l5_192
bics_l6_45,bics_l5_123
bics_l6_21,bics_l5_75
bics_l6_80,bics_l5_2
bics_l6_19,bics_l5_8
bics_l6_102,bics_l5_75
bics_l6_79,bics_l5_112
bics_l6_42,bics_l5_89
bics_l6_46,bics_l5_159
bics_l6_61,bics_l5_86
bics_l6_52,bics_l5_161
bics_l6_92,bics_l5_130
bics_l6_97,bics_l5_178
bics_l6_70,bics_l5_84
bics_l6_124,bics_l5_129
bics_l6_31,bics_l5_4
bics_l6_74,bics_l5_173
bics_l6_11,bics_l5_14
bics_l6_87,bics_l5_138
bics_l6_2,bics_l5_114
