:START_ID,:END_ID
gics_sub_31,gics_ind_45
gics_sub_106,gics_ind_45
gics_sub_47,gics_ind_45
gics_sub_19,gics_ind_9
gics_sub_22,gics_ind_12
gics_sub_17,gics_ind_46
gics_sub_27,gics_ind_45
gics_sub_34,gics_ind_10
gics_sub_97,gics_ind_51
gics_sub_64,gics_ind_42
gics_sub_24,gics_ind_13
gics_sub_7,gics_ind_45
gics_sub_101,gics_ind_45
gics_sub_113,gics_ind_59
gics_sub_23,gics_ind_42
gics_sub_96,gics_ind_36
gics_sub_52,gics_ind_22
gics_sub_81,gics_ind_46
gics_sub_9,gics_ind_57
gics_sub_100,gics_ind_53
gics_sub_91,gics_ind_45
gics_sub_10,gics_ind_54
gics_sub_59,gics_ind_51
gics_sub_42,gics_ind_9
gics_sub_11,gics_ind_8
gics_sub_37,gics_ind_22
gics_sub_36,gics_ind_21
gics_sub_41,gics_ind_10
gics_sub_68,gics_ind_39
gics_sub_1,gics_ind_44
gics_sub_20,gics_ind_11
gics_sub_39,gics_ind_23
gics_sub_98,gics_ind_10
gics_sub_66,gics_ind_20
gics_sub_61,gics_ind_36
gics_sub_29,gics_ind_17
gics_sub_90,gics_ind_50
gics_sub_60,gics_ind_35
gics_sub_109,gics_ind_56
gics_sub_80,gics_ind_24
gics_sub_82,gics_ind_46
gics_sub_105,gics_ind_9
gics_sub_38,gics_ind_23
gics_sub_83,gics_ind_46
gics_sub_6,gics_ind_20
gics_sub_12,gics_ind_3
gics_sub_94,gics_ind_52
gics_sub_76,gics_ind_25
gics_sub_13,gics_ind_6
gics_sub_45,gics_ind_47
gics_sub_35,gics_ind_18
gics_sub_78,gics_ind_10
gics_sub_84,gics_ind_27
gics_sub_102,gics_ind_5
gics_sub_103,gics_ind_18
gics_sub_115,gics_ind_61
gics_sub_32,gics_ind_19
gics_sub_77,gics_ind_26
gics_sub_53,gics_ind_60
gics_sub_99,gics_ind_53
gics_sub_5,gics_ind_2
gics_sub_2,gics_ind_1
gics_sub_56,gics_ind_33
gics_sub_92,gics_ind_29
gics_sub_85,gics_ind_16
gics_sub_93,gics_ind_52
gics_sub_71,gics_ind_40
gics_sub_110,gics_ind_57
gics_sub_14,gics_ind_7
gics_sub_111,gics_ind_3
gics_sub_75,gics_ind_16
gics_sub_33,gics_ind_52
gics_sub_73,gics_ind_60
gics_sub_63,gics_ind_9
gics_sub_104,gics_ind_26
gics_sub_62,gics_ind_37
gics_sub_108,gics_ind_23
gics_sub_107,gics_ind_54
gics_sub_18,gics_ind_26
gics_sub_87,gics_ind_48
gics_sub_72,gics_ind_41
gics_sub_89,gics_ind_49
gics_sub_49,gics_ind_30
gics_sub_69,gics_ind_35
gics_sub_4,gics_ind_27
gics_sub_43,gics_ind_8
gics_sub_70,gics_ind_8
gics_sub_50,gics_ind_31
gics_sub_40,gics_ind_23
gics_sub_46,gics_ind_28
gics_sub_86,gics_ind_47
gics_sub_55,gics_ind_34
gics_sub_116,gics_ind_62
gics_sub_3,gics_ind_42
gics_sub_51,gics_ind_32
gics_sub_21,gics_ind_55
gics_sub_74,gics_ind_43
gics_sub_79,gics_ind_24
gics_sub_28,gics_ind_5
gics_sub_58,gics_ind_34
gics_sub_15,gics_ind_29
gics_sub_114,gics_ind_26
gics_sub_48,gics_ind_31
gics_sub_16,gics_ind_33
gics_sub_26,gics_ind_14
gics_sub_65,gics_ind_38
gics_sub_25,gics_ind_34
gics_sub_95,gics_ind_4
gics_sub_67,gics_ind_25
gics_sub_112,gics_ind_58
gics_sub_44,gics_ind_15
gics_sub_88,gics_ind_29
gics_sub_8,gics_ind_55
gics_sub_54,gics_ind_55
gics_sub_30,gics_ind_9
gics_sub_57,gics_ind_34
