:START_ID,:END_ID
icb_sub_57,icb_sec_20
icb_sub_69,icb_sec_20
icb_sub_58,icb_sec_32
icb_sub_32,icb_sec_20
icb_sub_48,icb_sec_8
icb_sub_21,icb_sec_27
icb_sub_84,icb_sec_20
icb_sub_3,icb_sec_2
icb_sub_26,icb_sec_8
icb_sub_67,icb_sec_21
icb_sub_113,icb_sec_38
icb_sub_17,icb_sec_8
icb_sub_4,icb_sec_20
icb_sub_95,icb_sec_32
icb_sub_71,icb_sec_18
icb_sub_79,icb_sec_20
icb_sub_25,icb_sec_35
icb_sub_72,icb_sec_18
icb_sub_121,icb_sec_14
icb_sub_110,icb_sec_6
icb_sub_35,icb_sec_32
icb_sub_107,icb_sec_36
icb_sub_88,icb_sec_27
icb_sub_50,icb_sec_6
icb_sub_97,icb_sec_21
icb_sub_6,icb_sec_23
icb_sub_120,icb_sec_40
icb_sub_117,icb_sec_22
icb_sub_76,icb_sec_25
icb_sub_109,icb_sec_35
icb_sub_9,icb_sec_31
icb_sub_90,icb_sec_15
icb_sub_106,icb_sec_21
icb_sub_23,icb_sec_22
icb_sub_10,icb_sec_8
icb_sub_112,icb_sec_37
icb_sub_111,icb_sec_34
icb_sub_36,icb_sec_23
icb_sub_86,icb_sec_27
icb_sub_80,icb_sec_29
icb_sub_75,icb_sec_22
icb_sub_61,icb_sec_17
icb_sub_54,icb_sec_19
icb_sub_45,icb_sec_11
icb_sub_68,icb_sec_23
icb_sub_39,icb_sec_34
icb_sub_81,icb_sec_12
icb_sub_59,icb_sec_16
icb_sub_104,icb_sec_2
icb_sub_66,icb_sec_17
icb_sub_65,icb_sec_17
icb_sub_14,icb_sec_38
icb_sub_100,icb_sec_33
icb_sub_41,icb_sec_11
icb_sub_37,icb_sec_15
icb_sub_18,icb_sec_6
icb_sub_47,icb_sec_11
icb_sub_118,icb_sec_39
icb_sub_99,icb_sec_22
icb_sub_42,icb_sec_36
icb_sub_7,icb_sec_3
icb_sub_31,icb_sec_10
icb_sub_22,icb_sec_22
icb_sub_102,icb_sec_24
icb_sub_114,icb_sec_19
icb_sub_11,icb_sec_8
icb_sub_73,icb_sec_18
icb_sub_40,icb_sec_29
icb_sub_38,icb_sec_19
icb_sub_91,icb_sec_19
icb_sub_12,icb_sec_8
icb_sub_87,icb_sec_27
icb_sub_2,icb_sec_10
icb_sub_13,icb_sec_21
icb_sub_89,icb_sec_28
icb_sub_116,icb_sec_21
icb_sub_19,icb_sec_7
icb_sub_77,icb_sec_26
icb_sub_119,icb_sec_22
icb_sub_82,icb_sec_14
icb_sub_29,icb_sec_9
icb_sub_16,icb_sec_39
icb_sub_30,icb_sec_15
icb_sub_98,icb_sec_22
icb_sub_56,icb_sec_14
icb_sub_94,icb_sec_27
icb_sub_34,icb_sec_22
icb_sub_5,icb_sec_34
icb_sub_20,icb_sec_30
icb_sub_78,icb_sec_26
icb_sub_103,icb_sec_39
icb_sub_53,icb_sec_30
icb_sub_44,icb_sec_11
icb_sub_46,icb_sec_11
icb_sub_74,icb_sec_18
icb_sub_96,icb_sec_36
icb_sub_70,icb_sec_18
icb_sub_27,icb_sec_35
icb_sub_85,icb_sec_27
icb_sub_52,icb_sec_29
icb_sub_101,icb_sec_33
icb_sub_93,icb_sec_31
icb_sub_64,icb_sec_17
icb_sub_55,icb_sec_21
icb_sub_43,icb_sec_24
icb_sub_33,icb_sec_1
icb_sub_115,icb_sec_24
icb_sub_105,icb_sec_39
icb_sub_83,icb_sec_29
icb_sub_51,icb_sec_13
icb_sub_60,icb_sec_16
icb_sub_24,icb_sec_36
icb_sub_49,icb_sec_13
icb_sub_1,icb_sec_1
icb_sub_108,icb_sec_5
icb_sub_15,icb_sec_31
icb_sub_62,icb_sec_34
icb_sub_92,icb_sec_29
icb_sub_63,icb_sec_39
icb_sub_8,icb_sec_4
icb_sub_28,icb_sec_12
