:START_ID,:END_ID,:TYPE
name_0001,deposit_0928,REFERS_TO
name_0002,deposit_0269,REFERS_TO
name_0003,deposit_0390,REFERS_TO
name_0004,deposit_2902,REFERS_TO
name_0005,deposit_4010,REFERS_TO
name_0006,deposit_4182,REFERS_TO
name_0007,deposit_3388,REFERS_TO
name_0008,deposit_3763,REFERS_TO
name_0009,deposit_2870,REFERS_TO
name_0010,deposit_1430,REFERS_TO
name_0011,deposit_2740,REFERS_TO
name_0012,deposit_2771,REFERS_TO
name_0013,deposit_1428,REFERS_TO
name_0014,deposit_2164,REFERS_TO
name_0015,deposit_0124,REFERS_TO
name_0016,deposit_0124,REFERS_TO
name_0017,deposit_0124,REFERS_TO
name_0018,deposit_3310,REFERS_TO
name_0019,deposit_0269,REFERS_TO
name_0020,deposit_0651,REFERS_TO
name_0021,deposit_3642,REFERS_TO
name_0022,deposit_2902,REFERS_TO
name_0023,deposit_0629,REFERS_TO
name_0024,deposit_2809,REFERS_TO
name_0025,deposit_0355,REFERS_TO
name_0026,deposit_1861,REFERS_TO
name_0027,deposit_4209,REFERS_TO
name_0028,deposit_2468,REFERS_TO
name_0029,deposit_0244,REFERS_TO
name_0030,deposit_2844,REFERS_TO
name_0030,deposit_4237,REFERS_TO
name_0031,deposit_3525,REFERS_TO
name_0032,deposit_3574,REFERS_TO
name_0033,deposit_1114,REFERS_TO
name_0034,deposit_3565,REFERS_TO
name_0035,deposit_3072,REFERS_TO
name_0036,deposit_0206,REFERS_TO
name_0037,deposit_3536,REFERS_TO
name_0038,deposit_0423,REFERS_TO
name_0039,deposit_2630,REFERS_TO
name_0039,deposit_3906,REFERS_TO
name_0040,deposit_1085,REFERS_TO
name_0041,deposit_1740,REFERS_TO
name_0042,deposit_2448,REFERS_TO
name_0043,deposit_2389,REFERS_TO
name_0044,deposit_0018,REFERS_TO
name_0045,deposit_3292,REFERS_TO
name_0046,deposit_1103,REFERS_TO
name_0047,deposit_1580,REFERS_TO
name_0048,deposit_2324,REFERS_TO
name_0049,deposit_1057,REFERS_TO
name_0050,deposit_4090,REFERS_TO
name_0051,deposit_1489,REFERS_TO
name_0052,deposit_1489,REFERS_TO
name_0053,deposit_3038,REFERS_TO
name_0054,deposit_0136,REFERS_TO
name_0054,deposit_0142,REFERS_TO
name_0055,deposit_0142,REFERS_TO
name_0055,deposit_0432,REFERS_TO
name_0055,deposit_2580,REFERS_TO
name_0055,deposit_4042,REFERS_TO
name_0055,deposit_4043,REFERS_TO
name_0056,deposit_0988,REFERS_TO
name_0057,deposit_1355,REFERS_TO
name_0058,deposit_1355,REFERS_TO
name_0059,deposit_1442,REFERS_TO
name_0060,deposit_1442,REFERS_TO
name_0061,deposit_1671,REFERS_TO
name_0062,deposit_1911,REFERS_TO
name_0062,deposit_3954,REFERS_TO
name_0063,deposit_2880,REFERS_TO
name_0064,deposit_1918,REFERS_TO
name_0065,deposit_1766,REFERS_TO
name_0066,deposit_0495,REFERS_TO
name_0067,deposit_3380,REFERS_TO
name_0068,deposit_2963,REFERS_TO
name_0069,deposit_1574,REFERS_TO
name_0070,deposit_2511,REFERS_TO
name_0071,deposit_0235,REFERS_TO
name_0071,deposit_0544,REFERS_TO
name_0071,deposit_0578,REFERS_TO
name_0071,deposit_0601,REFERS_TO
name_0071,deposit_1415,REFERS_TO
name_0071,deposit_1487,REFERS_TO
name_0071,deposit_2539,REFERS_TO
name_0071,deposit_2873,REFERS_TO
name_0072,deposit_1687,REFERS_TO
name_0073,deposit_1160,REFERS_TO
name_0074,deposit_2024,REFERS_TO
name_0075,deposit_3637,REFERS_TO
name_0076,deposit_3637,REFERS_TO
name_0077,deposit_1547,REFERS_TO
name_0078,deposit_2916,REFERS_TO
name_0079,deposit_1006,REFERS_TO
name_0080,deposit_0800,REFERS_TO
name_0081,deposit_4399,REFERS_TO
name_0082,deposit_3626,REFERS_TO
name_0083,deposit_1480,REFERS_TO
name_0084,deposit_3286,REFERS_TO
name_0085,deposit_0839,REFERS_TO
name_0086,deposit_3421,REFERS_TO
name_0087,deposit_0746,REFERS_TO
name_0088,deposit_1210,REFERS_TO
name_0089,deposit_1210,REFERS_TO
name_0090,deposit_0076,REFERS_TO
name_0090,deposit_1161,REFERS_TO
name_0090,deposit_2663,REFERS_TO
name_0090,deposit_3950,REFERS_TO
name_0091,deposit_0398,REFERS_TO
name_0092,deposit_2443,REFERS_TO
name_0093,deposit_3069,REFERS_TO
name_0094,deposit_3070,REFERS_TO
name_0095,deposit_2753,REFERS_TO
name_0096,deposit_1067,REFERS_TO
name_0097,deposit_1828,REFERS_TO
name_0098,deposit_3593,REFERS_TO
name_0099,deposit_3774,REFERS_TO
name_0100,deposit_3422,REFERS_TO
name_0101,deposit_4243,REFERS_TO
name_0102,deposit_2578,REFERS_TO
name_0103,deposit_3903,REFERS_TO
name_0104,deposit_0587,REFERS_TO
name_0105,deposit_3963,REFERS_TO
name_0106,deposit_0137,REFERS_TO
name_0107,deposit_1400,REFERS_TO
name_0108,deposit_3092,REFERS_TO
name_0109,deposit_2744,REFERS_TO
name_0110,deposit_3128,REFERS_TO
name_0111,deposit_4069,REFERS_TO
name_0112,deposit_4069,REFERS_TO
name_0113,deposit_4069,REFERS_TO
name_0114,deposit_0038,REFERS_TO
name_0115,deposit_2746,REFERS_TO
name_0116,deposit_0150,REFERS_TO
name_0116,deposit_0510,REFERS_TO
name_0117,deposit_3039,REFERS_TO
name_0118,deposit_0099,REFERS_TO
name_0119,deposit_0324,REFERS_TO
name_0120,deposit_2374,REFERS_TO
name_0121,deposit_2374,REFERS_TO
name_0122,deposit_2374,REFERS_TO
name_0123,deposit_1728,REFERS_TO
name_0124,deposit_1393,REFERS_TO
name_0125,deposit_1770,REFERS_TO
name_0125,deposit_3878,REFERS_TO
name_0126,deposit_4016,REFERS_TO
name_0127,deposit_2287,REFERS_TO
name_0128,deposit_2317,REFERS_TO
name_0129,deposit_3187,REFERS_TO
name_0130,deposit_3187,REFERS_TO
name_0131,deposit_0376,REFERS_TO
name_0132,deposit_0070,REFERS_TO
name_0133,deposit_3272,REFERS_TO
name_0134,deposit_1969,REFERS_TO
name_0135,deposit_1224,REFERS_TO
name_0136,deposit_3112,REFERS_TO
name_0137,deposit_0376,REFERS_TO
name_0138,deposit_1551,REFERS_TO
name_0139,deposit_4333,REFERS_TO
name_0140,deposit_0280,REFERS_TO
name_0141,deposit_1878,REFERS_TO
name_0142,deposit_0545,REFERS_TO
name_0143,deposit_0802,REFERS_TO
name_0144,deposit_2361,REFERS_TO
name_0145,deposit_3111,REFERS_TO
name_0146,deposit_2638,REFERS_TO
name_0147,deposit_1658,REFERS_TO
name_0148,deposit_3641,REFERS_TO
name_0149,deposit_0330,REFERS_TO
name_0150,deposit_3956,REFERS_TO
name_0151,deposit_2405,REFERS_TO
name_0152,deposit_4108,REFERS_TO
name_0153,deposit_3952,REFERS_TO
name_0154,deposit_3432,REFERS_TO
name_0155,deposit_3270,REFERS_TO
name_0156,deposit_3270,REFERS_TO
name_0157,deposit_4409,REFERS_TO
name_0158,deposit_2848,REFERS_TO
name_0158,deposit_3954,REFERS_TO
name_0159,deposit_0370,REFERS_TO
name_0160,deposit_0096,REFERS_TO
name_0161,deposit_0279,REFERS_TO
name_0162,deposit_1380,REFERS_TO
name_0163,deposit_4261,REFERS_TO
name_0164,deposit_4448,REFERS_TO
name_0165,deposit_4044,REFERS_TO
name_0166,deposit_0720,REFERS_TO
name_0167,deposit_1469,REFERS_TO
name_0168,deposit_1469,REFERS_TO
name_0169,deposit_1128,REFERS_TO
name_0169,deposit_3103,REFERS_TO
name_0170,deposit_3103,REFERS_TO
name_0171,deposit_4079,REFERS_TO
name_0172,deposit_4079,REFERS_TO
name_0173,deposit_4079,REFERS_TO
name_0174,deposit_3517,REFERS_TO
name_0175,deposit_1397,REFERS_TO
name_0176,deposit_0910,REFERS_TO
name_0177,deposit_3917,REFERS_TO
name_0178,deposit_4212,REFERS_TO
name_0179,deposit_3691,REFERS_TO
name_0180,deposit_0282,REFERS_TO
name_0180,deposit_0433,REFERS_TO
name_0180,deposit_1700,REFERS_TO
name_0181,deposit_3690,REFERS_TO
name_0182,deposit_1385,REFERS_TO
name_0183,deposit_1777,REFERS_TO
name_0184,deposit_3767,REFERS_TO
name_0185,deposit_2826,REFERS_TO
name_0186,deposit_3791,REFERS_TO
name_0187,deposit_0082,REFERS_TO
name_0187,deposit_3954,REFERS_TO
name_0188,deposit_0082,REFERS_TO
name_0189,deposit_0082,REFERS_TO
name_0190,deposit_3718,REFERS_TO
name_0191,deposit_1281,REFERS_TO
name_0192,deposit_1292,REFERS_TO
name_0192,deposit_1512,REFERS_TO
name_0192,deposit_4242,REFERS_TO
name_0193,deposit_0127,REFERS_TO
name_0194,deposit_3381,REFERS_TO
name_0195,deposit_0707,REFERS_TO
name_0195,deposit_1766,REFERS_TO
name_0196,deposit_4234,REFERS_TO
name_0197,deposit_1029,REFERS_TO
name_0198,deposit_1273,REFERS_TO
name_0199,deposit_0808,REFERS_TO
name_0200,deposit_0020,REFERS_TO
name_0200,deposit_0146,REFERS_TO
name_0201,deposit_0020,REFERS_TO
name_0201,deposit_2926,REFERS_TO
name_0202,deposit_2911,REFERS_TO
name_0203,deposit_3477,REFERS_TO
name_0204,deposit_3299,REFERS_TO
name_0205,deposit_1457,REFERS_TO
name_0206,deposit_0788,REFERS_TO
name_0207,deposit_3843,REFERS_TO
name_0208,deposit_1808,REFERS_TO
name_0209,deposit_3956,REFERS_TO
name_0210,deposit_2278,REFERS_TO
name_0211,deposit_2623,REFERS_TO
name_0212,deposit_3504,REFERS_TO
name_0213,deposit_4331,REFERS_TO
name_0214,deposit_0093,REFERS_TO
name_0214,deposit_0447,REFERS_TO
name_0214,deposit_0708,REFERS_TO
name_0214,deposit_3606,REFERS_TO
name_0214,deposit_3799,REFERS_TO
name_0214,deposit_4296,REFERS_TO
name_0215,deposit_2224,REFERS_TO
name_0216,deposit_3232,REFERS_TO
name_0217,deposit_2094,REFERS_TO
name_0217,deposit_4339,REFERS_TO
name_0218,deposit_0853,REFERS_TO
name_0219,deposit_2814,REFERS_TO
name_0220,deposit_0670,REFERS_TO
name_0221,deposit_0137,REFERS_TO
name_0222,deposit_0080,REFERS_TO
name_0222,deposit_2733,REFERS_TO
name_0222,deposit_4045,REFERS_TO
name_0223,deposit_3424,REFERS_TO
name_0224,deposit_3709,REFERS_TO
name_0225,deposit_0511,REFERS_TO
name_0226,deposit_1487,REFERS_TO
name_0227,deposit_0469,REFERS_TO
name_0228,deposit_3673,REFERS_TO
name_0229,deposit_1812,REFERS_TO
name_0230,deposit_1826,REFERS_TO
name_0231,deposit_1028,REFERS_TO
name_0232,deposit_0033,REFERS_TO
name_0233,deposit_3934,REFERS_TO
name_0234,deposit_0747,REFERS_TO
name_0234,deposit_3743,REFERS_TO
name_0235,deposit_1404,REFERS_TO
name_0236,deposit_2224,REFERS_TO
