:START_ID,:END_ID,type:string
compname_3536,comp_1,Current Name
compname_3535,comp_2,Current Name
compname_3513,comp_2,Synonym
compname_3534,comp_2,Synonym
compname_4281,comp_2,Synonym
compname_4297,comp_2,Synonym
compname_28515,comp_2,Synonym
compname_3547,comp_2,Synonym
compname_3537,comp_2,Synonym
compname_3524,comp_2,Synonym
compname_3515,comp_2,Synonym
compname_3521,comp_2,Synonym
compname_24299,comp_3,Current Name
compname_24282,comp_3,Synonym
compname_24297,comp_3,Synonym
compname_24305,comp_3,Synonym
compname_7413,comp_3,Synonym
compname_7706,comp_3,Synonym
compname_28562,comp_3,Synonym
compname_28563,comp_3,Synonym
compname_11043,comp_4,Current Name
compname_1443,comp_4,Synonym
compname_1444,comp_4,Synonym
compname_1729,comp_4,Synonym
compname_11044,comp_4,Synonym
compname_11047,comp_4,Synonym
compname_16539,comp_4,Synonym
compname_20925,comp_4,Synonym
compname_22256,comp_4,Synonym
compname_31148,comp_4,Synonym
compname_11045,comp_4,Synonym
compname_11046,comp_4,Synonym
compname_20606,comp_5,Current Name
compname_20605,comp_5,Synonym
compname_10223,comp_6,Current Name
compname_10219,comp_6,Synonym
compname_10222,comp_6,Synonym
compname_6025,comp_6,Synonym
compname_30964,comp_6,Synonym
compname_30965,comp_6,Synonym
compname_17237,comp_7,Current Name
compname_17233,comp_7,Synonym
compname_17234,comp_7,Synonym
compname_17236,comp_7,Synonym
compname_31507,comp_7,Synonym
compname_17507,comp_8,Current Name
compname_17502,comp_8,Synonym
compname_19070,comp_8,Synonym
compname_19185,comp_8,Synonym
compname_18945,comp_8,Synonym
compname_26771,comp_9,Current Name
compname_26770,comp_9,Synonym
compname_4290,comp_9,Synonym
compname_4291,comp_9,Synonym
compname_4922,comp_9,Synonym
compname_21244,comp_10,Current Name
compname_14194,comp_10,Synonym
compname_14311,comp_10,Synonym
compname_14312,comp_10,Synonym
compname_21243,comp_10,Synonym
compname_4561,comp_11,Current Name
compname_4304,comp_11,Synonym
compname_4305,comp_11,Synonym
compname_4567,comp_11,Synonym
compname_15437,comp_11,Synonym
compname_15438,comp_11,Synonym
compname_18914,comp_12,Current Name
compname_18912,comp_12,Synonym
compname_154,comp_12,Synonym
compname_18913,comp_12,Synonym
compname_22337,comp_13,Current Name
compname_22336,comp_13,Synonym
compname_11054,comp_13,Synonym
compname_17990,comp_13,Synonym
compname_22593,comp_13,Synonym
compname_23668,comp_14,Current Name
compname_23667,comp_14,Synonym
compname_7129,comp_14,Synonym
compname_31254,comp_15,Current Name
compname_26417,comp_15,Synonym
compname_31028,comp_15,Synonym
compname_31253,comp_15,Synonym
compname_31255,comp_15,Synonym
compname_31256,comp_15,Synonym
compname_31257,comp_15,Synonym
compname_31260,comp_15,Synonym
compname_31453,comp_16,Current Name
compname_31452,comp_16,Synonym
compname_31455,comp_16,Synonym
compname_31454,comp_16,Synonym
compname_11798,comp_17,Current Name
compname_11797,comp_17,Synonym
compname_11799,comp_17,Synonym
compname_22182,comp_18,Current Name
compname_22181,comp_18,Synonym
compname_25264,comp_19,Current Name
compname_25265,comp_19,Synonym
compname_4686,comp_19,Synonym
compname_25263,comp_19,Synonym
compname_31017,comp_20,Current Name
compname_31016,comp_20,Synonym
compname_22033,comp_20,Synonym
compname_5846,comp_21,Current Name
compname_17836,comp_21,Synonym
compname_12584,comp_22,Current Name
compname_12582,comp_22,Synonym
compname_12583,comp_22,Synonym
compname_8798,comp_23,Current Name
compname_8800,comp_23,Synonym
compname_8807,comp_23,Synonym
compname_14780,comp_23,Synonym
compname_23947,comp_24,Current Name
compname_23946,comp_24,Synonym
compname_23949,comp_24,Synonym
compname_15450,comp_24,Synonym
compname_23948,comp_24,Synonym
compname_30009,comp_25,Current Name
compname_30007,comp_25,Synonym
compname_12648,comp_25,Synonym
compname_23828,comp_25,Synonym
compname_30008,comp_25,Synonym
compname_30057,comp_26,Current Name
compname_30948,comp_27,Current Name
compname_30947,comp_27,Synonym
compname_12189,comp_27,Synonym
compname_15283,comp_27,Synonym
compname_22632,comp_27,Synonym
compname_30949,comp_27,Synonym
compname_30950,comp_27,Synonym
compname_12230,comp_28,Current Name
compname_12229,comp_28,Synonym
compname_9486,comp_28,Synonym
compname_10561,comp_28,Synonym
compname_21746,comp_29,Current Name
compname_21745,comp_29,Synonym
compname_21747,comp_29,Synonym
compname_21748,comp_29,Synonym
compname_14017,comp_30,Current Name
compname_14238,comp_30,Synonym
compname_14383,comp_30,Synonym
compname_14386,comp_30,Synonym
compname_30817,comp_31,Current Name
compname_30818,comp_31,Synonym
compname_31294,comp_31,Synonym
compname_20086,comp_32,Current Name
compname_20085,comp_32,Synonym
compname_9606,comp_33,Current Name
compname_9276,comp_33,Synonym
compname_9604,comp_33,Synonym
compname_17955,comp_33,Synonym
compname_18121,comp_33,Synonym
compname_20282,comp_34,Current Name
compname_20281,comp_34,Synonym
compname_20283,comp_34,Synonym
compname_14262,comp_35,Current Name
compname_14260,comp_35,Synonym
compname_14261,comp_35,Synonym
compname_30973,comp_35,Synonym
compname_16961,comp_36,Current Name
compname_16960,comp_36,Synonym
compname_3899,comp_36,Synonym
compname_22147,comp_37,Current Name
compname_2892,comp_37,Synonym
compname_2895,comp_37,Synonym
compname_22144,comp_37,Synonym
compname_22146,comp_37,Synonym
compname_6301,comp_38,Current Name
compname_6300,comp_38,Synonym
compname_17859,comp_38,Synonym
compname_14863,comp_39,Current Name
compname_13953,comp_39,Synonym
compname_14864,comp_39,Synonym
compname_28088,comp_39,Synonym
compname_21852,comp_40,Current Name
compname_5046,comp_40,Synonym
compname_6608,comp_40,Synonym
compname_7014,comp_40,Synonym
compname_21696,comp_40,Synonym
compname_21851,comp_40,Synonym
compname_21853,comp_40,Synonym
compname_22775,comp_40,Synonym
compname_22776,comp_40,Synonym
compname_19261,comp_41,Current Name
compname_19258,comp_41,Synonym
compname_19259,comp_41,Synonym
compname_19260,comp_41,Synonym
compname_8502,comp_42,Current Name
compname_176,comp_42,Synonym
compname_8501,comp_42,Synonym
compname_6029,comp_43,Current Name
compname_6028,comp_43,Synonym
compname_12708,comp_43,Synonym
compname_19763,comp_44,Current Name
compname_20706,comp_44,Synonym
compname_20707,comp_44,Synonym
compname_21165,comp_45,Current Name
compname_9279,comp_45,Synonym
compname_19265,comp_45,Synonym
compname_19267,comp_45,Synonym
compname_27637,comp_45,Synonym
compname_24068,comp_46,Current Name
compname_24067,comp_46,Synonym
compname_8358,comp_47,Current Name
compname_8357,comp_47,Synonym
compname_15490,comp_47,Synonym
compname_15491,comp_47,Synonym
compname_15492,comp_47,Synonym
compname_27065,comp_48,Current Name
compname_27064,comp_48,Synonym
compname_27015,comp_48,Synonym
compname_27062,comp_48,Synonym
compname_27063,comp_48,Synonym
compname_14275,comp_49,Current Name
compname_14277,comp_49,Synonym
compname_22330,comp_49,Synonym
compname_1349,comp_50,Current Name
compname_1348,comp_50,Synonym
compname_1345,comp_50,Synonym
compname_1346,comp_50,Synonym
compname_1347,comp_50,Synonym
compname_17626,comp_51,Current Name
compname_17625,comp_51,Synonym
compname_17627,comp_51,Synonym
compname_17700,comp_52,Current Name
compname_17699,comp_52,Synonym
compname_17701,comp_52,Synonym
compname_4114,comp_53,Current Name
compname_4113,comp_53,Synonym
compname_5142,comp_53,Synonym
compname_8836,comp_53,Synonym
compname_17298,comp_54,Current Name
compname_17297,comp_54,Synonym
compname_25657,comp_55,Current Name
compname_25656,comp_55,Synonym
compname_28940,comp_55,Synonym
compname_28941,comp_55,Synonym
compname_30442,comp_56,Current Name
compname_30574,comp_56,Synonym
compname_8266,comp_57,Current Name
compname_7383,comp_57,Synonym
compname_8265,comp_57,Synonym
compname_8510,comp_58,Current Name
compname_8509,comp_58,Synonym
compname_15510,comp_58,Synonym
compname_30070,comp_58,Synonym
compname_28159,comp_59,Current Name
compname_3211,comp_59,Synonym
compname_9018,comp_59,Synonym
compname_22135,comp_59,Synonym
compname_28158,comp_59,Synonym
compname_24996,comp_60,Current Name
compname_11704,comp_60,Synonym
compname_12076,comp_60,Synonym
compname_12077,comp_60,Synonym
compname_26992,comp_60,Synonym
compname_3468,comp_61,Current Name
compname_3999,comp_61,Synonym
compname_4001,comp_61,Synonym
compname_30396,comp_62,Current Name
compname_16199,comp_62,Synonym
compname_30395,comp_62,Synonym
compname_22720,comp_63,Current Name
compname_22719,comp_63,Synonym
compname_22721,comp_63,Synonym
compname_1512,comp_64,Current Name
compname_1514,comp_64,Synonym
compname_2773,comp_64,Synonym
compname_6303,comp_64,Synonym
compname_6304,comp_64,Synonym
compname_6999,comp_64,Synonym
compname_9754,comp_65,Current Name
compname_9753,comp_65,Synonym
compname_4417,comp_66,Current Name
compname_4419,comp_66,Synonym
compname_4416,comp_66,Synonym
compname_4418,comp_66,Synonym
compname_26589,comp_67,Current Name
compname_26590,comp_67,Synonym
compname_26617,comp_67,Synonym
compname_26618,comp_67,Synonym
compname_10749,comp_68,Current Name
compname_3249,comp_68,Synonym
compname_19271,comp_68,Synonym
compname_17673,comp_69,Current Name
compname_17672,comp_69,Synonym
compname_16033,comp_70,Current Name
compname_16032,comp_70,Synonym
compname_16034,comp_70,Synonym
compname_16035,comp_70,Synonym
compname_4816,comp_71,Current Name
compname_1519,comp_71,Synonym
compname_4815,comp_71,Synonym
compname_4817,comp_71,Synonym
compname_6614,comp_72,Current Name
compname_6280,comp_73,Current Name
compname_6278,comp_73,Synonym
compname_6279,comp_73,Synonym
compname_4699,comp_74,Current Name
compname_4698,comp_74,Synonym
compname_4701,comp_74,Synonym
compname_16650,comp_74,Synonym
compname_3788,comp_75,Current Name
compname_3790,comp_75,Synonym
compname_18500,comp_76,Current Name
compname_18499,comp_76,Synonym
compname_19497,comp_76,Synonym
compname_19514,comp_76,Synonym
compname_18440,comp_77,Current Name
compname_15536,comp_77,Synonym
compname_15684,comp_77,Synonym
compname_17764,comp_77,Synonym
compname_18439,comp_77,Synonym
compname_25644,comp_77,Synonym
compname_31026,comp_77,Synonym
compname_6728,comp_78,Current Name
compname_25303,comp_79,Current Name
compname_25302,comp_79,Synonym
compname_26,comp_80,Current Name
compname_25,comp_80,Synonym
compname_11486,comp_81,Current Name
compname_12455,comp_81,Synonym
compname_15479,comp_81,Synonym
compname_18552,comp_82,Current Name
compname_18550,comp_82,Synonym
compname_18551,comp_82,Synonym
compname_4572,comp_82,Synonym
compname_18293,comp_83,Current Name
compname_18292,comp_83,Synonym
compname_5853,comp_83,Synonym
compname_14685,comp_83,Synonym
compname_14689,comp_83,Synonym
compname_16644,comp_83,Synonym
compname_18291,comp_83,Synonym
compname_28241,comp_83,Synonym
compname_31232,comp_83,Synonym
compname_17127,comp_84,Current Name
compname_8826,comp_84,Synonym
compname_13946,comp_84,Synonym
compname_17126,comp_84,Synonym
compname_24328,comp_84,Synonym
compname_27002,comp_85,Current Name
compname_27001,comp_85,Synonym
compname_9692,comp_85,Synonym
compname_27020,comp_85,Synonym
compname_25406,comp_86,Current Name
compname_30587,comp_87,Current Name
compname_18613,comp_88,Current Name
compname_18612,comp_88,Synonym
compname_18623,comp_88,Synonym
compname_30508,comp_89,Current Name
compname_2310,comp_89,Synonym
compname_28079,comp_89,Synonym
compname_31032,comp_89,Synonym
compname_2145,comp_90,Current Name
compname_2147,comp_90,Synonym
compname_2148,comp_90,Synonym
compname_2146,comp_90,Synonym
compname_8952,comp_91,Current Name
compname_8950,comp_91,Synonym
compname_8951,comp_91,Synonym
compname_12006,comp_91,Synonym
compname_15973,comp_91,Synonym
compname_25649,comp_91,Synonym
compname_27506,comp_92,Current Name
compname_6771,comp_92,Synonym
compname_27505,comp_92,Synonym
compname_5797,comp_93,Current Name
compname_5796,comp_93,Synonym
compname_6018,comp_93,Synonym
compname_6019,comp_93,Synonym
compname_29357,comp_94,Current Name
compname_17881,comp_94,Synonym
compname_29356,comp_94,Synonym
compname_15507,comp_95,Current Name
compname_15506,comp_95,Synonym
compname_17224,comp_96,Current Name
compname_17222,comp_96,Synonym
compname_17223,comp_96,Synonym
compname_17227,comp_96,Synonym
compname_18935,comp_97,Current Name
compname_18934,comp_97,Synonym
compname_26859,comp_98,Current Name
compname_26858,comp_98,Synonym
compname_19426,comp_99,Current Name
compname_19427,comp_99,Synonym
compname_19425,comp_99,Synonym
compname_31024,comp_99,Synonym
compname_2010,comp_100,Current Name
compname_2009,comp_100,Synonym
compname_2929,comp_101,Current Name
compname_2928,comp_101,Synonym
compname_16910,comp_102,Current Name
compname_16909,comp_102,Synonym
compname_18192,comp_102,Synonym
compname_30267,comp_102,Synonym
compname_30389,comp_102,Synonym
compname_2799,comp_103,Current Name
compname_2798,comp_103,Synonym
compname_4329,comp_103,Synonym
compname_4330,comp_103,Synonym
compname_16819,comp_103,Synonym
compname_31549,comp_103,Synonym
compname_27692,comp_104,Current Name
compname_6726,comp_104,Synonym
compname_27691,comp_104,Synonym
compname_27693,comp_104,Synonym
compname_17752,comp_105,Current Name
compname_1030,comp_106,Current Name
compname_1029,comp_106,Synonym
compname_27301,comp_106,Synonym
compname_27302,comp_106,Synonym
compname_16626,comp_107,Current Name
compname_16625,comp_107,Synonym
compname_10595,comp_108,Current Name
compname_10594,comp_108,Synonym
compname_9612,comp_108,Synonym
compname_9613,comp_108,Synonym
compname_31858,comp_109,Current Name
compname_12091,comp_109,Synonym
compname_21862,comp_109,Synonym
compname_18589,comp_110,Current Name
compname_27348,comp_111,Current Name
compname_1459,comp_111,Synonym
compname_27347,comp_111,Synonym
compname_1860,comp_112,Current Name
compname_1859,comp_112,Synonym
compname_19152,comp_112,Synonym
compname_19153,comp_112,Synonym
compname_29177,comp_113,Current Name
compname_29176,comp_113,Synonym
compname_29178,comp_113,Synonym
compname_24563,comp_114,Current Name
compname_24561,comp_114,Synonym
compname_27724,comp_115,Current Name
compname_27723,comp_115,Synonym
compname_26170,comp_116,Current Name
compname_26169,comp_116,Synonym
compname_20095,comp_117,Current Name
compname_20094,comp_117,Synonym
compname_21166,comp_117,Synonym
compname_28656,comp_117,Synonym
compname_28656,comp_117,Synonym
compname_28657,comp_117,Synonym
compname_21167,comp_117,Synonym
compname_854,comp_118,Current Name
compname_851,comp_118,Synonym
compname_853,comp_118,Synonym
compname_20401,comp_118,Synonym
compname_20419,comp_118,Synonym
compname_20421,comp_118,Synonym
compname_18274,comp_119,Current Name
compname_18273,comp_119,Synonym
compname_815,comp_119,Synonym
compname_2603,comp_120,Current Name
compname_1917,comp_120,Synonym
compname_27010,comp_121,Current Name
compname_27009,comp_121,Synonym
compname_30408,comp_122,Current Name
compname_17687,comp_122,Synonym
compname_17689,comp_122,Synonym
compname_18655,comp_122,Synonym
compname_30407,comp_122,Synonym
compname_6287,comp_123,Current Name
compname_6286,comp_123,Synonym
compname_6288,comp_123,Synonym
compname_6289,comp_123,Synonym
compname_6290,comp_123,Synonym
compname_25373,comp_124,Current Name
compname_25372,comp_124,Synonym
compname_22544,comp_125,Current Name
compname_22543,comp_125,Synonym
compname_20586,comp_126,Current Name
compname_20585,comp_126,Synonym
compname_4868,comp_127,Current Name
compname_4862,comp_127,Synonym
compname_192,comp_127,Synonym
compname_4867,comp_127,Synonym
compname_27272,comp_127,Synonym
compname_350,comp_128,Current Name
compname_1141,comp_128,Synonym
compname_14825,comp_128,Synonym
compname_20768,comp_128,Synonym
compname_27992,comp_128,Synonym
compname_29570,comp_129,Current Name
compname_3747,comp_129,Synonym
compname_9030,comp_129,Synonym
compname_12458,comp_129,Synonym
compname_19906,comp_129,Synonym
compname_29569,comp_129,Synonym
compname_8829,comp_130,Current Name
compname_8828,comp_130,Synonym
compname_8830,comp_130,Synonym
compname_28937,comp_130,Synonym
compname_12432,comp_131,Current Name
compname_12431,comp_131,Synonym
compname_10656,comp_131,Synonym
compname_11604,comp_131,Synonym
compname_12533,comp_131,Synonym
compname_16505,comp_131,Synonym
compname_19104,comp_131,Synonym
compname_21284,comp_131,Synonym
compname_29070,comp_131,Synonym
compname_29071,comp_131,Synonym
compname_31051,comp_132,Current Name
compname_659,comp_132,Synonym
compname_3232,comp_132,Synonym
compname_3233,comp_132,Synonym
compname_11125,comp_132,Synonym
compname_11126,comp_132,Synonym
compname_31050,comp_132,Synonym
compname_31282,comp_132,Synonym
compname_10924,comp_133,Current Name
compname_10923,comp_133,Synonym
compname_2989,comp_133,Synonym
compname_2990,comp_133,Synonym
compname_2991,comp_133,Synonym
compname_12494,comp_134,Current Name
compname_12492,comp_134,Synonym
compname_12493,comp_134,Synonym
compname_12495,comp_134,Synonym
compname_25090,comp_134,Synonym
compname_27579,comp_134,Synonym
compname_4401,comp_135,Current Name
compname_665,comp_135,Synonym
compname_2691,comp_135,Synonym
compname_2711,comp_135,Synonym
compname_2712,comp_135,Synonym
compname_26662,comp_135,Synonym
compname_7529,comp_136,Current Name
compname_7528,comp_136,Synonym
compname_7524,comp_136,Synonym
compname_3892,comp_137,Current Name
compname_3891,comp_137,Synonym
compname_3893,comp_137,Synonym
compname_21905,comp_137,Synonym
compname_11053,comp_138,Current Name
compname_11191,comp_138,Synonym
compname_16596,comp_138,Synonym
compname_28135,comp_138,Synonym
compname_28136,comp_138,Synonym
compname_28160,comp_138,Synonym
compname_28610,comp_139,Current Name
compname_18385,comp_139,Synonym
compname_27279,comp_139,Synonym
compname_28609,comp_139,Synonym
compname_28795,comp_140,Current Name
compname_28794,comp_140,Synonym
compname_13133,comp_140,Synonym
compname_13137,comp_140,Synonym
compname_16871,comp_140,Synonym
compname_26308,comp_140,Synonym
compname_28345,comp_140,Synonym
compname_28802,comp_140,Synonym
compname_4014,comp_141,Current Name
compname_4013,comp_141,Synonym
compname_30653,comp_142,Current Name
