:START_ID,:END_ID,type:string
projectName_2930,project_1,Primary
projectName_5484,project_2,Primary
projectName_2550,project_3,Primary
projectName_5013,project_4,Primary
projectName_5518,project_5,Primary
projectName_1833,project_6,Primary
projectName_3503,project_7,Primary
projectName_3792,project_8,Primary
projectName_1827,project_9,Primary
projectName_2780,project_10,Primary
projectName_3082,project_11,Primary
projectName_6176,project_12,Primary
projectName_2959,project_13,Primary
projectName_5041,project_14,Primary
projectName_4278,project_15,Primary
projectName_21,project_16,Primary
projectName_4323,project_17,Primary
projectName_475,project_18,Primary
projectName_910,project_19,Primary
projectName_1727,project_19,Synonym
projectName_4761,project_19,Synonym
projectName_2622,project_20,Primary
projectName_2465,project_21,Primary
projectName_1790,project_22,Primary
projectName_1065,project_22,Synonym
projectName_1790,project_22,Synonym
projectName_1812,project_22,Synonym
projectName_3914,project_22,Synonym
projectName_6365,project_22,Synonym
projectName_4314,project_23,Primary
projectName_4495,project_23,Synonym
projectName_4670,project_23,Synonym
projectName_4604,project_24,Primary
projectName_3602,project_24,Synonym
projectName_4603,project_24,Synonym
projectName_4610,project_25,Primary
projectName_4919,project_26,Primary
projectName_4921,project_26,Synonym
projectName_5063,project_27,Primary
projectName_4614,project_27,Synonym
projectName_6264,project_28,Primary
projectName_5308,project_29,Primary
projectName_4023,project_30,Primary
projectName_2458,project_31,Primary
projectName_4368,project_31,Synonym
projectName_4471,project_32,Primary
projectName_3314,project_33,Primary
projectName_4146,project_33,Synonym
projectName_4935,project_33,Synonym
projectName_573,project_34,Primary
projectName_973,project_35,Primary
projectName_2272,project_36,Primary
projectName_2446,project_37,Primary
projectName_4218,project_38,Primary
projectName_4480,project_39,Primary
projectName_4481,project_39,Synonym
projectName_2824,project_40,Primary
projectName_3003,project_41,Primary
projectName_4628,project_42,Primary
projectName_3156,project_42,Synonym
projectName_6416,project_43,Primary
projectName_1308,project_44,Primary
projectName_1882,project_45,Primary
projectName_5498,project_46,Primary
projectName_5499,project_46,Synonym
projectName_6227,project_47,Primary
projectName_4376,project_48,Primary
projectName_806,project_49,Primary
projectName_6351,project_49,Synonym
projectName_6081,project_50,Primary
projectName_2324,project_50,Synonym
projectName_2528,project_51,Primary
projectName_2996,project_52,Primary
projectName_6478,project_52,Synonym
projectName_2683,project_53,Primary
projectName_3154,project_53,Synonym
projectName_4339,project_54,Primary
projectName_301,project_54,Synonym
projectName_607,project_55,Primary
projectName_3956,project_56,Primary
projectName_2940,project_57,Primary
projectName_1730,project_58,Primary
projectName_6578,project_59,Primary
projectName_2726,project_60,Primary
projectName_4388,project_60,Synonym
projectName_5687,project_61,Primary
projectName_975,project_62,Primary
projectName_1117,project_63,Primary
projectName_5561,project_64,Primary
projectName_752,project_64,Synonym
projectName_2669,project_65,Primary
projectName_2059,project_66,Primary
projectName_70,project_66,Synonym
projectName_1724,project_67,Primary
projectName_1595,project_68,Primary
projectName_6419,project_69,Primary
projectName_817,project_69,Synonym
projectName_1794,project_70,Primary
projectName_1820,project_71,Primary
projectName_3221,project_71,Synonym
projectName_435,project_72,Primary
projectName_4065,project_72,Synonym
projectName_2849,project_73,Primary
projectName_5870,project_74,Primary
projectName_4264,project_75,Primary
projectName_520,project_75,Synonym
projectName_4266,project_75,Synonym
projectName_4267,project_75,Synonym
projectName_4268,project_75,Synonym
projectName_4792,project_76,Primary
projectName_2536,project_77,Primary
projectName_2534,project_77,Synonym
projectName_6567,project_77,Synonym
projectName_6446,project_78,Primary
projectName_4299,project_79,Primary
projectName_4573,project_80,Primary
projectName_23,project_81,Primary
projectName_6579,project_82,Primary
projectName_2093,project_83,Primary
projectName_5527,project_84,Primary
projectName_2378,project_85,Primary
projectName_3246,project_86,Primary
projectName_2559,project_87,Primary
projectName_2520,project_87,Synonym
projectName_5764,project_87,Synonym
projectName_5843,project_87,Synonym
projectName_5837,project_88,Primary
projectName_3494,project_89,Primary
projectName_1356,project_90,Primary
projectName_1357,project_90,Synonym
projectName_4288,project_91,Primary
projectName_4288,project_91,Synonym
projectName_4289,project_91,Synonym
projectName_4290,project_91,Synonym
projectName_6404,project_91,Synonym
projectName_1406,project_92,Primary
projectName_4804,project_92,Synonym
projectName_3375,project_93,Primary
projectName_1723,project_94,Primary
projectName_3604,project_95,Primary
projectName_4511,project_96,Primary
projectName_3395,project_97,Primary
projectName_4382,project_98,Primary
projectName_6457,project_99,Primary
projectName_6625,project_99,Synonym
projectName_2492,project_100,Primary
projectName_2356,project_100,Synonym
projectName_3752,project_101,Primary
projectName_1111,project_101,Synonym
projectName_1287,project_102,Primary
projectName_466,project_103,Primary
projectName_3531,project_104,Primary
projectName_3737,project_104,Synonym
projectName_328,project_105,Primary
projectName_843,project_105,Synonym
projectName_2248,project_106,Primary
projectName_881,project_107,Primary
projectName_1969,project_107,Synonym
projectName_1330,project_108,Primary
projectName_708,project_108,Synonym
projectName_4754,project_109,Primary
projectName_1445,project_109,Synonym
projectName_1835,project_109,Synonym
projectName_2100,project_109,Synonym
projectName_2708,project_109,Synonym
projectName_5416,project_109,Synonym
projectName_2007,project_110,Primary
projectName_3129,project_110,Synonym
projectName_2329,project_111,Primary
projectName_3011,project_112,Primary
projectName_3853,project_113,Primary
projectName_4076,project_113,Synonym
projectName_4187,project_114,Primary
projectName_4925,project_115,Primary
projectName_5461,project_116,Primary
projectName_5460,project_116,Synonym
projectName_5672,project_117,Primary
projectName_5625,project_118,Primary
projectName_5838,project_119,Primary
projectName_3278,project_119,Synonym
projectName_6060,project_120,Primary
projectName_5133,project_121,Primary
projectName_3871,project_122,Primary
projectName_5778,project_123,Primary
projectName_4005,project_124,Primary
projectName_6130,project_125,Primary
projectName_2157,project_126,Primary
projectName_6401,project_126,Synonym
projectName_6475,project_127,Primary
projectName_4105,project_127,Synonym
projectName_3242,project_128,Primary
projectName_1626,project_128,Synonym
projectName_5666,project_128,Synonym
projectName_2344,project_129,Primary
projectName_3284,project_130,Primary
projectName_4814,project_131,Primary
projectName_4662,project_132,Primary
projectName_1068,project_132,Synonym
projectName_2752,project_132,Synonym
projectName_115,project_133,Primary
projectName_116,project_133,Synonym
projectName_117,project_133,Synonym
projectName_3136,project_133,Synonym
projectName_1759,project_134,Primary
projectName_1761,project_134,Synonym
projectName_1762,project_134,Synonym
projectName_6337,project_134,Synonym
projectName_3989,project_135,Primary
projectName_4472,project_136,Primary
projectName_4848,project_136,Synonym
projectName_5556,project_137,Primary
projectName_5557,project_137,Synonym
projectName_5851,project_138,Primary
projectName_2701,project_138,Synonym
projectName_5852,project_138,Synonym
projectName_141,project_139,Primary
projectName_1659,project_140,Primary
projectName_3569,project_141,Primary
projectName_5366,project_142,Primary
projectName_5898,project_143,Primary
projectName_5899,project_143,Synonym
projectName_4959,project_144,Primary
projectName_4962,project_144,Synonym
projectName_5235,project_145,Primary
projectName_5511,project_145,Synonym
projectName_167,project_146,Primary
projectName_3278,project_146,Synonym
projectName_144,project_147,Primary
projectName_4331,project_148,Primary
projectName_4332,project_148,Synonym
projectName_4333,project_148,Synonym
projectName_3339,project_149,Primary
projectName_4192,project_150,Primary
projectName_185,project_150,Synonym
projectName_6619,project_150,Synonym
projectName_458,project_151,Primary
projectName_2307,project_152,Primary
projectName_330,project_152,Synonym
projectName_2828,project_152,Synonym
projectName_5692,project_152,Synonym
projectName_5793,project_152,Synonym
projectName_2857,project_152,Synonym
projectName_406,project_153,Primary
projectName_852,project_154,Primary
projectName_1466,project_155,Primary
projectName_2125,project_156,Primary
projectName_3371,project_157,Primary
projectName_2504,project_158,Primary
projectName_2035,project_158,Synonym
projectName_3917,project_159,Primary
projectName_3599,project_160,Primary
projectName_5901,project_160,Synonym
projectName_714,project_161,Primary
projectName_715,project_161,Synonym
projectName_581,project_162,Primary
projectName_5480,project_163,Primary
projectName_6378,project_163,Synonym
projectName_6364,project_164,Primary
projectName_6597,project_165,Primary
projectName_3273,project_166,Primary
projectName_3945,project_167,Primary
projectName_3355,project_168,Primary
projectName_6411,project_169,Primary
projectName_1816,project_170,Primary
projectName_5789,project_170,Synonym
projectName_79,project_171,Primary
projectName_3462,project_172,Primary
projectName_2229,project_173,Primary
projectName_1413,project_173,Synonym
projectName_649,project_174,Primary
projectName_5474,project_175,Primary
projectName_1057,project_175,Synonym
projectName_5477,project_175,Synonym
projectName_1313,project_176,Primary
projectName_1897,project_177,Primary
projectName_1755,project_178,Primary
projectName_1286,project_179,Primary
projectName_2021,project_180,Primary
projectName_3660,project_181,Primary
projectName_2152,project_182,Primary
projectName_4173,project_182,Synonym
projectName_1247,project_183,Primary
projectName_5297,project_184,Primary
projectName_2035,project_184,Synonym
projectName_5388,project_185,Primary
projectName_2141,project_185,Synonym
projectName_2563,project_186,Primary
projectName_2141,project_186,Synonym
projectName_6268,project_187,Primary
projectName_2974,project_187,Synonym
projectName_2489,project_188,Primary
projectName_2016,project_189,Primary
projectName_6116,project_190,Primary
projectName_866,project_191,Primary
projectName_3739,project_192,Primary
projectName_3397,project_193,Primary
projectName_6101,project_194,Primary
projectName_252,project_194,Synonym
projectName_860,project_194,Synonym
projectName_2048,project_194,Synonym
projectName_2184,project_194,Synonym
projectName_5568,project_194,Synonym
projectName_6402,project_194,Synonym
projectName_6460,project_194,Synonym
projectName_1008,project_195,Primary
projectName_1148,project_196,Primary
projectName_847,project_196,Synonym
