companyID,Ticker,Company Name,SYNONYMS,ACN,Country of Domicile,Company Type,Market Cap,Revenue:Y,Tot Assets:Y,Number of Employees:LF,ICB Sector,ICB Subsector,GICS Industry,GICS SubIndustry,BICS L3 Industry,BICS L4 Sub Industry,BICS L5 Segment,BICS L6 Segment,Company Description,Linkedin_empCount,Linkedin_Followers,Source
comp_1,1986986D LN Equity,BHP Group UK LTD,,,Australia,Common Stock,285590000000.0,84930000000.0,153370000000.0,,Industrial Metals and Mining,General Mining,Metals & Mining,Diversified Metals & Mining,Metals & Mining,Iron,Iron Ore Mining,,,,,Bloomberg
comp_2,BHP AU Equity,BHP Group Ltd,"BHP, BHP Group Limited, Bhp Billiton Limited, Bhp Limited, The Broken Hill Proprietary Company Limited, BHP Billiton",4028077.0,Australia,Common Stock,204270000000.0,79210000000.0,165510000000.0,91000.0,Industrial Metals and Mining,General Mining,Metals & Mining,Diversified Metals & Mining,Metals & Mining,Iron,Iron Ore Mining,,"BHP Group Limited manufactures base metals. The Company offers copper, ironore, metallurgical coal, nickel, and potash metals for global economic growthinfrastructure to energy transition used in household, steel products, foodsupply chain, and lithium batteries that power the electric vehiclerevolutions. BHP Group serves customers worldwide.",31332.0,760115.0,Bloomberg
comp_3,RIO AU Equity,Rio Tinto Ltd,"Rio Tinto, Rio Tinto Limited, Rio Tinto plc, Conzinc Riotinto Of Australia Limited, Cra Limited, The Rio Tinto Mining Company Of Australia Limited, The Rio Tinto Mining Company Of Australia Pty. Limited",4458404.0,Australia,Common Stock,164400000000.0,81380000000.0,166190000000.0,,Industrial Metals and Mining,General Mining,Metals & Mining,Diversified Metals & Mining,Metals & Mining,Iron,Iron Ore Mining,,"Rio Tinto Limited operates as a mining company. The Company produces iron orefor steel and aluminium for cars and phones, as well as copper for windturbines. Rio Tinto serves customers worldwide. Dually-listed company with RIOLN.",40000.0,700000.0,Bloomberg
comp_4,FMG AU Equity,Fortescue Ltd,"Allied Mining And Processing Limited, Allied Mining And Processing Nl, American Boulder N L, Fortescue Metal Group Ltd, Fortescue Metals Group Ltd, Lake Raeside N L, Oakwood Enterprises N L, Pharaoh Metals Corporation Nl, Winton Oil Enterprises N L, Fortescue Metals Group, Fortescue Metals Group Limited",2594872.0,Australia,Common Stock,58810000000.0,24010000000.0,46420000000.0,,Industrial Metals and Mining,Iron and Steel,Metals & Mining,Steel,Metals & Mining,Iron,Iron Ore Mining,,"Fortescue Ltd provides exploration and mining services. The Company exploresand develops iron ore projects, as well as owns and operates purpose-builtrail and port facilities. Fortescue serves customers worldwide.",5776.0,130492.0,Bloomberg
comp_5,NST AU Equity,Northern Star Resources Ltd,Northern Star Resources Limited,92832892.0,Australia,Common Stock,33060000000.000004,6410000000.0,20430000000.0,,Precious Metals and Mining,Gold Mining,Metals & Mining,Gold,Metals & Mining,Precious Metals,Gold,,Northern Star Resources Ltd manufactures precious metals. The Companyprovides mining and production of gold. Northern Star Resources serves customersin Australia and North America.,1108.0,28572.0,Bloomberg
comp_6,EVN AU Equity,Evolution Mining Ltd,"Evolution Mining, Evolution Mining Limited, Catalpa Resources Limited, Westonia Mines Limited, Westonia Mines Nl",84669036.0,Australia,Common Stock,20600000000.0,4350000000.0,9640000000.0,,Precious Metals and Mining,Gold Mining,Metals & Mining,Gold,Metals & Mining,Precious Metals,Gold,,"Evolution Mining Ltd is a gold exploration company with operations in WesternAustralia. The Company owns the gold mines -Cracow, Edna May, Mt Rawdon, andPajingo - and the Mt Carlton development project.",899.0,42408.0,Bloomberg
comp_7,LYC AU Equity,Lynas Rare Earths Ltd,"Lynas Corporation Limited, Lynas Gold N.L., Lynas Rare Earths Limited, Yilgangi Gold N.L.",9066648.0,Australia,Common Stock,16399999999.999998,556510000.0,2940000000.0,,Industrial Metals and Mining,General Mining,Metals & Mining,Diversified Metals & Mining,Metals & Mining,Mineral & Precious Stone Mining,Mineral Mining,Rare Earth,"Lynas Rare Earths Limited operates as a mining company. The Company explores andmines for rare earth minerals such as cerium, praseodymium, and neodymium.Lynas Rare Earths serves customers in Australia and Malaysia.",295.0,6446.0,Bloomberg
comp_8,1208 HK Equity,MMG Ltd,"MMG, Minmetals Resources Limited, Mmg Limited",150889151.0,Australia,Common Stock,13790000000.0,6790000000.0,24230000000.0,5000.0,Industrial Metals and Mining,Copper,Metals & Mining,Diversified Metals & Mining,Metals & Mining,Base Metals,Copper,Copper Mining,"MMG Limited is a mid-tier global resources company which explores, develops andmines base metal projects around the world.  The Company currently owns andoperates the Century, Golden Grove and Rosebery mines in Australia, theKinsevere mine in the Democratic Republic of Congo (DRC) and the LXML Seponmine in Laos.",,,Bloomberg
comp_9,S32 AU Equity,South32 Ltd,"South32 Limited, Bhp Coal Holdings Limited, Bhp Coal Holdings Pty Limited, Brogib Pty Limited",93732597.0,Australia,Common Stock,11660000000.0,8930000000.0,20880000000.0,9000.0,Industrial Metals and Mining,General Mining,Metals & Mining,Diversified Metals & Mining,Metals & Mining,Base Metals,Aluminum,,"South32 Limited operates as a diversified metals and mining company. TheCompany produces alumina, aluminum, coal, manganese, nickel, silver, lead, andzinc. South32 conducts business globally.",4378.0,132361.0,Bloomberg
comp_10,ORI AU Equity,Orica Ltd,"Ici Australia Limited, Imperial Chemical Industries (Australasia) Limited, Imperial Chemical Industries Of Australia And New Zealand Limited, Orica Limited",4145868.0,Australia,Common Stock,10110000000.0,7660000000.0,9600000000.0,,Industrial Metals and Mining,General Mining,Chemicals,Commodity Chemicals,Chemicals,Specialty Chemicals,Explosives,,Every day all around the world the people of Orica help mobilise vital resources essential to progress Our story began in 1874 supplying explosives to the Victorian goldfields in Australia Since then we have grown to become the world s leader in blasting and productivity solutions From the production and supply of explosives and initiation systems to our suite of cutting edge digital solutions and comprehensive range of blasting services we help extract resources safely efficiently and responsibly Underneath it all it is the thoughtfulness and curiosity of our people all around the world who make the difference We work as one team always guided by our values of safety respect togetherness integrity and excellence,8069.0,134714.0,Bloomberg
comp_11,BSL AU Equity,BlueScope Steel Ltd,"Bhp Steel (Jla) Pty. Ltd., Bhp Steel Limited, Bluescope Steel Limited, John Lysaght (Australia) Ltd, John Lysaght (Australia) Pty. Ltd.",11058.0,Australia,Common Stock,9940000000.0,16290000000.0,15780000000.0,17000.0,Industrial Metals and Mining,Iron and Steel,Metals & Mining,Steel,Steel,Steel Producers,,,,,,Bloomberg
comp_12,MIN AU Equity,Mineral Resources Ltd,"Mineral Resources, A.C.N. 118 549 910 Ltd, Mineral Resources Limited",118549910.0,Australia,Common Stock,7670000000.0,4470000000.0,11930000000.0,,Industrial Metals and Mining,General Mining,Metals & Mining,Diversified Metals & Mining,Metals & Mining,Iron,Iron Ore Mining,,"Mineral Resources is a mining service company. The Company provides solutionsincluding open pit mining, crushing, processing, transport, and accommodation.Mineral Resources owns and operates iron ore and lithium mining operations aswell as lithium hydroxide processing facilities. Mineral Resources servescustomers in Australia.",1255.0,47947.0,Bloomberg
