Matched_Name,Target_companyID,Dropped_companyID,Merged_Names,Updated_Columns
COOPER ENERGY LIMITED,comp_17642,comp_17891,COOPER ENERGY LIMITED,
Western Areas Limited,comp_5626,comp_18100,"WESTERN AREAS LIMITED, Western Areas, Western Areas Limited","Linkedin_empCount, Linkedin_Followers"
PEREGRINE ENERGY PTY LTD,comp_17322,comp_18107,PEREGRINE ENERGY PTY LTD,
FORTESCUE METALS GROUP LTD,comp_4,comp_18116,"FORTESCUE METALS GROUP LTD, Fortescue Metals Group, Fortescue Metals Group Limited","Linkedin_empCount, Linkedin_Followers"
METAROCK GROUP LIMITED,comp_314,comp_18124,METAROCK GROUP LIMITED,
KOMATSU MARKETING SUPPORT AUSTRALIA PTY LTD,comp_17672,comp_18263,KOMATSU MARKETING SUPPORT AUSTRALIA PTY LTD,
WORLEYPARSONS FINANCIAL SERVICES PTY LIMITED,comp_18142,comp_18275,WORLEYPARSONS FINANCIAL SERVICES PTY LIMITED,
Anglo Coal Australia Pty Ltd,comp_18172,comp_18321,"ANGLO COAL HOLDINGS PTY LTD, Anglo Coal Australia, Anglo Coal Australia Pty Ltd",
IDEMITSU AUSTRALIA RESOURCES PTY LTD,comp_6452,comp_18326,"IDEMITSU AUSTRALIA RESOURCES PTY LTD, Idemitsu Australia Resources",
Orocobre Limited,comp_5599,comp_18336,Orocobre Limited,
Ammtec Ltd,comp_6225,comp_18853,Ammtec Ltd,"Linkedin_empCount, Linkedin_Followers"
Arafura Resources Limited,comp_90,comp_18895,"Arafura Resources, Arafura Resources Limited","Linkedin_empCount, Linkedin_Followers"
Augur Resources Ltd,comp_64,comp_19002,Augur Resources Ltd,"Linkedin_empCount, Linkedin_Followers"
Australasian Mining Limited,comp_722,comp_19076,Australasian Mining Limited,"Linkedin_empCount, Linkedin_Followers"
Australian Bauxite Limited,comp_445,comp_19094,Australian Bauxite Limited,"Linkedin_empCount, Linkedin_Followers"
Auzex Resources Limited,comp_5934,comp_19198,"Auzex Resources, Auzex Resources Limited","Linkedin_empCount, Linkedin_Followers"
BHP Billiton Limited,comp_2,comp_19255,"BHP Billiton, BHP Billiton Limited",
BHP Billiton Aluminium Australia Pty Ltd,comp_6605,comp_19256,BHP Billiton Aluminium Australia Pty Ltd,"Linkedin_empCount, Linkedin_Followers"
Bauxite Resources Limited,comp_690,comp_19373,Bauxite Resources Limited,
Carrick Gold Limited,comp_5989,comp_19864,"Carrick Gold, Carrick Gold Limited","Linkedin_empCount, Linkedin_Followers"
Centrex Metals Limited,comp_5825,comp_19899,"Centrex Metals Limited, Centrex Metals Ltd","Linkedin_empCount, Linkedin_Followers"
Chinalco Yunnan Copper Resources Ltd,comp_678,comp_19929,"Chinalco Yunnan Copper Resources Limited, Chinalco Yunnan Copper Resources Ltd","Linkedin_empCount, Linkedin_Followers"
Cohiba Minerals Limited,comp_273,comp_20006,Cohiba Minerals Limited,"Linkedin_empCount, Linkedin_Followers"
Consolidated Tin Mines Limited,comp_5756,comp_20067,"Consolidated Tin Mines, Consolidated Tin Mines Limited","Linkedin_empCount, Linkedin_Followers"
Drummond Gold Limited,comp_5762,comp_20478,"Drummond Gold, Drummond Gold Limited",
Equator Resources Ltd,comp_5881,comp_20716,Equator Resources Ltd,"Linkedin_empCount, Linkedin_Followers"
European Cobalt Ltd,comp_6097,comp_20738,European Cobalt Ltd,
Exterra Resources Limited,comp_6030,comp_20786,"Exterra Resources, Exterra Resources Limited","Linkedin_empCount, Linkedin_Followers"
FRONTIER RESOURCES LIMITED,comp_138,comp_20835,"FRONTIER RESOURCES LIMITED, Frontier Resources Limited","Linkedin_empCount, Linkedin_Followers"
Fe Limited,comp_496,comp_20858,"Fe Limited, Fe Ltd","Linkedin_empCount, Linkedin_Followers"
Force Commodities Limited,comp_423,comp_20935,Force Commodities Limited,
Gold Aura Limited,comp_6144,comp_21239,Gold Aura Limited,
Goldminex Resources Limited,comp_6179,comp_21272,Goldminex Resources Limited,"Linkedin_empCount, Linkedin_Followers"
Icon Resources Ltd,comp_219,comp_21680,"Icon Resources, Icon Resources Ltd",
Jadar Resources Limited,comp_345,comp_21916,Jadar Resources Limited,"Linkedin_empCount, Linkedin_Followers"
Jaguar Minerals Limited,comp_203,comp_21917,"Jaguar Minerals, Jaguar Minerals Limited",
Jervois Mining Limited,comp_5653,comp_21938,"Jervois Mining Limited, Jervois Mining Ltd",
Jindalee Resources Limited,comp_317,comp_21945,"Jindalee Resources Limited, Jindalee Resources Ltd","Linkedin_empCount, Linkedin_Followers"
Kasbah Resources Limited,comp_6049,comp_22043,Kasbah Resources Limited,"Linkedin_empCount, Linkedin_Followers"
Kidman Resources Limited,comp_5861,comp_22080,"Kidman Resources Limited, Kidman Resources Ltd","Linkedin_empCount, Linkedin_Followers"
