ENO,PROJECT_NAME,SYNONYMS,STATE,LGA,LONG_GDA94,LAT_GDA94,PROJECT_TYPE,COMMODITY_PRIMARY,COMMODITY_SECONDARY,COMMODITY_NAMES,COMPANIES
333934,Emily Ann,,WA,Dundas,120.4823,-32.1997,Mine Projects,"Ni, Co",,"Nickel, Cobalt","LionOre Australia (Nickel) Ltd, Poseidon Nickel Limited"
333935,M1,South Murchison,WA,Yalgoo,116.937,-28.8276,Mine Projects,"Au, Ag",,"Gold, Silver","Minjar Gold Pty Ltd, Warriedar Resources"
333940,Peyes Farm Dam (Jacques - Peyes),Binduli North Project,WA,Kalgoorlie-Boulder,121.3858,-30.6971,Mine Projects,Au,,Gold,Horizon Minerals Ltd.
333942,Windermere,,QLD,Tablelands,145.3128,-17.5644,Mine Projects,Sn,Fe,"Tin, (Iron)",Consolidated Tin Mines
333947,Farleys Deposit,Fosterville Project,VIC,Greater Bendigo,144.5113,-36.673,Mine Projects,Au,,Gold,"Newmarket Gold Inc, AuRico Gold Corporation, Crocodile Gold Corporation"
333948,Ben Hur Panel 3,Binduli Project,WA,Kalgoorlie-Boulder,121.4138,-30.8593,Mine Projects,Au,,Gold,Norton Gold Fields Limited
333950,Ivanhoe North,Ivanhoe No2,NSW,Lithgow,150.01,-33.3569,Mine Projects,Cbl,,Coal - black,"Banpu Public Company Limited, Centennial Coal Co Ltd"
333951,Howley Ridge,Burnside Project,NT,Unincorporated NT,131.3209,-13.4659,Mine Projects,Au,,Gold,Crocodile Gold Corporation
333953,Lake Lindsay,Girrah,QLD,Isaac,148.7596,-23.044,Mine Projects,Cbl,,Coal - black,Anglo Coal Australia Pty Ltd
333954,South Emu Feather,Gidgee Project,WA,Sandstone,119.4177,-27.2506,Mine Projects,Au,,Gold,Panoramic Resources Limited
333961,Collingwood (Coal Project),,QLD,Western Downs,150.0181,-25.9853,Mine Projects,Cbl,,Coal - black,"New Hope Corp Ltd, MITSUI & CO. (AUSTRALIA) LTD."
333962,Yarlarweelor,Grosvenor Gold Project,WA,Meekatharra,118.3604,-25.3437,Mine Projects,Au,,Gold,"Westgold Resources Limited, Resource and Investment NL"
333963,The Mount,Mount Project,WA,Coolgardie,121.5698,-31.5287,Mine Projects,Au,,Gold,Lukah Mining Pty Ltd
333964,Western Queen,Western Queen Project,WA,Yalgoo,117.1261,-27.5321,Mine Projects,Au,,Gold,Rumble Resources Ltd
333966,Mountain of Light,Leigh Creek,SA,Unincorporated SA,138.4513,-30.5789,Mine Projects,Cu,,Copper,Strategic Minerals Plc
333967,Lady Harriet,,WA,Menzies,121.0316,-29.7251,Mine Projects,Au,,Gold,Brightstar Resources Ltd
333968,Shearers,Nullagine Gold Project,WA,East Pilbara,120.2106,-21.9164,Mine Projects,Au,,Gold,Millennium Minerals Limited
333969,Admiral Bay,,WA,Broome,122.2636,-19.1904,Mine Projects,Zn,"Ag, Pb, Ba","Zinc, (Silver, Lead, Barium)",Kagara Limited
333970,Comet Vale,"Gladstone, Sand Queen",WA,Menzies,121.131,-29.9549,Mine Projects,Au,,Gold,Labyrinth Resources Ltd
333972,Goulds Dam,"Armchair, Armchair-Streitberg, Billeroo West, Streitberg",SA,Unincorporated SA,139.95,-31.467,Mine Projects,U,U3O8,"Uranium, (Uranium oxide)",Uranium One Incorporated
333975,Western Ridge,,WA,East Pilbara,119.583,-23.3984,Mine Projects,FeOre,Fe,"Iron ore, (Iron)",BHP Group Limited
333982,Mungana,Chillagoe,QLD,Mareeba,144.3825,-17.0991,Mine Projects,"Zn, Cu","Ag, Au, Pb, Sb, Cd","Zinc, Copper, (Silver, Gold, Lead, Antimony, Cadmium)",Tartana Minerals
333983,Waterloo,Ravenswood Consolidated,QLD,Charters Towers,146.112,-20.3798,Mine Projects,"Zn, Cu","Au, Pb, Ag","Zinc, Copper, (Gold, Lead, Silver)",Sunshine Metals Ltd
333986,The Peak,"Cobar, Peak, Peak Mine, Peak Mines Project",NSW,Cobar,145.8778,-31.5653,Mine Projects,"Cu, Au",,"Copper, Gold","Goldcorp, Rio Tinto Limited"
333988,Mulline,Mulline Project,WA,Menzies,120.5206,-29.7839,Mine Projects,Au,,Gold,Swan Gold Mining Limited
333989,Burton,"Burton Downs, Kerlong, Plumtree",QLD,Isaac,148.1726,-21.5886,Mine Projects,Cbl,,Coal - black,"Bowen Coking Coal Ltd, Lenton Joint Venture"
333991,Saraji,,QLD,Isaac,148.2911,-22.3694,Mine Projects,Cbl,,Coal - black,"BHP Group Limited, Mitsubishi Corporation, Mitsubishi Corp"
333994,Jubilee,Jubilee North,QLD,Cloncurry,140.0072,-20.7946,Mine Projects,"Au, Cu",,"Gold, Copper",Hammer Metals Ltd
333998,Matilda Mine,Matilda Gold Project,WA,Wiluna,120.2149,-26.7575,Mine Projects,Au,,Gold,Blackham Resources Limited
333999,Kalman,Mount Isa,QLD,Cloncurry,139.967,-21.0459,Mine Projects,"Mo, Cu, Au","Ag, Re","Molybdenum, Copper, Gold, (Silver, Rhenium)",Hammer Metals Ltd
334000,Greenmount,"McCabe, White Range",QLD,Cloncurry,140.5309,-21.024,Mine Projects,"Cu, Co, Au","Ag, Brt, As","Copper, Cobalt, Gold, (Silver, Barite, Arsenic)",Fetch Metals
334001,Maud Creek,"Gold Creek, Maud Creek Project",NT,Katherine,132.454,-14.4431,Mine Projects,Au,,Gold,"Newmarket Gold Inc, PNX Metals Limited, Crocodile Gold Corporation"
334002,King Vol,"Auctus Chillagoe, Walsh River",QLD,Mareeba,144.2496,-16.9363,Mine Projects,"Zn, Cu","Ag, Pb, As, Cd, Fe","Zinc, Copper, (Silver, Lead, Arsenic, Cadmium, Iron)",Aurora Metals Ltd
334005,Ravensworth UG,"Nardell Colliery, Newpac Colliery",NSW,Singleton,151.0375,-32.4366,Mine Projects,Cbl,,Coal - black,"POSCO, Marubeni Corporation, Glencore Plc"
