Ticker,Name, Market Cap , Revenue:Y , Tot Assets:Y ,Number of Employees:Y,Sec Type,BICS L1 Sect Nm,BICS L2 IG Nm,BICS L3 Ind Nm,BICS L4 Sub Ind Nm,BICS L5 Seg Nm,BICS L6 Seg Nm,CIE_DES_BULK
WOR AU Equity,WORLEY LTD,7344458650,11222000000,11018999808,45500,Common Stock,Industrials,Industrial Services,Engineering & Construction,Infrastructure Construction,Energy Infra Construction,Oil & Gas Infra Construction,"Worley Limited provides consulting and advisory services. The Company offersproject and asset services in the energy, chemicals, and resources sectors.Worley serves customers worldwide."
DOW AU Equity,DOWNER EDI LTD,4875624910,10481500000,6479000064, ,Common Stock,Industrials,Industrial Services,Engineering & Construction,Infrastructure Construction,Transportation Infra Const, ,"Downer EDI Limited provides engineering and infrastructure management servicesto the public and private rail, road, power, telecommunications, mining andresources sectors in Australia, New Zealand, Asia and the Pacific.  Downerprovides rolling stock services, drilling services for the exploration industry,mine planning and management services and highway maintenance."
VNT AU Equity,VENTIA SERVICES GROUP PTY LT,4431865127,6105500000,2941799936, ,Common Stock,Industrials,Industrial Services,Engineering & Construction,Infrastructure Construction, , ,"Ventia Services Group Pty Limited provides infrastructure services. The Companyoffers asset management, capital works, operations and maintenance, networkdesign, architecture, facility management, and environmental services. VentiaServices Group serves customers in Australia and New Zealand."
LLC AU Equity,LENDLEASE GROUP,3761551158,7749000000,14133000192, ,Stapled Security,Industrials,Industrial Services,Engineering & Construction,Building Construction, , ,"Lendlease Group designs, develops, and manages property and infrastructureassets. The Company constructs apartments, commercial buildings, governmentoffices, retirement living, and educational facilities. Lendlease servescustomers worldwide."
MND AU Equity,MONADELPHOUS GROUP LTD,2132499774,2153156000,1005230016,7375,Common Stock,Industrials,Industrial Services,Engineering & Construction,Engineering Services, , ,"Monadelphous Group Limited provides engineering and construction services to theresources and petrochemical industries. The Company provides mining andprocessing industry maintenance, mining equipment refurbishment, projectmanagement, construction, and airport ground handling services. MonadelphousGroup serves customers in Australia."
DBI AU Equity,DALRYMPLE BAY INFRASTRUCTURE,2111944701,766542000,3418258944, ,Stapled Security,Industrials,Industrial Services,Engineering & Construction,Infrastructure Construction, , ,Dalrymple Bay Infrastructure Limited provides infrastructure constructionservices. The Company offers port infrastructure and services for producers andconsumers of coal exports. Dalrymple Bay Infrastructure serves clients inAustralia.
MGH AU Equity,MAAS GROUP HOLDINGS LTD,1597490519,1040011000,1992478976, ,Common Stock,Industrials,Industrial Services,Engineering & Construction,Infrastructure Construction, , ,"Maas Group Holdings Limited is a construction materials, equipment, andrelated services providing company. The Company focuses on civil,infrastructure, and mining end markets. Maas Group Holdings serves customers inAustralia."
SSM AU Equity,SERVICE STREAM LTD,1422851647,2326464000,1045945984,5300,Common Stock,Industrials,Industrial Services,Engineering & Construction,Infrastructure Construction,Communication Infra Const, ,"Service Stream Limited is a specialized fixed, wireless and broadbandtelecommunications service provider. The Company acquires property, plans,approves, designs, constructs, installs, commissions, and provides ongoingmaintenance forwireless communications facilities. The Company also providesinstallation, construction and maintenance services for the telecom industry."
SRG AU Equity,SRG GLOBAL LTD,1195837864,1323307000,855316992, ,Common Stock,Industrials,Industrial Services,Engineering & Construction,Infrastructure Construction, , ,"SRG Global Limited operates as a construction services company. The Companyconstructs skyscrapers, bridges, dams, structures, transport infrastructures,and oil and gas projects, as well as offers drilling support, civil engineering,and industrial maintenance services. SRG Global serves customers worldwide."
TEA AU Equity,TASMEA LTD,1165490693,547914000,493556000, ,Common Stock,Industrials,Industrial Services,Engineering & Construction,Engineering Services, , ,"Tasmea Limited is a skilled services company. The Company provides essentialmaintenance, engineering, and specialized project services and solutions.Tasmea serves mining, resources, oil, gas, waste, water, power, renewableenergy, defense, and infrastructure industries in Australia."
