Ticker,Name,Market Cap,Revenue:Y,Tot Assets:Y,Number of Employees:Y,Sec Type,BICS L1 Sect Nm,BICS L2 IG Nm,BICS L3 Ind Nm,BICS L4 Sub Ind Nm,BICS L5 Seg Nm,BICS L6 Seg Nm,CIE_DES_BULK
29M AU Equity,29METALS LTD,644528124.5,551063000,1038075008,,Common Stock,Materials,Materials,Metals & Mining,Base Metals, , ,29Metals Limited provides exploration and mining services. The Company exploresand develops base and precious metals assets. 29Metals serves customersworldwide.
3GC AU Equity,3G COAL LTD,,,,,Common Stock,Materials,Materials,Metals & Mining,Coal Mining,Thermal Coal, ,3G Coal Limited provides mining services. The Company offers coal explorationand development services. 3G Coal serves customers in Canada and Australia.
EGM AU Equity,888 RESOURCES LTD,,,,,Common Stock,Materials,Materials,Metals & Mining,Precious Metals,Gold, ,"888 Resources Ltd. is an exploration company established primarily to explore,acquire, evaluate and exploit mineral resources projects, primarily gold. TheCompany is focused on its Beaufort Gold Project located in the Victorian GoldProvince."
92E AU Equity,92 ENERGY LTD,,0,5491659,,Common Stock,Materials,Materials,Metals & Mining,Base Metals,Uranium, ,92 Energy Limited operates as an uranium exploration company. The Companyfocuses on searching for high-grade unconformity style uranium in Canada.
ACB AU Equity,A-CAP ENERGY LTD,,0,46147864,,Common Stock,Materials,Materials,Metals & Mining,Base Metals,Uranium, ,"A-Cap Energy Limited (A-Cap) operates as a minerals exploration and developmentcompany. The Company explores, mines, and acquires nickel and cobaltlaterite resources. A-Cap serves customers in Australia."
AB1 AU Equity,ABARTA RESOURCES LTD,,,,,Common Stock,Materials,Materials,Metals & Mining,Precious Metals,Gold, ,Abarta Resources Limited provides exploration and mining services. The Companyexplores and develops gold and base metal projects. Abarta Resources servescustomers worldwide.
5199979Q AU Equity,ABEDNEGO NICKEL LIMITED,,,,2,Common Stock,Materials,Materials,Metals & Mining,Mineral & Precious Stone Mining, , ,"Abednego Nickel Limited explores for, produces and processes nickel.  The Com-pany's primary exploration project is the Abednego Laterite Nickel Tenements inWestern Australia.  The Company also mines for other minerals including gold."
1024123D AU Equity,ABELLE LTD,,27884001,94285008,294,Common Stock,Materials,Materials,Metals & Mining,Precious Metals,Gold, ,"Abelle Limited is a gold exploration and production company. The Company'sprimary exploration projects are the Hidden Valley, Wafi Gold and GolpuCopper-Gold Project in Papua New Guinea and the Gidgee Gold Project in WesternAustralia.  The Company also has some exploration projects in Indonesia."
0562140D AU Equity,ABERFOYLE LIMITED,,141591995.2,,,Common Stock,Materials,Materials,Metals & Mining,Mineral & Precious Stone Mining, , ,"Aberfoyle Limited explores for minerals and produces lead, zinc, silver and goldin Australia and explores for copper and gold in Indonesia. Production includescopper at Gunpowder mine in Queensland and lead-zinc-silver concentrates fromthe Hellyer mine in Tasmania. Indonesian interests include the Pungkut NusaTenggara projects."
ABL AU Equity,ABILENE OIL AND GAS LTD,,42522,4946760,,Common Stock,Materials,Materials,Metals & Mining,Coal Mining, , ,Abilene Oil and Gas Ltd is a producer of oil. The Company's oil business isfocussed on the Mississippi play in Kansas and Oklahoma. Abilene also haspotential projects based in Brazil.
1900974D AU Equity,ABRA MINING PTY LTD,,0,25617544,13,Common Stock,Materials,Materials,Metals & Mining,Base Metals, , ,"Abra Mining Pty Ltd operates as an exploration and mining company. The Companyfocuses on development of a mechanized underground mine and concentrator, aswell as conducting activities. Abra Mining serves customers in Australia."
ABX AU Equity,ABX GROUP LTD,18891113.18,58000,19536000,,Common Stock,Materials,Materials,Metals & Mining,Base Metals,Aluminum,Bauxite Mining,ABx Group Ltd operates as an exploration and production company. The Companyproduces and explores rare earth elements such as aluminium fluoride. ABx Groupserves customers worldwide.
0193009D AU Equity,ACACIA RESOURCES LIMITED,,131636001.6,362821024,730,Common Stock,Materials,Materials,Metals & Mining,Precious Metals,Gold, ,"Acacia Resources Limited is a gold mining and exploration company.  TheCompany's exploration projects are located in Western Australia, South Australiaand the Northern Territory.  The Company's gold projects include Sunrise Dam,Pine Creek, Boddington and Tanami.  Acacia exports the gold internationally."
AX8 AU Equity,ACCELERATE RESOURCES LTD,5720320.984,54287,12691276,,Common Stock,Materials,Materials,Metals & Mining,Precious Metals, , ,"Accelerate Resources Limited operates as a mining company. The Company offerscobalt, copper, nickel, and gold exploration and mining services. AccelerateResources develops its projects in Australia."
ACS AU Equity,ACCENT RESOURCES NL,2937223.698,0,22224000,,Common Stock,Materials,Materials,Metals & Mining,Precious Metals,Gold, ,"Accent Resources NL explores, evaluates, and develops iron ore and goldprospects in Western Australia and Queensland."
ADC AU Equity,ACDC METALS LTD,4935158.58,,10907406,,Common Stock,Materials,Materials,Metals & Mining,Mineral & Precious Stone Mining,Mineral Mining, ,ACDC Metals Ltd provides exploration and mining services. The Company exploresand develops heavy mineral sands products and rare earth elements. ACDC Metalsserves customers worldwide.
2242840Z AU Equity,ACIRL PTY LTD,,,,,Private Comp,Materials,Materials,Metals & Mining,Coal Mining, , ,ACIRL Pty Ltd. provides coal sampling and analysis services. The Companyexamines and determines the inherent value of coal products through theirquality inspection and certification services.
3581654Z AU Equity,ACN 113 874 712 PTY LTD,,,,190,Private Comp,Materials,Materials,Metals & Mining,Mining Services, , ,A.C.N. 113 874 712 Pty Ltd operates as a mining company.
AIV AU Equity,ACTIVEX LTD,3017036.078,0,5899559,,Common Stock,Materials,Materials,Metals & Mining,Base Metals,Copper, ,ActivEX Limited explores for mineral commodities. The Company aims to takeadvantage of exploration opportunities when there is unprecedented growth indemand for mineral commodities after a significant reduction in exploration inexpenditure worldwide.
ADU AU Equity,ADAMUS RESOURCES LTD,,33220016,186800432,302,Common Stock,Materials,Materials,Metals & Mining,Precious Metals, , ,Adamus Resources Limited operates as a mineral exploration company withexploration projects in Australia and West Africa.  The Company primarilyfocuses on diamond and gold exploration.
0810058D AU Equity,ADANI MINING PTY LTD,,,,,Private Comp,Materials,Materials,Metals & Mining,Coal Mining, , ,"Adani Mining Pty Ltd operates as a mining company. The Company offers coaltrading, mining, oil and gas exploration, ports, multi-modal logistics, powergeneration, transmission, and gas distribution services. Adani Mining servescustomers worldwide."
ADD AU Equity,ADAVALE RESOURCES LTD,5130246.7,103640,360693,,Common Stock,Materials,Materials,Metals & Mining,Base Metals,Uranium, ,Adavale Resources Limited explores and mines metals. The Company develops andprocesses uranium properties in Australia.
9853778Z AU Equity,ADDCAR MINING SOLUTIONS PTY,,,,,Private Comp,Materials,Materials,Metals & Mining,Coal Mining, , ,Addcar Mining Solutions Pty Ltd operates as mining company. The Companyprovides coal mining and exploration services.
ADG AU Equity,ADELONG GOLD LTD,13901018.17,29030,6494655,,Common Stock,Materials,Materials,Metals & Mining,Precious Metals,Gold, ,Adelong Gold Limited provides exploration and mining services. The Companyexplores and develops gold projects in Australia. Adelong Gold serves customersworldwide.
ADY AU Equity,ADMIRALTY RESOURCES NL,15776876.39,0,23095954,,Common Stock,Materials,Materials,Metals & Mining,Base Metals, , ,Admiralty Resources NL is an exploration company focusing on base metals andother diversified minerals. The Company's projects include Rincon Salar inArgentina and various tenements in the Northern Territory and Western Australia.The Company also has an interest in an unlisted orthopaedic Australian company.
AVM AU Equity,ADVANCE METALS LTD,14877550.4,0,8822727,,Common Stock,Materials,Materials,Metals & Mining,Base Metals, , ,"Advance Metals Limited operates as a base metal exploration company. TheCompany focuses on the discovery of major copper deposits in brownfield miningdistricts in Arizona and Idaho, as well as other western US states."
AML AU Equity,AEON METALS LTD,,0,106238000,,Common Stock,Materials,Materials,Metals & Mining,Base Metals, , ,"Aeon Metals Limited operates as a mining company. The Company explores andmines porphyry, copper, molybdenum mineralization, gold, lead, zinc, andsilver. Aeon Metals serves customers in Australia."
AEN AU Equity,AERAMENTUM RESOURCES LTD,,0,1354336,,Common Stock,Materials,Materials,Metals & Mining,Mineral & Precious Stone Mining,Mineral Mining, ,"Aeramentum Resources Limited provides exploration and mining services. TheCompany explores and develops copper, nickel, and cobalt projects. AeramentumResources serves customers worldwide."
AIS AU Equity,AERIS RESOURCES LTD,330283537.8,577058000,608646976,,Common Stock,Materials,Materials,Metals & Mining,Base Metals,Copper,Copper Mining,"Aeris Resources Limited is a mining and exploration company. The Companyexplores, develops, mines, and produces copper. Aeris Resources conducts itsbusiness operations in Australia."
A1G AU Equity,AFRICAN GOLD LTD,164727171.3,0,9146084,,Common Stock,Materials,Materials,Metals & Mining,Precious Metals,Gold, ,African Gold Ltd. produces and distributes packaged food products. The Companysupplies a range of flavored biltong. African Gold serves customers inAustralia.
AKI AU Equity,AFRICAN IRON PTY LTD,,0,148321664,,Common Stock,Materials,Materials,Metals & Mining,Iron,Iron Ore Mining, ,African Iron Pty Limited operates as an iron ore mining company. The Companyserves customers in Australia.
AWM AU Equity,AFRO-WEST MINING LIMITED,,,,,Common Stock,Materials,Materials,Metals & Mining,Mineral & Precious Stone Mining,Precious Stone Mining,Diamonds,#N/A N/A
1850639D AU Equity,AGINCOURT RESOURCES LTD,,74306000,90810000,,Common Stock,Materials,Materials,Metals & Mining,Precious Metals,Gold, ,Agincourt Resources Limited is a gold mining exploration company whose primaryexploration project is the Wiluna Gold Mine in Western Australia.
AGR OF Equity,AGR LIMITED,,22315,15217240,33,Common Stock,Materials,Materials,Metals & Mining,Precious Metals,Gold, ,"AGR Limited operates a mining company, which explores for gold and otherminerals in West Africa."
AMN AU Equity,AGRIMIN LTD,33488861.45,0,95513736,,Common Stock,Materials,Materials,Metals & Mining,Precious Metals, , ,Agrimin Limited is developing the Mackay Sulphate of Potash Project located inWestern Australia. The Company's development is focused on extracting potassiumfrom the Lake Mackay salt lake. Agrimin is targeting the production ofspecialist potash fertilizer products.
AGR AU Equity,AGUIA RESOURCES LTD,40337989.85,0,37281788,,Common Stock,Materials,Materials,Metals & Mining,Base Metals, , ,Aguia Resources Limited is a mineral exploration company. The Company mines anddevelops properties for phosphates in Brazil.
A1C AU Equity,AIC RESOURCES PTY LTD,,0,9462085,,Common Stock,Materials,Materials,Metals & Mining,Precious Metals,Gold, ,"AIC Resources Pty Ltd operates as a mining company. The Company explores andproduces gold, silver, and copper. AIC Resources serves clients in Australia."
AKO AU Equity,AKORA RESOURCES LTD,15305682.56,19268,13905697,,Common Stock,Materials,Materials,Metals & Mining,Iron,Iron Ore Mining, ,Akora Resources Limited provides mineral exploration and mining services. TheCompany explores and develops iron ore projects. Akora Resources servescustomers worldwide.
AUQ AU Equity,ALARA RESOURCES LTD,38548201.97,5425381,171949952,,Common Stock,Materials,Materials,Metals & Mining,Base Metals,Uranium, ,Alara Resources Ltd. seeks to acquire overseas resources properties.
1878181D AU Equity,ALBIDON LTD-CDI,,167790,11012590,183,CDI,Materials,Materials,Metals & Mining,Base Metals, , ,Albidon Ltd. is a nickel mining company. The Company has mining operations andholdings across Africa. Albidon is active in exploration and uses the latest inexploration technology.
ALB AU Equity,ALBION RESOURCES LTD/AU,10805933.31,126543,2687606,,Common Stock,Materials,Materials,Metals & Mining,Base Metals, , ,Albion Resources Limited of Australia provides exploration and mining services.The Company explores and develops base metal and gold projects. AlbionResources serves customers worldwide.
