Company Name,Current Rank,Previous Rank,Senior Executive Name & Title,Year established,Total Staff,Total staff in WA,Balance date,Total Revenue,Total Revenue (previous year),Operating Revenue,Operating Revenue (previous year),Profit or Loss,Profit or Loss (previous year),Total Assets,Total Assets (previous year),Total Liabilities,Total Liabilities (previous year),Trading status,Debt - Term Loans Due,Debt - Term Loans Expire,Debt - Interest Bearing Loan & Borrowing Date,Debt - Interest Bearing Loan & Borrowing Amount,Debt - Term Loans Amount,"Debt - Term Loans (e.g. Syndicated, bonds etc)",Short Term Debt,Short Term Debt (previous year),Long Term Debt,Long Term Debt (previous year),Joint Ventures - Partner Name,Joint Ventures - Beneficial Interest,Joint Ventures - Share of Revenue,Joint Ventures - Carrying Amount,Joint Ventures - Profit/Loss,Joint Ventures - Assets,Joint Ventures - Liabilities,Associates - Name,Associates - Beneficial Interest,Associates - Share of Revenue,Associates - Carrying Amount,Associates - Profit/Loss,Associates - Assets,Associates - Liabilities,Company Status,Lawyers,Auditors,Geographical,Industry,Shares (million),ASX Code,Share Registry,Home Exchange,Ultimate holding company
NKWE Platinum,395,,TieLong Tan(Managing Director),,,,30-Dec-2017,$532,$461.35k,$0,$0,$-1.53m,$-698.61k,$114.87m,$112.56m,$411.41k,$317.40k,,,,,,,,$0,$0,$0,$0,,,,,,,,,,,,,,,,,Ernst & Young,,"Acquisition, exploration, and development of…Acquisition, exploration, and development of platinum group and associated base metal projects.",896,NKP,,PERTH,
Somerset Minerals,532,,,2018,,,30-Jun-2024,$0,$391.98k,$0,$0,$-19.99m,$-5.82m,$4.01m,$23.58m,$5.50m,$8.75m,,,,,,,,$0,$0,$0,$0,,,,,,,,,,,,,,,,Steinepreis Paganin,Pitcher Partners BA&A Pty Ltd,,"Somerset Minerals Limited (SMM, formerly Tempus…Somerset Minerals Limited (SMM, formerly Tempus Resources Ltd) is an exploration company focused on developing gold, silver, and copper mineral opportunities in the Americas. In the last 6 months, the company entered into a conditional agreement to acquire the Coppermine Project in Nunavut, Canada, and completed the sale of the Valle del Tigre II mineral concession in Ecuador.",806,SMM,,PERTH,
Moho Resources,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MOH,,,
Orinoco Gold,404,122,,,,,30-Dec-2018,$0,$772.99k,$0,$0,$-43.25m,$-13.08m,$4.35m,$35.77m,$20.89m,$24.06m,,,,,,,,$1.61m,$0,$0,$0,,,,,,,,,,,,,,,,Steinepreis Paganin,HLB Mann Judd,,"Developing a gold mine and conducting exploration…Developing a gold mine and conducting exploration activities on projects located on the Faina Greenstone Belt in central Brazil, South America.","1,423",OGX,,PERTH,
Pensana,295,448,Geoffrey Gilmour(Consultant (since August 2017); (Managing Director 2009-2017)),,,,30-Jun-2020,$70.28k,$511.98k,$0,$0,$-5.94m,$-5.83m,$23.95m,$17.53m,$2.30m,$635.45k,,,,,,,,$0,$0,$0,$0,,,,,,,,,,,,,,,,DLA Piper Australia,Ernst & Young,,"Pensana Rare Earths Plc (PM8, formerly Pensana…Pensana Rare Earths Plc (PM8, formerly Pensana Metals Ltd) is a mineral exploration company with a package of tenements in areas of Tanzania and Angola.",131,PM8,,PERTH,
New Energy Minerals,236,179,,,,,30-Jun-2020,$250.40k,$295.56k,$0,$0,$-10.30m,$-10.62m,$7.51m,$16.66m,$6.19m,$4.64m,,,,,,,,$2.50m,$2.91m,$0,$0,,,,,,,,,,,,,,,,Steinepreis Paganin,HLB Mann Judd,,"New Energy Minerals Ltd (NXE, formerly Mustang…New Energy Minerals Ltd (NXE, formerly Mustang Resources Limited) is involved in diamond and graphite exploration and mining in Mozambique. Currently NXE is focused on the development of the Caula Vanadium-Graphite Project in Northern Mozambique.",3,NXE,,PERTH,
Oilex,239,249,Jonathan Salomon(Executive Chair),,,,30-Jun-2021,$230.80k,$98.00k,$0,$0,$-614.35k,$-5.84m,$15.14m,$11.83m,$6.16m,$8.11m,,,,,,,,$0,$769.56k,$0,$0,,,,,,,,,,,,,,,,,PKF Perth,,"Oilex Limited (OEX) is an oil and gas exploration…Oilex Limited (OEX) is an oil and gas exploration and production company, focusing on its flagship Cambay project in India and the Canning Basin of Western Australia.","6,261",OEX,,PERTH,
DMC Mining,,,,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DMM,,,
Finder Energy,349,143,Jan Ostby(Founder),2004,,,30-Jun-2024,$22.14k,$2.66m,$0,$0,$-4.24m,$-2.48m,$7.06m,$10.16m,$10.08m,$9.85m,,,,,,,,$115.49k,$50.44k,$0,$0,,,,,,,,,,,,,,,,,BDO Audit Pty Ltd,,Finder Energy Holdings Limited (FDR) is a Company…Finder Energy Holdings Limited (FDR) is a Company engaged in oil and gas exploration in the North West Shelf off the coast of Western Australia and in the North Sea in the United Kingdom.,382,FDR,,PERTH,
Tambourah Metals,361,391,Rita Brooks(Executive Chair),2020,,,30-Jun-2024,$13.63k,$80.00k,$0,$0,$-2.31m,$-603.94k,$8.45m,$7.95m,$303.23k,$683.54k,,,,,,,,$55.52k,$50.88k,$34.39k,$89.91k,,,,,,,,,,,,,,,,,Hall Chadwick Audit (WA) Pty Ltd,,Tambourah Metals Ltd (TMB) is involved in…Tambourah Metals Ltd (TMB) is involved in advancement of exploration portfolio for gold and critical minerals.,166,TMB,,PERTH,
