Ticker,Company Name,Country of Domicile,Company Type,Market Cap,Revenue:Y,Tot Assets:Y,Tier_MarketCap,Tier_Revenue,Tier_Assets,CountryGroup,AssetTurnover,MarketToAsset,CapIntensity,Group_AssetTurnover,Group_MarketToAsset,Group_CapIntensity
1986986D LN Equity,BHP Group UK LTD,Australia,Common Stock,35124300000.00004,24026799999.999603,32212599999.99984,LargeCap,HighRevenue,LargeAsset,Australia,0.7458820461558434,1.0903900958010286,1.3406945577438683,MidTurnover,FairValue,BalancedCap
BHP AU Equity,BHP Group Ltd,Australia,Common Stock,35124300000.00004,24026799999.999603,32212599999.99984,LargeCap,HighRevenue,LargeAsset,Australia,0.7458820461558434,1.0903900958010286,1.3406945577438683,MidTurnover,FairValue,BalancedCap
RIO AU Equity,Rio Tinto Ltd,Australia,Common Stock,35124300000.00004,24026799999.999603,32212599999.99984,LargeCap,HighRevenue,LargeAsset,Australia,0.7458820461558434,1.0903900958010286,1.3406945577438683,MidTurnover,FairValue,BalancedCap
FMG AU Equity,Fortescue Ltd,Australia,Common Stock,35124300000.00004,24010000000.0,32212599999.99984,LargeCap,HighRevenue,LargeAsset,Australia,0.7453605111043542,1.0903900958010286,1.3416326530612177,MidTurnover,FairValue,BalancedCap
NST AU Equity,Northern Star Resources Ltd,Australia,Common Stock,33060000000.000004,6410000000.0,20430000000.0,LargeCap,UpperRevenue,LargeAsset,Australia,0.3137542829172785,1.6182085168869311,3.187207488299532,MidTurnover,HighValue,CapHeavy
EVN AU Equity,Evolution Mining Ltd,Australia,Common Stock,20600000000.0,4350000000.0,9640000000.0,LargeCap,UpperRevenue,MidAsset,Australia,0.4512448132780083,2.136929460580913,2.2160919540229886,MidTurnover,HighValue,BalancedCap
LYC AU Equity,Lynas Rare Earths Ltd,Australia,Common Stock,16399999999.999998,556510000.0,2940000000.0,LargeCap,MidRevenue,MidAsset,Australia,0.1892891156462585,5.578231292517006,5.282923936676789,LowTurnover,HighValue,CapHeavy
1208 HK Equity,MMG Ltd,Australia,Common Stock,13790000000.0,6790000000.0,24230000000.0,LargeCap,UpperRevenue,LargeAsset,Australia,0.2802311184482047,0.5691291787040859,3.5684830633284244,LowTurnover,LowValue,CapHeavy
S32 AU Equity,South32 Ltd,Australia,Common Stock,11660000000.0,8930000000.0,20880000000.0,LargeCap,UpperRevenue,LargeAsset,Australia,0.42768199233716475,0.5584291187739464,2.338185890257559,MidTurnover,LowValue,BalancedCap
ORI AU Equity,Orica Ltd,Australia,Common Stock,10110000000.0,7660000000.0,9600000000.0,LargeCap,UpperRevenue,MidAsset,Australia,0.7979166666666667,1.053125,1.2532637075718016,MidTurnover,FairValue,BalancedCap
BSL AU Equity,BlueScope Steel Ltd,Australia,Common Stock,9940000000.0,16290000000.0,15780000000.0,MidCap,HighRevenue,LargeAsset,Australia,1.032319391634981,0.6299112801013942,0.9686924493554327,HighTurnover,LowValue,CapLight
MIN AU Equity,Mineral Resources Ltd,Australia,Common Stock,7670000000.0,4470000000.0,11930000000.0,MidCap,UpperRevenue,LargeAsset,Australia,0.37468566638725903,0.6429170159262364,2.668903803131991,MidTurnover,LowValue,BalancedCap
PLS AU Equity,Pilbara Minerals Ltd,Australia,Common Stock,7370000000.0,768850000.0,4670000000.0,MidCap,MidRevenue,MidAsset,Australia,0.1646359743040685,1.5781584582441113,6.074006633283475,LowTurnover,HighValue,CapHeavy
RMS AU Equity,Ramelius Resources Ltd,Australia,Common Stock,7220000000.0,1200000000.0,2390000000.0,MidCap,UpperRevenue,MidAsset,Australia,0.502092050209205,3.0209205020920504,1.9916666666666667,MidTurnover,HighValue,BalancedCap
WOR AU Equity,Worley Ltd,Australia,Common Stock,7210000000.0,11220000000.0,11020000000.0,MidCap,HighRevenue,LargeAsset,Australia,1.0181488203266789,0.6542649727767695,0.982174688057041,HighTurnover,LowValue,CapLight
YAL AU Equity,Yancoal Australia Ltd,Australia,Common Stock,7180000000.0,6900000000.0,12360000000.0,MidCap,UpperRevenue,LargeAsset,Australia,0.558252427184466,0.580906148867314,1.791304347826087,MidTurnover,LowValue,BalancedCap
GMD AU Equity,Genesis Minerals Ltd,Australia,Common Stock,6570000000.0,920140000.0,1800000000.0,MidCap,MidRevenue,MidAsset,Australia,0.5111888888888889,3.65,1.9562240528615211,MidTurnover,HighValue,BalancedCap
PRU AU Equity,Perseus Mining Ltd,Australia,Common Stock,6470000000.0,1930000000.0,3770000000.0,MidCap,UpperRevenue,MidAsset,Australia,0.5119363395225465,1.7161803713527852,1.9533678756476685,MidTurnover,HighValue,BalancedCap
SFR AU Equity,Sandfire Resources Ltd,Australia,Common Stock,5780000000.0,1820000000.0,4360000000.0,MidCap,UpperRevenue,MidAsset,Australia,0.41743119266055045,1.3256880733944953,2.3956043956043955,MidTurnover,FairValue,BalancedCap
WHC AU Equity,Whitehaven Coal Ltd,Australia,Common Stock,5630000000.0,5830000000.0,11830000000.0,MidCap,UpperRevenue,LargeAsset,Australia,0.49281487743026203,0.47590870667793744,2.0291595197255576,MidTurnover,LowValue,BalancedCap
CMM AU Equity,Capricorn Metals Ltd,Australia,Common Stock,5370000000.0,505890000.0,1040000000.0,MidCap,MidRevenue,MidAsset,Australia,0.4864326923076923,5.163461538461538,2.055782877700686,MidTurnover,HighValue,BalancedCap
GGP AU Equity,Greatland Resources Ltd,Australia,Common Stock,4990000000.0,957370000.0,2120000000.0,MidCap,MidRevenue,MidAsset,Australia,0.4515896226415094,2.3537735849056602,2.2143998663003854,MidTurnover,HighValue,BalancedCap
DOW AU Equity,Downer EDI Ltd,Australia,Common Stock,4910000000.0,10480000000.0,6480000000.0,MidCap,HighRevenue,MidAsset,Australia,1.617283950617284,0.7577160493827161,0.6183206106870229,HighTurnover,FairValue,CapLight
RRL AU Equity,Regis Resources Ltd,Australia,Common Stock,4610000000.0,1650000000.0,2280000000.0,MidCap,UpperRevenue,MidAsset,Australia,0.7236842105263158,2.0219298245614037,1.3818181818181818,MidTurnover,HighValue,BalancedCap
VAU AU Equity,Vault Minerals Ltd,Australia,Common Stock,4490000000.0,1430000000.0,2440000000.0,MidCap,UpperRevenue,MidAsset,Australia,0.5860655737704918,1.8401639344262295,1.7062937062937062,MidTurnover,HighValue,BalancedCap
VNT AU Equity,Ventia Services Group Pty Ltd,Australia,Common Stock,4230000000.000001,6110000000.0,2940000000.0,MidCap,UpperRevenue,MidAsset,Australia,2.078231292517007,1.438775510204082,0.48117839607201307,HighTurnover,FairValue,CapLight
WGX AU Equity,Westgold Resources Ltd,Australia,Common Stock,4130000000.0,1360000000.0,3210000000.0,MidCap,UpperRevenue,MidAsset,Australia,0.4236760124610592,1.2866043613707165,2.360294117647059,MidTurnover,FairValue,BalancedCap
GOR AU Equity,Gold Road Resources Ltd,Australia,Common Stock,3790000000.0,527960000.00000006,1540000000.0,MidCap,MidRevenue,MidAsset,Australia,0.3428311688311689,2.461038961038961,2.9168876430032573,MidTurnover,HighValue,BalancedCap
PDN AU Equity,Paladin Energy Ltd,Australia,Common Stock,3780000000.0,274540000.0,1710000000.0,MidCap,MidRevenue,MidAsset,Australia,0.1605497076023392,2.210526315789474,6.22860056822321,LowTurnover,HighValue,CapHeavy
IGO AU Equity,IGO Ltd,Australia,Common Stock,3750000000.0,512500000.0,2360000000.0,MidCap,MidRevenue,MidAsset,Australia,0.21716101694915255,1.5889830508474576,4.6048780487804875,LowTurnover,HighValue,CapHeavy
WAF AU Equity,West African Resources Ltd,Australia,Common Stock,3470000000.0,724500000.0,1970000000.0,MidCap,MidRevenue,MidAsset,Australia,0.3677664974619289,1.7614213197969544,2.7191166321601106,MidTurnover,HighValue,BalancedCap
