Ticker,Short Name,Cntry Terrtry Of Dom,Sec Type,Market Cap,Revenue:Y,Tot Assets:Y,Number of Employees LF,ICB Sector Name,ICB Subsector Name,GICS Ind Name,GICS SubInd Name,BICS L3 Ind Nm,BICS L4 Sub Ind Nm,BICS L5 Seg Nm,BICS L6 Seg Nm
1986986D LN Equity,BHP GROUP UK LTD,AU,Common Stock,285.05B,84.93B,153.37B,--,Industrial Metals and Mining,General Mining,Metals & Mining,Diversified Metals & Mining,Metals & Mining,Iron,Iron Ore Mining,--
BHP AU Equity,BHP GROUP LTD,AU,Common Stock,201.33B,79.21B,165.51B,91k,Industrial Metals and Mining,General Mining,Metals & Mining,Diversified Metals & Mining,Metals & Mining,Iron,Iron Ore Mining,--
1088 HK Equity,CHINA SHENHUA-H,CN,Common Stock,160.93B,71.31B,147.97B,90k,"Oil, Gas and Coal",Coal,"Oil, Gas & Consumable Fuels",Coal & Consumable Fuels,Metals & Mining,Coal Mining,Thermal Coal,--
RIO AU Equity,RIO TINTO LTD,AU,Common Stock,160.22B,81.38B,166.19B,--,Industrial Metals and Mining,General Mining,Metals & Mining,Diversified Metals & Mining,Metals & Mining,Iron,Iron Ore Mining,--
RIO LN Equity,RIO TINTO PLC,GB,Common Stock,160.22B,81.38B,166.19B,--,Industrial Metals and Mining,General Mining,Metals & Mining,Diversified Metals & Mining,Metals & Mining,Iron,Iron Ore Mining,--
DSSA IJ Equity,DIAN SWASTATIKA,ID,Common Stock,80.04B,4.58B,5.97B,2k,"Oil, Gas and Coal",Coal,"Oil, Gas & Consumable Fuels",Coal & Consumable Fuels,Metals & Mining,Coal Mining,Thermal Coal,--
VALE3 BZ Equity,VALE SA,BR,Common Stock,74.90B,58.19B,130.04B,--,Industrial Metals and Mining,Iron and Steel,Metals & Mining,Steel,Metals & Mining,Iron,Iron Ore Mining,--
FMG AU Equity,FORTESCUE LTD,AU,Common Stock,57.64B,24.01B,46.42B,--,Industrial Metals and Mining,Iron and Steel,Metals & Mining,Steel,Metals & Mining,Iron,Iron Ore Mining,--
3993 HK Equity,CMOC-H,CN,Common Stock,56.11B,44.89B,37.71B,12k,Industrial Metals and Mining,Nonferrous Metals,Metals & Mining,Diversified Metals & Mining,Metals & Mining,Metals & Ore Whslrs & Traders,--,--
BYAN IJ Equity,BAYAN RESOURCES,ID,Common Stock,55.36B,5.23B,5.69B,4k,"Oil, Gas and Coal",Coal,"Oil, Gas & Consumable Fuels",Coal & Consumable Fuels,Metals & Mining,Coal Mining,Thermal Coal,--
8053 JP Equity,SUMITOMO CORP,JP,Common Stock,54.21B,73.43B,124.33B,--,Industrial Support Services,Industrial Suppliers,Trading Companies & Distributors,Trading Companies & Distributors,Metals & Mining,Metals & Ore Whslrs & Traders,--,--
ADE IN Equity,ADANI ENTERPRISE,IN,Common Stock,50.14B,17.73B,37.12B,3k,General Industrials,Diversified Industrials,Trading Companies & Distributors,Trading Companies & Distributors,Metals & Mining,Coal Mining,--,--
8015 JP Equity,TOYOTA TSUSHO,JP,Common Stock,44.83B,103.82B,75.44B,--,General Industrials,Diversified Industrials,Trading Companies & Distributors,Trading Companies & Distributors,Metals & Mining,Metals & Ore Whslrs & Traders,--,--
601225 CH Equity,SHAANXI COAL I-A,CN,Common Stock,42.79B,38.81B,50.62B,--,"Oil, Gas and Coal",Coal,"Oil, Gas & Consumable Fuels",Coal & Consumable Fuels,Metals & Mining,Coal Mining,Metallurgical Coal,--
COAL IN Equity,COAL INDIA LTD,IN,Common Stock,41.84B,23.04B,48.74B,220k,"Oil, Gas and Coal",Coal,"Oil, Gas & Consumable Fuels",Coal & Consumable Fuels,Metals & Mining,Coal Mining,--,--
600111 CH Equity,CHINA NORTHERN-A,CN,Common Stock,36.23B,6.95B,10.05B,--,Industrial Metals and Mining,General Mining,Metals & Mining,Diversified Metals & Mining,Metals & Mining,Mineral & Precious Stone Mining,Mineral Mining,Rare Earth
1898 HK Equity,CHINA COAL ENE-H,CN,Common Stock,30.81B,39.91B,79.25B,--,"Oil, Gas and Coal",Coal,"Oil, Gas & Consumable Fuels",Coal & Consumable Fuels,Metals & Mining,Coal Mining,Thermal Coal,--
1171 HK Equity,YANKUANG ENRGY-H,CN,Common Stock,25.68B,26.24B,78.93B,--,"Oil, Gas and Coal",Coal,"Oil, Gas & Consumable Fuels",Coal & Consumable Fuels,Metals & Mining,Coal Mining,Thermal Coal,Bituminous Coal Underground
MP US Equity,MP MATERIALS COR,US,Common Stock,19.66B,309.18M,3.77B,--,Industrial Metals and Mining,General Mining,Metals & Mining,Diversified Metals & Mining,Metals & Mining,Mineral & Precious Stone Mining,Mineral Mining,Rare Earth
CUAN IJ Equity,PETRINDO JAYA KR,ID,Common Stock,16.27B,1.22B,2.87B,5k,"Oil, Gas and Coal",Coal,"Oil, Gas & Consumable Fuels",Coal & Consumable Fuels,Metals & Mining,Coal Mining,--,--
LYC AU Equity,LYNAS RARE EARTH,AU,Common Stock,14.52B,556.51M,2.94B,--,Industrial Metals and Mining,General Mining,Metals & Mining,Diversified Metals & Mining,Metals & Mining,Mineral & Precious Stone Mining,Mineral Mining,Rare Earth
000831 CH Equity,CHINA RARE EAR-A,CN,Common Stock,11.59B,637.97M,1.22B,--,Industrial Metals and Mining,Nonferrous Metals,Metals & Mining,Diversified Metals & Mining,Metals & Mining,Mineral & Precious Stone Mining,Mineral Mining,Rare Earth
NMDC IN Equity,NMDC LTD,IN,Common Stock,11.58B,4.34B,7.68B,6k,Industrial Metals and Mining,Iron and Steel,Metals & Mining,Steel,Metals & Mining,Iron,Iron Ore Mining,--
601699 CH Equity,SHANXI LU'AN -A,CN,Common Stock,9.56B,7.55B,17.78B,--,"Oil, Gas and Coal",Coal,"Oil, Gas & Consumable Fuels",Coal & Consumable Fuels,Metals & Mining,Coal Mining,--,--
KIO SJ Equity,KUMBA IRON ORE L,ZA,Common Stock,9.20B,5.67B,8.45B,--,Industrial Metals and Mining,Iron and Steel,Metals & Mining,Steel,Metals & Mining,Iron,Iron Ore Mining,--
UNTR IJ Equity,UNITED TRACTORS,ID,Common Stock,9.08B,12.86B,16.85B,39k,Industrial Metals and Mining,General Mining,"Oil, Gas & Consumable Fuels",Coal & Consumable Fuels,Metals & Mining,Mining Services,Coal Support Services,--
000983 CH Equity,SHANXI COKING-A,CN,Common Stock,8.98B,9.54B,24.35B,--,"Oil, Gas and Coal",Coal,"Oil, Gas & Consumable Fuels",Coal & Consumable Fuels,Metals & Mining,Coal Mining,Thermal Coal,--
900948 CH Equity,INNER MONGOLIA-B,CN,Common Stock,8.61B,10.95B,18.59B,--,"Oil, Gas and Coal",Coal,"Oil, Gas & Consumable Fuels",Coal & Consumable Fuels,Metals & Mining,Coal Mining,--,--
CMIN3 BZ Equity,CSN MINERACAO SA,BR,Common Stock,8.14B,4.66B,9.53B,--,Industrial Metals and Mining,Iron and Steel,Metals & Mining,Steel,Metals & Mining,Iron,Iron Ore Mining,--
MIN AU Equity,MINERAL RESOURCE,AU,Common Stock,7.68B,4.47B,11.93B,--,Industrial Metals and Mining,General Mining,Metals & Mining,Diversified Metals & Mining,Metals & Mining,Iron,Iron Ore Mining,--
PLS AU Equity,PILBARA MINERALS,AU,Common Stock,7.44B,768.85M,4.67B,--,Industrial Metals and Mining,General Mining,Metals & Mining,Diversified Metals & Mining,Metals & Mining,Mineral & Precious Stone Mining,Mineral Mining,Lithium
600985 CH Equity,HUAIBEI MINING-A,CN,Common Stock,7.27B,13.88B,19.44B,--,"Oil, Gas and Coal",Coal,Metals & Mining,Steel,Metals & Mining,Coal Mining,--,--
002683 CH Equity,GUANGDONG HONG-A,CN,Common Stock,7.26B,2.88B,4.35B,--,Industrial Metals and Mining,General Mining,Metals & Mining,Diversified Metals & Mining,Metals & Mining,Coal Mining,Thermal Coal,--
600925 CH Equity,JIANGSU XUKUA-A,CN,Common Stock,7.26B,2.99B,8.68B,--,"Oil, Gas and Coal",Coal,"Oil, Gas & Consumable Fuels",Coal & Consumable Fuels,Metals & Mining,Coal Mining,--,--
YAL AU Equity,YANCOAL AUSTRALI,AU,Common Stock,7.18B,6.90B,12.36B,--,"Oil, Gas and Coal",Coal,"Oil, Gas & Consumable Fuels",Coal & Consumable Fuels,Metals & Mining,Coal Mining,Thermal Coal,--
600704 CH Equity,WUCHAN ZHONGDA-A,CN,Common Stock,6.60B,126.34B,38.96B,--,Industrial Support Services,Industrial Suppliers,Distributors,Distributors,Metals & Mining,Metals & Ore Whslrs & Traders,--,--
002738 CH Equity,SINOMINE RESOU-A,CN,Common Stock,6.59B,1.13B,3.81B,--,Industrial Metals and Mining,Nonferrous Metals,Metals & Mining,Diversified Metals & Mining,Metals & Mining,Mining Services,--,--
CNR US Equity,CORE NATURAL RES,US,Common Stock,5.93B,3.26B,4.66B,--,"Oil, Gas and Coal",Coal,"Oil, Gas & Consumable Fuels",Coal & Consumable Fuels,Metals & Mining,Coal Mining,Thermal Coal,--
600348 CH Equity,SHAN XI HUA YA-A,CN,Common Stock,5.84B,5.28B,17.94B,--,"Oil, Gas and Coal",Coal,"Oil, Gas & Consumable Fuels",Coal & Consumable Fuels,Metals & Mining,Coal Mining,Thermal Coal,--
WHC AU Equity,WHITEHAVEN COAL,AU,Common Stock,5.63B,5.83B,11.83B,4k,"Oil, Gas and Coal",Coal,"Oil, Gas & Consumable Fuels",Coal & Consumable Fuels,Metals & Mining,Coal Mining,--,--
EXX SJ Equity,EXXARO RESOURCES,ZA,Common Stock,5.56B,3.37B,8.10B,--,"Oil, Gas and Coal",Coal,"Oil, Gas & Consumable Fuels",Coal & Consumable Fuels,Metals & Mining,Coal Mining,Thermal Coal,Bitum Coal & Lignite Surface
600711 CH Equity,CHENGTUN MININ-A,CN,Common Stock,5.56B,5.42B,8.31B,--,Industrial Metals and Mining,Nonferrous Metals,Metals & Mining,Diversified Metals & Mining,Metals & Mining,Metals & Ore Whslrs & Traders,--,--
601001 CH Equity,JINNENG HOLDIN-A,CN,Common Stock,5.10B,3.17B,8.32B,--,"Oil, Gas and Coal",Coal,"Oil, Gas & Consumable Fuels",Coal & Consumable Fuels,Metals & Mining,Coal Mining,Thermal Coal,--
AADI IJ Equity,ADARO ANDALAN IN,ID,Common Stock,5.03B,8.07B,9.69B,3k,"Oil, Gas and Coal",Coal,"Oil, Gas & Consumable Fuels",Coal & Consumable Fuels,Metals & Mining,Coal Mining,--,--
HCC US Equity,WARRIOR MET COAL,US,Common Stock,5.01B,2.31B,4.19B,--,"Oil, Gas and Coal",Coal,Metals & Mining,Steel,Metals & Mining,Coal Mining,Metallurgical Coal,--
600098 CH Equity,GUANGZHOU DEVE-A,CN,Common Stock,4.91B,10.18B,16.95B,--,"Oil, Gas and Coal",Coal,"Oil, Gas & Consumable Fuels",Oil & Gas Storage & Transportation,Metals & Mining,Metals & Ore Whslrs & Traders,--,--
GEMS IJ Equity,GOLDEN ENERGY MI,ID,Common Stock,4.82B,4.10B,2.00B,--,"Oil, Gas and Coal",Coal,"Oil, Gas & Consumable Fuels",Coal & Consumable Fuels,Metals & Mining,Coal Mining,Thermal Coal,--
SHPC1 PE Equity,SHOUGAN HIERRO-C,PE,Common Stock,4.64B,2.37B,4.55B,--,Industrial Metals and Mining,Iron and Steel,Metals & Mining,Steel,Metals & Mining,Iron,Iron Ore Mining,--
000723 CH Equity,SHANXI MEIJIN-A,CN,Common Stock,4.53B,4.01B,9.98B,--,"Oil, Gas and Coal",Coal,Metals & Mining,Steel,Metals & Mining,Coal Mining,--,--
KIOCL IN Equity,KIOCL LTD,IN,Common Stock,4.50B,107.16M,428.67M,352,Industrial Metals and Mining,Iron and Steel,Metals & Mining,Steel,Metals & Mining,Metals & Ore Whslrs & Traders,--,--
000937 CH Equity,JIZHONG ENERGY-A,CN,Common Stock,4.49B,3.95B,11.78B,--,"Oil, Gas and Coal",Coal,"Oil, Gas & Consumable Fuels",Coal & Consumable Fuels,Metals & Mining,Coal Mining,Thermal Coal,--
ADRO IJ Equity,ALAMTRI RESOURCE,ID,Common Stock,4.45B,3.15B,10.84B,10k,"Oil, Gas and Coal",Coal,"Oil, Gas & Consumable Fuels",Coal & Consumable Fuels,Metals & Mining,Coal Mining,Thermal Coal,--
1142 HK Equity,E&P GLOBAL HOLDI,HK,Common Stock,4.35B,96.37M,304.08M,15,Personal Goods,Clothing and Accessories,Trading Companies & Distributors,Trading Companies & Distributors,Metals & Mining,Metals & Ore Whslrs & Traders,--,--
600546 CH Equity,SHANXI COAL -A,CN,Common Stock,4.29B,6.23B,8.94B,--,"Oil, Gas and Coal",Coal,Trading Companies & Distributors,Trading Companies & Distributors,Metals & Mining,Coal Mining,--,--
