Ticker,Short Name,Cntry Terrtry Of Dom,Sec Type,Market Cap,Revenue:Y,Tot Assets:Y,Number of Employees LF,ICB Sector Name,ICB Subsector Name,GICS Ind Name,GICS SubInd Name,BICS L3 Ind Nm,BICS L4 Sub Ind Nm,BICS L5 Seg Nm,BICS L6 Seg Nm
1986986D LN Equity,BHP GROUP UK LTD,AU,Common Stock,285.59B,84.93B,153.37B,--,Industrial Metals and Mining,General Mining,Metals & Mining,Diversified Metals & Mining,Metals & Mining,Iron,Iron Ore Mining,--
BHP AU Equity,BHP GROUP LTD,AU,Common Stock,204.27B,79.21B,165.51B,91k,Industrial Metals and Mining,General Mining,Metals & Mining,Diversified Metals & Mining,Metals & Mining,Iron,Iron Ore Mining,--
RIO AU Equity,RIO TINTO LTD,AU,Common Stock,164.40B,81.38B,166.19B,--,Industrial Metals and Mining,General Mining,Metals & Mining,Diversified Metals & Mining,Metals & Mining,Iron,Iron Ore Mining,--
RIO LN Equity,RIO TINTO PLC,GB,Common Stock,164.40B,81.38B,166.19B,--,Industrial Metals and Mining,General Mining,Metals & Mining,Diversified Metals & Mining,Metals & Mining,Iron,Iron Ore Mining,--
SCCO US Equity,SOUTHERN COPPER,US,Common Stock,135.81B,17.34B,30.26B,--,Industrial Metals and Mining,Copper,Metals & Mining,Copper,Metals & Mining,Base Metals,Copper,Copper Mining
FCX US Equity,FREEPORT-MCMORAN,US,Common Stock,98.76B,38.61B,88.68B,--,Industrial Metals and Mining,Copper,Metals & Mining,Copper,Metals & Mining,Base Metals,Copper,--
MAADEN AB Equity,SAUDI ARABIAN MI,SA,Common Stock,93.15B,13.04B,49.53B,--,Industrial Metals and Mining,General Mining,Metals & Mining,Diversified Metals & Mining,Chemicals,Agricultural Chemicals,Fertilizers,Phosphate Fertilizers
GMEXICOB MM Equity,GRUPO MEXICO-B,MX,Common Stock,87.99B,24.52B,59.64B,32k,Industrial Metals and Mining,Nonferrous Metals,Metals & Mining,Diversified Metals & Mining,Metals & Mining,Base Metals,Copper,Copper Smelting & Refining
FAST US Equity,FASTENAL CO,US,Common Stock,83.52B,11.44B,7.60B,22k,Industrial Metals and Mining,Metal Fabricating,Trading Companies & Distributors,Trading Companies & Distributors,Industrial Support Services,Industrial Wholesale & Rental,Industrial Equip & Sply Whslrs,--
GLEN LN Equity,GLENCORE PLC,CH,Common Stock,77.87B,350.26B,210.93B,--,Industrial Metals and Mining,General Mining,Metals & Mining,Diversified Metals & Mining,Metals & Mining,Base Metals,--,--
VALE3 BZ Equity,VALE SA,BR,Common Stock,74.24B,58.19B,130.04B,--,Industrial Metals and Mining,Iron and Steel,Metals & Mining,Steel,Metals & Mining,Iron,Iron Ore Mining,--
AAL LN Equity,ANGLO AMER PLC,GB,Common Stock,61.55B,41.39B,104.88B,--,Industrial Metals and Mining,General Mining,Metals & Mining,Diversified Metals & Mining,Metals & Mining,Precious Metals,Platinum Group,--
FMG AU Equity,FORTESCUE LTD,AU,Common Stock,58.81B,24.01B,46.42B,--,Industrial Metals and Mining,Iron and Steel,Metals & Mining,Steel,Metals & Mining,Iron,Iron Ore Mining,--
3993 HK Equity,CMOC-H,CN,Common Stock,56.34B,44.89B,37.71B,12k,Industrial Metals and Mining,Nonferrous Metals,Metals & Mining,Diversified Metals & Mining,Metals & Mining,Metals & Ore Whslrs & Traders,--,--
ANTO LN Equity,ANTOFAGASTA PLC,CL,Common Stock,48.82B,10.03B,36.60B,--,Industrial Metals and Mining,Copper,Metals & Mining,Copper,Metals & Mining,Base Metals,Copper,Copper Mining
JSTL IN Equity,JSW STEEL LTD,IN,Common Stock,47.81B,30.64B,45.10B,16k,Industrial Metals and Mining,Iron and Steel,Metals & Mining,Steel,Steel,Steel Producers,--,--
1378 HK Equity,CHINA HONGQIAO,CN,Common Stock,47.22B,32.91B,50.76B,52k,Industrial Metals and Mining,Aluminum,Metals & Mining,Aluminum,Metals & Mining,Base Metals,Aluminum,--
NUE US Equity,NUCOR CORP,US,Common Stock,47.08B,46.61B,54.87B,--,Industrial Metals and Mining,Iron and Steel,Metals & Mining,Steel,Steel,Steel Producers,--,--
MT NA Equity,ARCELORMITTAL,LU,Common Stock,46.65B,94.70B,144.52B,--,Industrial Metals and Mining,Iron and Steel,Metals & Mining,Steel,Steel,Steel Producers,--,--
TATA IN Equity,TATA STEEL LTD,IN,Common Stock,37.15B,39.35B,52.34B,43k,Industrial Metals and Mining,Iron and Steel,Metals & Mining,Steel,Steel,Steel Producers,--,--
600111 CH Equity,CHINA NORTHERN-A,CN,Common Stock,35.46B,6.95B,10.05B,--,Industrial Metals and Mining,General Mining,Metals & Mining,Diversified Metals & Mining,Metals & Mining,Mineral & Precious Stone Mining,Mineral Mining,Rare Earth
5401 JP Equity,NIPPON STEEL COR,JP,Common Stock,35.10B,87.56B,116.97B,--,Industrial Metals and Mining,Iron and Steel,Metals & Mining,Steel,Steel,Steel Producers,--,--
HZ IN Equity,HINDUSTAN ZINC,IN,Common Stock,33.49B,6.00B,6.46B,--,Industrial Metals and Mining,Nonferrous Metals,Metals & Mining,Diversified Metals & Mining,Metals & Mining,Base Metals,--,--
600019 CH Equity,BAOSHAN IRON &-A,CN,Common Stock,32.12B,67.88B,80.82B,--,Industrial Metals and Mining,Iron and Steel,Metals & Mining,Steel,Steel,Steel Producers,--,--
VEDL IN Equity,VEDANTA LTD,IN,Common Stock,30.70B,27.35B,38.08B,--,Industrial Metals and Mining,General Mining,Metals & Mining,Diversified Metals & Mining,Metals & Mining,Base Metals,--,--
STLD US Equity,STEEL DYNAMICS,US,Common Stock,30.51B,26.60B,24.15B,--,Industrial Metals and Mining,Iron and Steel,Metals & Mining,Steel,Steel,Steel Producers,--,--
002384 CH Equity,SUZHOU DONGSHA-A,CN,Common Stock,29.86B,7.75B,10.19B,--,Industrial Metals and Mining,Metal Fabricating,"Electronic Equipment, Instruments & Components",Electronic Components,Technology Hardware,Electronics Components,PCBs,--
HNDL IN Equity,HINDALCO INDS,IN,Common Stock,28.79B,43.28B,49.83B,23k,Industrial Metals and Mining,Aluminum,Metals & Mining,Aluminum,Metals & Mining,Base Metals,Aluminum,Aluminum Smelting & Refining
