Ticker,LONG_COMP_NAME,CIE_DES_BULK
1986986D LN Equity,BHP Group UK LTD,
1378 HK Equity,China Hongqiao Group Ltd,"China Hongqiao Group Ltd. manufactures aluminum products. The Company'saluminum products consist of molten aluminum alloy, aluminum alloy ingots andaluminum busbars."
ANTO LN Equity,Antofagasta PLC,
HNDL IN Equity,Hindalco Industries Ltd,
BHP AU Equity,BHP Group Ltd,"BHP Group Limited manufactures base metals. The Company offers copper, ironore, metallurgical coal, nickel, and potash metals for global economic growthinfrastructure to energy transition used in household, steel products, foodsupply chain, and lithium batteries that power the electric vehiclerevolutions. BHP Group serves customers worldwide."
MP US Equity,MP Materials Corp,"MP Materials is a fully integrated rare earth producer with capabilitiesspanning the entire supply chain-from mining and processing to metallizationand permanent magnet manufacturing. The company's products support thetransportation, energy, robotics, defense, and aerospace industries."
IVN CN Equity,Ivanhoe Mines Ltd,
RIO AU Equity,Rio Tinto Ltd,"Rio Tinto Limited operates as a mining company. The Company produces iron orefor steel and aluminium for cars and phones, as well as copper for windturbines. Rio Tinto serves customers worldwide. Dually-listed company with RIOLN."
RBC US Equity,RBC Bearings Inc,
MT NA Equity,ArcelorMittal SA,
BOL SS Equity,Boliden AB,
SCCO US Equity,Southern Copper Corp,"Southern Copper Corporation conducts mining operations in Peru and Mexico.The Company owns and operates open pit mines and metallurgical complexes thatproduce copper, molybdenum, zinc, and precious metals."
2059 TT Equity,King Slide Works Co Ltd,
5401 JP Equity,Nippon Steel Corp,"Nippon Steel Corporation manufactures steel products. The Company mainlyproduces and sells steel plates, steel pipes, structural steel, and more. NipponSteel also offers chemicals, new materials, and other products."
2002 TT Equity,China Steel Corp,
RIO LN Equity,Rio Tinto PLC,
AA US Equity,Alcoa Corp,"Alcoa Corporation manufactures metal products. The Company produces andsells bauxite, alumina, and aluminum products. Alcoa serves aluminum industryworldwide."
HZ IN Equity,Hindustan Zinc Ltd,
5411 JP Equity,JFE Holdings Inc,"JFE Holdings, Inc. operates as a holding company which established throughthe merger of NKK Corp and Kawasaki Steel Corp. The Company manages andconducts its subsidiaries' business, which conducts steel production andintegrated engineering businesses. JFE Holdings conducts businesses in Japan."
FCX US Equity,Freeport-McMoRan Inc,"Freeport-McMoRan Inc. is an international natural resources company. The Companyoperates large, long-lived, geographically diverse assets with significantreserves of copper, gold, molybdenum, cobalt, oil, and gas."
