Company Name,Current Rank,Previous Rank,Senior Executive Name & Title,Year established,Mines (names) in WA,Location of mine(s),Mine type,"WA annual production to June 30, 2024 ('000 ounces)","WA annual production to June 30, 2023 ('000 ounces)","WA annual production to June 30, 2022 ('000 ounces)","WA annual production to June 30, 2021 ('000 ounces)","WA annual production to June 30, 2020 ('000 ounces)","WA annual production to June 30, 2019 ('000 ounces)","WA annual production to June 30, 2018 ('000 ounces)","WA annual production to June 30, 2017 ('000 ounces)","WA annual production to June 30, 2016 ('000 ounces)","WA annual production to June 30, 2015 ('000 ounces)","WA annual production to June 30, 2014 ('000 ounces)","WA annual production to June 30, 2013 ('000 ounces)","WA annual production to June 30, 2012 ('000 ounces)","WA annual production to June 30, 2011 ('000 ounces)","WA annual production to June 30, 2010 ('000 ounces)",Mining contractors used,Number of contractors in WA,Is the organisation headquartered in WA?,Total staff in WA
Torque Metals,,,,2017,,,,,,,,,,,,,,,,,,,,,Yes,
Gorilla Gold Mines,,31,,,,,,,,,,8,,,,,,,,,,,,,Yes,
Matsa Resources,,28,Paul Poli(Executive Chair),,Red October,80 kilometres south of Laverton,Gold,,,,7,6,,,,,,,,,,,,,Yes,
Greatland Resources,,,Shaun Day(Managing Director),,Havieron,,,,,,,,,,,,,,,,,,,,,
Horizon Minerals,,29,,,"Teal, Menzies",,,,,3,6,9,,22,,,,,,,,,,,Yes,
Catalyst Metals,16,,"James Champion de Crespigny(Managing Director, Chief Executive Officer)",,Plutonic,,,85,,,,,,,,,,,,,,,,,Yes,
AngloGold Ashanti,4,4,"Stephen Perkins(Senior Vice President, Australia)",2000,"Sunrise Dam, Tropicana (70%)",Laverton,Open pit and u/ground,544,548,527,515,558,635,611,524,528.00,591,540,230,257,396,401,,,Yes,543
Beacon Minerals,21,21,"Graham McGarry(Executive Chair, Managing Director)",,Jaurdi gold project,35 kilometres northwest of Coolgardie.,Gold,23,29,30,30,18,,,,,,,,,,,,,Yes,
Capricorn Metals,15,16,Mark Clark(Executive Chair),,Karlawinda,,,113,120,118,2,,,,,,,,,,,,,,Yes,
Calidus Resources,20,,,,"Warrawoona, Nullagine",,,58,,,,,,,,,,,,,,,,,Yes,
Evolution Mining,13,15,Jake Klein(Executive Chair),2011,Mungari,Kalgoorlie,Open pit,124,136,138,116,133,121,141,214,208.00,99,80,86,73,66,10,,,Yes,
Gold Fields,2,2,,2001,"Granny Smith (Yilgarn South), St Ives, Agnew,…Granny Smith (Yilgarn South), St Ives, Agnew, Gruyere (50%)","Laverton/Leinster (Yilgarn South), Kambalda (St…Laverton/Leinster (Yilgarn South), Kambalda (St Ives), Leinster (Agnew)",Open pit and u/ground,991,"1,043","1,065","1,004",973,879,894,945,978.00,"1,006",906,617,647,620,586,,,Yes,"1,899"
Gold Road Resources,11,12,"Duncan Gibbs(Chief Executive, Managing Director)",,Gruyere,,,145,158,142,123,115,1,,,,,,,,,,,,Yes,
Karora Resources,14,13,,,"Beta Hunt, Higginsville",,U/ground,116,156,116,105,100,69,45,28,13.00,,,,,,,,,Yes,
Newcrest Mining,17,6,,,Telfer,Eastern Pilbara,Open pit & u/ground,84,349,408,416,393,452,426,386,462.00,520,536,526,540,621,689,,,Yes,
Newmont Corporation,3,3,"Mia Gous(Senior Vice President, Australia)",2002,Boddington,Boddington,Open pit,714,791,771,700,789,940,"1,104","1,201","1,150.00","1,046","1,314","1,356","1,399","1,440",852,,,,
Northern Star Resources,1,1,"Stuart Tonkin(Chief Executive, Managing Director since 2021)",,"Yandal (Jundee, Thunderbox, Bronzewing),…Yandal (Jundee, Thunderbox, Bronzewing), Kalgoorlie","Kalgoorlie (Kanowna Belle & Kundana), Northern…Kalgoorlie (Kanowna Belle & Kundana), Northern Goldfields (Jundee).",U/ground,"1,366","1,317","1,337","1,396",731,630,575,533,558.00,573,215,93,67,84,,,,Yes,"2,963"
Norton Gold Fields,9,10,Yuanguang Huang(Chief Executive),,Paddington,"-30.529025,121.231856",Open pit and u/ground,214,177,141,159,210,148,159,219,189.00,178,169,156,151,153,140,,200,Yes,
Novo Resources,,26,,,Nullagine,,,,13,57,18,,,,,,,,,,,,,,Yes,
Ora Banda Mining,19,19,"Luke Creagh(Chief Executive, Managing Director)",,Davyhurst,,,67,48,62,15,,,8,,,,,,,,,,,Yes,
Pantoro Gold,18,22,Paul Cmrlec(Managing Director),,Halls Creek,,Open pit and u/ground,71,48,29,35,39,43,52,39,16.00,,,,,,,,,Yes,
