Company Name,Current Rank,Previous Rank,Senior Executive Name & Title,Year established,Total number of WA Staff (including long term contractors),Number of truck drivers employed in WA,Total number of National Staff (including long term contractors),Number of trucks e.g asset base/fleet/number of pieces of equipment,Tonnes moved (annually),Number of branches/depots in WA,Branch Locations (suburb/town only),Footprint (in sqm),Number of Branches/Depots Interstate,Core Services: Regions Covered,Core Services: Industries Covered,Notable clients,WA Revenue most recent financial year,Is the organisation headquartered in WA?,Ultimate holding company
Hevihaul,,50,,1999,,,,24,,1,Welshpool,,,Australia wide,Mining,"Terex Corporation, Komatsu Australia, RCR…Terex Corporation, Komatsu Australia, RCR Tomlinson Ltd, and Austin Engineering.",,Yes,
K&S Freighters,49,29,Brett Niall(Branch Manager),1945,60,,"2,200","3,280",,3,"Alice Springs, Townsville, Brisbane, Darwin,…Alice Springs, Townsville, Brisbane, Darwin, Sydney, Portland, Melbourne, Geelong, Adelaide, Guildford, Dardanup and Kewdale.","Over 160,000 sqm of warehousing and a large range…Over 160,000 sqm of warehousing and a large range of rail and sea containers.",7,Australia wide and New Zealand.,"Provides road, rail and coastal sea forwarding in…Provides road, rail and coastal sea forwarding in support of full and  break bulk loads, including export packing, wharf lodgement and the delivery of integrated supply chain and systems solutions to key customers.","Bluescope, BHP, THe Laminex Group",,Yes,
Margaret River Transport,,,Steven Stokes(CEO),,,,,,,2,"Margaret River, Canning Vale",,,South West of WA,Wine industry,,,Yes,
Sands Fridge Lines,,,Anthony Sands(Director),1980,,,,,,1,Forrestfield,,,Western Australia,Refrigerated transport,,,Yes,
Serin Transport Group,,,Ray Serin(Director),,,,,,,,,,,,,,,,
SCT Logistics,27,14,Geoff Smith(Managing Director (since 2003)),1999,184,,735,,,1,"Altona VIC, Wodonga VIC, Penfield SA, Parkes NSW,…Altona VIC, Wodonga VIC, Penfield SA, Parkes NSW, Acacia Ridge QLD, Forrestfield WA",,6,Australia wide,"Rail and road linehaul services, refrigerated…Rail and road linehaul services, refrigerated transport services, contract management, warehousing with bonded and refrigerated facilities, distribution centre - design and development, tailored rail solutions including bulk haulage.",,,Yes,
UC Logistics,,,Urszula Kelly(General Manager),2015,,,,,,,,,,,,,,Yes,
Marley's Transport,41,,Stephen Marley(Chief Executive Officer),1969,80,,80,70,"1,500,000",2,"Merredin, Hope Valley",,,SW West Australia,Bulk Agricultural commodities and Livestock,,,Yes,
Allied Express,33,,Colin McDowell(Chief Executive),,125,,,"1,100",,1,Kewdale,,4,Australia wide.,Courier and express freight.,,,Yes,
Bluestar Global Logistics,62,,Jamie Kane(State Manager),,22,,,,,1,"Perth, Adelaide, Melbourne, Sydney, Brisbane",,4,"Australia wide, International","National transport, international freight…National transport, international freight forwarding, 3PL warehousing, and B2C Home Deliveries",,,Yes,
FedEx Express Australia,19,9,"Peter Langley(MD of Australia, New Zealand & Pacific Islands)",,NFP,,4030,,,,All capital cities and many major centres…All capital cities and many major centres throughout all of Australia.,,,Australia wide,Widest range of domestic and international…Widest range of domestic and international express delivery services.,,,Yes,
Border Express,42,28,Rob Walsh(General Manager - WA),,80,,1000,,,1,"Adelaide, Albury, Barnawartha, Brisbane, Canberra…Adelaide, Albury, Barnawartha, Brisbane, Canberra, Dandenong, Darwin, Geelong, Gold Coast, Mackay, Newcastle, Townsville, Tullamarine, Perth, Sydney.",11 depots,13,All of Australia.,"Network of line haul, warehouse, terminal and…Network of line haul, warehouse, terminal and distribution facilities.",,,Yes,
Agility Logistics,,,,,,,,,,,,,,,,,,,
Doolan's Heavy Haulage,56,,Troy Doolan(WA General Manager),1980,30,,80,,,2,"Port Hedland, Maddington",,1,WA,"Mining, manufacturing, major projects",,,Yes,
Z&A Transport,74,,,1987,8,,,20,,1,WATTLEUP,,,Western Australia,Semi Tipper services & Industrial Storage,,,Yes,
BT Group,69,,Phillip Mills(Chief Executive),2000,11,,125,300,,2,"Gillman SA, Wacol Brisbane, Pimba SA, Kalgoolie…Gillman SA, Wacol Brisbane, Pimba SA, Kalgoolie WA, Maddington WA","5 company , 7 agents",4,"WA, SA , NSW, QLD, Vic, Tas, NT","Mining, oil, gas, construction, hot shots,…Mining, oil, gas, construction, hot shots, oversize, over dimensional, mass, rig movements, camp mobilisation.",,,Yes,
Booth Transport,75,,Brian Booth(Managing Director),,8,,436,,,2,"Bibra Lake, Winfield, Tanunda, Sydney, Griffith,…Bibra Lake, Winfield, Tanunda, Sydney, Griffith, Laverton North, Mildura, Brisbane,Tas, Strathmerton",,10,Australia wide,,,,Yes,
