companyID,Tier_MarketCap,Tier_Revenue,Tier_Assets,CountryGroup,Group_AssetTurnover,Group_MarketToAsset
comp_1,MegaCap,HighRevenue,HeavyAsset,Australia,MidTurnover,HighValue
comp_2,MegaCap,HighRevenue,HeavyAsset,Australia,MidTurnover,FairValue
comp_3,MegaCap,HighRevenue,HeavyAsset,Australia,MidTurnover,FairValue
comp_4,MegaCap,HighRevenue,LargeAsset,Australia,MidTurnover,FairValue
comp_5,LargeCap,UpperRevenue,LargeAsset,Australia,MidTurnover,HighValue
comp_6,LargeCap,UpperRevenue,MidAsset,Australia,MidTurnover,HighValue
comp_7,LargeCap,MidRevenue,MidAsset,Australia,LowTurnover,HighValue
comp_8,LargeCap,UpperRevenue,LargeAsset,Australia,LowTurnover,LowValue
comp_9,LargeCap,UpperRevenue,LargeAsset,Australia,MidTurnover,LowValue
comp_10,LargeCap,UpperRevenue,MidAsset,Australia,MidTurnover,FairValue
comp_11,MidCap,HighRevenue,LargeAsset,Australia,HighTurnover,LowValue
comp_12,MidCap,UpperRevenue,LargeAsset,Australia,MidTurnover,LowValue
comp_13,MidCap,MidRevenue,MidAsset,Australia,LowTurnover,HighValue
comp_14,MidCap,UpperRevenue,MidAsset,Australia,MidTurnover,HighValue
comp_15,MidCap,HighRevenue,LargeAsset,Australia,HighTurnover,LowValue
comp_16,MidCap,UpperRevenue,LargeAsset,Australia,MidTurnover,LowValue
comp_17,MidCap,MidRevenue,MidAsset,Australia,MidTurnover,HighValue
comp_18,MidCap,UpperRevenue,MidAsset,Australia,MidTurnover,HighValue
comp_19,MidCap,UpperRevenue,MidAsset,Australia,MidTurnover,FairValue
comp_20,MidCap,UpperRevenue,LargeAsset,Australia,MidTurnover,LowValue
comp_21,MidCap,MidRevenue,MidAsset,Australia,MidTurnover,HighValue
comp_22,MidCap,MidRevenue,MidAsset,Australia,MidTurnover,HighValue
comp_23,MidCap,HighRevenue,MidAsset,Australia,HighTurnover,FairValue
comp_24,MidCap,UpperRevenue,MidAsset,Australia,MidTurnover,HighValue
comp_25,MidCap,UpperRevenue,MidAsset,Australia,MidTurnover,HighValue
comp_26,MidCap,UpperRevenue,MidAsset,Australia,HighTurnover,FairValue
comp_27,MidCap,UpperRevenue,MidAsset,Australia,MidTurnover,FairValue
comp_28,MidCap,MidRevenue,MidAsset,Australia,MidTurnover,HighValue
comp_29,MidCap,MidRevenue,MidAsset,Australia,LowTurnover,HighValue
comp_30,MidCap,MidRevenue,MidAsset,Australia,LowTurnover,HighValue
comp_31,MidCap,MidRevenue,MidAsset,Australia,MidTurnover,HighValue
comp_32,MidCap,UpperRevenue,MidAsset,Australia,MidTurnover,FairValue
comp_33,MidCap,MidRevenue,LightAsset,Australia,MidTurnover,HighValue
comp_34,MidCap,UpperRevenue,MidAsset,Australia,MidTurnover,LowValue
comp_35,MidCap,UpperRevenue,MidAsset,Australia,MidTurnover,FairValue
comp_36,MidCap,,MidAsset,Australia,,HighValue
comp_37,MidCap,UpperRevenue,MidAsset,Australia,HighTurnover,FairValue
comp_38,MidCap,UpperRevenue,MidAsset,Australia,MidTurnover,FairValue
comp_39,MidCap,,MicroAsset,Australia,,HighValue
comp_40,MidCap,MidRevenue,LightAsset,Australia,MidTurnover,HighValue
comp_41,MidCap,UpperRevenue,MidAsset,Australia,HighTurnover,HighValue
comp_42,MidCap,MidRevenue,LightAsset,Australia,MidTurnover,HighValue
comp_43,MidCap,MidRevenue,LightAsset,Australia,MidTurnover,HighValue
comp_44,MidCap,UpperRevenue,MidAsset,Australia,HighTurnover,FairValue
comp_45,MidCap,MidRevenue,LightAsset,Australia,HighTurnover,HighValue
comp_46,MidCap,UpperRevenue,MidAsset,Australia,HighTurnover,HighValue
comp_47,SmallCap,VeryLowRevenue,LightAsset,Australia,LowTurnover,HighValue
comp_48,SmallCap,UpperRevenue,MidAsset,Australia,MidTurnover,LowValue
comp_49,SmallCap,MidRevenue,LightAsset,Australia,MidTurnover,HighValue
comp_50,SmallCap,MidRevenue,LightAsset,Australia,MidTurnover,HighValue
comp_51,SmallCap,UpperRevenue,MidAsset,Australia,MidTurnover,FairValue
comp_52,SmallCap,MidRevenue,LightAsset,Australia,HighTurnover,HighValue
comp_53,SmallCap,MidRevenue,MidAsset,Australia,MidTurnover,FairValue
comp_54,SmallCap,MidRevenue,MidAsset,Australia,LowTurnover,LowValue
comp_55,SmallCap,UpperRevenue,MidAsset,Australia,HighTurnover,FairValue
comp_56,SmallCap,,LightAsset,Australia,,HighValue
comp_57,SmallCap,,MicroAsset,Australia,,HighValue
comp_58,SmallCap,MidRevenue,LightAsset,Australia,MidTurnover,HighValue
comp_59,SmallCap,MidRevenue,LightAsset,Australia,HighTurnover,HighValue
comp_60,SmallCap,UpperRevenue,LightAsset,Australia,HighTurnover,FairValue
comp_61,SmallCap,VeryLowRevenue,MidAsset,Australia,LowTurnover,FairValue
comp_62,SmallCap,LowRevenue,LightAsset,Australia,LowTurnover,HighValue
comp_63,SmallCap,,LightAsset,Australia,,HighValue
comp_64,SmallCap,VeryLowRevenue,LightAsset,Australia,LowTurnover,HighValue
comp_65,SmallCap,LowRevenue,MidAsset,Australia,LowTurnover,FairValue
comp_66,SmallCap,,LightAsset,Australia,,HighValue
comp_67,SmallCap,,LightAsset,Australia,,FairValue
comp_68,SmallCap,,LightAsset,Australia,,HighValue
comp_69,SmallCap,UpperRevenue,MidAsset,Australia,HighTurnover,LowValue
comp_70,SmallCap,MidRevenue,LightAsset,Australia,MidTurnover,HighValue
comp_71,SmallCap,,MicroAsset,Australia,,HighValue
comp_72,SmallCap,LowRevenue,LightAsset,Australia,LowTurnover,HighValue
comp_73,SmallCap,VeryLowRevenue,LightAsset,Australia,LowTurnover,HighValue
comp_74,SmallCap,LowRevenue,LightAsset,Australia,LowTurnover,HighValue
comp_75,SmallCap,,LightAsset,Australia,,HighValue
comp_76,SmallCap,,MicroAsset,Australia,,HighValue
comp_77,SmallCap,VeryLowRevenue,MicroAsset,Australia,LowTurnover,HighValue
comp_78,SmallCap,MidRevenue,LightAsset,Australia,HighTurnover,FairValue
comp_79,SmallCap,,MicroAsset,Australia,,HighValue
comp_80,SmallCap,MidRevenue,MidAsset,Australia,MidTurnover,LowValue
comp_81,SmallCap,MidRevenue,LightAsset,Australia,HighTurnover,HighValue
comp_82,SmallCap,MidRevenue,LightAsset,Australia,MidTurnover,FairValue
comp_83,SmallCap,,MicroAsset,Australia,,HighValue
comp_84,SmallCap,VeryLowRevenue,LightAsset,Australia,LowTurnover,HighValue
comp_85,SmallCap,MidRevenue,LightAsset,Australia,MidTurnover,FairValue
comp_86,SmallCap,MidRevenue,LightAsset,Australia,MidTurnover,FairValue
comp_87,SmallCap,MidRevenue,LightAsset,Australia,HighTurnover,FairValue
comp_88,SmallCap,MidRevenue,LightAsset,Australia,HighTurnover,HighValue
comp_89,SmallCap,,MicroAsset,Australia,,HighValue
comp_90,SmallCap,,LightAsset,Australia,,HighValue
comp_91,SmallCap,MidRevenue,LightAsset,Australia,HighTurnover,HighValue
comp_92,SmallCap,VeryLowRevenue,MicroAsset,Australia,LowTurnover,HighValue
comp_93,SmallCap,,MicroAsset,Australia,,HighValue
comp_94,SmallCap,,MicroAsset,Australia,,HighValue
comp_95,SmallCap,VeryLowRevenue,LightAsset,Australia,LowTurnover,FairValue
comp_96,SmallCap,MidRevenue,LightAsset,Australia,HighTurnover,HighValue
comp_97,SmallCap,,MicroAsset,Australia,,HighValue
comp_98,SmallCap,,MicroAsset,Australia,,HighValue
comp_99,SmallCap,MidRevenue,LightAsset,Australia,MidTurnover,FairValue
comp_100,SmallCap,VeryLowRevenue,MicroAsset,Australia,LowTurnover,HighValue
