ID,ACN,MatchedNames
comp_2,004028077,"Bhp Billiton Limited,Bhp Group Limited,Bhp Limited,The Broken Hill Proprietary Company Limited"
comp_3,004458404,"Conzinc Riotinto Of Australia Limited,Cra Limited,Rio Tinto Limited,The Rio Tinto Mining Company Of Australia Limited,The Rio Tinto Mining Company Of Australia Pty. Limited"
comp_4,002594872,"Allied Mining And Processing Limited,Allied Mining And Processing Nl,American Boulder N L,Fortescue Ltd,Fortescue Metal Group Ltd,Fortescue Metals Group Ltd,Lake Raeside N L,Oakwood Enterprises N L,Pharaoh Metals Corporation Nl,Winton Oil Enterprises N L"
comp_5,092832892,Northern Star Resources Ltd
comp_6,084669036,"Catalpa Resources Limited,Evolution Mining Limited,Westonia Mines Limited,Westonia Mines Nl"
comp_7,009066648,"Lynas Corporation Limited,Lynas Gold N.L.,Lynas Rare Earths Limited,Yilgangi Gold N.L."
comp_8,150889151,"Minmetals Resources Limited,Mmg Limited"
comp_9,093732597,"Bhp Coal Holdings Limited,Bhp Coal Holdings Pty Limited,Brogib Pty Limited,South32 Limited"
comp_10,004145868,"Ici Australia Limited,Imperial Chemical Industries (Australasia) Limited,Imperial Chemical Industries Of Australia And New Zealand Limited,Orica Limited"
comp_11,000011058,"Bhp Steel (Jla) Pty. Ltd.,Bhp Steel Limited,Bluescope Steel Limited,John Lysaght (Australia) Ltd,John Lysaght (Australia) Pty. Ltd."
comp_12,118549910,"A.C.N. 118 549 910 Ltd,Mineral Resources Limited"
comp_13,112425788,"Fortuna Minerals Limited,Marginbet Limited,Pilbara Minerals Limited,Portland International Limited"
comp_14,001717540,"Comserv (No 779) Pty Ltd,Ramelius Resources Limited"
comp_15,001279812,"Smith De Kantzow Wholohan & Grill Pty Ltd,Wholohan Grill & Partners Pty Ltd,Worley Limited,Worley Pty Limited,Worley Pty. Limited,Worley Services Pty Limited,Worleyparsons Services Pty Limited"
comp_16,111859119,"Yancoal Australia Ltd,Yancoal Australia Pty Limited"
comp_17,124772041,"Genesis Minerals Limited,Genesis Minerals Pty Ltd"
comp_18,106808986,Perseus Mining Limited
comp_19,105154185,"Borroloola Resources Nl,Sandfire Resources Limited,Sandfire Resources Nl"
comp_20,124425396,"Pecten Corporation Limited,Whitehaven Coal Limited"
comp_21,121700105,"Capricorn Metals Ltd,Malagasy Minerals Limited"
comp_22,668338618,"Greatland Newco Limited,Greatland Resources Limited"
comp_23,003872848,"Downer Edi Limited,Downer Group Limited,International Pacific Investments Limited"
comp_24,009174761,"Johnson'S Well Mining N.L.,Regis Resources Limited,Regis Resources N.L."
comp_25,068647610,"Greenstone Resources Nl,Red 5 Limited,Vault Minerals Limited"
comp_27,009260306,"Gold And Resource Holdings N.L.,Jenwood Resources N.L.,Poverty Gold N.L.,Westgold Resources Limited,Westgold Resources N L,Westgold Resources Pty Ltd"
comp_28,109289527,"Eleckra Mines Limited,Faulkner Resources Pty Ltd,Gold Road Resources Limited"
comp_29,061681098,"Paladin Energy Ltd,Paladin Resources Ltd,Paladin Resources Nl"
comp_30,092786304,"Igo Limited,Independence Gold Nl,Independence Group Nl"
comp_31,121539375,"West African Resources Ltd,West African Resources Pty Ltd,Wura Resources Pty Ltd"
comp_33,009795046,"Eastern Copper Mines No Liability,Emerald Oil & Gas Nl,Emerald Resources Nl,Maple Oil N.L.,Matrix Oil N.L."
comp_34,127510589,"Nickel Industries Limited,Nickel Mines Limited"
comp_35,008675018,"Iluka Resources Limited,Westralian Sands Limited"
comp_36,118153825,"Base Resources Limited,Liontown Resources Limited"
comp_37,009211474,"Ausdrill Limited,Ausdrill Pty Ltd,Perenti Global Limited,Perenti Limited"
comp_38,119770142,"Champion Iron Limited,Mamba Minerals Limited"
comp_39,618935372,"Hyperion Metals Limited,Iperionx Limited,Tao Commodities Ltd"
comp_40,003207467,"Bulong Gold N L,Chrome Corporation Limited,Colonial Resources N.L.,Pacific Niugini Limited,Pantoro Gold Limited,Pantoro Limited,Preston Resources Limited,Preston Resources Nl"
comp_41,008988547,"Monadelphous Corporation (Holdings) Limited,Monadelphous Corporation (Holdings) Pty Limited,Monadelphous Group Limited"
comp_42,641743348,"A.C.N. 641 743 348 Limited,Deterra Royalties Limited"
comp_43,118912495,"Catalyst Metals Limited,Grosvenor Resources Limited"
