Company Name,size,employees_count,followers,founded,description
GEMIA Goldfields Education Mining Industry Alliance Inc,50,2,53,2008,The Goldfields Education Mining Industry Alliance GEMIA Inc is a volunteer not for profit organisation that works to increase community education and interest in science technology engineering and mathematics STEM in the goldfields of Western Australia
Krause Health Safety DBW Krause Investments Pty Ltd,50,7,18,1996,At KRAUSE Health and Safety our aim is to ensure client satisfaction through the services we provide n nKRAUSE Health Safety provides professional Health Safety and Training consultancy services to Mount Isa and all over Australia nEstablished in 1996 KRAUSE is a Quality Assured Registered Training Provider providing services within the areas of n nSAFETY CONSULTANCY nTRAINING ASSESSMENT nThe KRAUSE team consists of professional safety and training personnel with extensive mining first aid and construction industry experience nKRAUSE Health Safety are accredited to n nIssue Nationally accredited training including but not limited to n Mine Supervisor Training n Working at Heights n Confined Space n CPR and First aid n Fire Team Operations n Fire warden n Operate a Light Vehicle n TransportPlant Equipment and Personnel nKRAUSE Health Safety pride themselves on being at the leading edge of their industry constantly adapting their services to provide clients with the latest in training technologies and methods For more information on KRAUSE services refer to our website www krausegroup com au
101 Sampling Solutions Pty Ltd,50,4,468,2014,Manufacture and supplier of equipment for mineral exploration geo technical environmental and agricultural sampling nEVH Drill parts and equipment nEziprobe Drills and sampling equipment nSolid and hollow augers nAuger repair and hard facing
101 Sampling solutions,10,3,4,2015,101 sampling solutions prides itself on quality an providing solutions where possible We are manufacturing most parts in house and also agents for A P Van den Berg CPT equipment It doesn t matter what you need give us a call an if we can t provide the solution we will advise on who to speak with We manufacture small scale rigs for hard to get locations as well as air core water bore and rc rigs A range of carriers can be used it all depends on the customers needs
1064 Gold,10,8,532,2018,1064 Gold is a highly focused exploration company n nFounded and operated by proud Queenslanders we re centered in the Clermont goldfields of Central Queensland Australia n nOur mission is to discover a world class deposit in this resource rich area reviving one of Australia s most famously rich gold regions n nWe create value through a focused and disciplined plan to discover precious metal deposits and subsequently construct and operate mines in those areas
10m Fe,10,0,6,2021,10M is a locally owned Western Australian Iron Ore producer Established in early 2021 10M s vision is to be a low cost iron ore producer mining various tenements throughout the Murchison region of Western Australia The 10M board and management team has over 100 years experience in family owned businesses in Western Australia including extensive mining crushing and processing experience 10M utilise environmentally safe conventional mining and extraction methods on all our projects 10M works closely with the traditional landowners and respect and preserve the local heritage surrounding our operations 10M strongly believe that working with the pastoralists state government regulatory governing bodies and stakeholders that our mining operations are conducted in a safe environmentally friendly and culturally sensitive manner with the minimum disturbance of the land within our operations which is of the utmost importance to our board n n10M pride ourselves on inclusion and supporting of local communities and businesses to work with 10M to be cost effective iron ore produces 10M understand that good mine planning ensures a cost effective process that is a cost benefit to all stakeholders 10M s board of directors are actively involved in the business ensuring compliance and governance across the business 10M understands that to be a successful business continual improvement is a key factor in business growth 10M are actively seeking new opportunities to grow the business and our people n n10M provides opportunities for smaller businesses within the mining sector to be apart of an industry that supports so many Australian families People are the most important asset of our business and we actively train and upskill our people ensuring the highest level of competence within our team n n 10M is about providing opportunities
13 Knives,0,0,0,3000,13 Knives is a mining metals company based out of 25 Easey St Collingwood Australia
1620 Capital,10,5,34,2016,1620 Capital is a boutique one stop shop for mining throughout Africa
1812 Cast Iron,0,0,0,3000,1812 Cast Iron is a mining metals company based out of 139 Stirling Hwy Perth Australia
1adesign,0,0,0,3000,1A Design is Reliable and Professional Laser Engraving company based Sydney and we provide complete Laser Engraving solutions for business and individuals around Australia We also provide convenient reliable high quality printing service around Australia at a competitive price Whether you need professional engraving on metal acrylic metal aluminum or steel 1A Design has professional craftmanship solutions for you If you need Professional and Quality Printing Service or need to Engrave Designs request an online quote or dial 0402412400 and talk to our team today 1A Design uses latest modern technologies and old craftsmanship to embed professional Designs No matter how big or small the signage requirements might be 1A Design provide customized service to our customers and we take pride in personalized solutions and impeccable customer service
