CompanyName,FirstAnnualRevenue
MacKellar Mining Pty Ltd,550000000
M PEOPLE PTY LTD,550000000
WESTERN PLANT HIRE PTY LTD,550000000
GRANGE RESOURCES LIMITED,550000000
SIEBTECHNIK TEMA PTY LTD,125000000
ABB AUSTRALIA PTY LIMITED,650000000
HEATHGATE RESOURCES PTY LTD,850000000
QUASAR RESOURCES PTY LTD,850000000
JENNMAR AUSTRALIA PTY LTD,225000000
VALVOLINE PTY LTD,225000000
FUGRO AUSTRALIA PTY LTD,225000000
HYDRO ALUMINIUM AUSTRALIA PTY LTD,1000000001
Norsk Hydro ASA,1000000001
ROC OIL COMPANY PTY LIMITED,425000000
PETROCHINA INTERNATIONAL PTY LTD,750000000
BUMA AUSTRALIA PTY LTD,550000000
ANGLO AMERICAN TECHNICAL & SUSTAINABILITY SERVICES LTD,275000000
CAPE PRESTON PORT COMPANY PTY LTD,1000000001
CITIC PACIFIC MINING MANAGEMENT PTY LTD,1000000001
SINO IRON HOLDINGS PTY LTD,1000000001
METRO MINING LIMITED,225000000
EXXONMOBIL AUSTRALIA PTY LTD,1000000001
MOBIL PNG GAS HOLDINGS PTY LTD,1000000001
MICHAEL PAGE INTERNATIONAL PTY. LIMITED,175000000
BEARCAT TYRES PTY LTD,1000000001
FENNER DUNLOP AUSTRALIA PTY. LTD.,1000000001
HALLITE SEALS AUSTRALIA PTY LIMITED,1000000001
KLINGE HOLDINGS PTY LTD,1000000001
MICHELIN AUSTRALIA PTY LTD,1000000001
MANDALAY RESOURCES COSTERFIELD OPERATIONS PTY LIMITED,175000000
IMAGE RESOURCES NL,50000000
FLUIDRA HOLDINGS AUSTRALIA PTY LTD,275000000
POSCO WA PTY LTD,125000000
SANTOS LIMITED,1000000001
TOTALENERGIES EP AUSTRALIA,1000000001
TOTALENERGIES EP AUSTRALIA II,1000000001
TOTALENERGIES EP HOLDINGS AUSTRALIA PTY LTD,1000000001
TOTALENERGIES EP ICHTHYS PTY LTD,1000000001
TOTALENERGIES GLNG AUSTRALIA,1000000001
Banpu Australia Co. Pty Ltd,1000000001
BOULDER MINING PTY LTD,1000000001
CENTENNIAL AIRLY PTY. LIMITED,1000000001
CENTENNIAL COAL COMPANY PTY LIMITED,1000000001
Centennial Mandalong Pty Limited,1000000001
Centennial Myuna Pty Limited,1000000001
CENTENNIAL SPRINGVALE HOLDINGS PTY. LIMITED,1000000001
CENTENNIAL SPRINGVALE PTY LIMITED,1000000001
COALEX PTY LTD,1000000001
MITSUBISHI MATERIALS PTY. LIMITED,125000000
APERGY ARTIFICIAL LIFT PTY. LTD,50000000
CHAMPIONX AUSTRALIA PTY LTD,50000000
ICHTHYS LNG PTY LTD,1000000001
INPEX ALPHA,1000000001
LTD.,1000000001
INPEX Australia Pty Ltd,1000000001
INPEX HOLDINGS AUSTRALIA PTY LTD,1000000001
INPEX ICHTHYS PTY LTD,1000000001
INPEX OIL & GAS AUSTRALIA PTY LTD,1000000001
INPEX OPERATIONS AUSTRALIA PTY LTD,1000000001
Kufpec Australia Pty Ltd,1000000001
KUFPEC AUSTRALIA PTY LTD,1000000001
IWATANI AUSTRALIA PTY LTD,175000000
B P AUSTRALIA PTY LTD,1000000001
BP DEVELOPMENTS AUSTRALIA PTY. LTD.,1000000001
BP ENERGY ASIA PTE. LIMITED,1000000001
CASTROL AUSTRALIA PTY. LIMITED,1000000001
SUN METALS CORPORATION PTY LTD,1000000001
SUN METALS HOLDINGS LIMITED,1000000001
RAVENSWOOD GOLD GROUP PTY LTD,550000000
RAVENSWOOD GOLD HOLDINGS PTY LTD,550000000
RAVENSWOOD GOLD PTY LTD,550000000
PPG INDUSTRIES AUSTRALIA PTY LIMITED,550000000
YN Energy Pty Ltd,125000000
CHEVRON AUSTRALIA DOWNSTREAM FUELS PTY LTD,1000000001
CHEVRON AUSTRALIA DOWNSTREAM HOLDINGS PTY LTD,1000000001
CHEVRON AUSTRALIA DOWNSTREAM PTY LTD,1000000001
CHEVRON AUSTRALIA PRODUCTS PTY LIMITED,1000000001
MARUBENI RESOURCES DEVELOPMENT PTY LTD,750000000
MARUBENI ALUMINIUM AUSTRALIA PTY. LTD.,375000000
DIAMOND GAS RESOURCES PTY. LTD.,275000000
UACJ AUSTRALIA PTY. LIMITED,175000000
CADIA HOLDINGS PTY LIMITED,1000000001
Lihir Gold Limited,1000000001
NEWCREST MINING LIMITED,1000000001
NEWMONT AUSTRALIA PTY LTD,1000000001
NEWMONT BODDINGTON PTY LTD,1000000001
Newmont Corporation,1000000001
NEWMONT INTERNATIONAL HOLDINGS PTY LTD,1000000001
NEWMONT MINING SERVICES PTY LTD,1000000001
NEWMONT NOL PTY LIMITED,1000000001
NEWMONT OVERSEAS HOLDINGS PTY LTD,1000000001
NEWMONT TANAMI PTY LTD,1000000001
Saddleback Investments Pty Ltd,1000000001
NIPPON STEEL AUSTRALIA PTY. LIMITED,1000000001
NIPPON STEEL RAW MATERIALS AUSTRALIA PTY LTD,1000000001
Ausenco Chile Limitada,50000000
Ausenco do Brasil Engenharia Ltd.,50000000
Ausenco Engineering Canada ULC,50000000
Ausenco Engineering USA South Inc,50000000
AUSENCO INTERNATIONAL PTY LTD,50000000
AUSENCO MANAGEMENT PTY LTD,50000000
Ausenco Mexico S. De R.L. De C.V,50000000
AUSENCO OPERATIONS PTY LTD,50000000
Ausenco Peru S.A.R.L.,50000000
AUSENCO PROJECTS AUSTRALIA PTY LTD,50000000
Ausenco PSI LLC,50000000
AUSENCO PTY LTD,50000000
AUSENCO RYLSON ASSET OPTIMISATION PTY LTD,50000000
AUSENCO RYLSON PTY LTD,50000000
AUSENCO SERVICES PTY LTD,50000000
Ausenco Sustainability ULC,50000000
Vector Argentina SA,50000000
ESCO AUSTRALIA HOLDINGS PTY LIMITED,50000000
GPC ASIA PACIFIC HOLDINGS PTY LTD,1000000001
CATERPILLAR FINANCIAL AUSTRALIA LIMITED,1000000001
CATERPILLAR HOLDINGS AUSTRALIA PTY LTD,1000000001
CATERPILLAR OF AUSTRALIA PTY LTD,1000000001
PROGRESS RAIL AUSTRALIA PTY LTD,1000000001
SOLAR TURBINES INTERNATIONAL COMPANY,1000000001
PETRONAS AUSTRALIA PTY LIMITED,1000000001
HALLIBURTON CONSOLIDATED PTY LTD,550000000
ITW Holdings Australia L.P.,650000000
ALLKEM PTY LTD,1000000001
GALAXY RESOURCES PTY LTD,1000000001
BROAD CONSTRUCTION PTY LTD,1000000001
BROAD GROUP HOLDINGS PTY LTD,1000000001
CIMIC GROUP INVESTMENTS NO. 2 PTY LIMITED,1000000001
CIMIC GROUP INVESTMENTS PTY LIMITED,1000000001
CIMIC GROUP LIMITED,1000000001
CPB CONTRACTORS PTY LIMITED,1000000001
HOCHTIEF AUSTRALIA HOLDINGS LIMITED,1000000001
MACA Civil Pty Ltd,1000000001
MACA Limited,1000000001
MACA MINING PTY LTD,1000000001
MACA Plant Pty Ltd,1000000001
PYBAR MINING SERVICES PTY LTD,1000000001
RTL Mining and Earthworks Pty Ltd,1000000001
SEDGMAN PTY LIMITED,1000000001
THIESS GROUP FINANCE PTY LTD,1000000001
THIESS GROUP HOLDINGS PTY LTD,1000000001
THIESS GROUP INVESTMENTS PTY LTD,1000000001
THIESS MIDCO HOLDINGS PTY LTD,1000000001
THIESS PTY LTD,1000000001
THIESS SQ HOLDINGS PTY LTD,1000000001
UGL ENGINEERING PTY LIMITED,1000000001
UGL OPERATIONS AND MAINTENANCE PTY LIMITED,1000000001
UGL PTY LIMITED,1000000001
UGL RAIL SERVICES PTY LIMITED,1000000001
UGL REGIONAL LINX PTY LTD,1000000001
UGL UNIPART RAIL SERVICES PTY LTD,1000000001
CONDAMINE POWER STATION PTY LTD,1000000001
Powershop Australia Pty Limited,1000000001
QGC COMMON FACILITIES COMPANY PTY LTD,1000000001
QGC MIDSTREAM HOLDINGS PTY LTD,1000000001
QGC MIDSTREAM INVESTMENTS PTY LTD,1000000001
QGC PTY LIMITED,1000000001
QGC TRAIN 1 PTY LTD,1000000001
QGC Train 1 Tolling Pty Ltd,1000000001
QGC TRAIN 2 PTY LTD,1000000001
QGC Train 2 Tolling No.2 Pty Ltd,1000000001
QGC Train 2 Tolling Pty Ltd,1000000001
QGC UPSTREAM HOLDINGS PTY LTD,1000000001
QGC UPSTREAM INVESTMENTS PTY LTD,1000000001
QGC UPSTREAM LIMITED PARTNERSHIP,1000000001
SHELL AUSTRALIA PTY LTD,1000000001
SHELL ENERGY AUSTRALIA PTY LTD,1000000001
SHELL ENERGY ENVIRONMENTAL PRODUCTS AUSTRALIA PTY LTD,1000000001
SHELL ENERGY HOLDINGS AUSTRALIA LIMITED,1000000001
SHELL ENERGY OPERATIONS PTY LTD,1000000001
SHELL ENERGY RETAIL PTY LTD,1000000001
Tianqi Lithium Energy Australia Pty Ltd,1000000001
NICKEL INDUSTRIES LIMITED,1000000001
KOPPERS CARBON MATERIALS & CHEMICALS PTY LTD,225000000
DOW CHEMICAL PTY LTD,225000000
DOW PERFORMANCE MATERIALS PTY LTD,225000000
SENEX ENERGY PTY LTD,550000000
SENEX HOLDINGS PTY LTD,550000000
GMA GARNET PTY LTD,175000000
WINDFIELD HOLDINGS PTY LTD,1000000001
MODEC,175000000
Inc.,175000000
