Commodity Group Id,Group Name,Group Abbreviation,Group Type,Commodity Abbreviations,Product Abbreviations
1,Alumina,ALUM,Commodity Group,"Al2O3, Al2O3Fused, Al2O3Bayer, Al, AlF3, Bx, Cry",
53,ALUNITE,118,Target Commodity Group,"Alu, K2O, Gp",Alu
37,ANDALUSITE - KYANITE - SILLIMANITE - CORUNDUM,101,Target Commodity Group,"And, Ky, Sil, Core, Cor","Ky, Sil, Core, Cor"
23,ANTIMONY,61,Target Commodity Group,Sb,"SbCONC, Sb"
38,ARSENIC,102,Target Commodity Group,As,AsCONC
24,ASBESTOS,62,Target Commodity Group,"Asb, Asbs, Asbr, Ath, Tr, Srp","ASBCNC, AsbOre"
39,BARITE,103,Target Commodity Group,"Brt, Jasp, Aggc",BaORE
2,Base metal,BAME,Commodity Group,"Sb, Cu, Cu equiv, Pb, Pb+Zn, Zn, Zn equiv, Au, Ag",
25,BAUXITE - ALUMINA,64,Target Commodity Group,"Al2O3Bayer, Bx, Al, Al2O3Fused, Ga, AlF3, Fl, SiO2-react, LOI, Fe2O3, TiO2, Al2O3, SiO2","BXORE, Al2O3Bayer, GAORE"
40,BISMUTH,104,Target Commodity Group,Bi,"BiCONC, Bi"
60,CHEMICALS,127,Target Commodity Group,"NaCN, ChlorAlka, ZrO2, Al2O3Fused, ZrO2-fused, NH4NO3, NH4, HNO3",
26,CHROMITE - PLATINOIDS,66,Target Commodity Group,"Cr2O3, Pt, Pd, Rh, PGE, PGE+Au, Au, Ni, Cu, Cr, Pb, Zn, Ag, Fe2O3, Fe, FeCr, Al2O3, SiO2, Chr, Co, Ir","CrOre, CrCONC, PGE, PGEOre"
41,CLAYS,105,Target Commodity Group,"Atta, Bent, Kln, Spn, Mnt, Cyce, Clay-white, Cyfi, Clay, Shale, Cement, Brick, Sd, Al, Fe, Ti, Al2O3, Fe2O3, K2O, Hly, SiO2, LOI, Na2O, Cyf","Atta, Cyce, Cyfi, Kln, Shale, Clay-white, Spn, Bent, IndClay"
13,COAL,9,Target Commodity Group,"Coal, Lignite, CBM, Char","Coal, Shale, Char"
3,Construction material,COMA,Commodity Group,"Aggc, Aggd, Aggf, Aggm, Agg, Ball, Bas, BlackGran, Brick, Brck, Cement, Cybk, Cyce, Cydo, Cyfi, IndClay, Clay, Clay-white, Cgl, Cmat, Dst, Dlt, Gran, Gvl, Fest, Lsd, Lst, Lst-Lsd, Marb, Nsy, OrnStone, Peg, PisoGravel, Qtze, RoadMetal, Sdc, Sd, Sdst, Shell, Shale, Slate, Soil, Sto, Trvn, Gab, OrbicGran, Dior, Froc, LstMet","Aggm, Aglime, LstAgConN"
35,CONSTRUCTION MATERIALS,90,Target Commodity Group,"Agg, Gvl, Sd, Sdc, Sisd, Aggc, Brck, Soil, Lst, Lst-Lsd, Cement, Dst, Shale, Dlt, Bx, Au, V2O5, V, TiO2, Fe, Al2O3Bayer, SiO2-react, Marb, Slate, OrbicGran, Dol, Clay, Aglime, Sdst, Aggf, tst","Agg, Gvl, Aggc, Sd, Lst, Lsd, Sisd, Gran, Gp, Brck, Aggm, Slate, Aglime, Clay, Sdst"
19,COPPER - LEAD - ZINC,57,Target Commodity Group,"Zn, Cu, Pb, Ag, Au, Sb, U, Fe, Mag, Mo, Co, Ba, Fl, Cd, W, PGE, Ni, WO3, Gvl, V, Zn equiv, Cu equiv, Au equiv, Pb+Zn, S, Pd, Pt, Bi","CuCATH, CuCONC, CuFERT, CuOre, CUOTHR, PbCONC, PbOre, ZnCONC, ZnFERT, AgCONC, AUORE, AUALL, CuZnOre, CuPbZnOre, CuPbZnWOre, ZnOre, CuPbZnTAILS"
14,DIAMOND,18,Target Commodity Group,"Dmdg, Dmdi, Dmd, Gvl, Au",DIAORE
42,DIATOMITE - SPONGOLITE,106,Target Commodity Group,"Diat, Spon","Diat, Spon"
43,DIMENSION STONE,107,Target Commodity Group,"Dst, Sdst, Qtze, Lst, CaO, BlackGran, Gran, Marb, Dlt, Slate, Spon, Jasp, TiEye, Lpd, Gab, Srp, OrbicGran, OrnStone, Dior, Froc, Chert, Chertr","BlackGran, Gran, Spon, Sdst, Lst, Qtze, Agg, Jasp, Marb, Lpd, Srp, OrbicGran, OrnStone, ChertDst, LstDst"
44,DOLOMITE,108,Target Commodity Group,"Dol, Cydo, MgO, CaO","Dol, Cydo, Gp"
4,Energy,ENER,Commodity Group,"Aga, C, Cbl, Cbr, Char, Coal, CBM, Condensate, Crude oil, Lignite, LNG, LPG-Butane, Propane, Methanol, NaturalGas, Oil shale, Power, Th, U, U3O8, UCG",
45,FLUORITE,109,Target Commodity Group,"Fl, CaF2",
27,GEM & SEMI-PRECIOUS STONES,69,Target Commodity Group,"Brle, Qtza, Opalc, Tur, Chrp, Mal, TiEye, Jasp, Zeb, Qtzr, Aga, Clc, Brt, Vrs, Qtz, Mossopal, Jar, Chert, Cal, Prh, Lapid-Rock, Gdl, MgCO3, Jade, Nephrite, Mag, Mookaite, Agam, Opalg, Act, CuSpec, Core, Amaz, Moonstone, Toz, Qtzc, Cors, Corr, Trq, Rdn, Ccl, Az, NativeCu, OrbicGran, Elb, Rubel, Srl, Drv, Phk, Spd, Ptl, Lpd, Qtzg, Fire opal, Siloph, Dir, Dig, Clcr, Chia, And, Cbe, Alex, TiIron, MgsNi, Basm, Unakite, Gru, Corg, FlSpec, FeSpec, SulSpec, Prehg, Vrsg, BlackJade, PilbJade, Tlc, Srp, Crd, Magcryst","Brle, Aga, Qtza, Clc, Chrp, Jasp, Mal, Tur, Vrs, Zeb, Jar, Qtze, RQUATZ, MgCO3, Prh, Nephrite, Magcryst, Mookaite, Agam, Opalc, Opalg, Lapid-Rock, CuSpec, Core, Gdl, Toz, Chert, Dig, BlackJade, PilbJade"
15,GOLD,24,Target Commodity Group,"Au, Ag, Cu, Ni, Co, Pb, Zn, Pd, Pt, WO3, PGE, Cr, Mo, Sb, As, Sd, Soil, H2O, Cement, Cali, W+Mo, Aggc, Qtz, Power, Dol, Agg, SiO2, Lst, Gvl, Au equiv, S, Bi, W","AUORE, AUALL, AUDOL, AUTAIL, AUOTHR, PbOre, CuCONC, Sd, Agg, Gvl, TaCONC, Aggc, NiMATT, Lst"
46,GRAPHITE,110,Target Commodity Group,"Gr, TGC, MgCO3, C",Gr
58,GREENSAND - GLAUCONITE,125,Target Commodity Group,"Glt, K2O, P2O5, CaO",GRNSND
16,GYPSUM,25,Target Commodity Group,"Gp, Alu, Cydo, Lst, Salt","Gp, Salt, Cydo"
20,HEAVY MINERAL SANDS,58,Target Commodity Group,"Ilm, HM, Leu, Ti, Rt, Zrn, Mnz, Xen, Grt, Ky, St, IlmRt-syn, Slimes, TiO2, ZrO2, ZrO2-fused, Fe, Tur, Ant","HMORE, HMCONC, GARCNC, ILMCNC, LEUCNC, MONCNC, RUTCNC, S.RTCN, ILMRED, XENCNC, ZIRCNC, STACNC, ILMFED"
5,Industrial mineral,INMI,Commodity Group,"Aglime, Alu, And, Anh, Ath, Ap, As, Asba, Asbs, Asbr, Asb, Atta, Brt, Ba, Bent, Bor, B, Cal, Ca, CaCO3, Cali, Cnl, Cls, Chalk, Chert, Chl, Core, Cor, Crs, Dmdi, Diat, Dol, Eva, Fel, F, Fl, Cyf, Grt, Glt, Gr, Gp, Hly, Hem-MIO, Jar, Kln, Ky, Lpd, CaO, Mn-EMD, MnSO4, Hg, Mica, Mnpg, Mnt, Ochre, Ol, Plg, Peat, Perl, Phos, P, K2O, K, K2SO4, Pz, Prh, Pumice, Py, Prl, Qtz, Salt, Sdf, Spn, Se, Sep, Srp, SiO2, SiO2-react, Si-flour, Sisd, Si, Sil, Soda ash, Spl, Spon, St, S, Syl, Tlc, Te, Trn, Vrs, Vrm, Wo, Zeol, Zoisite, Tr, MgCO3, LsdSsdMet, LstMet, CaF2, LOI, TGC, Na2O, Ant, K2CO3, KCl, KN03, KOH, KClO3, KMnO4, K2SO4MgSO4, MgCl2, MgSO4, Mg(OH)2, tst, Bittern","Cor, Phos, Core, PyORE, PyCONC, SiO2, Fl, Aglime, LstMet, LsdSsdMet"
32,INDUSTRIAL PEGMATITE MINERALS,83,Target Commodity Group,"Mica, Ta, Sn, Brl, Fel, Qtz, BeO, Tur, K+Na, Al2O3, Fe2O3, Lpd","Fel, FELCNC, Mica, MICCNC, Qtz, Brl, Agg, Sd"
6,Iron,IRON,Commodity Group,"Hem, Fe, FeCalcined, Fe-DRI, Fe2O3, FeMagnetic, PigIron, FeOre, Fe-Pellets, FE2O3AL2O3, Mag, Steel",
