eno,deposit_name,state,records,latest_record_date,ore_scale_t_max,ore_scale_t_median
575760,WAIO (BHP),WA,162,2024-06-30,20440000000.0,1165000000.0
335647,Olympic Dam,SA,143,2023-06-30,10410000000.0,2950000000.0
817719,Iron Ore Australia,WA,51,2024-12-31,8773000000.0,5893000000.0
333472,Wandoan,QLD,3,2022-12-31,8500000000.0,8050000000.0
557283,Lake Disappointment Potash,WA,3,2015-12-31,7705000000.0,7705000000.0
335249,Hamersley Iron - Hamersley Undeveloped,WA,12,2011-12-31,7220000000.0,2841000000.0
333838,Stuart,QLD,1,2002-12-31,5600000000.0,5600000000.0
599505,China Stone,QLD,1,2015-07-01,5590000000.0,5590000000.0
336005,Balmoral Central  (Sino Iron),WA,4,2011-12-31,5088000000.0,4569000000.0
335842,Robe River (Rio JV),WA,71,2020-06-30,4920000000.0,534000000.0
520087,Speewah Vanadium (Tivan),WA,16,2012-03-12,4711000000.0,1135000000.0
334038,Maryvale,VIC,1,2005-09-01,4700000000.0,4700000000.0
601694,Hutton,QLD,1,2016-05-09,4654400000.0,4654400000.0
333606,Hunter Valley Operations,NSW,5,2024-12-31,4500000000.0,4470000000.0
534128,Hawsons,NSW,5,2024-06-24,4415000000.0,1769000000.0
530065,Iron Bridge Joint Venture,WA,52,2024-06-30,4297000000.0,963000000.0
546510,Central Eyre Iron-Warramboo (Iron Road),SA,15,2023-12-31,3681000000.0,907000000.0
335720,Mount Arthur,NSW,6,2024-06-30,3652000000.0,1771800000.0
334163,Jack Hills,WA,15,2012-08-29,3600000000.0,133000000.0
334178,Weipa,QLD,12,2024-12-31,3475000000.0,1450000000.0
569984,Hamersley Iron (Rio  Tinto),WA,211,2020-06-30,3416000000.0,271000000.0
335733,Chichester Hub - Cloudbreak Christmas Creek (FMG),WA,53,2024-06-30,3379000000.0,807000000.0
334215,Razorback Iron (Magnetite Mines),SA,26,2023-06-09,3245000000.0,1968550000.0
408607,Cadia East,NSW,51,2023-12-31,3195900000.0,2300000000.0
335835,Cadia Hill,NSW,53,2014-12-31,3010350000.0,229000000.0
627649,Alisona,QLD,6,2014-10-30,2890000000.0,2890000000.0
334375,Rhodes Ridge JV,WA,28,2020-06-30,2869000000.0,1442000000.0
335025,Bulga,NSW,7,2024-12-31,2860000000.0,2830000000.0
551172,Western Hub,WA,77,2024-06-30,2681000000.0,1773000000.0
869691,Goonyella Complex,QLD,4,2024-06-30,2501000000.0,1637500000.0
