FID,ENO,PROJECT_NAME,PROJECT_DESC,STATE,COMMODITY_PRIMARY,COMMODITY_NAMES,PROJECT_TYPE,PRINCIPAL_COMPANY,CAPACITY,PROJECT_STATUS,REMARK,EMPLOYMENT,PROJECT_LOCATION_DESC,PROJECT_REF,CAPITAL_EXPENDITURE,PROJECT_TECHNOLOGY,COMMENCEMENT_YEAR,LONG_GDA94,LAT_GDA94,PROJECT_LOCATION,ACCURACY_M,EXPIRY_DATE,REF_TITLE1,REF_URL1,REF_TITLE2,REF_URL2,REF_TITLE3,REF_URL3
MajorResourceProjects.364193,364193,Aurukun,Mining project - bauxite,QLD,"Bx,Al2O3","Bauxite,Alumina",mining,Aluminum Corp of China Ltd,7.5 Mtpa of Bauxite; 2.1 Mtpa of Alumina,Proposed,CHALCO need to spend $4M to complete a prefeasibility study by end May 2006. An alumina refinery is to be built on the east coast of Queensland,"3,800 construction; 600 operating","Cape York Penisula, North Queensland",News Release by Premier Beattie (2/3/06); Courier Mail (4/3/06),$3.0 billion,Open-pit and Refinery,2011,141.832,-13.365,POINT (-13.365 141.832),2000,,Aluminium Corporation of China Ltd,http://www.chalco.com.cn/,,,,
MajorResourceProjects.364203,364203,Barrambie vanadium project,Mining project - vanadium,WA,FeV,Ferro-Vanadium,mining,Reed Resources,6.3 ktpa Vanadium,Publicly Announced,12 year mine life. Bankaable Feasibility Study due to be completed early 2007,"Construction: 400 , Operation: 250",64 km NW of Sandstone,"BREE Projects Listing - April 2013, TRIM ref = D2013-175064",250-500 $m,Open-pit,Estimated Start Up 2014,119.133,-27.43,POINT (-27.43 119.133),1000,,Reed Resources Limited,http://www.reedresources.com/,,,,
MajorResourceProjects.364210,364210,Mungada - hematite,Mining project - iron ore,WA,FeOre,Iron ore,mining,Gindalbie Metals,Stage 1: 3 Mtpa Direct Shipping Ore,Proposed,Proposal to truck ore 85km to Morawa rail siding then railed 200 km to Geraldton. Planned six year mine life,Unknown,"260km East of Geraldton, WA",Gindalbie Gold website,Stage 1: $94 million,Open-pit,2009,116.9025,-29.1288,POINT (-29.1288 116.9025),1000,,Gindalbie Metals Ltd,http://www.gindalbie.com.au/,,,,
MajorResourceProjects.364225,364225,Wiggins Island,Infrastructure - coal,QLD,Cbl,Coal - black,mining,Wiggins Island Coal Export Terminal,Phase 1: 27000 ktpa; Phase 2 and 3: 54000 ktpa,Phase 1: Committed; Phase 2: Publicly Announced,,Phase 1 Construction: 800; Phase 2/3 Construction: 600; Phase 2/3 Operating: 525,Gladstone,"BREE Projects Listing - April 2013, TRIM ref = D2013-175064",Phase 1: 2400 $m; Phase 2 and 3: 1500-2500 $m,,Phase 1: 2014; Phase 2 and 3: 2017,151.217,-23.817,POINT (-23.817 151.217),10000,,,,,,,
MajorResourceProjects.361150,361150,Cape Lambert - magnetite,Mining project - iron ore,WA,FeOre,Iron ore,mining,China Metallurgical Group Corporation,7 Mtpa concentrate,Proposed,The project has a favourable location close to infrastructure. Plan to produce 7 Mtpa of concentrate over 20 years,Unknown,"10km from the port of Cape Lambert, WA",Findlay & Co Stockbrokers Ltd (16/1/06); www.capelam.com.au (27/11/08),$600 million,Open-pit & Concentrator,2010,117.0778,-20.7095,POINT (-20.7095 117.0778),0,,China Metallurgical Group Corporation,http://www.mccchina.com/english/,,,,
MajorResourceProjects.361151,361151,Belvedere underground,Mining project - coal,QLD,Cbl,Coal - black,new mine,Vale,7.0 Mtpa,Publicly Announced,,"Construction:600, Operation: 400",7 km NE of Moura,"BREE Projects Listing - April 2013, TRIM ref = D2013-175064",2814 $m,Underground Longwall,Estimated Start Up 2016,149.9361,-24.4858,POINT (-24.48577611 149.93607889),500,,Aquila Resources Limited,http://www.aquilaresources.com.au/,,,,
MajorResourceProjects.361153,361153,Olive Downs,Mining project - coal,QLD,"Coke,Cbl","Coke,Coal - black",mining,Macarthur Coal Ltd,1.0 Mtpa Coke/PCI,Proposed,Proposed open-cut mine with a life of about 10 years,Unknown,30 km south of Coppabella,Quarterly Report (Dec05); www.macarthurcoal.com.au (3/12/08),$50 million,Open-cut,2009,148.3631,-22.1555,POINT (-22.15545694 148.36306611),0,,Macarthur Coal,http://www.macarthurcoal.com.au,,,,
MajorResourceProjects.356004,356004,Harts Range,Mining project - garnet,WA,Grt,Garnet,mining,Olympia Resources Ltd,Stage 1 80 ktpa of abrasives,Proposed,Plan to start construction in 2nd half of 2007,,130km north east of Alice Springs,ASX Release (12 September 2005); Presentation (13/11/06),$4 million,Open-pit,2008,134.917,-23.1,POINT (-23.1 134.917),10000,,Olympia Resources Limited,http://www.olympiaresources.com,,,,
MajorResourceProjects.356002,356002,Gladstone - Nickel,Mineral processing facilities,QLD,"Ni,Co","Nickel,Cobalt",processing,,30 ktpa Nickel & 1.4 ktpa Cobalt,Proposed,The company has an estimated 188.5 Mt nickel and cobalt resource at Malborough near Rockhampton. The project includes a 175km slurry pipeline,Construction: 700; Operating 350,"Gladstone, Qld",The Australian (6/10/05),$1.3 billion,Refinery,2009,151.24,-23.83,POINT (-23.83 151.24),10000,,,,,,,
MajorResourceProjects.356003,356003,Keysbrook,Mineral Sands Project,WA,"Ilm,Leu,Zrn","Ilmenite,Leucoxene,Zircon",new mine,MZI Resources,"62kt	 leucoxene, 29kt	 zircon",Feasibility Stage,,Operation: 30,70km South of Perth,"BREE Projects Listing - April 2013, TRIM ref = D2013-175064",0-250 $m,Open pit mining and wet processing,Estimated Start Up 2014,115.9265,-32.4315,POINT (-32.4315 115.9265),10000,,Olympia Resources Limited,http://www.olympiaresources.com,,,,
MajorResourceProjects.356005,356005,Donald Mineral Sands Project,Mining project - mineral sands,VIC,"Zrn,TiO2","Zircon,Titanium dioxide",new mine,Astron Limited,"Estimated New Capacity 121kt Zircon, 340kt Titanium",Feasibility Stage,Was WIM250.,Construction: 120; Operation: 75,66 km NE of Horsham,"BREE Projects Listing - April 2013, TRIM ref = D2013-175064",282 $m,Open-pit,Estimated Start Up 2015,142.7667,-36.5137,POINT (-36.5137 142.7667),10000,,Donald Mineral Sands,http://www.donaldmineralsands.com.au,Astron Ltd,http://www.astronchem.com,,
MajorResourceProjects.443582,443582,NiWest,"Nickel, Cobalt Project",WA,"Ni,Co","Nickel,Cobalt",new mine,GME Resources,"32.5	kt	 Nickel-Cobalt",Feasibility Stage,"Includes Mt Kilkenny, Hepi and Eucalyptus deposits. Prefeasibility Study completed May 2007. Bankable Feasibility Study due in June 2008. Minimum mine life 20 years. Mixed sulphide product",,50 km NE of Leonora,"BREE Projects Listing - April 2013, TRIM ref = D2013-175064",1100 $m,Nickel Heap Leach,Estimated Start Up not announced,121.806,-29.042,POINT (-29.042 121.806),999,,GME Resources Limited,http://www.gmeresources.com.au,,,,
MajorResourceProjects.443550,443550,Watershed,Mining project - tungsten,QLD,W,Tungsten,mining,Vital Metals Ltd,195000 mtu,Feasibility Stage,,,150km NW of Cairns,"BREE Projects Listing - April 2013, TRIM ref = D2013-175064",69 $m,Open-pit,n/a,144.8808,-16.3376,POINT (-16.33759306 144.88079694),250,,Vital Metals Ltd,http://www.vitalmetals.com.au,,,,
MajorResourceProjects.443555,443555,Yarwun - expansion,Bauxite Refinery,QLD,Al2O3,Alumina,processing,Rio Tinto,Expansion from 1.4 to 3.4 Mtpa of Alumina output,Under Construction,The Yarwun Alumina Refinery expansion commenced in 3rd Quarter 2007 and is due for completion in 2nd half of 2011,,10km NW of Gladstone,Rio Tinto News Release (3/7/07),US$1.8 billion,Refinery,2011,151.143,-23.8104,POINT (-23.8104 151.143),999,,Rio Tinto Limited,http://www.riotinto.com.au/,,,Australian Aluminium Council,http://www.aluminium.org.au
MajorResourceProjects.443499,443499,Einasleigh,Mining project - Copper Gold Silver,QLD,"Cu,Au,Ag","Copper,Gold,Silver",mining,Copper Strike Ltd,12 to 15 ktpa Copper,Proposed,Inlcudes Kaiser Bill deposit. Plans for 1.5Mtpa in 2010,,70km SE of Georgetown,Queensland Mining and Petroleum Industries 2006 (Dept of Mines and water); ABARE project list (4/09),$122 million,Open-pit and underground,2011,144.0989,-18.5059,POINT (-18.50588194 144.09890694),250,,Copper Strike Limited,http://www.copperstrike.com.au,,,,
MajorResourceProjects.512961,512961,Nullagine,Mining project - iron ore,WA,FeOre,Iron ore,mining,BC Iron Ltd,3.0 Mtpa,Under Construction,A Channel Iron Deposit project with an initial life of 8 years. A Pisolite fines product to be exported via Fortescue Metals Group rail and port infrastructure,Construction: 40; Operations: 144,140 km north of Newman,ASX Announcement (3/7/09),$43 million,Open-pit,2010,119.8358,-22.0928,POINT (-22.0928 119.8358),999,,BC Iron Ltd,http://www.bciron.com.au/,,,,
MajorResourceProjects.453686,453686,Wilcherry Hill - magnetite,Mining project - iron ore,SA,FeOre,Iron ore,mining,Ironclad Mining Ltd,2500 kt,Publicly Announced,Proposed magnetite mine. Feasibility Study due to be completed end 2008,,100 km W of Port Augusta,"BREE Projects Listing - April 2013, TRIM ref = D2013-175064",250-500 $m,Open-pit and concentrator,n/a,136.436,-32.751,POINT (-32.751 136.436),999,,Ironclad Mining Ltd,http://www.ironcladmining.com,,,,
MajorResourceProjects.453687,453687,Kingston,Mining project - coal,SA,Coal,Coal - undifferentiated,mining,Hybrid Energy,1.2 to 2.4 Mtpa,Proposed,FuturGas Project. Hybrid Energy to undertake a two year feasibility study into mining the Kingston Brown Coal deposit to fuel a 150 to 300 MW power station,,250km south east of Adelaide,Strike Oil ASX Announcement (17/10/07),Unknown,Open-pit and Gasification,2015,139.99,-36.66,POINT (-36.66 139.99),999,,Strike Oil Ltd,http://www.strikeoil.com.au,,,,
MajorResourceProjects.453688,453688,Salmon Gums,Mining Project - coal,WA,Coal,Coal - undifferentiated,mining,Spitfire Oil Ltd,3.5 Mtpa,Proposed,Proposed open-pit mine and brown coal to liquids processing plant (270 million litres of oil per annum),,100km north of Esperance,Spitfire Oil website,Unknown,Open-pit and coal-to-liquids,Unknown,121.42,-32.84,POINT (-32.84 121.42),999,,Spitfire Oil Pty Ltd,http://www.spitfireoil.com,,,,
MajorResourceProjects.453689,453689,Middlemount (stage 2),Coal Project,QLD,Cbl,Coal - black,mine expansion,"Peabody Energy, YanCoal","Estimated New Capacity 3.6	Mt",Feasibility Stage,Coordinates estimated using location description and Google Maps,,6 km SW of Middlemount,"BREE Projects Listing - April 2013, TRIM ref = D2013-175064",500 $m,Open-cut,Estimated Start Up n/a,148.63,-22.84,POINT (-22.84 148.63),999,,Macarthur Coal,http://www.macarthurcoal.com.au,,,,
MajorResourceProjects.453690,453690,Eagle Downs (Peak Downs East),Mining project - coal,QLD,Cbl,Coal - black,new mine,"Aquila Resources, Vale","Estimated New Capacity 4.5	Mt",Proposed,,,25 km SE of Moranbah,"BREE Projects Listing - April 2013, TRIM ref = D2013-175064",1254 $m,,Estimated Start Up 2016,148.1905,-22.1928,POINT (-22.1928 148.1905),999,,Aquila Resources Limited,http://www.aquilaresources.com.au/,,,,
MajorResourceProjects.453691,453691,New Saraji,Mining project - coal,QLD,Cbl,Coal - black,mining,BMA Coal,5 Mtpa coking coal,Proposed,Proposed longwall mine,,East of the Saraji mine,Interim Report 31st January 2008; Quarterly Activities Report (31/10/08),Unknown,Longwall,1012,146.368,-22.458,POINT (-22.458 146.368),999,,BMA,http://www.bmacoal.com,,,,
MajorResourceProjects.453692,453692,Ellensfield,Mining project - coal,QLD,Cbl,Coal - black,new mine,Vale,5.5 Mtpa ROM,Feasibility Stage,,,175 km W of Mackay,"BREE Projects Listing - April 2013, TRIM ref = D2013-175064",800 $m,Longwall,Estimated Start Up Not Announced,148.254,-21.762,POINT (-21.762 148.254),999,,Aquila Resources Limited,http://www.aquilaresources.com.au/,,,,
MajorResourceProjects.453694,453694,Kunioon,Mining project -coal,QLD,Coal,Coal - undifferentiated,mining,Tarong Energy,10 Mtpa,Proposed,The Meandu mine is now planned to be mined beyond 2012. The replacement Kunioon mine is expected to be operational some time after 2012. A 16km conveyor will connect the new mine to the power stations,Construction: 220; Operation: 260,Kingaroy,Tarong Energy website; ABARE project list (4/09); Tarong News Release (21/4/09),$500 million,Open cut,2012,151.842,-26.711,POINT (-26.711 151.842),999,,Tarong Energy,http://www.tarongenergy.com.au,,,,
MajorResourceProjects.453695,453695,Mount Arthur - MAC20,Mining project -coal,NSW,Coal,Coal - undifferentiated,mining,BHP Billiton,4.5 Mtpa,Under Construction,MAC20 is planned to raise open-cut production from 11.5 to 15 Mtpa from 2011,Unknown,Near Muswellbrook,BHP Billiton website; ABARE project list (4/09),US$260 million,Open-cut,2011,150.85,-32.35,POINT (-32.35 150.85),999,,BHP Billiton Limited,http://www.bhpbilliton.com/,,,,
MajorResourceProjects.453616,453616,Four Mile,Mining project - uranium,SA,U3O8,Uranium oxide,new mine,"Alliance Resources, Quasar Resources, Heathgate Resources","Estimated New Capacity 2300	tpa U3O8",Committed,In-situ leaching is expected to commence in early 2010. Plan to process the leachate at the nearby Beverley plant,,550 km N of Adelaide,"BREE Projects Listing - April 2013, TRIM ref = D2013-175064",98 $m,In-situ leaching (ISL),Estimated Start Up 2013,139.5,-30.15,POINT (-30.15 139.5),10000,,Alliance Resources Limited,http://www.allianceresources.com.au/IRM/content/home.html,Heathgate Resources Proprietary Limited,http://www.heathgate.com.au/,,
MajorResourceProjects.453617,453617,Wonarah,Mining project - phosphate,NT,Phos,Phosphate,mining,Minemakers,1 Mtpa,Feasibility Stage,Proposed open pit phosphate mine. Plan to truck beneficiated ore 230km west to Tennant Creek then rail to Darwin,,240 km E of Tennant Creek,"BREE Projects Listing - April 2013, TRIM ref = D2013-175064",375 $m,Open pit,2016,136.3288,-19.8985,POINT (-19.8985 136.3288),999,,Minemakers Ltd (MAK),http://www.minemakers.com.au,,,,
MajorResourceProjects.448507,448507,Marillana,Iron Project,WA,Hem,Hematite,new mine,Brockman Resources,"18500	kt per annum",Feasibility Stage,,,100 km NW of Newman,"BREE Projects Listing - April 2013, TRIM ref = D2013-175064",1900 $m,Open-pit,Estimated Start Up 2016,119.2096,-22.5875,POINT (-22.5875 119.2096),999,,Brockman Mining limited,http://www.brockmanmining.com,,,,
MajorResourceProjects.443407,443407,Baal Gammon,Mining project - Copper Tin Silver Indium,QLD,"Cu,Sn,Ag,In","Copper,Tin,Silver,Indium",mining,North Queensland Metals Ltd,"500,000 tpa",Proposed,Proposed open pit mine 11km east of the Jumma Mill. Plan to produce a copper concentrate with Ag and In credits plus a tin concentrate. Feasibility Study completed May08. Mine life 7 years,,7km west of Herberton,Queensland Mining and Petroleum Industries 2006 (Dept of Mines and Water); Media Release (9/5/08),$47 million,Open-pit,2009,145.3248,-17.3805,POINT (-17.380495 145.32475306),2000,,North Queensland Metals Limited,http://www.nqm.com.au,,,,
MajorResourceProjects.448424,448424,Canegrass,Mining project - nickel cobalt,WA,"Ni,Co","Nickel,Cobalt",new mine,Nickelore,"20,000 tpa Ni heap leach",Publicly Announced,"Proposed heap leach operation on 140,000t of contained nickel",,70 km NW of Kalgoorlie,"BREE Projects Listing - April 2013, TRIM ref = D2013-175064",500-1000 $m,Open-pit and Heap leach,Estimated Start Up not announced,120.9661,-30.2277,POINT (-30.22766 120.9661),999,,Nickelore Ltd,http://www.nickelore.com.au,,,,
MajorResourceProjects.351690,351690,Capel - Pig Iron,Mineral processing facilities,WA,Fe,Iron,processing,Iluka Resources,"300,000 tpa of Pig Iron",Proposed,Iluka is undertaking a feasibility study into building pig iron plants fed with iron oxide waste (50-65% Fe) from its mineral sands mining operations at Capel and Nargulu,Unknown,Capel,The Australian (19/8/05),$200 to $250M,Unknown,2007,115.561,-33.58,POINT (-33.58 115.561),10000,,Iluka Resources Limited,http://www.iluka.com,,,,
MajorResourceProjects.351717,351717,Yannarie Solar,Mining project - salt,WA,NaCl,Salt,mining,Straits Salt Pty Ltd,3 Mtpa,Proposed,Straits Salt Pty Ltd is currently investigating the feasibility of producing up to 10 Mtpa of salt in the eastern Exmouth Gulf area. Plan to produce 3 Mtpa. Approvals expected in 2007,,"80km south of Onslow, WA",WA Prospect Magazine (June-August 2005); Euroz Coneference (3/07),Unknown,,2008,114.567,-22.183,POINT (-22.183 114.567),999,,Straits Resources Limited,http://www.straits.com.au/,,,,
MajorResourceProjects.351718,351718,Worsley - Expansion 2,Mineral processing facilities,WA,Al,Aluminium,processing,BHP Billiton,Increase Alumina production from 3.5 to 4.6 Mtpa,Under Construction,"Construction started May 2008. Expansion of mining operations, additional refinery capacity and upgraded port facilities",2700 Construction Jobs,"Near Bunbury, WA",West Australian (24/5/05); BHP Billition News Release (16/08)(1/5/08),US$1.9 billion,,2011,115.99,-33.28,POINT (-33.28 115.99),1000,,BHP Billiton Limited,http://www.bhpbilliton.com/,,,Worsley Alumina,http://worsley.geo.net.au
