ENO,name,status,commodity,owner,startDate,endDate,observationMethod,positionalAccuracy,source,status_uri,representativeCommodity_uri,specification_uri,LAT_GDA94,LONG_GDA94
333286,Bethanga,historic mine,"Gold, Copper",,,,method unknown,100 metres,,http://resource.geosciml.org/classifier/cgi/mine-status/historic,http://resource.geosciml.org/classifier/cgi/commodity-code/gold,http://pid.geoscience.gov.au/id/feature/ga/er/mine/333286,-36.11540085,147.0912474
333287,Cadjebut,historic mine,"Zinc, Lead, Silver",,,,method unknown,10 metres,,http://resource.geosciml.org/classifier/cgi/mine-status/historic,http://resource.geosciml.org/classifier/cgi/commodity-code/zinc,http://pid.geoscience.gov.au/id/feature/ga/er/mine/333287,-18.71084053,125.9680199
333288,Honeymoon,operating mine,"Uranium, (Uranium oxide)",,,,method unknown,50 metres,,http://resource.geosciml.org/classifier/cgi/mine-status/operating,http://resource.geosciml.org/classifier/cgi/commodity-code/uranium,http://pid.geoscience.gov.au/id/feature/ga/er/mine/333288,-31.74096387,140.6623574
333289,Hamersley Iron - Marandoo,operating mine,"Iron, Iron ore",Rio Tinto Limited,1/01/1994,,method unknown,100 metres,http://www.riotinto.com.au/,http://resource.geosciml.org/classifier/cgi/mine-status/operating,http://resource.geosciml.org/classifier/cgi/commodity-code/iron,http://pid.geoscience.gov.au/id/feature/ga/er/mine/333289,-22.63545578,118.1385991
333290,Elizabeth Creek,historic mine,"Copper, Cobalt, (Silver)",Coda Minerals Ltd,,,"State or NT agency supplied location, method unknown",10 metres,https://www.codaminerals.com/,http://resource.geosciml.org/classifier/cgi/mine-status/historic,http://resource.geosciml.org/classifier/cgi/commodity-code/copper,http://pid.geoscience.gov.au/id/feature/ga/er/mine/333290,-31.449941,137.172005
333291,New Occidental,operating mine,"Gold, Copper",New Gold Incorporated,1/01/2001,,"company supplied location, method unknown",500 metres,http://www.newgold.com/,http://resource.geosciml.org/classifier/cgi/mine-status/operating,http://resource.geosciml.org/classifier/cgi/commodity-code/gold,http://pid.geoscience.gov.au/id/feature/ga/er/mine/333291,-31.5403,145.864
333292,Palmer River,historic mine,Gold,,,,method unknown,250 metres,,http://resource.geosciml.org/classifier/cgi/mine-status/historic,http://resource.geosciml.org/classifier/cgi/commodity-code/gold,http://pid.geoscience.gov.au/id/feature/ga/er/mine/333292,-15.87711519,143.4665044
333294,Randalls,historic mine,Gold,Silver Lake Resources Limited,,,"State or NT agency supplied location, method unknown",500 metres,http://www.silverlakeresources.com.au/,http://resource.geosciml.org/classifier/cgi/mine-status/historic,http://resource.geosciml.org/classifier/cgi/commodity-code/gold,http://pid.geoscience.gov.au/id/feature/ga/er/mine/333294,-31.0452,122.2123
333295,Robe River,historic mine,Iron,,,,method unknown,2000 metres,,http://resource.geosciml.org/classifier/cgi/mine-status/historic,http://resource.geosciml.org/classifier/cgi/commodity-code/iron,http://pid.geoscience.gov.au/id/feature/ga/er/mine/333295,-21.71437279,116.5000414
333296,Whim Creek,care and maintenance,"Copper, Zinc, (Lead, Silver, Gold)",ANAX Metals Limited,,,method unknown,100 metres,https://anaxmetals.com.au/,http://resource.geosciml.org/classifier/cgi/mine-status/care-and-maintenance,http://resource.geosciml.org/classifier/cgi/commodity-code/copper,http://pid.geoscience.gov.au/id/feature/ga/er/mine/333296,-20.84373003,117.8305834
