COMMODITY_SYMBOLS,COMMODITY_NAMES
Ag,Silver
Al,Aluminium
Al2O3,Alumina
Alu,Alunite
Ap,Apatite
As,Arsenic
Asb,Asbestos
Asbr,Asbestos - crocidolite
Atta,Attapulgite
Au,Gold
Ba,Barium
Bi,Bismuth
Brt,Barite
Bx,Bauxite
Cbl,Coal - black
Cbr,Coal - brown
Cd,Cadmium
Coal,Coal - undifferentiated
Co,Cobalt
Cor,Corundum - undifferentiated
Corr,Corundum - ruby
Cors,Corundum - sapphire
Cr,Chromium
Cr2O3,Chromium oxide
Cs,Cesium
Cu,Copper
Cy,Clay
Dmd,Diamond - undifferentiated
Dmdg,Diamond - gem and cheap gem
Dmdi,Diamond - industrial
Dol,Dolomite
Dy,Dysprosium
Dy2O3,DysprosiumIII oxide
Eu,Europium
Eu2O3,EuropiumIII oxide
F,Fluorine
Fe,Iron
FeCr2O4,Chromite
Fel,Feldspar
FeOre,Iron ore
Feox,Iron oxide
Fl,Fluorite
Ga,Gallium
Ga2O3,Gallium oxide
Gp,Gypsum
Gr,Graphite
Grt,Garnet
GS,Gemstones
Hem,Hematite
Hf,Hafnium
HfO2,Hafnium oxide
Hg,Mercury
HM,Heavy minerals
HPA,Alumina - High Purity
HPQ,Quartz - high purity
HPSi,Silica - High Purity
Ilm,Ilmenite
In,Indium
Ir,Iridium
K,Potassium
K2O,Potash
K2SO4,Potassium sulfate
Kln,Kaolin
Ky,Kyanite
Leu,Leucoxene
Li,Lithium
Li2O,Lithium oxide
Lime,Agricultural Lime
Mag,Magnetite
Mg,Magnesium
MgO,Magnesia (magnesium oxide)
Mgs,Magnesite
Mica,Mica
Mn,Manganese
MnOre,Manganese ore
Mnsd,Mineral sands
Mnz,Monazite
Mo,Molybdenum
MoO3,Molybdenum trioxide
MoS2,Molybdenite
Nb,Niobium
Nb2O5,Niobium pentoxide
Nd,Neodymium
Nd2O3,NeodymiumIII oxide
Ni,Nickel
Opl,Opal
Os,Osmium
OsIr,Osmiridium
Osh,Oil shale
P,Phosphorus
P2O5,Phosphorus oxide
Pb,Lead
Pd,Palladium
PGE,Platinum group elements
Phos,Phosphate
Pr,Praseodymium
Pr2O3,PraseodymiumIII oxide
Pt,Platinum
Rb,Rubidium
Re,Rhenium
REE,Rare earth elements
REO,Rare earth oxides
Rh,Rhodium
Rt,Rutile
Ru,Ruthenium
S,Sulphur
Sb,Antimony
Sc,Scandium
Se,Selenium
Sic,Silica
Sisd,Silica sand
Sn,Tin
SnO2,Tin oxide/cassiterite
Sr,Strontium
Ta,Tantalum
Ta2O5,Tantalum pentoxide
Tb,Terbium
Tb4O7,TerbiumIII&IV Oxide
Th,Thorium
ThO2,Thorium Oxide
Ti,Titanium
TiO2,Titanium dioxide
Tlc,Talc
Toz,Topaz
U,Uranium
U3O8,Uranium oxide
V,Vanadium
V2O5,Vanadium pentoxide
Vrm,Vermiculite
W,Tungsten
WO3,Tungsten trioxide wolframite
Xen,Xenotime
Y,Yttrium
Y2O3,Yttrium oxide
Zeol,Zeolite
Zn,Zinc
Zr,Zirconium
Zrn,Zircon
ZrO2,Zirconia
FeV,Ferro-Vanadium
Coke,Coke
NaCl,Salt
Stl,Steel
Lst,Limestone
Qklm,Quicklime
FeCr,Ferrochrome
Be,Beryllium
CaCO3,Calcite
Ge,Germanium
Jade,Jade
Py,Pyrite
Quartz-U,Quartz - undifferentiated
Agg-CR,Aggregate - crushed rock
Te,Tellurium
