id,feature_type,DEPOSIT_NAME,longitude,latitude,geometry_name,geometry_type,STATE,OPERATING_STATUS,COMMODITY_NAMES,ENO,SYNONYMS,LONG_GDA94,LAT_GDA94,ACCURACY_M,COMMODITY_CODES,COMPANIES,COMPANY_WEBSITES,PROVINCES,GEOLOGIC_AGE,DEPOSIT_MODEL,LINKED_FILES
MineralDeposits.333934,Feature,Emily Ann,120.4823,-32.1997,DEPOSIT_LOCATION,Point,WA,historic mine,"Nickel, Cobalt",333934,,120.4823,-32.1997,999.0,"Ni, Co","LionOre Australia (Nickel) Ltd, Poseidon Nickel Limited","http://www.lionore.com.au, http://www.poseidon-nickel.com.au/","Yilgarn Craton, Maggie Hays Nickel Metallogenic Province, Southern Cross Domain (Youanmi Terrane)",Archean,"Environment: Magmatic, Group: Komatiite, Type: Komatiite nickel-copper-PGE",N
MineralDeposits.333935,Feature,M1,116.937,-28.8276,DEPOSIT_LOCATION,Point,WA,historic mine,"Gold, Silver",333935,South Murchison,116.937,-28.8276,999.0,"Au, Ag","Minjar Gold Pty Ltd, Warriedar Resources","http://www.minjargold.com.au, https://www.warriedarresources.com.au/",Yilgarn Craton,,,N
MineralDeposits.333940,Feature,Peyes Farm Dam (Jacques - Peyes),121.3858,-30.6971,DEPOSIT_LOCATION,Point,WA,mineral deposit,Gold,333940,Binduli North Project,121.3858,-30.6971,500.0,Au,Horizon Minerals Ltd.,https://horizonminerals.com.au/,Yilgarn Craton,Archean,,N
MineralDeposits.333942,Feature,Windermere,145.3128,-17.5644,DEPOSIT_LOCATION,Point,QLD,historic mine,"Tin, (Iron)",333942,,145.3128,-17.5644,250.0,"Sn, (Fe)",Consolidated Tin Mines,http://www.consolidatedtinmines.com.au,"Mossman Orogen, Hodgkinson Province",,"Environment: Magmatic hydrothermal, Group: Skarn, Type: Skarn tin ± copper ± Mo",N
MineralDeposits.333947,Feature,Farleys Deposit,144.5113,-36.673,DEPOSIT_LOCATION,Point,VIC,historic mine,Gold,333947,Fosterville Project,144.5113,-36.673,500.0,Au,"Newmarket Gold Inc, AuRico Gold Corporporation, Crocodile Gold Corporation","http://www.newmarketgoldinc.com, http://www.auricogold.com/, http://www.crocgold.com/",Lachlan Orogen,,,N
MineralDeposits.333948,Feature,Ben Hur Panel 3,121.4138,-30.8593,DEPOSIT_LOCATION,Point,WA,historic mine,Gold,333948,Binduli Project,121.4138,-30.8593,500.0,Au,Norton Gold Fields Limited,http://www.nortongoldfields.com.au/,Yilgarn Craton,Archean,,N
MineralDeposits.333950,Feature,Ivanhoe North,150.01,-33.3569,DEPOSIT_LOCATION,Point,NSW,historic mine,Coal - black,333950,Ivanhoe No2,150.01,-33.3569,500.0,Cbl,"Banpu Public Company Limited, Centennial Coal Co Ltd","http://www.banpu.com/en_index.php, http://www.centennialcoal.com.au",Sydney Basin,,,N
MineralDeposits.333951,Feature,Howley Ridge,131.3209,-13.4659,DEPOSIT_LOCATION,Point,NT,mineral deposit,Gold,333951,Burnside Project,131.3209,-13.4659,999.0,Au,Crocodile Gold Corporation,http://www.crocgold.com/,Pine Creek Orogen,Paleoproterozoic,,N
MineralDeposits.333953,Feature,Lake Lindsay,148.7596,-23.044,DEPOSIT_LOCATION,Point,QLD,mineral deposit,Coal - black,333953,Girrah,148.7596,-23.044,500.0,Cbl,Anglo Coal Australia Pty Ltd,http://www.anglocoal.com.au/,Bowen Basin,,,N
MineralDeposits.333954,Feature,South Emu Feather,119.4177,-27.2506,DEPOSIT_LOCATION,Point,WA,historic mine,Gold,333954,Gidgee Project,119.4177,-27.2506,500.0,Au,Panoramic Resources Limited,http://www.panoramicresources.com/,Yilgarn Craton,Archean,,N
MineralDeposits.333961,Feature,Collingwood (Coal Project),150.0181,-25.9853,DEPOSIT_LOCATION,Point,QLD,mineral deposit,Coal - black,333961,,150.0181,-25.9853,500.0,Cbl,"New Hope Coal, MITSUI & CO. (AUSTRALIA) LTD.","http://www.newhopegroup.com.au/, http://www.mitsui.com/au",Surat Basin,Mesozoic,,N
MineralDeposits.333962,Feature,Yarlarweelor,118.3604,-25.3437,DEPOSIT_LOCATION,Point,WA,historic mine,Gold,333962,Grosvenor Gold Project,118.3604,-25.3437,500.0,Au,"Westgold Resources Limited, Resource and Investment NL","http://www.westgold.com.au/, http://rninl.com.au/",Yilgarn Craton,Proterozoic,,N
MineralDeposits.333963,Feature,The Mount,121.5698,-31.5287,DEPOSIT_LOCATION,Point,WA,historic mine,Gold,333963,Mount Project,121.5698,-31.5287,500.0,Au,Lukah Mining Pty Ltd,,"Yilgarn Craton, Eastern Goldfields Province",Archean,,N
MineralDeposits.333964,Feature,Western Queen,117.1261,-27.5321,DEPOSIT_LOCATION,Point,WA,mineral deposit,Gold,333964,Western Queen Project,117.1261,-27.5321,500.0,Au,Rumble Resources Ltd,https://rumbleresources.com.au/,"Yilgarn Craton, Murchison Province",Archean,,N
MineralDeposits.333966,Feature,Mountain of Light,138.4513,-30.5789,DEPOSIT_LOCATION,Point,SA,care and maintenance,Copper,333966,Leigh Creek,138.4513,-30.5789,999.0,Cu,Strategic Minerals Plc,https://www.strategicminerals.net/,Delamerian Orogen,Proterozoic,"Environment: Magmatic hydrothermal, Group: Replacement",N
MineralDeposits.333967,Feature,Lady Harriet,121.0316,-29.7251,DEPOSIT_LOCATION,Point,WA,historic mine,Gold,333967,,121.0316,-29.7251,999.0,Au,Brightstar Resources Ltd,https://www.brightstarresources.com.au/,Yilgarn Craton,,,N
MineralDeposits.333968,Feature,Shearers,120.2106,-21.9164,DEPOSIT_LOCATION,Point,WA,historic mine,Gold,333968,Nullagine Gold Project,120.2106,-21.9164,500.0,Au,Millennium Minerals Limited,http://www.millenniumminerals.com.au/,Pilbara Craton,Archean,"Environment: Metamorphic hydrothermal, Group: Orogenic, Type: Mesozonal orogenic gold",N
MineralDeposits.333969,Feature,Admiral Bay,122.2636,-19.1904,DEPOSIT_LOCATION,Point,WA,mineral deposit,"Zinc, (Silver, Lead, Barium)",333969,,122.2636,-19.1904,2000.0,"Zn, (Ag, Pb, Ba)",Kagara Limited,http://www.kagara.com.au/,"Canning Basin, Broome Platform",,"Environment: Basin hydrothermal, Group: Mississippi Valley-type (MVT), Type: MVT zinc-lead",N
MineralDeposits.333970,Feature,Comet Vale,121.131,-29.9549,DEPOSIT_LOCATION,Point,WA,operating mine,Gold,333970,"Gladstone, Sand Queen",121.131,-29.9549,100.0,Au,Labyrinth Resources Ltd,https://labyrinthresources.com/,"Yilgarn Craton, Kalgoorlie Gold Metallogenic Province, Norseman-Wiluna Belt",Archean,,N
MineralDeposits.333972,Feature,Goulds Dam,139.95,-31.467,DEPOSIT_LOCATION,Point,SA,mineral deposit,"Uranium, (Uranium oxide)",333972,"Armchair, Armchair-Streitberg, Billeroo West, Streitberg",139.95,-31.467,2000.0,"U, (U3O8)",Uranium One Incorporated,http://www.uranium1.com/index.php/en/,"Lake Eyre Basin, Callabonna Sub-basin",Cenozoic,"Environment: Infiltrational, Group: Uranium, Type: Sandstone uranium",N
MineralDeposits.333975,Feature,Western Ridge,119.583,-23.3984,DEPOSIT_LOCATION,Point,WA,mineral deposit,"Iron ore, (Iron)",333975,,119.583,-23.3984,2000.0,"FeOre, (Fe)",BHP Group Limited,https://www.bhp.com/,Hamersley Basin,Archean,,N
MineralDeposits.333982,Feature,Mungana,144.3825,-17.0991,DEPOSIT_LOCATION,Point,QLD,mineral deposit,"Zinc, Copper, (Silver, Gold, Lead, Antimony, Cadmium)",333982,Chillagoe,144.3825,-17.0991,500.0,"Zn, Cu, (Ag, Au, Pb, Sb, Cd)",Tartana Minerals,,Hodgkinson Province,,"Environment: Magmatic hydrothermal, Group: Skarn, Type: Skarn zinc-lead-silver",N
MineralDeposits.333983,Feature,Waterloo,146.112,-20.3798,DEPOSIT_LOCATION,Point,QLD,mineral deposit,"Zinc, Copper, (Gold, Lead, Silver)",333983,Ravenswood Consolidated,146.112,-20.3798,500.0,"Zn, Cu, (Au, Pb, Ag)",Sunshine Metals Ltd,https://shnmetals.com.au/,"Charters Towers Province, Lolworth-Ravenswood Block, Thalanga Base Metal Metallogenic Province, Seventy Mile Range Subprovince",,"Environment: Volcanic basin hydrothermal, Group: Volcanogenic massive sulfide (VMS), Type: Bimodal-mafic VMS",N
MineralDeposits.333986,Feature,The Peak,145.8778,-31.5653,DEPOSIT_LOCATION,Point,NSW,operating mine,"Copper, Gold",333986,"Cobar, Peak, Peak Mine, Peak Mines Project",145.8778,-31.5653,500.0,"Cu, Au","Goldcorp, Rio Tinto Limited","http://www.goldcorp.com/, http://www.riotinto.com.au/","Lachlan Orogen, Lachlan Orogen, Cobar Basin",,"Environment: Metamorphic hydrothermal, Group: Orogenic, Type: Orogenic copper ± gold",N
MineralDeposits.333988,Feature,Mulline,120.5206,-29.7839,DEPOSIT_LOCATION,Point,WA,historic mine,Gold,333988,Mulline Project,120.5206,-29.7839,500.0,Au,Swan Gold Mining Limited,http://www.swangoldmining.com.au/,"Yilgarn Craton, Kalgoorlie Gold Metallogenic Province, Southern Cross Province",Archean,,N
MineralDeposits.333989,Feature,Burton,148.1726,-21.5886,DEPOSIT_LOCATION,Point,QLD,operating mine,Coal - black,333989,"Burton Downs, Kerlong, Plumtree",148.1726,-21.5886,50.0,Cbl,"Bowen Coking Coal Ltd, Lenton Joint Venture","https://newhopegroup.com.au/, https://www.bowencokingcoal.com.au/",Bowen Basin,,,N
MineralDeposits.333991,Feature,Saraji,148.2911,-22.3694,DEPOSIT_LOCATION,Point,QLD,operating mine,Coal - black,333991,,148.2911,-22.3694,500.0,Cbl,"BHP Group Limited, Mitsubishi Corporation, Mitsubishi Corp","http://www.mitsubishicorp.com/jp/en/index.html, https://www.bhp.com/, http://www.mitsubishicorp.com/au/en/",Bowen Basin,,,N
MineralDeposits.333994,Feature,Jubilee,140.0072,-20.7946,DEPOSIT_LOCATION,Point,QLD,historic mine,"Gold, Copper",333994,Jubilee North,140.0072,-20.7946,100.0,"Au, Cu",Hammer Metals Ltd,http://www.hammermetals.com.au/,"Mount Isa Orogen, Mary Kathleen Zone",Proterozoic,,N
