ENO,DEPOSIT_NAME,SYNONYMS,STATE,LONG_GDA94,LAT_GDA94,ACCURACY_M,OPERATING_STATUS,COMMODITY_PRIMARY,COMMODITY_SECONDARY,COMMODITY_NAMES,COMPANIES,COMPANY_WEBSITES,PROVINCES,GEOLOGIC_AGE,DEPOSIT_MODEL
333934,Emily Ann,,WA,120.4823,-32.1997,999,historic mine,"Ni, Co",,"Nickel, Cobalt","LionOre Australia (Nickel) Ltd, Poseidon Nickel Limited","http://www.lionore.com.au, http://www.poseidon-nickel.com.au/","Yilgarn Craton, Maggie Hays Nickel Metallogenic Province, Southern Cross Domain (Youanmi Terrane)",Archean,"Environment: Magmatic, Group: Komatiite, Type: Komatiite nickel-copper-PGE"
333935,M1,South Murchison,WA,116.937,-28.8276,999,historic mine,"Au, Ag",,"Gold, Silver","Minjar Gold Pty Ltd, Warriedar Resources","http://www.minjargold.com.au, https://www.warriedarresources.com.au/",Yilgarn Craton,,
333940,Peyes Farm Dam (Jacques - Peyes),Binduli North Project,WA,121.3858,-30.6971,500,mineral deposit,Au,,Gold,Horizon Minerals Ltd.,https://horizonminerals.com.au/,Yilgarn Craton,Archean,
333942,Windermere,,QLD,145.3128,-17.5644,250,historic mine,Sn,Fe,"Tin, (Iron)",Consolidated Tin Mines,http://www.consolidatedtinmines.com.au,"Mossman Orogen, Hodgkinson Province",,"Environment: Magmatic hydrothermal, Group: Skarn, Type: Skarn tin ± copper ± Mo"
333947,Farleys Deposit,Fosterville Project,VIC,144.5113,-36.673,500,historic mine,Au,,Gold,"Newmarket Gold Inc, AuRico Gold Corporporation, Crocodile Gold Corporation","http://www.newmarketgoldinc.com, http://www.auricogold.com/, http://www.crocgold.com/",Lachlan Orogen,,
333948,Ben Hur Panel 3,Binduli Project,WA,121.4138,-30.8593,500,historic mine,Au,,Gold,Norton Gold Fields Limited,http://www.nortongoldfields.com.au/,Yilgarn Craton,Archean,
333950,Ivanhoe North,Ivanhoe No2,NSW,150.01,-33.3569,500,historic mine,Cbl,,Coal - black,"Banpu Public Company Limited, Centennial Coal Co Ltd","http://www.banpu.com/en_index.php, http://www.centennialcoal.com.au",Sydney Basin,,
333951,Howley Ridge,Burnside Project,NT,131.3209,-13.4659,999,mineral deposit,Au,,Gold,Crocodile Gold Corporation,http://www.crocgold.com/,Pine Creek Orogen,Paleoproterozoic,
333953,Lake Lindsay,Girrah,QLD,148.7596,-23.044,500,mineral deposit,Cbl,,Coal - black,Anglo Coal Australia Pty Ltd,http://www.anglocoal.com.au/,Bowen Basin,,
333954,South Emu Feather,Gidgee Project,WA,119.4177,-27.2506,500,historic mine,Au,,Gold,Panoramic Resources Limited,http://www.panoramicresources.com/,Yilgarn Craton,Archean,
333961,Collingwood (Coal Project),,QLD,150.0181,-25.9853,500,mineral deposit,Cbl,,Coal - black,"New Hope Coal, MITSUI & CO. (AUSTRALIA) LTD.","http://www.newhopegroup.com.au/, http://www.mitsui.com/au",Surat Basin,Mesozoic,
333962,Yarlarweelor,Grosvenor Gold Project,WA,118.3604,-25.3437,500,historic mine,Au,,Gold,"Westgold Resources Limited, Resource and Investment NL","http://www.westgold.com.au/, http://rninl.com.au/",Yilgarn Craton,Proterozoic,
333963,The Mount,Mount Project,WA,121.5698,-31.5287,500,historic mine,Au,,Gold,Lukah Mining Pty Ltd,,"Yilgarn Craton, Eastern Goldfields Province",Archean,
333964,Western Queen,Western Queen Project,WA,117.1261,-27.5321,500,mineral deposit,Au,,Gold,Rumble Resources Ltd,https://rumbleresources.com.au/,"Yilgarn Craton, Murchison Province",Archean,
333966,Mountain of Light,Leigh Creek,SA,138.4513,-30.5789,999,care and maintenance,Cu,,Copper,Strategic Minerals Plc,https://www.strategicminerals.net/,Delamerian Orogen,Proterozoic,"Environment: Magmatic hydrothermal, Group: Replacement"
333967,Lady Harriet,,WA,121.0316,-29.7251,999,historic mine,Au,,Gold,Brightstar Resources Ltd,https://www.brightstarresources.com.au/,Yilgarn Craton,,
333968,Shearers,Nullagine Gold Project,WA,120.2106,-21.9164,500,historic mine,Au,,Gold,Millennium Minerals Limited,http://www.millenniumminerals.com.au/,Pilbara Craton,Archean,"Environment: Metamorphic hydrothermal, Group: Orogenic, Type: Mesozonal orogenic gold"
333969,Admiral Bay,,WA,122.2636,-19.1904,2000,mineral deposit,"Zn, Pb","Ag, Ba","Zinc, (Silver, Lead, Barium)",Kagara Limited,http://www.kagara.com.au/,"Canning Basin, Broome Platform",,"Environment: Basin hydrothermal, Group: Mississippi Valley-type (MVT), Type: MVT zinc-lead"
333970,Comet Vale,"Gladstone, Sand Queen",WA,121.131,-29.9549,100,operating mine,Au,,Gold,Labyrinth Resources Ltd,https://labyrinthresources.com/,"Yilgarn Craton, Kalgoorlie Gold Metallogenic Province, Norseman-Wiluna Belt",Archean,
333972,Goulds Dam,"Armchair, Armchair-Streitberg, Billeroo West, Streitberg",SA,139.95,-31.467,2000,mineral deposit,U,U3O8,"Uranium, (Uranium oxide)",Uranium One Incorporated,http://www.uranium1.com/index.php/en/,"Lake Eyre Basin, Callabonna Sub-basin",Cenozoic,"Environment: Infiltrational, Group: Uranium, Type: Sandstone uranium"
333975,Western Ridge,,WA,119.583,-23.3984,2000,mineral deposit,FeOre,Fe,"Iron ore, (Iron)",BHP Group Limited,https://www.bhp.com/,Hamersley Basin,Archean,
