Commodity_neo4j_id,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15
commodity_1,-0.10025332,-0.06780887,-0.16582428,0.08826699,-0.19080791,-0.2513621,0.0015379514,0.1379622,0.2599204,-0.23052852,-0.19369654,-0.43222332,0.55052996,0.123745054,-0.020950997,0.29951924
commodity_2,-0.039323796,0.03926084,-0.0040524756,0.016693199,-0.12624924,-0.16370653,0.020594189,0.23637335,0.026929995,-0.009728002,-0.0122779,-0.15611763,0.20829603,0.11455679,-0.04537117,0.03723931
commodity_3,-0.16728528,-0.3458086,-0.45971134,-0.16341531,-0.19499826,-0.27125195,-0.117630385,0.21593906,0.53671694,-0.19002153,-0.29374084,-0.06474055,0.56123286,-0.15943243,0.60302204,0.2561366
commodity_4,0.045102403,-0.045180634,-0.04822949,0.11192077,-0.14620793,-0.08958443,0.13753879,-0.01641977,-0.027293267,0.0035333745,-0.13399845,-0.1484876,0.07328982,0.16035178,-0.2404611,0.16125657
commodity_5,0.08336883,-0.2632527,-0.0042067124,-0.0796323,-0.0012383264,-0.25355613,-0.3713538,0.1253461,0.17540552,-0.0045776395,-0.29285106,-0.1903071,0.2850191,0.1135169,-0.07422552,0.26894343
commodity_6,0.21477947,-0.78357947,-0.03605225,-0.13438095,-0.31505436,0.08604457,0.00039655052,-0.07893681,0.45157433,-0.38880464,0.70025635,0.09621049,0.5050125,-0.108773015,0.06469643,0.34338403
commodity_7,0.21153264,-0.33205625,0.0746954,0.120621786,0.054152604,0.9651921,-0.23608205,0.14808898,0.58311105,-0.38694364,-0.30691108,-0.16862294,0.4783333,-0.1737855,0.06867333,0.29122496
commodity_8,0.23691455,-0.08564068,-0.08215659,0.019927379,-0.08274363,-0.25970253,-0.14135768,0.21188991,0.09786624,-0.36333102,0.02056212,-0.093192525,0.20345971,0.3143365,1.224795,0.16539238
commodity_9,-0.94667405,0.1096533,-0.18571572,0.25565284,0.3287027,-0.22705641,0.21267383,-0.27176535,-0.48123187,0.18305308,0.39618483,-0.3932651,0.30380043,-0.200581,0.17577374,-0.24000666
commodity_10,0.52658945,0.29784516,-0.08648156,-0.12436179,-0.58127534,0.87148947,0.080058284,-0.4395433,-0.0481454,0.08462528,0.53677917,-0.1100792,0.6729337,1.0121151,0.941732,1.2090489
commodity_11,0.12739204,0.1991749,0.18912755,-0.013703016,-0.24485123,-0.2144486,0.52624774,-0.072023235,-0.3201255,0.3152952,0.58201337,0.50470394,-0.57790685,0.03338283,0.46217236,-0.7245004
commodity_12,0.20084961,0.310967,0.22785586,-0.10702667,-0.2655514,0.22387911,-0.1558431,0.14499982,0.0104793,-0.68119675,-0.7153731,-0.13015108,-0.10013608,0.02073761,-0.3426827,0.5820826
commodity_13,0.1297714,-0.632325,0.47051316,0.5904866,-0.46423808,0.32710895,0.057201076,-0.1588257,0.08172293,-0.27100325,-0.41061586,0.32563558,-0.10646506,-0.16761546,-0.06354842,-0.117554165
commodity_14,0.03831638,0.08685704,-0.086364545,-0.34338942,0.21597648,0.08852248,-0.08224767,0.20692521,-0.11869057,-0.15069975,0.04233473,-0.41161102,0.09775677,0.53397864,-0.560363,0.03459152
commodity_15,0.34688744,-0.47872013,0.4774113,0.32151553,-0.1502918,-0.02683491,-0.17066517,-0.4134116,0.108390965,-0.27938664,0.043494366,0.059304196,-0.35725355,0.32587266,-0.29429683,-0.20405567
commodity_16,-0.87296605,-0.28771994,0.035491735,0.09481589,-0.098641545,-0.3646495,-0.2808557,-0.1928604,0.034266114,-0.59177583,0.30014846,0.11643789,-0.017253516,-0.08221316,0.51150644,-0.05487227
commodity_17,-0.43587023,-0.5390276,0.28004935,0.13642566,-0.23598129,0.56988794,-0.44950506,0.10306233,0.08248486,-0.47906548,0.21785586,0.5702128,0.71746093,0.5184511,-0.16589405,0.08632129
commodity_18,-0.19414444,-0.49106094,0.32476914,0.14202136,-0.47476918,-0.40544465,0.46751723,-0.10012492,-0.7563366,-0.0951722,0.64236987,1.0158606,-0.8184028,0.063889794,-0.6192926,-0.6064718
commodity_19,-0.17161074,-0.49686548,0.30220947,0.30786875,-0.1353402,-0.2441744,-0.2605021,-0.13148254,0.2525199,-0.7031308,-0.58427995,-0.067833014,0.15326433,-0.19773334,-0.15204543,0.07658292
commodity_20,-0.017378524,0.26332325,0.10749593,0.16615026,0.27020958,0.08628941,0.043455247,0.22223909,0.1264734,0.11368494,-0.20285699,-0.7709074,0.020810075,0.18457259,0.119742066,0.1680971
commodity_21,-0.3382668,-0.113346465,0.061809782,-0.013360303,-0.05675596,0.0031920047,0.044215634,-0.28572106,-0.19255051,-0.23055369,0.23623013,0.2950943,-0.38814494,-0.12477947,0.24763706,-0.1509238
commodity_22,-0.03572906,0.052698035,0.09663229,-0.13397124,0.13425894,-0.4942477,-0.046912227,-0.22453669,0.22124317,-0.15115094,0.08946316,-0.21341011,-0.0005954909,0.57296133,0.28569657,-0.11136008
commodity_23,0.026973404,-0.23478979,-0.15036134,-0.015944367,-0.16989361,-0.30303204,-0.57822984,0.1994438,0.23875532,0.14069302,0.031925388,-0.28697494,-0.003559467,-0.5483807,0.21969654,0.19037743
commodity_24,0.40326506,-0.32230285,0.012509207,0.3206829,0.026728181,-0.19772254,-0.030815339,-0.4654145,-0.5253573,0.1470269,-0.10311038,-0.40754756,0.28930408,0.3626546,-0.5375026,-0.04753882
commodity_25,0.03734507,-0.12153105,0.24836944,-0.40721086,0.49065313,-0.043293495,-0.23825718,0.47265023,0.017277403,-0.19774587,0.025458366,-0.30864522,-0.27656627,0.08452254,-0.06761167,-0.079060495
commodity_26,-0.031449564,-0.35499868,-0.1257005,-0.5322475,-0.42227238,-0.23804325,-0.024441076,0.2695724,0.19466808,-0.4769982,0.12733714,-0.41089612,-0.16519229,0.21470818,-0.13306086,0.6322626
commodity_27,-0.15843439,-0.17983134,-0.2648921,-0.12184617,-0.048681766,0.07494115,0.07349995,-0.054873474,0.24602474,-0.40477523,0.0011680936,-0.40982905,-0.39453056,-0.56435114,-0.06691207,0.10802858
commodity_28,0.19920675,-0.22786757,-0.29547995,-2.1708453,0.49661243,-0.13451923,-1.0416294,0.07706208,0.63929915,0.34192553,0.21199332,1.0732732,1.1659294,-0.024770198,-0.62757945,0.18113515
commodity_29,0.050795585,-0.19360709,-0.3615345,0.1770889,-0.03911771,0.2824065,-0.14272667,-0.19531076,0.1324041,-1.2397915,-0.5148154,-0.13597752,-0.054675385,-0.01793094,-0.066082455,0.44817093
commodity_30,-0.08565071,-0.23749004,0.31313843,0.14593963,-0.2565929,-0.29251954,-0.13412961,-0.44406712,-0.42571974,-0.42629465,0.5693863,0.313156,-0.35360208,-0.2721692,0.0037870754,-0.3060415
