Company_neo4j_id,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15
comp_2,0.40879783,-1.2786516,0.32938853,0.07009154,-0.38711002,0.09727374,-0.339289,-0.0034405766,0.16012159,-0.1524452,0.4282743,-0.73400795,0.28141466,-0.6168817,-0.7692697,-0.19654812
comp_3,1.117245,-0.26649442,-0.47314918,-0.7401947,-0.694147,-0.1706149,-0.14681844,-0.39624268,-0.50710344,0.012913458,1.3042492,0.039609354,0.09843264,0.18571307,0.8822407,-0.12777758
comp_4,0.48547697,0.34643623,-1.8595988,-0.73514134,-0.053283293,-0.44473013,-0.33435106,-0.03610428,-0.0020167707,-0.21860744,-0.29324815,0.38343102,-0.45779082,-1.6329017,0.5499121,-0.49036747
comp_5,-0.09940248,-0.018502517,-0.2706294,-0.71781963,-0.41892433,-0.39685124,0.39757264,-0.41890174,0.3764399,-0.34213,0.08497454,0.26623753,0.025272544,-0.32663321,-0.0548484,-0.4229986
comp_6,0.43397588,0.6477949,-1.0444655,0.6798043,-0.6189991,0.20161884,0.21687488,0.9695793,0.08816203,0.17567576,0.5408478,-0.6282746,0.16752404,-0.13456836,-0.39725998,-0.14401877
comp_7,-0.5204926,-0.43263647,-0.34603027,-0.10184441,-0.21742071,0.87410873,-0.010107132,0.49156588,-0.29662684,-0.55429375,-0.955334,0.5083222,-0.1876227,-0.024495889,-0.012844363,-0.075090095
comp_8,-0.10619327,-0.45627323,0.28140187,0.09830978,-0.57019526,-0.646261,0.07047263,-0.026603272,0.07717969,-0.19936989,-0.5072724,-0.01418098,-0.13312486,-0.70353234,0.45176423,-0.12974475
comp_9,-0.124487676,-0.4544862,0.17376304,-0.15153092,-0.021478854,-0.13667616,0.30857593,0.18822478,-0.802407,-0.43673503,0.4344354,0.16475399,-0.75248075,0.17851846,0.19564742,-0.65200084
comp_12,-0.058969952,0.2904855,0.29440632,-0.12518512,-0.03468844,-0.3710706,0.16748188,-0.95676386,-0.0959145,0.04021077,-0.5082958,0.5689857,-0.58984905,0.28666013,0.2824847,-0.6693689
comp_13,-0.86858404,-0.034556266,-0.29466173,-0.13821848,-0.21067917,-0.18160631,0.035342928,-0.42604437,-0.06316024,0.104996465,-0.33276716,0.1292229,-0.099762104,-0.7915341,-0.34081843,-0.024683243
comp_14,0.43439978,-0.060926586,0.26095152,0.03803152,0.41486198,-0.7934035,0.4582629,0.4085706,0.22670375,-0.42545357,0.28409502,-0.14283592,-0.35873792,-0.62816095,0.50963527,-0.18190737
comp_16,-0.22091134,-0.4687488,-0.6171574,-0.40250093,0.016150935,0.022676425,-0.062138434,-0.29166326,-0.1652647,0.026555613,-0.4086609,0.61843526,-0.39641494,-0.033949256,-0.14458059,-0.5685356
comp_17,-0.42772025,-0.14188848,-0.005660069,-0.43459186,-0.06811693,-0.3641561,1.229314,0.8384288,-1.0642046,-0.11710048,-0.16964105,-0.55051666,0.09888942,-0.25445193,0.046157643,0.07726281
comp_19,-0.51344556,0.23838419,0.0094223535,0.047577377,-1.0092305,0.40144274,0.6759765,0.26425254,-0.23911835,-0.45392114,0.34777266,-0.66403615,-0.14238533,0.90450454,-0.91869867,-0.67423445
comp_20,-0.62884235,-0.45258558,-0.09048641,0.15170442,-0.18354297,0.49551383,-0.22304626,-0.2818022,-0.22139625,-0.13425477,-0.7148767,0.45920816,-0.9955242,0.4921881,0.3246129,0.48242798
comp_21,0.36564103,-0.07604503,0.123745784,-0.04747647,-0.113348335,-0.61733824,-0.23449774,0.16870694,-0.095145054,-0.006223657,0.42346963,-0.77543366,-0.11717812,-0.54669535,0.14170979,-0.33381814
comp_22,-0.44386688,-0.059510186,-0.15237887,-0.67885774,-0.41291258,-0.6254881,-0.22948262,0.024717454,-0.20091769,0.43788722,0.28040773,0.103073545,0.11553604,-0.16916552,0.030353805,0.055700056
comp_24,0.0011800905,0.224125,0.08449353,-0.5183521,-0.20281547,-0.1348342,-0.0136295,0.32688555,-0.16168751,-0.105775364,0.20754334,-0.23954825,-0.10598705,-0.27233598,-0.09841522,-0.11340641
comp_25,0.815553,0.061843593,-0.15943,-0.3477563,0.051131494,-0.6259636,-0.35436738,-0.3589637,-0.2402407,-0.10962948,-0.5192621,0.15951967,-0.7280797,-0.021433331,0.63758725,0.07817718
comp_27,-0.16864476,-0.4463153,0.2651739,-0.082908444,-1.3231276,-0.29774517,0.9733921,0.20481962,-0.13250317,-0.30944937,0.40761438,1.1270661,0.69595355,0.0630876,-0.30329105,0.31717548
comp_28,0.10633713,0.010146393,0.15676846,-0.12823781,-0.1254996,-0.24128592,0.44204554,0.0007047389,-0.7614078,-0.28762147,0.063267365,-0.24486028,-0.4119641,-0.39350244,0.26001492,0.123507805
comp_29,-0.8197015,0.09343044,-0.31623974,0.30080745,-1.2835089,-0.20405495,-0.41866696,-0.5471362,0.3807338,0.69715613,0.09243372,0.19030102,0.39927864,-0.007551916,0.5423819,-0.5601381
comp_30,0.60411716,0.34600857,-0.64510036,1.1691904,-0.39593476,-0.2432354,1.0241432,0.018521719,-0.5028163,-0.74658924,-0.5008029,0.01725119,-0.84961003,-0.5570949,0.04168026,0.8498698
comp_32,0.17433934,-0.8676938,-0.58954006,0.15465061,-0.63861626,0.45206645,0.36916122,-0.85399526,-0.10115242,-0.25140914,0.13310876,0.35474393,0.55313027,-0.27160877,-0.38780594,-0.6201558
comp_35,0.14507237,0.21478425,-0.1456097,-0.23525728,-0.27465054,0.67789346,0.04114894,0.1625255,-0.478999,-0.34912187,-0.18688025,0.024072932,-0.9163895,0.018405726,-0.2626,-0.013376056
comp_40,-0.41247687,0.0040302016,-0.3845616,-0.42521268,0.50137,0.33891484,-0.059829663,-0.69357896,-0.6705732,-0.37327623,0.055887267,-0.2584421,0.020563513,0.36832577,-0.414172,-0.925689
comp_43,-0.44162747,0.07338888,0.5809148,0.010395218,0.10577837,0.43855765,-0.108841136,-0.0644729,0.3728541,-0.20935419,1.1737752,0.30350354,-0.45881203,0.22992721,0.34870714,-1.0515835
comp_45,0.042473916,-0.1367163,0.24252899,-0.5462202,0.24388915,0.1210299,0.5172946,-0.81929547,0.09590669,-0.60557514,0.5097118,0.2573123,-0.33202502,0.14787312,0.050487418,-0.6457075
comp_47,0.079565406,-0.5186457,0.13590202,-0.47196385,0.025486033,-0.36251634,-0.02003474,-0.9784157,-0.5570904,-0.47971565,0.42298347,-0.1051976,0.76112545,-0.30952725,0.27569276,-0.037823126
comp_48,-0.10572363,0.32074413,0.5465628,0.20769095,-0.07716335,-0.4946319,-0.24385512,-0.61070025,0.09691252,-0.26618388,-0.007870521,0.26727715,-0.09866852,-0.50304025,-0.20892373,-0.5200606
comp_49,0.57442176,0.00029610156,0.10648315,-0.32806632,1.156205,-0.4175645,-0.23239303,-0.00043076742,-0.16870038,-0.36799577,0.40340132,0.562566,0.025138909,-0.3881586,0.2785189,0.008953455
comp_50,-0.03545423,-0.5535278,0.07379904,-0.1514171,-0.089421295,0.16600405,0.46998176,0.6705689,-0.2852476,0.16131641,0.71273035,0.14795323,0.16502522,0.24293818,-0.029886914,-0.56436604
comp_53,-0.6835154,0.10235043,0.1854372,-0.026767213,-0.6526157,-0.3186953,-0.55960506,-0.41469455,-0.5063632,-0.51688933,0.17141451,0.16827849,-0.072338514,-0.21913601,0.9482809,-0.29931116
