GICSSubIndustry_neo4j_id,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15
gics_sub_1,-0.36223206,-0.14725474,0.041647147,0.45246592,-0.49281162,0.1411643,0.25328684,0.400428,-0.11595897,-0.21303648,-0.1380119,0.19684306,0.19618455,-0.3497386,-0.11015088,0.28961018
gics_sub_2,0.20332566,0.19942516,-0.031872503,-0.39021346,-0.079531364,-0.6550694,-0.9752945,0.112906374,-0.13788389,0.13553943,0.20453602,-0.6909227,-0.008203774,-0.4602905,0.070887566,0.023035428
gics_sub_3,-0.00365669,0.10900965,0.039205834,0.15792975,0.30456302,0.19472587,0.3090697,-0.56477654,0.07009633,0.44526744,0.4454919,0.1971769,-0.17958193,0.28436697,0.060537364,-0.047272008
gics_sub_4,0.2331405,-0.61995286,0.0059646284,-0.11870515,-0.1266934,0.826715,-0.16692775,-1.8771073,-0.093817666,-0.053630866,-0.47718033,0.16994503,-0.056667276,0.5751644,0.60968345,0.012342222
gics_sub_5,0.20370337,0.035819568,-0.6065534,0.104936145,0.118243836,-0.30985695,0.38841143,0.6884787,0.47943076,-0.6772773,-1.2030052,-1.387595,0.058514677,0.045259602,-0.44507807,-0.2831226
gics_sub_6,0.16392305,-0.029737743,-0.1171705,-0.2745312,0.36262226,0.49437204,-0.16137365,0.18976235,0.74785364,1.0611066,0.35041824,0.87056446,-0.18173005,-0.48243353,-0.054657727,1.0033733
gics_sub_7,0.8266611,1.1873186,0.50541073,0.39650688,0.26048496,-0.94634247,1.0427783,0.43711922,1.1655904,-1.5682157,0.14791237,-0.21325554,-1.3753923,1.3252074,0.5713042,-0.17781968
gics_sub_8,-1.6010028,0.4094176,0.11117147,0.0037573194,0.2931213,-0.042978216,-0.05113656,-0.24076457,0.13488503,-0.94070846,0.9755589,0.34801885,0.37070557,-1.1431553,0.5274582,1.0663074
gics_sub_9,-0.04621941,0.054111164,0.7874965,0.6403069,-0.5382488,0.14377101,0.19873261,0.6685956,-0.32812136,-1.6713326,1.4686744,0.119813226,0.45320654,0.24853565,0.69975746,0.06054076
gics_sub_10,-0.03698865,-0.9362001,-0.9201974,0.25265542,0.26196495,-0.6711094,-1.0813745,0.25841394,0.66303086,0.5122038,0.14765888,1.4981639,0.13644567,-0.77345276,-0.15992233,0.6256294
gics_sub_11,-0.22075176,-0.13922964,0.6374872,-0.518969,-1.6436828,-0.44440827,-0.31069127,0.15082845,-0.46994147,0.5738033,-0.73533326,-0.6459848,0.3546941,0.58925426,-0.84704715,-0.29995397
gics_sub_12,0.43832728,-0.44685867,0.009350015,0.16105978,0.09305897,0.23065811,-0.37162167,0.6222243,-0.5630463,-0.5935148,-0.30106258,-0.39255384,-0.015304003,-0.328624,-0.009477714,-0.032417472
gics_sub_13,-0.13882071,1.0480258,-1.2117373,0.07353315,-0.14981191,0.037497398,-0.19604778,-1.5278952,0.09877848,-0.3198837,0.013683407,0.25625762,0.030924024,-0.4909508,-1.0073543,-0.15294552
gics_sub_14,0.047161434,0.61063266,0.005152243,0.3213891,0.18925978,-0.43599707,-0.3843997,-0.09749387,0.06772894,-0.3561574,-0.017153777,-0.038973335,-0.8108074,0.06780355,0.3131245,0.07492506
gics_sub_15,0.31297243,0.10886601,0.1971127,-0.61067617,-0.27374232,1.7467959,-0.3548715,0.60524404,1.0871798,0.2489448,0.19569674,-0.9142582,1.113163,-0.2482343,-0.5211015,0.035444904
gics_sub_16,0.58363765,0.051856942,0.66979784,-0.22430381,0.30093393,-0.4182487,1.4395351,0.80091995,-0.21587455,-0.49981332,-0.75775474,-0.32886472,1.1920044,-0.34898213,-0.8670301,0.14881016
gics_sub_17,-0.64654696,0.88570935,1.039958,-0.11991858,-0.23781706,-0.8539621,0.07490825,0.3627781,-0.30618694,-0.7003612,0.949216,-0.040234454,0.50089884,0.19913849,0.6067603,0.08112094
gics_sub_18,0.50510526,0.30479422,-0.7903987,-0.54787296,0.032315914,0.50250435,0.74491227,0.012769559,1.0243089,-1.1399337,0.33574307,1.2467072,0.42842352,0.0014207573,0.15513794,0.66013056
gics_sub_19,0.8489415,0.49384823,-0.09593333,-0.5467838,-0.29483896,-0.12759495,0.47002193,1.028962,-1.1444905,-0.56990516,-0.5907832,-0.5376743,0.064429134,-0.003963938,-0.28861612,-0.43177658
gics_sub_20,-0.24950798,-0.030736735,-0.5469542,0.02910126,-0.44866815,-0.08446826,0.35375535,-1.7345368,-0.0690096,0.0806321,-0.11709466,0.50491357,0.14903986,1.6805435,0.8149023,-0.52097535
gics_sub_21,0.71794355,-0.60069305,0.67183423,0.32884705,-0.115151964,0.7650244,-0.714212,0.15742512,-0.1391873,0.52161837,0.41346708,0.38726312,-0.0010631466,0.6061475,-0.28120416,0.12708825
gics_sub_22,0.28571576,-0.6554105,-0.3848501,0.19600096,0.02285955,0.16097885,0.097912855,-0.70257336,0.69980955,1.4297479,-0.66078794,-0.6428284,-0.22683966,0.5705793,0.3130926,0.3629314
gics_sub_23,-1.7130919,-0.33382794,0.6852742,0.9212676,0.1637075,-0.88320744,-0.7056937,0.123949975,-0.96024704,-0.8997207,1.6851768,1.314724,1.4358516,-0.1676199,0.50670475,-0.22477697
gics_sub_24,-0.38717744,0.89478284,-0.25175422,-0.6584968,-0.7397259,1.5693579,-0.3901048,-0.4777696,0.7525325,1.6385334,0.2124899,1.0275744,-1.6568397,-0.39948222,-0.407781,0.0010475852
gics_sub_25,0.5385218,-0.20528664,-0.040289816,-0.021198861,0.5648191,-0.15091911,-0.34880346,0.21862167,-0.035490848,-0.50398105,1.5659462,-0.24231564,-0.22707626,-0.12714732,-0.37770402,0.17267045
gics_sub_26,-0.91032165,-1.4864051,-0.53935426,0.0800351,-1.0354348,1.256231,-0.73181903,0.77345455,-1.0144802,-1.587229,-0.50025284,0.32258368,-1.1946682,-0.6115618,1.1229472,0.4708919
gics_sub_27,0.34457454,0.6202915,-0.8478768,-0.104507476,2.1491082,0.9756969,-1.2011069,0.27106923,-0.61949754,-0.6162677,-0.5192471,-0.7328416,0.3334878,-0.12945756,0.5349119,0.36198956
gics_sub_28,-0.33096537,-1.221848,1.1397816,-0.8259177,0.9623311,-1.1385275,2.3034759,1.1311837,-1.002652,0.21770188,1.0139335,-1.6998334,0.7087181,-0.36295837,0.5422106,0.17044598
gics_sub_29,0.27450642,0.15800455,-0.44558173,0.4242239,0.7739571,0.99879533,-1.0543264,-0.3698298,0.28886718,0.1824712,1.077827,-0.6689774,0.21861096,1.353923,-0.019378705,-1.016676
gics_sub_30,-1.0918443,-0.70953286,-0.23729558,-0.15504214,0.6833009,-0.26639345,-0.013684399,0.12544736,0.18768977,-0.21547215,-0.6809747,-0.37251297,-0.13221131,0.9783145,-0.088669434,0.06391298
gics_sub_31,-0.105755165,0.32876348,0.99691486,-0.49978435,0.18585534,-0.050854396,-0.30688664,-0.4140107,0.04010234,-0.050376825,-0.9338088,-0.31388506,-0.40980545,-0.67554456,0.013302261,-0.8684816
gics_sub_32,-0.093501724,-0.41856554,0.62808454,0.16378185,0.011259453,-0.39046872,-0.42517018,-0.36492708,-0.5979661,0.22885261,-0.16791835,0.14880899,-0.11726248,-0.4818433,0.0098185055,-0.35816777
gics_sub_33,-0.7822911,-0.1859489,-0.23348802,1.4882052,0.53423685,1.5207436,-0.2060735,-0.84005344,-0.5894949,0.39823428,-0.04213446,-0.16229694,-0.13584754,0.028773395,0.6293472,1.0413837
gics_sub_34,-0.5377396,0.5558135,-0.48589867,-0.58113354,-0.33064416,0.29184505,0.6950178,1.6360006,1.0587558,-0.38503525,-0.17226996,-0.3053651,0.5387448,-0.35658935,-0.84093434,0.5855562
gics_sub_35,-0.88031656,0.34124535,-0.35204533,0.391967,-0.0783943,0.024138186,-0.11759065,-0.6086811,-0.27741998,0.24933721,0.36922613,-0.006679362,0.6924942,-0.4893034,-0.40476716,1.0585135
gics_sub_36,-1.1914163,0.072801426,0.21834244,0.7300684,-0.12405261,-0.31706518,0.7364861,1.6558318,-0.461388,0.5696453,-1.5290173,0.0033571175,0.06541418,-0.10972484,0.03887953,-0.46176648
gics_sub_37,-0.28796372,-0.006376572,1.1929382,-0.10417447,0.07821912,0.3517573,0.059240703,0.40393957,-0.7065505,1.2395416,-0.4317688,0.85158443,0.519307,-0.4621025,-1.1561856,-1.9048108
gics_sub_38,-0.8208207,0.20079339,2.4382873,0.98487765,-0.96888876,0.008844638,-1.0086205,-0.9825809,-0.22926413,-0.37960437,-0.9699825,-0.45039922,-1.1181813,-2.009179,0.85832125,1.2488718
gics_sub_39,0.13083802,-0.81786144,-0.29790214,0.55904573,0.6507021,6.8743248e-06,0.46728998,0.47757763,0.28241804,0.6222471,0.64894724,1.1283106,-0.40582794,0.54138505,0.027947286,-0.2516692
