LGA_neo4j_id,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15
lga_1,0.5104884,0.4717075,-0.058225695,0.11230636,1.9854662,0.51207584,0.30135438,-1.1807318,1.0463587,-0.7284882,0.085565574,0.23299204,1.430504,0.094927974,0.6551104,-0.09231581
lga_2,-0.38718286,-0.3623829,0.46459582,0.093387075,1.3539929,0.09111568,-1.451801,0.3897789,-0.9529854,1.0415149,0.28077003,1.2105532,-0.80933714,-0.09398775,1.4036354,-0.45824566
lga_3,0.41164216,2.3652968,0.6362289,-0.23803827,0.23739974,-2.2623377,0.92173594,-1.0208869,2.3117905,-1.43817,-0.36319843,-0.88447475,-0.62484413,-0.08761098,0.08988201,-2.987338
lga_4,0.27594212,-1.4373076,0.73428106,1.1385839,1.9169608,-0.6568628,-0.4373337,-0.25495234,-0.10624785,-1.8525469,1.266379,0.8394862,0.30728891,0.7051554,0.22047633,-0.22570337
lga_5,0.68372905,0.76726973,0.28828794,-0.03623528,-1.4516318,-0.3726557,1.8261278,-1.7192183,-0.5282137,-0.042693734,0.23961255,-0.09565654,-0.9948181,-0.24457388,-0.6809478,-0.55721986
lga_6,-0.5085534,-0.12711188,1.384523,-0.33445814,-0.039320115,-0.054414056,-0.8222629,0.98734236,0.070174456,0.31664002,0.31380078,1.6359777,-1.4283876,0.74190605,-0.6156899,-1.97825
lga_7,-1.2192318,0.094506815,-0.804908,1.049663,-2.2406096,0.17765906,0.703543,0.54730064,0.51000434,0.81305635,-0.803672,-0.43514124,-0.4066944,0.33777058,1.0116475,1.0501682
lga_8,-0.81340253,-0.0065856245,-0.5750332,1.5080292,0.3829676,0.46324575,0.81277424,-2.0124197,0.12555854,-0.5792219,0.79271936,-0.04419124,0.2746436,0.19779557,-0.054933913,-0.7642814
lga_9,0.3622331,0.92108035,-0.20442002,-0.023961939,0.7138561,1.5945948,-0.8935201,-1.0679325,1.7950195,-0.68068194,0.31047487,1.9283018,-0.8733573,2.4989803,0.15254168,1.5817189
lga_10,-0.6277416,-1.2251797,-1.1264627,0.82679343,-0.68454736,1.9768707,0.43660477,-0.25042304,-0.17230745,0.7860026,0.438435,0.62147164,1.5323778,-0.50192195,2.18052,-1.2649188
lga_11,2.2909975,-0.15080187,0.9568699,0.02553822,-0.96195227,0.8891099,0.101915255,0.0753356,-0.97535217,0.5240056,0.2848839,-1.3560303,-1.0102111,-0.11449355,-0.6866096,-0.2363792
lga_12,1.90873,-0.33836576,0.02787124,1.0843314,0.33502468,0.008690229,-0.19745253,-0.51044005,-0.45027617,0.2706261,0.32570088,0.23108284,1.2628351,-3.1941183,-1.5017527,0.033444792
lga_13,-0.17117219,0.9212017,0.824623,0.5250515,-1.6502639,1.0304737,-1.0052814,0.72418195,-0.2894446,0.56487083,2.207278,-0.39394,1.5582619,-1.3079287,0.8252536,-0.46954542
lga_14,-0.1840601,-1.3397601,-1.3197453,-0.5189448,0.12572357,0.29888678,-0.27302897,0.76774466,-1.018453,-0.0456397,-0.9411059,-0.1932154,-1.502923,1.3566724,-2.3379953,-1.942926
lga_15,0.98615396,-0.26052436,0.469599,-1.2440101,1.4513009,-1.3930898,1.3997116,0.94997466,-0.46203858,0.22198653,0.8735724,-0.20228063,-0.08652139,-0.76771194,-0.9969051,0.571701
lga_16,1.1763892,1.4503484,-0.79995394,-0.12950808,-0.6216046,-1.2854884,0.32283017,-1.0998371,0.910196,1.9655325,-2.0038679,-0.35129014,-1.0007716,-0.94287306,0.069534585,-1.5610914
lga_17,1.1926608,0.5141658,-0.78510934,0.39098698,-0.13041517,-1.1672995,0.6091508,0.40324825,-1.1615292,0.9612892,1.0617001,-0.6423317,0.5568769,-1.0937585,-1.3619442,0.6201404
lga_18,-0.78206563,0.8919963,1.2206293,-1.4799297,0.10552984,-1.001822,0.01176479,-0.620586,0.93565685,-2.167105,1.6074597,-0.54504204,-0.408016,-1.1605175,0.2511588,0.78636545
lga_19,0.91551,-1.8935928,0.043444935,-0.671717,0.2936417,-1.4215343,-0.13979532,0.64819324,-0.7437717,-0.43543592,0.39583203,0.9874148,0.23391429,-0.63011634,-1.3970073,-0.8890449
lga_20,1.6245843,0.109944865,-0.46386087,1.3038431,-1.1261569,-0.4358793,0.8859042,2.28009,0.7804392,1.6674784,-1.384818,-0.3774464,-0.41176912,-0.2684077,0.40368795,-1.0702318
lga_21,-0.1578901,0.9436771,0.52229774,-0.5908503,-0.86247283,-0.26860902,0.19350138,0.64289105,0.21791567,0.025019955,0.94584566,0.6157446,-0.3105188,0.51916385,-1.9602547,-0.532147
lga_22,0.09165891,0.38053188,0.18672712,-0.5555552,0.13694622,-1.099313,-1.022995,0.6538534,-0.0060339,0.582025,-0.4984184,-0.13671815,-1.522279,-0.4253801,0.25003946,1.8581214
lga_23,-1.175708,-0.6285999,-1.2669687,0.7242339,-0.2279206,-0.8442795,-0.59142715,0.23532936,0.25161994,0.22593391,-0.76563054,-0.10455897,-0.32584468,0.71259177,-0.06358244,0.41656533
lga_24,0.0050285566,1.1282222,0.8185199,1.1767151,-0.4004585,0.4996673,-0.9370397,0.5871265,0.6554778,0.7006809,-0.24279487,-1.6180717,0.62909085,-1.2655408,-0.04111747,-1.1252816
lga_25,0.8711563,0.9551881,0.7172065,0.40962455,0.259906,-0.7527891,-1.1383027,0.20480995,-1.3219382,-2.5172179,0.19135645,-0.45862442,-1.7662361,-0.021187318,0.15443268,-1.5089405
lga_26,-0.7903738,1.4775947,-0.29684684,1.6417,0.22370325,-1.6381856,-1.2907544,0.044086643,-0.90383554,-0.5860737,-0.55898154,0.60498124,0.65290123,0.34275496,0.40708372,1.3906038
lga_27,0.8377799,-1.3549751,0.9530483,0.31699353,-0.0765914,-1.1497344,-0.3804912,-1.2904736,2.3668735,1.5869207,0.84944373,1.9632498,-0.008865792,0.82764125,-1.2163111,-1.9200896
lga_28,0.5183426,0.42595848,1.2171592,-0.7253462,-0.4043805,0.026430871,-0.4262911,-0.8394391,-2.4786212,0.54298735,1.2075211,-0.75735605,0.80281293,0.37359762,0.8184498,-0.55047685
lga_29,0.72711366,0.20317847,0.947468,0.54912966,0.64452976,-1.2291099,2.3728986,0.46925244,-1.1277146,-1.795197,-1.7671039,-0.7436255,-0.38690457,-0.21549582,0.8381317,2.215907
lga_30,-0.3498741,-0.5069689,-0.25869992,1.2263306,1.1888393,-1.3954208,0.15135863,1.4200579,1.0902188,0.5110045,-0.5672487,-0.10272149,0.7070632,0.24612075,0.16778742,-0.31766483
lga_31,-0.010077682,-0.005191616,1.5221856,1.0645446,0.26949328,-0.56694156,-1.7990081,0.6948271,0.560687,-1.7376007,0.6409276,0.36000696,-0.25847036,2.2122324,0.64000195,2.4881265
lga_32,0.5964967,-0.17375523,-0.070654996,0.8249801,1.4861012,-0.9722398,-0.4035014,-0.8617853,-0.18438986,0.4853971,-1.0992395,-0.8751481,-0.47709477,-0.6944749,-1.0609663,0.26741034
lga_33,-1.1853776,0.9915892,-1.19955,0.4776242,-0.5490597,0.84974885,-0.5125407,0.66045624,-0.662235,1.8316346,0.25458753,2.3532207,0.62931937,-1.1559638,0.69808275,-0.09396893
lga_34,0.17444317,-0.43986866,1.3443514,0.6842135,-0.43536577,-0.5746076,0.056409515,1.0143976,-1.0001184,-0.19300137,-1.1423769,0.1539298,0.51184744,0.17021783,-0.19199204,0.17782216
lga_35,1.3361734,-0.291136,-1.2447311,-0.7554345,1.5373609,1.2283415,1.2249204,-0.29004028,-0.35863125,2.852304,2.5505447,-0.60567087,-1.2549459,-1.6706121,-0.620502,-1.1598552
lga_36,-1.161216,0.4925053,-0.084571816,0.7883363,0.25851393,-0.3829106,-0.5584897,0.16508137,0.49481127,-0.08236402,-1.5072258,-1.7908876,0.54662323,1.3915583,1.4503363,0.9985693
lga_37,-0.37100416,-0.9461701,0.06521954,-0.6944674,0.16114268,-1.7597017,-0.13100716,0.61023355,1.667258,0.35604042,1.1078855,-1.3605729,-0.5836926,1.2404741,-0.23457354,-1.5878654
lga_38,-0.9600962,0.6955285,-0.3238743,-1.685123,-0.11115919,-2.0050468,0.5584816,-2.6559954,-0.7179266,1.4980346,-0.67598367,0.564295,0.39337212,-0.9646022,-1.4316247,-2.0460687
lga_39,-1.84681,-2.4608266,-0.4147956,1.5002964,0.15031503,-0.50521123,-0.05415709,1.9328783,-0.5340769,0.0222637,0.9057152,0.6506245,-1.3750964,0.54844767,0.13977987,-1.3971914
lga_40,0.62762505,-0.8744393,-0.36802387,-1.4328784,-0.7275875,0.6294877,0.6122846,-0.64409363,1.0474813,1.2294832,0.49259448,1.5859703,-0.36510685,-0.65380573,-0.17855345,0.8352896
