NODE_neo4j_id,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31,dim_32,dim_33,dim_34,dim_35,dim_36,dim_37,dim_38,dim_39,dim_40,dim_41,dim_42,dim_43,dim_44,dim_45,dim_46,dim_47,dim_48,dim_49,dim_50,dim_51,dim_52,dim_53,dim_54,dim_55,dim_56,dim_57,dim_58,dim_59,dim_60,dim_61,dim_62,dim_63,dim_64,dim_65,dim_66,dim_67,dim_68,dim_69,dim_70,dim_71,dim_72,dim_73,dim_74,dim_75,dim_76,dim_77,dim_78,dim_79,dim_80,dim_81,dim_82,dim_83,dim_84,dim_85,dim_86,dim_87,dim_88,dim_89,dim_90,dim_91,dim_92,dim_93,dim_94,dim_95,dim_96,dim_97,dim_98,dim_99,dim_100,dim_101,dim_102,dim_103,dim_104,dim_105,dim_106,dim_107,dim_108,dim_109,dim_110,dim_111,dim_112,dim_113,dim_114,dim_115,dim_116,dim_117,dim_118,dim_119,dim_120,dim_121,dim_122,dim_123,dim_124,dim_125,dim_126,dim_127
0,-0.049371205,1.9363159,0.17432082,-0.23081107,-1.2007828,-1.2050779,-1.3755988,-0.68824995,1.62507,1.2624931,0.14042513,0.7665248,0.23930998,0.4867245,0.89453316,0.54898256,0.9227498,-0.9279035,-0.066824935,-0.5578775,0.1022642,-0.28869548,0.22472186,0.18467405,-0.5930755,0.3460565,-0.11716978,0.17873143,-0.2931914,0.062306385,0.12830622,0.2341457,1.8113173,-1.8325748,-0.21178222,1.6070887,0.023549644,-0.65911454,0.58516705,-0.10591353,-1.1871381,0.43053064,-1.0323993,1.1320236,0.6382427,0.105289735,-1.0535587,0.23997253,0.11981454,0.008299695,0.54136103,0.4601641,-0.8708724,-0.39327958,-0.7232779,-0.9709721,-0.6514892,-0.29421735,-1.5350025,0.17628051,0.44542587,0.76050305,-0.83142984,0.27418822,1.1453941,-0.35359338,-0.8250298,1.8228827,1.1843579,0.82518035,0.38423753,-0.39323723,-1.0342004,0.28424275,0.7778345,0.7923477,0.04610711,-0.39473745,0.9498219,0.8372579,0.07247864,0.122134425,0.19410977,0.91009736,0.21280223,-1.0410687,-0.6714005,0.45014173,0.85134834,-0.37498334,-0.45865247,0.9463661,0.32998616,0.6702902,1.3375143,0.866496,0.07649561,-1.3837101,1.291112,1.5296825,-0.003888845,-0.46797448,0.30643106,1.2473528,-0.54130095,-0.89986473,0.576582,0.05936495,0.04688632,-1.0165474,0.99936414,0.4638536,-0.5404283,-0.7485291,-0.7808171,-0.8048681,2.328137,1.8296102,-0.3055191,-0.1585173,1.1566689,0.66993445,0.9611532,0.85506153,-0.3403187,-1.1620865,-0.83957005,-1.0146065
1,0.066470385,-1.1013036,-1.0502402,-1.4912978,-0.46890953,-0.17973107,0.4041651,0.71174103,-0.6886008,-0.23956174,-0.101626255,-0.5619214,-0.52707434,-1.2004855,-0.8693008,-0.18977498,-0.17861687,0.31545216,-0.2351513,-0.12812294,0.46718755,1.3633192,0.71426517,-0.3290198,0.827372,0.8481087,-0.13946831,0.19357744,0.44463718,-0.52347326,0.10219294,-1.5241742,0.5796041,-0.50789773,-1.6668079,-0.7437411,1.3693882,2.1155128,-0.608048,0.10422781,1.0696292,0.50039715,0.4554261,0.016120281,0.3089365,-1.0839534,0.41790357,-0.2101868,-0.16650535,-0.88566387,-1.1836439,-0.47877443,0.28866583,0.21377054,-0.72500736,1.6502439,1.4280624,-2.442223,0.5614753,0.16987538,0.6887768,0.07366426,0.099467,-0.52244276,1.6450748,-1.0563242,0.3050809,-0.21940227,-1.6332676,-0.40036735,-0.37890178,-1.1282204,-0.77503693,1.1713712,0.39353025,0.45938912,-1.0471284,0.8687541,0.23727468,-0.18170741,-0.73314613,-0.056034368,0.15445143,-0.7551118,0.3918224,0.3984521,0.75250393,-0.16310893,0.9323533,-0.8182895,-0.22009356,0.116063915,0.38356715,-0.3069501,0.051303923,0.46145156,-0.95546263,-0.37647313,-0.7071403,1.1368052,-0.84622866,1.4908516,-0.97187847,-0.60160255,-0.31424388,-0.5725647,1.2623205,-1.1225429,-0.95905393,-0.0121131325,-0.20227502,-1.3338102,0.048256215,0.36605245,1.2149872,0.39222038,-0.32364434,0.25292918,-0.26319855,0.6492302,-0.7027313,-0.08030441,0.5661559,-0.820082,0.031088859,-0.38612193,-0.8347322,0.022678677
2,0.58170116,2.628376,-1.1085186,-0.08844566,-0.83316714,1.71428,-0.58611506,0.6981632,1.7236315,-1.9786255,0.538148,0.6528034,0.78456295,-0.118574075,-0.60139376,0.2632832,0.17171623,0.13502148,-1.5700121,-0.44115514,-1.128791,0.53618795,-0.6968235,0.67636675,-0.5394315,0.5641491,1.0066807,0.7890099,-1.5803206,-1.1842035,-0.5703218,-0.8016198,-1.1840377,0.1268441,0.7812061,-0.5567455,0.5425819,-0.25176606,-1.3089356,0.8770711,0.6133557,-1.0097086,-0.05846869,0.37061062,0.2828415,-0.08916891,-1.3426046,-0.09064536,-0.51080143,0.8376746,-0.8422912,0.6923237,0.27202547,-0.72049856,-0.42053127,0.29517,-0.32621142,2.5493014,1.0488704,-0.5532481,-0.77358425,0.2004753,0.94556653,-0.11222289,0.04857392,0.07881602,0.3254708,0.4123305,0.46104583,0.33485004,-0.16083388,-0.3684285,0.09185864,-2.2732255,-0.6836799,-0.56364244,0.83839726,-0.9822716,0.6157583,0.49832794,0.39508775,0.26739058,-0.63378483,-1.5714433,-0.7517431,-0.9754427,-0.8058799,-0.09537836,-0.6466819,-0.13637608,-0.71722466,-0.9464856,-0.8871994,0.43947637,-0.97024566,0.7879001,-0.89113986,0.5555645,0.7198897,-0.70831525,-0.056676537,-0.74630266,-0.6861221,-0.82418466,-0.8722122,-0.3373405,0.60528064,1.0063701,1.0116341,0.33183578,-1.1802877,-0.41734383,-0.5787335,0.058403246,0.79988134,0.17976299,-0.451254,-0.42179117,-0.8809466,1.1188822,1.3828169,-0.13254139,-1.8081601,0.85225725,0.1608258,0.42872718,-0.25910735,0.9306956
3,-0.4673631,1.6654308,0.03072155,-2.778489,-0.71568954,-1.7720163,1.0927488,-1.8716382,-0.22976641,1.6288549,1.0439699,-0.6533524,1.1375813,-1.854109,-0.4344568,0.8378211,-0.21509153,-0.9589635,-0.2911808,-0.82304937,-0.73875284,0.60911983,0.22529972,0.14135109,-0.75272745,0.06597256,-0.7739488,1.1410432,0.25955757,0.45481512,0.09082769,-0.228645,-0.8273284,-0.5108751,-0.43365312,0.107094176,-0.113351166,-0.18204397,-0.73336536,-0.18491973,-0.7975667,-0.53078437,0.037691824,-0.6080525,0.659205,0.498832,-0.08465113,0.77105325,-0.123468645,0.71159154,0.9818868,0.92703015,1.4855641,-1.3162198,0.0787661,-0.8766831,0.46049973,0.7396314,0.55401105,-0.34925875,-1.2077969,0.30515987,-0.93750435,1.3351669,-1.0875945,-0.6142409,-0.2477781,0.8092819,0.3846037,0.29222226,1.1085111,1.0803298,0.298974,-0.8771923,2.231463,2.0456674,1.1428996,1.6369314,1.4010032,0.5681596,1.1350874,1.1624408,-0.05791893,0.07738477,1.7264072,1.3797486,-0.7687589,-0.9005566,-0.82975066,-1.0431591,1.1861092,0.13286811,-1.0370207,0.27605447,-0.009396171,1.046633,-0.96324074,-0.40725744,0.124702185,0.9951105,-0.1501027,-1.1465038,1.296757,-0.8550037,0.61772716,-0.73309106,0.15431595,1.1183385,-0.04151311,-0.42618248,2.968483,-2.3924487,0.03411483,0.26510096,-0.14375146,-0.7661615,0.6584566,-0.5253317,-1.1627318,-0.29844573,0.5570122,0.7275484,-0.2188178,0.83235186,-0.4822176,0.35438457,-0.73369545,-2.2277765
4,-2.127542,-0.08606771,0.88046,-0.51569223,-0.36353216,0.43531823,-0.50419366,1.3948693,-0.034239165,-2.3026023,-1.8574135,1.0619507,0.56269896,-0.64201486,0.696712,0.76717925,0.27446446,1.5855196,0.22786348,0.18907818,0.15448482,-0.49683285,0.06565441,-0.9693125,0.9927283,-0.7566177,-1.2781531,-0.64396214,-0.30041584,-0.2515755,0.13669552,0.4033492,-0.9482388,-0.77262366,0.48582,-0.68390703,-0.4923809,0.03567187,-0.07742046,1.4247738,0.043179467,-1.5065093,-0.259902,-0.5562972,1.9315722,-1.5144533,-0.683237,-1.432766,-0.15971997,1.0384684,0.068617165,0.14517091,1.5702366,0.9544798,-1.6368333,-0.17512578,-0.4373858,-0.08577982,0.47083858,-0.45886248,0.6560005,-0.7090689,1.0750786,0.35312328,-1.2076468,-0.4210244,-1.3282081,-0.61695874,1.073867,1.194233,-0.47865072,1.4930257,-0.034023963,0.1257397,-0.4097207,-0.4500181,-0.63594675,-2.3483303,1.718475,2.0414448,0.5538392,-0.21064392,2.0743854,0.06314817,0.3704687,0.000112798996,0.21615578,-0.6150433,0.79049057,0.03945361,-0.28381753,-0.53096277,-0.2244226,0.32137263,-1.1085826,-0.27402976,0.13482301,1.3686291,-1.1642382,0.41527772,-0.90186644,0.31814316,0.2277156,0.42056036,-0.14077453,-0.50698197,-0.20271845,-2.2031302,1.650483,0.49240226,1.874763,0.3415769,-0.5115039,0.827988,1.1197488,0.78798175,0.11654962,0.9679019,0.8919825,-1.2985975,-0.62088174,-2.3915415,0.30730328,1.0131196,0.61762357,-1.2649454,-1.5040377,0.39363378
5,0.15522903,0.8486846,-0.13026197,-0.33753088,1.478192,1.0187835,-1.4000378,0.16125211,0.5695951,-0.18190166,-1.5688118,-1.2256861,1.4736077,-0.7908146,0.29703572,-1.2347317,0.78433764,-0.8437255,1.5123497,1.3925264,0.87925994,-0.071211606,-0.20114477,0.627197,-0.53212637,-0.047350533,0.31338263,1.1826348,-1.0808759,-0.19270071,-0.30201656,-0.24622628,1.7929783,1.9502265,0.3528683,-0.5575965,-0.08784024,1.2629405,-0.8085854,0.6367286,-0.42230245,0.42093596,0.5109218,-0.15909483,0.120159075,-0.77752924,0.2826701,-0.51337075,0.46851972,0.22388744,-0.7099862,1.4308264,1.4261274,-0.56893164,0.15502286,-0.6701792,-1.2559854,-0.0991729,0.41816425,1.0354706,0.30883434,0.70261914,-1.00227,0.14067137,1.338119,-1.6221344,0.87013555,-1.0459143,-0.9804605,0.7660731,-0.26638696,-1.5100703,1.1413012,0.12575477,1.8695929,1.2521861,1.0240794,-1.6598198,1.8131759,1.0330697,-0.8769135,-0.052979168,-1.7367268,0.35939837,1.7392842,1.1732087,-2.4483244,-0.037485566,-1.6291568,-0.48409897,0.4835487,0.4902059,-2.4378579,0.4312576,0.19039497,-0.58764213,-0.039606836,2.031097,-0.9061917,-1.4413168,0.22068112,-1.5446918,1.1111912,0.06081419,-0.7605566,-0.1251943,-2.267905,0.6847101,-0.4438273,0.52836007,-1.7382066,0.52111405,-0.3323691,-0.13871342,-0.6803191,0.9404781,0.14433207,1.5286092,-1.0203612,1.4257613,-0.5787926,0.8600412,0.34117523,-2.119427,-1.6627647,0.9166996,-0.03418045,-1.328807
6,-0.43695334,-1.3279647,-0.25886312,-0.49205473,1.0260297,-0.0226653,-0.9561722,0.031595897,-1.7660973,0.15668066,-0.96929413,0.63013935,0.23752306,0.06000773,-0.5432157,-0.027469167,1.2698528,-0.58361244,-1.2648091,-1.0246185,-1.4835677,1.0979674,0.49685615,1.1059699,0.67780614,0.946083,-0.57271385,0.17925783,0.56247437,0.51125044,-0.90544766,0.2716842,0.2763528,-1.1457511,-0.20682906,-0.8056301,-0.3073835,-0.22738442,-0.9552932,-0.0924533,0.53645873,-0.6737248,-0.15773192,-0.38742903,0.2616429,0.12966163,0.16462843,-1.0336751,0.87444055,1.1145729,1.7588308,0.57509357,-0.6411957,-0.007339281,1.901763,1.2218652,-1.2492188,-1.8128501,1.2073646,-0.4290914,-0.5580147,2.058272,-1.3411418,0.5265653,1.2765658,-0.99696904,0.53310674,1.0321517,-0.45800725,-0.72195894,-1.6642927,-0.33508363,1.0934268,-1.1780407,-0.03993352,0.15775649,0.6025073,-0.708555,-0.018871555,0.49404275,-1.5056609,-0.06365028,-0.07174864,-1.2146152,0.3920761,-0.6820463,1.714224,-1.0591956,0.81490284,-1.0084879,-0.05173662,1.2468112,1.135528,-0.73931926,0.75115114,-0.6657904,0.23054741,-0.82258517,0.16134803,-0.013111591,-0.042904668,0.36749873,-0.78620636,-0.14997225,0.90079635,1.9056625,-0.75548697,-0.41155112,0.3287728,1.2330385,0.6734421,1.2637147,-1.3365277,-0.5342326,-0.314031,-1.629509,0.05246829,0.89241886,-0.41530526,0.3092415,-0.1736458,-1.3473189,0.0045068916,0.596974,0.82436156,-1.4375824,-0.122555725,0.70262396
7,0.50851035,0.17148024,0.034128197,-1.5571002,-0.31465527,-0.04112807,0.44810253,-2.8768437,-0.6031549,1.4087225,1.4349939,1.3929816,-0.6285442,-1.2160423,1.4888442,-0.35682333,0.8587254,-1.1868795,0.42410958,0.45270732,0.29860678,0.31729543,2.585294,0.073996745,-1.4472383,0.33628714,-1.5811013,0.63260984,0.15449154,-0.8852156,0.35327905,-0.27846244,-1.2865694,1.2968503,0.26130787,0.5021376,-0.027320493,-0.24241145,0.28294992,0.34510982,0.27446094,1.8081228,-0.56782097,-0.9460471,-0.6135208,-0.043438185,1.0682123,0.29247588,-1.4219675,0.28180978,0.7933738,0.4575068,1.3431302,-1.2530056,-1.2743232,-0.09124468,0.8926257,-0.9059022,0.32554415,0.13682285,1.0234028,0.12141416,0.01769821,0.14692079,1.406961,1.5034351,-0.31071702,0.31534913,-0.16445412,1.1661927,1.5285908,-2.8131,0.20997949,-0.26430398,-0.75423473,0.51660806,-0.5605891,0.31910676,-0.31653994,0.43813866,-0.26305956,1.2998068,-0.7320377,2.6269953,-0.70502895,0.44248697,-0.46761924,1.418798,-1.1805216,-0.5803237,0.3295158,1.7762717,0.43345308,-0.45193884,0.35214543,0.6458341,-0.119917534,-0.8690558,0.45455742,0.11290953,0.25250807,-1.982805,0.10439159,-0.12218563,-0.6169523,0.5649517,1.0643445,1.2839224,0.42614394,-0.40720856,0.22147958,0.10895983,-0.077139296,0.24496831,-0.43069527,-0.025108233,-0.22209921,0.1637742,-1.159286,0.51151115,-0.37995014,0.27921155,0.35027096,0.22750236,0.0148809925,0.95577115,1.1769884,0.5821684
8,0.45541677,0.1503884,0.11253568,-0.13837022,0.6196241,0.100606106,-0.36139953,-0.5071562,0.36229423,1.7442684,-0.89549553,1.435306,0.4431702,0.6812457,-1.2568614,0.7424427,-0.99064845,0.49438584,0.45888337,-0.4792323,2.1126025,-0.32035106,0.47141877,1.6487248,-1.7421615,1.0784421,-0.010603873,1.289833,1.3022112,1.755189,0.85010034,-0.46557745,0.43130204,-0.23056147,0.87049896,-0.03525748,0.66690296,-1.2858045,0.7074551,0.9571915,0.8024048,-1.3103986,0.0059375092,0.8498609,-1.3699422,-0.9450294,-2.1302245,-1.1550157,-1.2787163,-0.09962049,-0.031540927,1.7028316,0.6394441,0.18747607,-0.23349084,-0.4901818,0.7828076,1.1964952,0.19643039,0.40290293,-1.5610232,0.19983977,-0.5658176,0.9419586,0.29612055,-0.08543041,0.13402256,1.5506601,-0.117576435,-0.84843487,-2.0686188,-0.8061535,-0.21382312,0.28143486,-0.20166074,-0.93300986,-0.54577476,-0.47854567,-1.2500741,-0.11216546,-0.6483096,0.3848658,1.1103125,0.157506,0.82810944,0.5866045,1.5470461,-0.4118969,-0.055998333,-0.1669896,2.3155696,-0.019415343,-1.1303682,-1.1240665,0.834344,-2.975117,-0.945888,-0.046983954,-1.1637819,-0.2926779,1.6525779,-0.9344461,-0.11994108,0.8714926,0.27348915,-1.0632324,1.6450106,0.17527753,-0.46852863,0.70142305,-1.0921894,-0.7601681,1.1827966,0.576599,1.0514523,-0.53841066,0.65039223,0.5807413,0.81413317,-1.81166,0.9960689,-0.25894755,-0.74942255,-0.48773023,-0.31997165,0.42282942,-2.0013478,0.008630753
9,0.34366274,0.07661872,-1.5919706,0.29724604,1.1007856,-0.88069904,0.9479809,-0.19172679,0.5845712,-0.75449216,-1.9232553,0.675463,0.39703164,-0.9224089,0.88486135,-0.25198278,-0.34727365,0.05640444,0.7784808,-1.0407207,-0.027192391,0.39713332,0.97045714,0.5474789,0.5227363,-0.12924841,-1.1573467,0.18479122,-1.471202,-0.41283092,-1.2146137,0.7424813,-0.7617491,-0.15852547,-0.02941732,-0.84379613,1.6086847,-0.07296817,0.24000704,-1.890586,-0.20808195,-0.1773056,-0.49221945,0.18623842,-0.529933,-0.7360082,0.74301034,-1.1490198,-0.6022196,0.6210031,0.8383017,0.36348557,0.61279404,1.1673372,-1.0813462,1.9978342,-0.25492463,1.1259097,1.2001528,1.2434562,0.8856505,0.22064354,-1.2731557,0.9185166,-0.3694728,1.6174194,-0.7227047,-1.3263279,-0.017457025,-1.0157349,-0.141682,1.1195772,-0.836039,1.4306631,0.06598842,-0.14529087,-1.2485907,-2.2656202,-0.69073766,0.10575877,-2.0272026,0.8424965,-1.5422963,1.1514734,-0.6971312,0.8807701,-0.16991664,-0.19267757,-0.04028404,0.48891363,-1.7538611,0.9391949,-0.006798172,0.9520208,0.6986689,0.10141814,0.8798091,1.4183425,-0.09488616,0.4160196,-0.052297324,-0.57539755,0.5501241,-0.25662607,0.60734844,1.1370116,0.35306486,0.92684937,0.9433696,1.4219512,1.4266479,-0.7001015,-0.49657366,-1.4072152,0.29206395,-0.41218626,-0.5534923,0.058410626,0.5557095,-0.9376612,-1.0052791,-1.4154266,0.7820427,-0.56513023,-0.129453,0.09768131,0.98108345,-0.08914873
