Project_neo4j_id,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31,dim_32,dim_33,dim_34,dim_35,dim_36,dim_37,dim_38,dim_39,dim_40,dim_41,dim_42,dim_43,dim_44,dim_45,dim_46,dim_47,dim_48,dim_49,dim_50,dim_51,dim_52,dim_53,dim_54,dim_55,dim_56,dim_57,dim_58,dim_59,dim_60,dim_61,dim_62,dim_63,dim_64,dim_65,dim_66,dim_67,dim_68,dim_69,dim_70,dim_71,dim_72,dim_73,dim_74,dim_75,dim_76,dim_77,dim_78,dim_79,dim_80,dim_81,dim_82,dim_83,dim_84,dim_85,dim_86,dim_87,dim_88,dim_89,dim_90,dim_91,dim_92,dim_93,dim_94,dim_95,dim_96,dim_97,dim_98,dim_99,dim_100,dim_101,dim_102,dim_103,dim_104,dim_105,dim_106,dim_107,dim_108,dim_109,dim_110,dim_111,dim_112,dim_113,dim_114,dim_115,dim_116,dim_117,dim_118,dim_119,dim_120,dim_121,dim_122,dim_123,dim_124,dim_125,dim_126,dim_127
project_1,-0.16634119,0.13384536,0.01981999,0.116262466,0.11040462,0.8853548,-0.0907333,-0.049014788,0.4143408,0.071527146,0.045320276,0.10729363,0.041192498,-0.04749514,-0.16752973,1.0804244,0.053064182,0.0543405,0.012001165,0.024202712,0.28162482,-0.058618627,0.12443225,-0.004039921,-0.034167536,0.072314374,0.206829,0.6360828,-0.18553407,-0.34590334,0.020603286,0.10624924,-0.065053724,0.013725114,-0.031862397,-0.19579442,1.0348103,0.123584166,-0.006043007,-0.1619377,-0.15910846,0.035213728,0.075402014,-0.13158602,0.079356596,-0.27823123,0.1322588,0.07444936,0.5987269,-0.016717004,0.06275913,-0.023125816,0.0023292152,-0.0936888,0.13014852,0.04193292,0.11294507,-0.08048758,0.082928404,0.013707395,0.3780796,0.059224956,0.152968,0.08284508,0.104153275,-0.035301603,0.021655556,-0.040287938,0.9113796,-0.09175778,-3.204662,-0.09519722,0.11065202,-0.27028358,-0.010722642,0.09443188,0.36916962,0.0021124578,0.19666278,-0.31065828,-1.3776515,0.17723183,0.05228033,0.24462062,1.0607839,0.08585455,-0.7173753,0.22312051,-0.11056398,0.016039658,-0.11552688,0.0070578367,-0.14821497,0.015763212,0.18646546,0.03839824,-0.050440986,0.12333177,-2.5123177,0.15870291,-0.087436974,-0.037571326,0.14511877,-0.18963568,0.13281828,-0.015248788,-0.044603314,-0.11621018,-0.11083108,-0.004654442,-0.08772032,0.09166818,-0.02654826,0.01710248,0.03564687,-0.13886625,-0.027607875,-0.1396543,0.16093735,-0.012368865,0.16348593,0.18167295,-0.10758909,-0.20508423,-0.22955234,0.027617183,0.017528644,-0.052149933
project_2,-0.057543725,-0.036178753,-0.03401448,-0.8658534,0.100577146,1.9930975,0.044951152,-0.14606574,-0.027063344,-0.059672285,0.030340713,0.041818604,-0.22024399,0.0116607,-0.22349016,0.022507232,0.10984078,0.051824484,0.014630911,-0.045587335,0.031138632,3.028341,0.060906198,-0.05381571,-0.038062394,-0.048902504,0.10703644,0.17594287,-0.17293209,-0.34780177,-0.107781924,0.04647129,-0.043720327,0.07802802,-0.12917936,-0.026248544,-0.23190844,0.08834139,0.074791305,-0.047294755,0.12072282,0.024165709,-0.04021497,-0.06583849,0.04103643,0.63417375,0.012121143,-0.071906984,0.013020671,0.02899249,-0.09275542,0.006362257,-0.014617751,-0.07678098,0.060470693,0.06360279,0.13517693,-0.006948438,0.034564015,-0.026242588,0.093141295,0.036034547,0.11867425,-0.007493073,0.15410064,0.047344267,0.08518768,0.03969676,-3.2056162,-0.06284236,0.7204613,-0.23282677,0.042421296,-0.10493326,-0.078588374,0.11824381,0.39639035,0.038206942,-0.1769231,-0.21376686,-0.4809639,0.05762493,-0.038240433,0.1384983,0.26096642,0.044332273,-0.13369578,0.9445726,0.0018520039,-0.046394818,-0.018115774,0.04892148,0.053011376,-0.050726663,0.012597771,0.013769984,0.07252551,0.07291605,0.7541931,0.12109235,-0.14012787,0.031170286,0.029208535,0.047178477,-0.012388462,-0.0018478958,-0.10554779,-0.1174672,-0.0069951075,-0.044192158,0.018574517,0.08602419,-0.075258404,-0.021826863,0.010882957,-0.06124379,-0.0011600107,-0.14904621,-0.053032324,0.038758196,0.031669278,0.090457104,-0.048500538,-0.2970888,-0.1040743,-0.07034676,0.1398738,-0.07503364
project_3,0.050876483,0.07667005,0.10654119,0.032813855,-0.0031184037,-0.37770775,0.015061224,0.1320859,-0.1968879,0.021684075,0.0046490245,-0.031777285,0.04795556,0.08131857,0.12690741,-0.12239043,0.048687175,-0.0801346,0.062424477,-0.06578472,-0.050316367,-0.33195177,-0.052637912,0.026779898,-0.087307684,-0.044118457,0.066852644,0.09794974,0.077119745,0.1012583,-0.07062982,0.055120762,0.013317954,0.085085966,-0.15133475,-0.07576452,-0.04804183,-0.06734995,0.10366063,-0.09443287,0.042236127,0.013413002,0.03004445,-0.05675174,0.011010136,0.09637296,-0.026493743,0.09239191,-0.29181093,-0.07526278,0.021874864,0.015003731,-0.028551644,0.026019886,-0.015456262,0.07618509,-0.03647816,0.007979624,0.09216466,-0.04599282,0.16133152,-0.053416565,0.03081377,0.021681907,0.041512568,0.07731794,0.07893927,0.008451504,0.077318266,-0.12153341,0.38554642,0.046076912,0.081263795,-0.007192161,0.022237724,-0.02886084,-0.3324056,-0.06146295,0.32433945,-0.020120844,-0.06287366,0.11393742,0.11694279,0.06537024,-0.76679665,0.02634753,0.16297694,-0.44561675,0.10939926,-0.070129745,-0.015729032,0.03289782,-0.06917684,-0.12160641,0.14119875,-0.029404068,-0.012160884,-0.045121145,-0.009582983,0.13117093,-0.08940532,-0.03268137,0.0058900015,0.048518933,-0.07592357,-0.08040756,0.015797995,-0.07065902,-0.0005168138,0.124411464,0.05032458,0.0023176973,0.09962327,-0.08396284,0.007320179,-0.080618545,0.09847036,-0.09337621,-0.0038447175,0.091207474,0.09171518,0.052426778,0.039739367,0.0056097014,0.10525877,-0.14170542,-0.02013143,0.09274571
project_4,-0.02561642,0.006659705,0.070530124,-0.2551295,-0.03821472,-0.024073014,0.024654904,-0.20884214,0.078913346,0.0018463647,0.039289255,-0.11123184,0.10855155,-0.08644889,-0.07111147,-0.22475943,-0.037162542,0.05923507,0.06016344,0.020753812,-0.030243458,-0.33220786,0.012966197,-0.008811087,0.0028304006,-0.08400514,-0.06207165,0.049026594,-0.012947066,-0.07378117,0.014394641,0.008854843,0.2809179,0.08544411,-0.12498828,-0.076117344,-0.17441373,-0.06914352,0.025205433,-0.11653937,0.10466315,-0.026152128,-0.012834478,-0.110419445,0.1130452,-0.15136983,0.0160677,0.045764048,0.01924037,0.09977782,0.06490775,-0.054249343,0.0053441934,-0.018009385,-0.08766349,-0.07406016,0.0983525,0.058759198,0.0009156489,-0.050671957,-0.020129494,0.005161226,0.028182385,-0.02020678,0.04939369,0.048857596,0.05361928,0.036768395,0.22131748,0.061236616,0.28399783,0.01171457,-0.043108296,-0.031309027,-0.00772268,0.34624004,-0.00449287,-0.098666914,-0.11440836,-0.18858986,0.2966249,-0.006020743,0.034880448,-0.0050877826,0.4774077,-0.060920604,-0.08196426,-0.6153931,-0.0648201,-0.078824624,0.023565343,-0.06072682,-0.093415745,-0.07139633,0.004117968,-0.041866362,-0.03485032,-0.09512941,0.34052634,0.008405389,-0.1382349,-0.03657782,-0.035413608,0.09242598,-0.116315104,0.012742636,-0.13556135,-0.10026167,0.04255853,0.09095098,-0.02888161,0.0035097706,-0.1026245,0.018921304,-0.028944565,-0.038545754,0.045047686,-0.00550715,-0.07573749,-0.054624874,0.055148616,0.011650944,-0.0100286305,-0.115264624,-0.0603899,0.07915231,-0.048656873,-0.021551397
project_5,0.04738265,-0.13060626,-0.22978668,0.8173405,0.032582358,-0.74308246,-0.0014109854,0.5734109,-0.2213973,-0.15113218,-0.059773132,0.17556995,-0.042866874,0.074153535,0.061007936,-0.04596722,0.28788787,-0.11456494,-0.19432062,-0.073080994,-0.14944342,0.2605318,-0.075348966,0.14928226,-0.09358896,0.4821442,-0.16488205,-1.1773009,0.04268479,0.14882632,-0.09926646,-0.18599896,-1.0808078,-0.22569084,0.29527366,0.30032676,-0.1313972,-0.076212466,0.03926459,0.25567308,-0.3943773,-0.072969235,0.12400538,0.5276757,-0.44858977,0.007963443,-0.08561425,0.0911696,-0.035603542,-0.06108482,-0.12952985,0.14412922,-0.09109585,-0.14102024,0.13839976,0.09331831,-0.19060977,-0.18296838,0.25368336,0.18771413,-0.28958613,-0.14574265,-0.30690408,-0.049821682,-0.16678652,-0.022166621,-0.08993773,0.02029516,0.9003757,-0.081548095,0.60812736,-0.1060881,0.07458414,0.20076896,0.06876401,-1.7074509,0.19672357,0.10653684,-0.13205324,1.5650759,1.9626288,-0.24995844,0.030743554,-0.05383229,0.5762538,-0.06502116,0.11607359,2.8197954,0.33426145,0.022094283,-0.031283487,0.17016482,0.47251436,0.05127221,-0.12268031,0.09848022,-0.08976951,0.30428746,-0.36064214,-0.043393984,0.8919525,0.027794112,0.04848489,0.013677174,0.11692262,-0.08144639,0.16523723,0.20085764,-0.1502047,-0.12791824,0.35751674,-0.0076694335,0.21591596,-0.12887518,-0.16159509,-0.046542067,-0.14557679,-0.048902884,0.15951875,0.12300035,-0.19414344,-0.0944527,0.078404464,0.75306743,-0.044354226,0.15953176,0.026009332,0.18820383
project_6,-0.13428879,-0.1633654,0.07655629,0.07655019,-0.11557924,0.2603452,0.055391576,-0.13750124,0.27147934,-0.035655268,-0.118253775,-0.14504904,-0.229882,0.018775973,-0.8254048,0.17605136,0.18878594,0.23981376,-0.061043277,-0.06719318,-0.17336011,0.121349156,0.18653227,0.06184771,0.5291101,0.3229113,0.1239003,-0.22063082,-0.35014385,0.043607265,0.06318314,0.4331477,-0.55980647,0.12788275,0.028174914,-0.049733125,-0.029804414,-0.026388291,-0.2646163,0.059910905,-0.05976155,-0.24525635,0.006740707,-0.20066485,0.0812176,0.034089103,-0.1180737,0.34622908,0.063735686,0.17457692,0.3351536,0.2439921,-0.08860223,-0.33197102,0.210974,-0.087729946,-0.1699847,-0.01611595,-0.301192,-0.105045505,-0.3141307,-0.17510402,-0.0800656,-0.030034697,-0.06349994,-0.2637484,-0.032422356,0.0530054,0.04223375,0.13306502,0.08350754,-0.17865647,0.24030638,0.022671422,-0.085087456,-0.15545173,0.07539399,0.08512042,0.056695003,-0.04237552,0.20627886,-0.10117076,-0.22902992,0.20231432,0.16349034,0.3158998,-0.087871626,-0.0046831216,-0.021536516,0.02432445,-0.055453237,0.007332403,0.23473339,-0.1968625,-0.20088698,0.021220397,0.05195112,-0.097589396,-0.078565195,-0.1409096,-0.12656365,-0.1523784,0.15933672,0.026883436,0.16333285,0.22546877,0.26646128,-0.15647776,-0.03367302,0.14763491,-0.100899115,-0.115011916,-0.00797862,0.14907914,0.018477,0.20177361,0.087119855,0.49176538,-0.16015276,-0.06267251,0.055988923,0.018565487,0.050455436,0.046920102,-0.38730642,-0.10651624,-0.04189581,-0.120967664
project_7,0.11174068,-0.14698674,-0.23595771,0.07020448,0.0143458,0.037559696,-0.04446228,-0.0014395514,0.2736549,-0.119028114,-0.13490084,-0.19268739,0.09809597,-0.2786223,-0.6731711,-0.057622448,0.23982063,0.16880195,-0.37056732,0.00906895,-0.052375697,-0.12991443,-0.06630065,0.00034371158,-0.20058766,0.29574844,0.027075857,-0.22876132,0.1152901,-0.28667632,-0.14450762,0.13330477,0.054110184,-0.056833487,-0.10757188,0.3411338,0.09073077,-0.04548697,-0.07305558,0.17348959,-0.032226406,0.088604115,-0.02997724,-0.066766955,-0.3297761,0.14975083,0.122659236,-0.3814028,-0.30511963,-0.13087575,-0.11521305,0.36257288,0.0114910165,-0.35214415,-0.018714909,-0.2853625,-0.36316255,-0.055850305,-0.18817575,0.045273744,-0.023175608,-0.10968106,0.06258069,0.24843717,0.35518566,0.045241676,-0.051759567,0.22718653,0.123117365,-0.03338242,-0.026281167,-0.3458979,-0.37105525,0.07207348,-0.11942179,-0.2075066,0.10719003,-0.19384788,0.24002425,-0.15938818,-0.14612636,-0.52493674,0.021450253,0.2159096,0.28232992,-0.014512231,-0.08516882,0.23833022,-0.099056594,-0.17101942,-0.43841133,0.23346795,0.46606013,0.14240286,-0.05488541,0.08693623,0.05224013,0.056404043,-0.13894606,-0.32779646,-0.3698741,0.056771077,0.17264244,0.034837168,-0.31392476,0.385159,0.289979,0.09931756,-0.032079015,-0.44090545,-0.11420302,0.20195515,-0.43390065,-0.24203213,-0.21413583,0.20984508,0.11672027,0.45389095,-0.37612152,-0.17109948,-0.2653592,-0.5727191,0.018147113,-0.0032595387,-0.43191567,0.4110773,0.49817282,0.06920042
project_8,0.13780023,-0.044221416,-0.20447022,-0.08938032,0.0912103,0.08044845,-0.19454525,-0.19126892,0.5756337,-0.06965394,-0.113268286,0.03713585,0.24667765,0.047945052,-0.5173987,0.32127953,-0.27565998,-0.12092,0.018594386,-0.00990936,0.18898512,0.04523181,-0.14581591,0.11224648,0.2244697,0.18385853,0.3010398,-0.29935417,0.024377888,-0.08955992,0.37631872,0.17337948,-0.14990303,-0.2755297,-0.3411084,0.55010957,-0.045506004,-0.005546012,0.024436431,0.17361015,-0.017197434,0.08426261,0.23536786,-0.13619648,-0.065975025,-0.16804324,0.16237397,-0.22530235,0.10390526,-0.12266939,-0.023828007,0.43617105,0.3322973,-0.3029045,0.15360133,0.06229494,-0.37676033,-0.004366857,0.064327866,-0.02244538,0.100051194,0.01144743,-0.12556982,-0.24606046,0.19655284,-0.3173565,0.02344631,-0.015140772,0.2435636,-0.17394562,0.14915843,-0.2558533,-0.11428495,0.070586346,0.05333779,-0.33075303,0.33801582,0.124275364,-0.04822358,-0.15586247,0.0073618693,-0.7715516,-0.09622618,-0.026293412,0.13272429,0.23350441,-0.59859365,0.015370124,-0.1299485,0.18032691,0.13515326,0.23220593,0.25487193,0.21049318,-0.25401944,-0.18510607,0.013286466,-0.18121852,-0.25385836,-0.3483618,-0.018512316,-0.1279358,-0.19176546,-0.07831955,-0.234447,0.25820398,0.21405965,-0.19395617,-0.10456374,-0.14588574,0.08285591,0.17306405,-0.19550914,-0.17821674,-0.043762892,0.19963448,-0.042269662,0.06527712,-0.046269413,-0.1522822,-0.012258622,-0.3201593,0.2049593,-0.17841043,-0.1799946,-0.12904458,0.18218963,0.08467206
project_9,0.20300458,-0.8615354,-0.25806475,0.19570753,0.33846328,0.36067367,-0.8031466,-0.4510166,-1.0672398,-0.43292052,0.24496625,-0.025606403,0.15429458,-0.21216084,-0.14574555,0.045187477,0.21742064,0.08527549,0.3922554,-0.074515015,0.38361648,-0.11940737,-0.060752306,-0.18581837,0.20719784,0.39832819,0.1597212,-0.36173156,-0.08236494,-0.015186944,-0.51841533,-0.5092741,-0.16200906,0.09324516,0.13901068,-0.13909385,0.16597006,0.6342884,0.21171093,0.12498399,-0.059619453,-0.56913704,-0.22678263,-0.21672349,0.1703483,0.15431796,0.15193094,-0.44212028,0.15674493,-0.23238029,-0.87627935,0.64388984,-0.12726678,-0.019638523,0.52815753,-0.28063425,0.18477772,-0.39527434,-0.72058105,0.5791677,-0.042694807,-0.3986027,-0.2920443,0.46164542,0.045782596,-0.60358566,-0.14192812,-0.58276695,0.18043296,-0.12169486,0.3412794,0.3505525,0.11810205,0.19709203,-0.3457329,0.38878992,-0.49931842,0.25420818,-0.2552033,-0.0645706,-0.33984727,-1.0022466,0.20152925,0.3105506,0.4616055,-0.106361434,-0.5592982,0.31229615,0.45443523,-0.19372486,0.6944163,-0.32186782,0.39927855,-0.4774538,0.17885341,0.15407059,-0.20993203,-0.48292464,-0.27783448,-0.24233301,-0.07458768,0.13924788,-0.4462544,-0.16448767,0.07127889,-0.27818406,0.021622056,0.13899967,-0.016816258,-0.79263043,0.4872977,0.23170978,-0.21612094,-0.18561709,0.196044,0.5174257,-0.38781428,0.04073155,-0.18996643,0.10221886,-0.28812745,-0.16071326,0.097451195,-0.12608533,0.7535275,-0.14874049,-0.18989475,0.59956014
project_10,0.0559073,0.02183726,-0.117711455,0.4847786,0.13747413,0.26297173,0.030344032,-0.54393685,0.19046593,0.071372606,-0.39476395,-0.18261613,-0.3134285,0.13255695,-0.010506512,0.18587396,0.13284297,0.5118757,-0.027577696,0.057952147,0.10518278,-0.00499329,-0.23539396,0.07728859,0.18807054,-0.20242861,0.085858464,-0.22643772,-0.09984429,-0.0406407,0.094995804,0.039233867,-0.07769352,0.021623395,0.17759438,-0.25588575,-0.19888252,-0.06296202,0.16838439,0.1647612,-0.26500383,0.17369719,-0.38095418,-0.1740046,0.21883221,0.25364238,-0.13645023,0.14113742,0.26176497,0.083957404,0.2050735,0.38370633,0.33419642,0.25746432,-0.22459918,-0.07690771,0.066559345,-0.16237107,-0.002948231,0.084216915,-0.32969862,-0.05971109,0.2816304,-0.003989403,0.05075512,-0.06604749,-0.21498388,-0.116910964,-0.0021965662,-0.14597711,-0.10236731,0.29570273,0.12883875,0.3828046,-0.10526825,0.022109216,0.13476753,0.061115056,-0.034863867,0.09649788,0.15924573,-0.40806508,0.2132995,0.086421736,0.22392638,0.0936681,-0.028963683,-0.03997565,-0.23640221,-0.4724168,0.13141173,-0.081602275,0.33320802,-0.26455045,-0.27786326,0.41113684,0.15194887,0.12738827,-0.35516015,0.04891382,-0.17697468,-0.041320477,-0.40379977,0.22178827,0.3859564,-0.069812715,-0.26389065,0.23044616,-0.3087834,-0.42520732,0.15170023,-0.23217782,-0.030985096,0.24373928,0.3651487,-0.03223903,0.04763801,-0.15373984,0.12885287,-0.095534295,-0.038149137,0.16016857,-0.11961831,-0.0552544,0.20871127,-0.34953034,0.38441646,-0.043067895
